,ACTB,ANO1,ARF1,BCAP31,BSG,CALM3,CFL1,CHCHD2,CHD3,CHMP4B,CHPF,CLIC1,CSRP1,DDIT4,DHCR7,EHD2,EIF1,FABP4,FMOD,FOSL1,FSCN1,FST,GRHL3,IL12RB2,KIAA1217,KRT18,LMAN2,LYZ,MBNL1,MORF4L2,MYL2,OSR2,PLS3,PPIB,PSMB5,RALB,RPL22L1,SDF2L1,SFRP1,SLC25A39,SLC25A5,TBC1D2,TMEM14C,TPM2,VDAC1,VDAC2,YWHAB,ZNF385A,class
GSM1607700,-0.003815574,-0.010013555,0.005660835,-0.036152245,7.22E-06,-0.000367189,0.006844437,-0.001602108,0.010530509,0.008269887,0.006755171,0.000966918,-0.008300643,-0.027366985,-0.000510457,-0.005434014,0.003694383,0.000449191,0.012324778,-0.008466915,0.013539646,0.00350472,0.016629082,0.003741231,0.006509594,-0.001459895,-0.002028498,0.000124706,0.02091474,-0.028420308,0.021151415,0.003291227,0.002381924,-0.011220778,-0.02400781,-0.016974399,-0.011393493,0.03621019,0.011222035,-0.021634729,0.001005966,-0.006149641,-0.015732441,-0.014393631,-0.004176845,0.002872732,-0.013249742,-0.021184604,0
GSM1607704,-0.003791416,-0.00712718,0.005926874,-0.03541295,6.95E-06,-0.000353088,0.006481144,-0.00161073,0.010642759,0.008550301,0.006066272,0.000915573,-0.008295817,-0.025249656,-0.000514768,-0.004905242,0.003933656,0.000430487,0.012817935,-0.007407938,0.012733252,0.002510926,0.018211392,0.00372164,0.007291705,-0.00147881,-0.002036279,0.000135605,0.020824566,-0.028246301,0.020908226,0.003254719,0.002203172,-0.011126949,-0.023578019,-0.016631502,-0.011802694,0.036770286,0.010555643,-0.020604071,0.001044279,-0.005567335,-0.015464096,-0.013794727,-0.0040246,0.002931072,-0.013540808,-0.020669007,0
GSM1607714,-0.003908011,-0.011061479,0.005730461,-0.036114346,7.51E-06,-0.000343585,0.006887168,-0.001659976,0.010841025,0.008446723,0.006451432,0.000964476,-0.008913502,-0.025845213,-0.000456572,-0.005278941,0.00376207,0.000451953,0.012630908,-0.008871634,0.01365941,0.003462246,0.016227088,0.003925218,0.006144346,-0.00147516,-0.002040992,0.000119885,0.021051621,-0.026566145,0.020737665,0.003272898,0.002206817,-0.011293787,-0.025355094,-0.016496405,-0.011349434,0.037637979,0.013616238,-0.021406398,0.001003566,-0.00599528,-0.015256079,-0.016747654,-0.004123415,0.002877968,-0.013656341,-0.021903511,0
GSM1607734,-0.003730285,-0.008130183,0.005568252,-0.034781283,7.81E-06,-0.000367482,0.006970243,-0.001685227,0.010285402,0.008897555,0.007049161,0.000913976,-0.009549369,-0.027461115,-0.000456555,-0.005811246,0.003916527,0.000400597,0.0144166,-0.007848485,0.013611532,0.002965147,0.013048687,0.003598668,0.006423113,-0.001436543,-0.002089041,0.000140761,0.020607565,-0.025668005,0.021296289,0.003247592,0.001969523,-0.010850848,-0.023001902,-0.015587734,-0.011047273,0.035719487,0.011622043,-0.021628188,0.000972742,-0.005708388,-0.015800922,-0.019450769,-0.004022742,0.00288547,-0.013541265,-0.020421753,0
GSM1607741,-0.003754523,-0.009836459,0.005690731,-0.037612556,7.29E-06,-0.000354068,0.006745121,-0.001585728,0.010588439,0.008361041,0.006769202,0.00095526,-0.008581386,-0.025643698,-0.000463066,-0.005581058,0.003795151,0.000440533,0.013767029,-0.007666721,0.012383376,0.002618412,0.015637859,0.003750629,0.007778407,-0.001455664,-0.002090155,0.000121268,0.020790018,-0.027466639,0.02351087,0.003238662,0.002294057,-0.010832213,-0.023872532,-0.0176128,-0.011391081,0.036758024,0.015258362,-0.020978132,0.000971806,-0.006008339,-0.016003931,-0.018233234,-0.00417724,0.002903061,-0.013733265,-0.020992383,0
GSM1607742,-0.003830911,-0.007366109,0.0057405,-0.035587617,7.01E-06,-0.000334033,0.006965696,-0.001678094,0.010470867,0.008739796,0.006776345,0.000924293,-0.008664224,-0.023208858,-0.000518256,-0.005160547,0.003871327,0.00066566,0.01195949,-0.008694906,0.013357484,0.003055622,0.017348633,0.003780626,0.006593118,-0.0014679,-0.002108548,0.00012107,0.02084061,-0.027818402,0.020649085,0.003263477,0.00229917,-0.01143274,-0.025770137,-0.017171253,-0.011300274,0.03522758,0.010443483,-0.021241805,0.000997145,-0.006414563,-0.01588027,-0.015244471,-0.0040886,0.002964213,-0.013837661,-0.020508126,0
GSM1607766,-0.003638226,-0.008909283,0.005677517,-0.036982725,6.52E-06,-0.00034456,0.006686358,-0.00166542,0.010598004,0.008777035,0.006201221,0.000883743,-0.008280109,-0.023195587,-0.000492671,-0.004968705,0.003921016,0.000414203,0.01321654,-0.008019916,0.012741944,0.00281527,0.017515493,0.003762145,0.006964824,-0.001460569,-0.002025168,0.000137287,0.020364183,-0.027413297,0.021765606,0.00324481,0.002257323,-0.011018011,-0.02509658,-0.017380042,-0.011662682,0.034352404,0.011238446,-0.020707899,0.00101995,-0.005684724,-0.015639561,-0.015623952,-0.00406897,0.002936642,-0.014012469,-0.019923685,0
GSM1607767,-0.003873314,-0.00896102,0.0056823,-0.035405718,6.66E-06,-0.000355352,0.006835099,-0.00154017,0.010565696,0.008922604,0.00677247,0.000881089,-0.008670787,-0.024100578,-0.000479307,-0.005445861,0.00385035,0.000589293,0.012785096,-0.008308349,0.013258864,0.002917502,0.017195221,0.00390922,0.007167847,-0.001475179,-0.001974317,0.00012834,0.020808556,-0.028065071,0.021188092,0.003211992,0.002400817,-0.01107834,-0.023534257,-0.016836403,-0.012389165,0.034114039,0.01258306,-0.021774885,0.000988535,-0.006199171,-0.015665029,-0.017587481,-0.004026867,0.002943499,-0.013490304,-0.020907595,0
GSM1607774,-0.003845408,-0.009174636,0.005766685,-0.032682661,7.10E-06,-0.000330147,0.006564559,-0.001662083,0.010649424,0.009012176,0.006311209,0.00093982,-0.007981423,-0.021766457,-0.000499382,-0.004517513,0.004053893,0.000610279,0.013622603,-0.007429141,0.012018904,0.002606597,0.016318302,0.003770955,0.00718886,-0.001469188,-0.002007273,0.000138704,0.021114534,-0.028704131,0.021277186,0.003286182,0.002377953,-0.011057092,-0.024771769,-0.017319666,-0.011411983,0.033449131,0.01169412,-0.019886572,0.001021425,-0.005715115,-0.017193223,-0.015860616,-0.004034693,0.002966406,-0.013759169,-0.02104134,0
GSM1607775,-0.003958147,-0.0117502,0.005662832,-0.033784904,7.30E-06,-0.00033108,0.006524602,-0.001673332,0.010520075,0.008721946,0.006190249,0.00092984,-0.0080376,-0.024351214,-0.000583025,-0.00469272,0.00402621,0.000528631,0.014179469,-0.007807137,0.012987616,0.002474856,0.017662649,0.00372054,0.006965721,-0.0014731,-0.002001924,0.00015188,0.021337407,-0.028613716,0.021638649,0.003263982,0.00242077,-0.01116352,-0.023653782,-0.017607786,-0.011716459,0.033725507,0.011714391,-0.019665303,0.001046354,-0.006021694,-0.016312237,-0.016732491,-0.00419677,0.002905074,-0.013803352,-0.021376776,0
GSM1607779,-0.003912898,-0.008607073,0.005936932,-0.034872018,7.81E-06,-0.000336465,0.006848887,-0.001622634,0.010601566,0.008546547,0.006193826,0.00095455,-0.00840638,-0.025203867,-0.000497783,-0.00476415,0.003729529,0.000412057,0.013831404,-0.007581379,0.013063921,0.002904315,0.017236529,0.00367982,0.007007551,-0.001475937,-0.002032142,0.000134345,0.020928935,-0.027922591,0.020632559,0.003270881,0.002238495,-0.011127967,-0.022843794,-0.017232128,-0.011306563,0.034961893,0.011312226,-0.019834978,0.001008189,-0.005568309,-0.016369128,-0.016194332,-0.004181564,0.002947379,-0.013776128,-0.021462662,0
GSM1607792,-0.003787052,-0.007646227,0.005691284,-0.034270942,6.49E-06,-0.000344617,0.006613102,-0.001606152,0.010352405,0.009140742,0.005732802,0.000926374,-0.007680309,-0.02417533,-0.000446059,-0.00475308,0.003773521,0.000414104,0.013182558,-0.007457367,0.012991033,0.003438197,0.020425159,0.003905505,0.007199486,-0.001465885,-0.00205986,0.000125933,0.020844162,-0.028622143,0.021603935,0.003290971,0.002532404,-0.011588278,-0.023914738,-0.017982513,-0.011467559,0.033437282,0.012219175,-0.020848864,0.001003557,-0.006180878,-0.016477212,-0.015547277,-0.004128467,0.003028,-0.014243655,-0.019288532,0
GSM1607795,-0.00354251,-0.008410975,0.005723775,-0.035324331,6.73E-06,-0.000341825,0.006725901,-0.001651335,0.010747777,0.008718038,0.006530024,0.000874534,-0.008569275,-0.026326416,-0.000491977,-0.005357807,0.003858536,0.000573419,0.012340118,-0.008636992,0.01322164,0.003071031,0.017268031,0.003688596,0.00659059,-0.001487633,-0.002052834,0.000127469,0.020387448,-0.024601239,0.020933994,0.003235665,0.002074932,-0.010370468,-0.023047285,-0.015853844,-0.011241227,0.038385865,0.011689375,-0.020677663,0.000968272,-0.005651028,-0.015637532,-0.014701921,-0.003899882,0.002926947,-0.013734306,-0.020304195,0
GSM1607799,-0.003932356,-0.008261732,0.006199571,-0.034545975,6.55E-06,-0.000334635,0.006696143,-0.001668142,0.01040004,0.008974994,0.006211832,0.000938398,-0.00798375,-0.026103733,-0.000507515,-0.00485318,0.003906336,0.000434869,0.012243556,-0.008339077,0.012882623,0.002566008,0.020011079,0.003887572,0.007143021,-0.001457138,-0.002072205,0.000137918,0.020777367,-0.028065829,0.020671271,0.003364907,0.002378846,-0.010627647,-0.023742286,-0.017216067,-0.011237429,0.032031244,0.011996296,-0.020636588,0.000998919,-0.006046778,-0.016035341,-0.016524866,-0.004116382,0.002959997,-0.013740564,-0.021179392,0
GSM1607801,-0.003927381,-0.00838135,0.005793731,-0.03328325,6.76E-06,-0.000361677,0.006727951,-0.001677238,0.010561279,0.008871607,0.00646325,0.000947877,-0.00831102,-0.026185987,-0.000474156,-0.005150349,0.003930794,0.000449564,0.012743787,-0.008171641,0.013480686,0.003379106,0.016127762,0.004280017,0.007121513,-0.001463,-0.002061157,0.000129764,0.021171953,-0.027746136,0.021065356,0.003302953,0.002365114,-0.010794712,-0.022885722,-0.017295508,-0.01272683,0.035884769,0.01043614,-0.019880193,0.000995101,-0.00640495,-0.016318089,-0.016898754,-0.004158847,0.002975349,-0.014061698,-0.02004426,0
GSM1607803,-0.003902423,-0.008117366,0.005644328,-0.034481925,6.45E-06,-0.000344004,0.006750949,-0.001700908,0.010533374,0.008642703,0.005989449,0.000917074,-0.00808035,-0.026439195,-0.00054096,-0.004814131,0.004018159,0.000506833,0.013118912,-0.007837642,0.013045356,0.003147354,0.017847088,0.003666107,0.006608643,-0.001471921,-0.001963135,0.000143996,0.021344047,-0.028784227,0.021115662,0.003292562,0.002374991,-0.010971738,-0.024155641,-0.018181632,-0.011264028,0.03419642,0.010609968,-0.020349108,0.001034239,-0.005959298,-0.016569612,-0.014347498,-0.004046928,0.002961635,-0.01342351,-0.020851667,0
GSM1607806,-0.003553184,-0.009774734,0.005798529,-0.035207593,7.15E-06,-0.000357424,0.006523995,-0.001616677,0.010854111,0.0083794,0.006134852,0.000875299,-0.009093317,-0.023603237,-0.000500129,-0.004504753,0.003931579,0.00040954,0.015232606,-0.007209007,0.012467724,0.00225844,0.014112811,0.003785855,0.007272505,-0.001490698,-0.002097578,0.000123099,0.02075132,-0.026855019,0.020617329,0.003282392,0.001926738,-0.011498941,-0.024229718,-0.014992058,-0.011367408,0.034505254,0.016510532,-0.02126907,0.000973761,-0.005100018,-0.016072667,-0.017126663,-0.004003519,0.002905113,-0.013509164,-0.018751228,0
GSM1607817,-0.003952569,-0.006914289,0.005790049,-0.032873888,6.91E-06,-0.000349276,0.006609981,-0.001616104,0.010641213,0.008977179,0.005870701,0.000908537,-0.008063301,-0.021910079,-0.000438838,-0.00437987,0.003792262,0.00040685,0.013669264,-0.007211568,0.011771753,0.002573356,0.017834339,0.003778029,0.006829663,-0.00145705,-0.001987213,0.00018161,0.02105269,-0.026996518,0.020841358,0.003330373,0.002083431,-0.011136645,-0.022832776,-0.015780739,-0.012216825,0.036097014,0.010745732,-0.01956088,0.001009225,-0.005642002,-0.016256699,-0.014463447,-0.004036698,0.002916898,-0.013787718,-0.019492904,0
GSM1607824,-0.003931707,-0.008689497,0.005677429,-0.03374937,6.79E-06,-0.000359246,0.006734416,-0.001606444,0.010774932,0.008607546,0.006074054,0.000910422,-0.008797008,-0.023792233,-0.00049657,-0.004745817,0.003880867,0.000399453,0.013565862,-0.007805003,0.012270211,0.002656274,0.017758882,0.003710032,0.007006808,-0.001439712,-0.002072636,0.000126568,0.021184103,-0.027646971,0.020103839,0.003228548,0.002195933,-0.011161598,-0.023345659,-0.016585211,-0.011287638,0.036100546,0.013258552,-0.020799916,0.001009978,-0.005740596,-0.016240803,-0.015101448,-0.004014727,0.002867573,-0.013629009,-0.019469729,0
GSM1607825,-0.003927589,-0.012131281,0.005711542,-0.035746786,7.81E-06,-0.00035445,0.006868431,-0.001705067,0.010580813,0.008744718,0.006241841,0.000953121,-0.008947184,-0.023938633,-0.000650552,-0.005134971,0.003785618,0.000700387,0.012536621,-0.008455105,0.013749738,0.00352292,0.01718011,0.00367958,0.006296394,-0.001465502,-0.002115193,0.000123235,0.020808466,-0.027895064,0.020744073,0.003212977,0.002223686,-0.01173246,-0.024369962,-0.016278063,-0.011243853,0.038577904,0.011388577,-0.021376008,0.001037663,-0.005491148,-0.015182107,-0.015508906,-0.004092337,0.002938609,-0.013246035,-0.021648431,0
GSM1607829,-0.004055344,-0.010721917,0.005888748,-0.032775614,7.20E-06,-0.000364885,0.007071641,-0.001632392,0.010423429,0.009371171,0.006613508,0.000979615,-0.008127983,-0.027377686,-0.000475897,-0.005638856,0.003935751,0.000408014,0.013570732,-0.008877349,0.01401855,0.003257948,0.016231828,0.004150826,0.006818943,-0.001462394,-0.001996835,0.000152375,0.020974001,-0.026695587,0.020477025,0.003304804,0.002288844,-0.011410896,-0.025633892,-0.016187302,-0.011602306,0.035237002,0.012574407,-0.020105763,0.000965333,-0.006456108,-0.016236524,-0.017637811,-0.004140895,0.002896979,-0.01387507,-0.021303443,0
GSM1607832,-0.003755445,-0.010123403,0.005910151,-0.032769292,7.52E-06,-0.000368921,0.006781232,-0.001660989,0.010872361,0.009361857,0.006763705,0.000953211,-0.00831812,-0.026554092,-0.000631734,-0.005242732,0.003958186,0.000431929,0.013862575,-0.008310094,0.012832597,0.002708922,0.014191102,0.004137622,0.007593379,-0.001478185,-0.00202067,0.000122428,0.020704276,-0.025991297,0.021019125,0.003281953,0.002108587,-0.010937703,-0.024544065,-0.016260864,-0.011355878,0.034344783,0.010742074,-0.020776947,0.000956,-0.005748856,-0.015972359,-0.018823918,-0.00402589,0.002888194,-0.013851492,-0.021120734,0
GSM1607841,-0.003619962,-0.008851694,0.005839306,-0.035647482,6.48E-06,-0.000358345,0.007041606,-0.001577316,0.010423196,0.009136816,0.006401798,0.000943341,-0.008370677,-0.026530675,-0.000471477,-0.005292003,0.003960282,0.000434854,0.013782784,-0.008800859,0.01319886,0.00342507,0.016841042,0.004042744,0.00673614,-0.001451,-0.002108157,0.000154382,0.020301784,-0.026329961,0.022242486,0.003228459,0.002090373,-0.01066854,-0.023572583,-0.016298311,-0.011291144,0.037785024,0.011965894,-0.02127854,0.000982543,-0.006163231,-0.015399676,-0.016079288,-0.003973734,0.002884768,-0.013501353,-0.020164126,0
GSM1607843,-0.003966817,-0.010669777,0.005602604,-0.03397656,6.91E-06,-0.000365873,0.007052366,-0.001662311,0.010640793,0.008922702,0.006382297,0.000907893,-0.008343312,-0.025436031,-0.000530199,-0.004754584,0.004097695,0.000444313,0.014425945,-0.007417751,0.01300047,0.002867995,0.014805512,0.003819475,0.007424452,-0.001478552,-0.002106402,0.000182829,0.020833297,-0.027008624,0.025467569,0.003279112,0.002164386,-0.010389071,-0.023633301,-0.016553715,-0.01103648,0.032843853,0.015240717,-0.020606201,0.001004981,-0.00553901,-0.016907945,-0.017039251,-0.004092773,0.002851966,-0.01404417,-0.019489145,0
GSM1607849,-0.00396481,-0.007548053,0.005742728,-0.03292568,6.56E-06,-0.000358122,0.006922308,-0.001634428,0.011005256,0.009298232,0.006495417,0.000937356,-0.008385403,-0.029333603,-0.000441863,-0.005357099,0.003945279,0.000545461,0.014499701,-0.007663092,0.012533384,0.002805672,0.014231124,0.003755628,0.007549664,-0.001447375,-0.002058318,0.000157747,0.020959818,-0.02896992,0.029464071,0.003278898,0.00214626,-0.011715165,-0.024162782,-0.01759315,-0.012447939,0.034810212,0.013333974,-0.019688278,0.000957063,-0.00558375,-0.016212627,-0.019657545,-0.004054904,0.002986868,-0.013369668,-0.019374234,0
GSM1607850,-0.003600473,-0.007871082,0.005808181,-0.033903235,6.12E-06,-0.00034576,0.006406434,-0.00161823,0.010736123,0.008283455,0.005850319,0.000909111,-0.008238816,-0.023943522,-0.000449271,-0.004822302,0.003981992,0.000395417,0.014372192,-0.007818642,0.01235597,0.003542939,0.016468423,0.003907786,0.007046106,-0.001435224,-0.001971235,0.000143973,0.021024901,-0.028743121,0.020986183,0.003181016,0.002388747,-0.011232031,-0.023933612,-0.016855708,-0.011710593,0.034618848,0.010921511,-0.018971643,0.000993918,-0.005907322,-0.016379748,-0.01703046,-0.004003718,0.002935914,-0.013782985,-0.018987856,0
GSM1607851,-0.003988702,-0.011142251,0.005715301,-0.03372957,6.88E-06,-0.000345497,0.006950809,-0.001664978,0.010623781,0.008655561,0.006013131,0.000929476,-0.007848075,-0.022072739,-0.000457593,-0.005286696,0.003881447,0.00072548,0.012691759,-0.008431731,0.013760024,0.002677609,0.017354178,0.004334771,0.006848317,-0.001468421,-0.001978876,0.000141224,0.021687288,-0.028955491,0.021105471,0.003272943,0.002485583,-0.011330704,-0.024874324,-0.017355513,-0.01116971,0.036212746,0.013678179,-0.020435381,0.001028778,-0.005961059,-0.015753011,-0.014138765,-0.004197006,0.002890031,-0.014005242,-0.020090243,0
GSM1607855,-0.003659576,-0.008092522,0.005708334,-0.034395127,6.23E-06,-0.000346275,0.006660852,-0.001638084,0.010381667,0.008878927,0.006207708,0.000934941,-0.008045377,-0.023421021,-0.000475868,-0.004778131,0.003896778,0.00055348,0.013188937,-0.007615803,0.012665587,0.002853614,0.018030276,0.0037723,0.007063258,-0.001472575,-0.002014732,0.000151427,0.02088483,-0.027721222,0.020822533,0.003259983,0.002201758,-0.011116175,-0.02395136,-0.017569033,-0.011301073,0.036142578,0.011246877,-0.021137214,0.001027356,-0.00640457,-0.016753655,-0.014159929,-0.003909125,0.002962858,-0.013833668,-0.019837479,0
GSM1607856,-0.003856032,-0.00793179,0.005669205,-0.034340993,6.84E-06,-0.000356194,0.006814575,-0.001690416,0.010612287,0.008642195,0.006001913,0.000960946,-0.008239099,-0.025128741,-0.000482256,-0.004908435,0.00401931,0.000410721,0.013245669,-0.007618745,0.013382655,0.002518408,0.014726639,0.004058878,0.006996188,-0.001465303,-0.002075999,0.000138111,0.021187473,-0.029119008,0.020770257,0.003251662,0.002414698,-0.011006052,-0.025034879,-0.016794218,-0.01113742,0.036419349,0.010987063,-0.021106773,0.00101965,-0.005879018,-0.015403077,-0.017048448,-0.004089878,0.002922325,-0.014125836,-0.019961918,0
GSM1607861,-0.004026095,-0.010531502,0.005550909,-0.03374065,7.06E-06,-0.000356676,0.006743971,-0.001571768,0.01063843,0.008609338,0.006860041,0.000907276,-0.008700712,-0.022531257,-0.000434378,-0.005382798,0.004038085,0.000687264,0.013779954,-0.008124313,0.013601414,0.002527019,0.0162331,0.004289839,0.007294393,-0.001447841,-0.002062183,0.000177559,0.020430164,-0.025547589,0.020787462,0.003299667,0.002164663,-0.010713683,-0.023401733,-0.01708155,-0.011150327,0.035671798,0.011306418,-0.020966217,0.000983978,-0.006191373,-0.015539476,-0.016501144,-0.004012047,0.002927822,-0.013619655,-0.020395656,0
GSM1607862,-0.004047404,-0.00773055,0.005946036,-0.03480174,7.67E-06,-0.00034239,0.006993675,-0.001534563,0.010970145,0.009164218,0.00714891,0.00093773,-0.009329516,-0.026905531,-0.000516717,-0.005643273,0.003983723,0.000606289,0.014007445,-0.009152143,0.013037943,0.003096424,0.015829727,0.003810271,0.006874786,-0.001451029,-0.002194161,0.000138361,0.0203774,-0.027178095,0.027880521,0.003244689,0.001875913,-0.010357686,-0.025176371,-0.017155166,-0.011622838,0.03505657,0.011200832,-0.021337682,0.000953606,-0.005668785,-0.015238825,-0.019365493,-0.003841817,0.002866607,-0.012791367,-0.022611109,0
GSM1607865,-0.004117875,-0.009407949,0.005941528,-0.036497265,7.58E-06,-0.000367052,0.006979841,-0.001676413,0.010620987,0.00926816,0.00664538,0.000952953,-0.007805662,-0.026046185,-0.000467143,-0.005573541,0.003879642,0.000410907,0.012603662,-0.008225362,0.013689434,0.002917242,0.015569555,0.003708741,0.006686805,-0.001455005,-0.002065251,0.000111272,0.020889201,-0.030236192,0.021470013,0.003335858,0.002522038,-0.011001021,-0.022310815,-0.017639759,-0.011270449,0.037442789,0.013284895,-0.020465438,0.001034288,-0.006168264,-0.016327597,-0.016171533,-0.004041763,0.002894473,-0.014644989,-0.021055155,0
GSM1607867,-0.003746784,-0.007220366,0.006056438,-0.034009354,6.85E-06,-0.000334638,0.0064463,-0.001643391,0.010463877,0.009156402,0.006333026,0.00089837,-0.008081099,-0.021832751,-0.000498426,-0.00471843,0.003992086,0.000407706,0.012206187,-0.007584755,0.01240929,0.002783528,0.019200567,0.003750511,0.007225786,-0.001459342,-0.001996576,0.000141753,0.021038503,-0.027560369,0.021049594,0.003225809,0.002307639,-0.010558446,-0.024203171,-0.016877875,-0.012012678,0.03521524,0.012583682,-0.020929057,0.000993574,-0.006201069,-0.016145001,-0.014074287,-0.004034939,0.002861406,-0.013920705,-0.020953079,0
GSM1607871,-0.003786671,-0.009740001,0.005772396,-0.0323638,6.75E-06,-0.000355596,0.006535205,-0.001606665,0.010600626,0.008768922,0.006198535,0.000919858,-0.008838572,-0.020996315,-0.000586844,-0.004530934,0.003957649,0.000430365,0.014599951,-0.007162398,0.012210843,0.002146781,0.015016091,0.00375042,0.007465201,-0.001462964,-0.002053653,0.000156352,0.020684932,-0.026776169,0.020786288,0.003227844,0.001946385,-0.010724915,-0.023483184,-0.015282594,-0.011194825,0.038298916,0.011595759,-0.020056845,0.000963077,-0.005108862,-0.016449734,-0.014734217,-0.003926532,0.002908443,-0.013647638,-0.018924289,0
GSM1607872,-0.003781815,-0.010134208,0.005615675,-0.035568447,7.33E-06,-0.000362126,0.006916465,-0.001627435,0.010460906,0.008824486,0.006831034,0.000962725,-0.008801599,-0.025577343,-0.000469884,-0.005503481,0.003908752,0.000555112,0.013877112,-0.008623422,0.01329415,0.003335675,0.01525309,0.003789423,0.007094367,-0.001471381,-0.002163904,0.000126227,0.020674589,-0.026913548,0.021836387,0.003261277,0.002243125,-0.011366834,-0.02410857,-0.017038778,-0.011319542,0.036333868,0.011946767,-0.021801089,0.000970167,-0.006252974,-0.015883986,-0.016086756,-0.004053902,0.002874605,-0.013505822,-0.020334285,0
GSM1607877,-0.003875812,-0.007827208,0.005691142,-0.033519032,6.90E-06,-0.000348214,0.006563088,-0.001610404,0.010776155,0.008896039,0.006167514,0.000935559,-0.008104471,-0.025503698,-0.000455462,-0.004854393,0.003968141,0.000487633,0.013383648,-0.007399134,0.012752941,0.002387803,0.017909373,0.003966498,0.00708376,-0.001470217,-0.002042348,0.000155823,0.021076049,-0.027936081,0.023783983,0.003240411,0.002294711,-0.01068016,-0.023463853,-0.016969615,-0.011254969,0.035365042,0.012063205,-0.02009973,0.000999625,-0.005940366,-0.016074449,-0.016556212,-0.004121277,0.002920949,-0.013863742,-0.020120751,0
