"","ACTB","ANO1","ARF1","BCAP31","BSG","CALM3","CFL1","CHCHD2","CHD3","CHMP4B","CHPF","CLIC1","CSRP1","DDIT4","DHCR7","EHD2","EIF1","FABP4","FMOD","FOSL1","FSCN1","FST","GRHL3","IL12RB2","KIAA1217","KRT18","LMAN2","LYZ","MBNL1","MORF4L2","MYL2","OSR2","PLS3","PPIB","PSMB5","RALB","RPL22L1","SDF2L1","SFRP1","SLC25A39","SLC25A5","TBC1D2","TMEM14C","TPM2","VDAC1","VDAC2","YWHAB","ZNF385A","class"
"GSM1607684",72.5362964153984,25.7912928129469,43.6163388045694,79.5163835185734,48.1014592341187,61.7704845695147,39.9593413978022,218.501202384693,13.8234115212802,105.208764153207,47.7233313465587,115.394394110906,18.3794935849007,91.1451346759202,36.2489028554435,39.5949439994743,64.911904831296,108.016673889919,47.9637965584644,72.9864203168256,61.0548095992237,60.635860311559,40.3609623585231,32.4977956847223,14.7782407573914,41.6992033881263,62.5510312402042,106.186271266905,13.2360126254756,69.6591166632139,100.040472303429,44.8284477342917,42.0154148356303,77.3845978501079,118.539869969703,66.2107545861573,59.2800952614407,197.112028119568,32.5042735714493,61.6443918001859,168.091170991007,45.7176446677466,155.047958824576,46.0196706134951,68.8419234856885,47.1031948384605,28.2758336109844,45.7314409587908,1
"GSM1607685",75.5173784480146,26.6807492313151,43.1163470425315,80.8469801416035,51.9265910944055,63.126918625995,39.522005958142,215.965291699861,14.3046051396699,106.375084337298,46.8697815113037,108.949231248701,18.9719472197321,108.535487837308,36.3635136287613,40.5172780252233,65.027869856037,112.620383390394,46.6555964408364,76.6493106471305,63.3356803809115,64.3717884058242,42.1144453538216,31.9334589264395,16.8506001538293,41.9613000096214,63.5747287450516,88.7626129790493,13.2822343635129,74.1333516634204,99.3256114457499,45.6312039327085,48.7146687097496,76.4375898727023,117.014559123377,66.0190643828434,57.8895880852162,184.666502931108,29.77766878512,60.0484059278712,168.546663441086,43.2951595476456,157.775624194895,45.6234854193441,71.9774537233477,47.2038224827262,28.7463718229797,48.1512350660356,1
"GSM1607686",73.8434435743413,31.4692568096161,43.1216039337634,85.1109696200112,54.8174206168843,60.9896562928647,41.038704717226,203.461473300925,13.9832036064557,103.687045102474,55.5467548817135,111.98850448046,17.9783618057704,96.5070049372199,43.7122510375495,43.1837580862138,62.2516035124535,107.515812557735,47.0775101542905,79.2873589380283,68.1631995607181,59.7433243709204,41.2410159158859,35.4847858805458,15.9160960016604,41.6353008180256,60.9606173302951,88.2113806184581,13.2505265494267,71.0774997289881,99.9088401793716,44.7891711757843,48.6378126007524,76.1466240040731,118.41311970795,69.645214834461,57.248708990804,204.573703553861,30.6098926632311,65.3739933954265,164.833309996423,44.2456227190719,145.158119928388,48.7718335696998,70.4943292039222,46.9226061135538,29.41784446621,46.3537837844501,1
"GSM1607687",76.6220098419856,29.4464019504344,42.6129617039419,86.8609536382721,54.5837769273566,60.884312642876,40.142214767916,214.566261001688,14.0972891967666,117.705303529734,50.1340446720754,117.171369923313,17.4231711472144,100.94709559274,37.6110762777375,39.4851537596267,67.2387932537904,103.917886818988,43.00960685998,79.7347234346254,64.8161468424715,63.0067502433899,50.0133624446496,32.8307654892794,15.6779160977461,41.9944449797179,62.2561813052508,103.625601062832,13.4851576641279,79.6497303424549,99.6762761906928,45.0290224380721,50.1835180893618,76.6294278181672,119.115723514874,74.43637920331,59.2971389535437,179.69367651719,29.3781933719799,60.6506595483886,179.251673524834,50.4152132460635,146.329881306779,37.8511788295173,74.5320210751012,48.2597210209227,27.1457265421365,51.2036045981298,1
"GSM1607688",79.3967011528522,35.2192606747162,42.9224180770348,81.3037003707939,47.2974453171491,60.854536810139,42.950522844492,208.436635861425,14.1372454607059,109.373574461134,46.7026112827998,115.462322131665,17.1503145215407,101.076658500067,38.6234811174196,40.2042017493748,66.3053297627425,112.641712155187,45.2806342752924,80.5146050626992,63.8342232957238,52.0385794052902,49.8163879819037,33.6070597209649,15.8460802375897,42.5562776462915,61.5356683972407,93.7902500971657,13.6746818097868,76.2521984128453,100.432487798401,44.8303473112604,50.4577574614227,76.2204670560176,116.968510159743,73.2727618067887,65.826353803775,179.714077150895,30.9298802695304,60.7622318717837,170.21622685321,46.7157193996174,146.597145466099,43.4470845337853,72.5340624884347,48.7170112214319,29.6671223991399,50.0284143980143,1
"GSM1607689",76.5233562596857,26.950068550881,42.853203341589,82.5767231547991,49.4538175149989,60.1318722335523,40.9693339823703,210.958770698999,14.1997209927876,110.972513967467,50.3126878883105,109.560899473509,18.9007952471639,88.7939524620153,43.637004405212,41.7276629065895,63.2934819541864,103.512103614269,47.8853296578656,77.5831578826837,63.1147854737995,58.2873189590278,49.3122481326185,32.2820105094494,15.3589615536071,41.1279412131682,59.9571811479621,98.341503969141,13.5118842781569,72.7563089210231,98.0385618950709,45.3941430483306,51.1609243929011,77.2114612353982,120.734796212191,71.3922378092741,57.7065233325995,191.789679032675,34.3584927801748,64.2228495305234,169.289128412034,49.633360301606,152.643960519802,45.1523832511469,71.0913783974169,48.3477042272848,29.1701769567538,50.9362322403794,1
"GSM1607690",75.8605909381783,25.7241384499678,41.6685727001062,83.3853013816503,53.4547468109115,64.9977652423399,40.2176951678953,212.366115089293,14.5984909625055,102.290345047337,47.6322177930629,115.521237067286,16.8302472468828,101.216102737331,44.8253775830423,42.80374469243,61.578914459801,102.531921522806,45.5344863407973,76.2544707645996,66.7973909094574,64.7273753856704,47.2621017708676,34.1788400363345,14.6662199609336,41.5854074825453,61.9060316919944,95.9589245957745,13.2876442575358,72.1726715950877,99.090607772755,45.3852032586646,46.308156627272,77.1130632179129,110.6290867647,69.798529143425,59.0629310909676,189.124429188007,29.2073794557338,63.2107940109301,164.519174968731,47.6272309528588,152.560278704108,44.5752119359018,71.6871964871156,46.9767695874183,28.2725186177651,51.1682060198258,1
"GSM1607691",81.1094513648527,25.6886541312967,44.8421846200173,80.1592002976083,45.5907096978278,61.2404577226418,40.2598138843626,214.68144945208,13.777094553947,108.725399264916,46.2917446027077,118.009311220602,16.9958183044263,102.400490563423,40.8993389953682,39.5956619353132,66.2286475063324,102.579547682258,44.1263299447115,78.6298035487222,63.1598551601991,76.1751287136676,50.819246016139,32.0013995609142,14.8569979820077,42.751020865913,60.6418059250597,82.6556198584905,13.8918325988447,79.6812479054513,99.4257741585925,45.2397324578394,56.0769787022507,76.4280270758816,117.559895271002,73.283146207378,57.5577398041076,175.690648160541,29.3646765020465,58.9637447786108,177.987280005942,44.097953561646,150.25110153078,46.11405299627,76.7365000887778,48.4125141798655,29.6396630839139,50.6850091230204,1
"GSM1607692",78.7245886723541,33.0502376388283,42.3109202800515,88.8642588353897,49.0073088763217,58.4480845254926,42.3568715312951,216.39477911859,13.9921205799432,105.127472947427,51.4435167514573,114.552986370709,17.8478238614923,106.057967947369,44.5634312212978,44.9449906401708,64.0853435876104,115.873217034643,46.6602902289753,86.4708082468186,70.6943253425035,74.9963369334934,46.0723157095805,32.227348043303,14.3032125253696,41.2300333829179,61.6574800453118,87.3875311714585,13.3095675628919,73.1377784264547,99.1669120864963,45.7337902907103,51.3111101562332,78.3417048847088,121.287646764564,75.3006843558834,57.0485493388645,193.496772693436,35.7081386509313,63.9899882512905,169.642304448425,49.5586943868728,148.173316376549,45.8164851357878,73.471286442468,48.1426922857773,29.0909031645672,52.1604595774904,1
"GSM1607693",78.2065988073479,33.2763776253912,40.7583357974595,84.3747472309519,52.0844953232084,61.1442914839383,42.0150993808742,213.360662191946,14.1939869059346,105.543817706838,55.9668762838343,118.076360285802,19.382969506492,113.578566875991,40.6185996785848,48.3532154450955,62.2767557657773,160.496510107401,50.6850984128261,82.7102686255244,70.1453425506653,63.7767728764656,37.2553317463619,35.8282642887349,16.0369559769365,41.3738105312461,63.1427856599754,95.4499204104005,13.4230985752253,77.6150488169306,134.75615509384,46.4746899580241,53.2055162508918,79.6836132861023,119.223195078698,73.3087421426529,59.5733500487392,189.162944413976,38.9000827654189,61.2727942122829,168.537344898786,48.6982840109238,154.546526562531,56.1119686179642,71.0272247762958,47.7983876274191,28.8777225924787,47.6854627085346,1
