,ALDH3A1,AQP1,ATP6V0E1,BCAM,CCL19,CCL26,CCT7,CDC42EP4,CHGB,CYBA,EEF1A2,EZR,FXYD5,GSTO1,HSP90AB1,HSPA5,HSPH1,LAMC2,MT2A,NDUFA4,NSDHL,OAF,PFDN2,PLA2G4A,PPDPF,PSMB3,PYGL,ROMO1,RPL13,RPL35,RPL36AL,SERPINE1,SF3B5,SMS,SPINK6,SQLE,SSR3,TCEAL4,TMED10,TNFRSF12A,class
GSM1607700,0.000885198,0.010795797,-0.047428274,-0.004889139,0.010789764,-0.084448361,-0.00366219,0.022374697,-0.003013046,-0.00277202,-0.054577375,-0.016017767,-0.003077248,0.015189136,0.003073219,0.000184208,-0.008114983,0.000155175,-0.003451009,-0.047370622,-0.058915644,-0.031108094,0.010436285,0.024657,-0.005399252,-0.019435136,-0.006084471,0.048602767,-0.000972629,0.000458355,-0.020295376,0.000936199,0.013463168,-0.012729277,0.035617,-0.000152277,-0.01131174,-0.041172835,0.006348737,-0.01938635,0
GSM1607704,0.001198047,0.010564992,-0.048744189,-0.004977348,0.013877052,-0.081155331,-0.003611982,0.022813959,-0.002938045,-0.002985993,-0.039297136,-0.016320529,-0.002739095,0.014697,0.003021744,0.000190269,-0.007327247,0.0001162,-0.00341177,-0.045867742,-0.062144317,-0.029686095,0.010649266,0.024987319,-0.005552848,-0.019162149,-0.004569953,0.048848911,-0.000966572,0.000456673,-0.020032524,0.000753567,0.014286481,-0.012609653,0.034692421,-0.000144137,-0.011660594,-0.042577903,0.006714473,-0.017440604,0
GSM1607714,0.000935003,0.010465964,-0.047237634,-0.005023956,0.011710059,-0.079616901,-0.003753366,0.021959998,-0.003295311,-0.002730125,-0.053169933,-0.016365812,-0.002991445,0.015678435,0.003212145,0.000210009,-0.008145806,0.000149734,-0.003625564,-0.047934092,-0.058941699,-0.03129491,0.010416711,0.025014027,-0.005763596,-0.019171024,-0.006360074,0.049653673,-0.000971571,0.000459762,-0.020781987,0.000980113,0.014376242,-0.01277221,0.035874958,-0.000166705,-0.011762585,-0.039783902,0.006633188,-0.020822101,0
GSM1607734,0.000767392,0.010404964,-0.050794659,-0.005122556,0.012999498,-0.086769257,-0.003395223,0.021375053,-0.003109034,-0.002587583,-0.05874903,-0.016579407,-0.003210395,0.016803683,0.002994473,0.000212139,-0.007426163,0.000153794,-0.004104326,-0.047361472,-0.052891471,-0.031928989,0.010861305,0.022334294,-0.005280759,-0.018743686,-0.005704674,0.049146387,-0.000952078,0.000465061,-0.020545874,0.001153296,0.014642975,-0.012396088,0.03402673,-0.000138541,-0.011683696,-0.041075996,0.00645061,-0.016940811,0
GSM1607741,0.000807214,0.010930778,-0.05118898,-0.005129028,0.011635308,-0.082362102,-0.00382536,0.021224364,-0.003180543,-0.002669748,-0.04950875,-0.016159812,-0.003302517,0.01525782,0.003190977,0.000200948,-0.008618993,0.000157596,-0.003499837,-0.046843505,-0.063966383,-0.030254238,0.010483791,0.021418559,-0.005396272,-0.019255525,-0.006121338,0.047384565,-0.000944505,0.000457246,-0.020129147,0.000936259,0.013540481,-0.012463836,0.050479481,-0.000151422,-0.01162013,-0.038189649,0.007887925,-0.019772155,0
GSM1607742,0.001438609,0.010371849,-0.050771425,-0.004978735,0.011314303,-0.085481471,-0.003687337,0.022002945,-0.003900384,-0.002724133,-0.048556795,-0.016526335,-0.003003272,0.016268196,0.003088837,0.000186035,-0.007812548,0.000154616,-0.003493136,-0.0473625,-0.062265503,-0.031885051,0.010520437,0.02322054,-0.00577735,-0.019669333,-0.006032508,0.052062388,-0.000951453,0.000466168,-0.021093673,0.00098911,0.014563618,-0.011704813,0.034919874,-0.000152771,-0.011778774,-0.043491247,0.006630219,-0.019625074,0
GSM1607766,0.001304986,0.010966125,-0.049834652,-0.004955586,0.012456488,-0.086010442,-0.003634054,0.022297279,-0.003056033,-0.002775019,-0.046160644,-0.016357003,-0.002902196,0.016156283,0.003131978,0.000186036,-0.008137947,0.000111493,-0.003041845,-0.048040152,-0.061946315,-0.030809796,0.010741033,0.024966301,-0.005231472,-0.019200426,-0.00570404,0.049755932,-0.000949707,0.000457003,-0.020083018,0.000814827,0.014586602,-0.011699789,0.038999198,-0.000156332,-0.011383375,-0.042222862,0.006338199,-0.018054152,0
GSM1607767,0.000850187,0.010911302,-0.048529075,-0.00522946,0.012055226,-0.080338892,-0.003733333,0.023502906,-0.003027879,-0.002770056,-0.04587703,-0.016706262,-0.003031767,0.015747127,0.003261714,0.000207487,-0.007975953,0.000144448,-0.003379022,-0.044712999,-0.056389042,-0.032038334,0.010086036,0.021576986,-0.005447343,-0.01912652,-0.00592553,0.047204537,-0.000976634,0.000443469,-0.019987749,0.000961741,0.014043528,-0.012712196,0.046683175,-0.000156074,-0.011128606,-0.042423737,0.007040053,-0.020646154,0
GSM1607774,0.001175054,0.011008459,-0.052956927,-0.005064777,0.012593993,-0.082772856,-0.003806187,0.020819788,-0.003038851,-0.002635209,-0.037642424,-0.015515082,-0.002467219,0.017340883,0.003007548,0.000186453,-0.008198086,0.000122864,-0.003106107,-0.049109486,-0.057458273,-0.031050981,0.010395534,0.024353388,-0.005907466,-0.018916362,-0.005581708,0.049537755,-0.000981365,0.000444352,-0.02113355,0.000788053,0.014838995,-0.012267733,0.034473744,-0.000150174,-0.011502162,-0.041590143,0.006891414,-0.017516808,0
GSM1607775,0.001363041,0.011029731,-0.053029521,-0.005069053,0.012390411,-0.080259834,-0.003887969,0.022503025,-0.003744685,-0.002746183,-0.047832792,-0.01544527,-0.002705816,0.017219512,0.003110135,0.00019318,-0.008342516,0.000144609,-0.003365483,-0.049078154,-0.054918,-0.031027037,0.010523746,0.022668907,-0.005852473,-0.018237017,-0.005586738,0.045946514,-0.000979775,0.000444427,-0.020720768,0.000938093,0.013338292,-0.011611882,0.035414082,-0.000156766,-0.011651518,-0.042335064,0.007002404,-0.019896316,0
