,ARSI,CCL26,EIF3D,GSTO1,GSTP1,HSP90AB1,INPP1,LMO4,POMP,PPP1R14B,PSMC3,RNASE7,RNF181,ROMO1,RPL12,RPS4X,S100A10,SBDS,SERPINE1,SPINK5,SPINK7,STIP1,TCEAL8,TMED10,TOMM34,TUBB6,ZMAT2,class
GSM1607700,-0.010163703,-0.094952282,0.006665198,0.025608288,0.001414923,0.002968253,0.007080427,0.030354209,-0.053498838,0.025794391,-0.025178467,-0.166946298,-0.064739658,0.025557216,-0.011056079,-0.001861812,-0.008535849,-0.029500942,0.000906392,-0.001442151,0.042728084,-0.014393665,-0.152318677,0.003370048,-0.03936246,-0.004781318,-0.052904101,0
GSM1607704,-0.009836318,-0.091249655,0.006676221,0.024778566,0.001383504,0.002918535,0.007021699,0.040148073,-0.049548674,0.024496067,-0.024940089,-0.141047332,-0.06731007,0.025686648,-0.010942493,-0.002021183,-0.007973438,-0.027384174,0.000729575,-0.001660933,0.04603625,-0.013938812,-0.160977639,0.003564189,-0.040874267,-0.004443995,-0.052022949,0
GSM1607714,-0.010123473,-0.089519872,0.006759872,0.026433228,0.001428303,0.003102433,0.007251089,0.031307988,-0.052440034,0.025793009,-0.025266407,-0.156151685,-0.064769086,0.026109823,-0.011114932,-0.001875398,-0.008393208,-0.029724766,0.000948907,-0.001362206,0.042419482,-0.015059646,-0.150725989,0.003521041,-0.041809322,-0.004528623,-0.053617886,0
GSM1607734,-0.010137166,-0.097561857,0.006722555,0.028330352,0.001322716,0.002892196,0.006090247,0.031551538,-0.053737618,0.024231023,-0.025363007,-0.154193152,-0.07029507,0.025843072,-0.011543749,-0.001824166,-0.008030717,-0.027878556,0.001116577,-0.001337691,0.03722065,-0.013620081,-0.165700792,0.003424124,-0.040066732,-0.004103724,-0.051890067,0
GSM1607741,-0.010400066,-0.092606527,0.006975943,0.025724087,0.0014397,0.003081988,0.006906575,0.03365025,-0.053109832,0.025276113,-0.024920112,-0.140873209,-0.067823992,0.024916638,-0.010627999,-0.001901811,-0.008622409,-0.029390881,0.00090645,-0.00136628,0.04446125,-0.014551356,-0.150246548,0.004187082,-0.037633625,-0.004408328,-0.053522919,0
GSM1607742,-0.009867113,-0.096113892,0.006656546,0.027427541,0.001398626,0.002983337,0.006017201,0.031371158,-0.053898409,0.02657979,-0.026155598,-0.154579034,-0.068690228,0.027376419,-0.011905842,-0.001829287,-0.008419176,-0.029593046,0.000957618,-0.001740069,0.042221517,-0.014475808,-0.171294794,0.003519465,-0.041407049,-0.004842661,-0.053621981,0
GSM1607766,-0.010070088,-0.096708659,0.0065322,0.02723886,0.001399932,0.003025004,0.006721545,0.033793134,-0.053587201,0.025045291,-0.024985104,-0.143931591,-0.068249504,0.026163595,-0.01137164,-0.001912401,-0.008205984,-0.029333283,0.000788884,-0.001765789,0.056412573,-0.014614732,-0.172550445,0.003364454,-0.040022239,-0.004502235,-0.052136439,0
GSM1607767,-0.010316126,-0.090331665,0.006437856,0.026549039,0.00136944,0.003150309,0.007124681,0.032067625,-0.051235781,0.025099585,-0.024574357,-0.151776806,-0.064320876,0.024821972,-0.011321694,-0.001885839,-0.008404598,-0.028899449,0.000931121,-0.001306007,0.043105565,-0.013886084,-0.153121242,0.003737013,-0.039739144,-0.004871534,-0.050189395,0
GSM1607774,-0.010070945,-0.093068373,0.006670891,0.029236049,0.001392643,0.002904824,0.007393646,0.0351268,-0.053827283,0.02607766,-0.02361099,-0.130310928,-0.067505989,0.026048869,-0.011709332,-0.002061324,-0.00816587,-0.029210305,0.000762963,-0.00161468,0.046304246,-0.01323967,-0.155968943,0.003658113,-0.03821467,-0.00442286,-0.050241072,0
GSM1607775,-0.010147132,-0.090242774,0.006434418,0.029031423,0.001376679,0.003003907,0.006842633,0.033991158,-0.05317277,0.024839137,-0.023615543,-0.133016991,-0.062675764,0.024160455,-0.011176782,-0.002007926,-0.008469586,-0.030139676,0.000908226,-0.001533029,0.058503031,-0.013530817,-0.168349006,0.003717029,-0.037155522,-0.004674079,-0.050910039,0
