,ALDH3A1,APRT,ARL4D,CALML5,CAMK2N1,CCL19,CDKN2A,CHGB,F2RL1,F3,FTH1,FXYD5,GAPDH,HSP90AA1,HSP90AB1,IL1A,KIAA1522,KLF3,LYPLA2,MME,NQO1,PGK1,PLA2G4A,POLR2L,PSMB3,PSMB7,RAN,RBP1,RNASE7,RPS21,SERPINE1,SOD1,SPINK6,TMBIM6,TNFRSF1A,TOMM22,TPI1,TRMT112,USP14,class
GSM1607700,0.00189331,-0.012224006,-0.038792125,0.00272081,-0.030439273,0.003039539,0.044481536,-0.002895157,0.005594564,-0.004697978,-0.039430524,-0.00593901,-0.003579671,-2.75E-05,0.002528026,-0.005533626,0.014937424,0.000958948,-0.016353287,-0.002750088,-0.002753443,-0.006736626,0.050785815,0.003753668,-0.013840602,-0.022012977,0.000279429,-0.004873333,-0.134362057,-0.004472887,0.001663316,-0.024793611,0.033240699,-0.009219957,0.001322827,0.009986702,0.00562619,0.008942804,-0.002776549,0
GSM1607704,0.002562448,-0.012941123,-0.036561614,0.004042247,-0.025091216,0.003909246,0.057291218,-0.002823091,0.004587773,-0.003519674,-0.038724351,-0.005286382,-0.003569569,-2.73E-05,0.002485682,-0.004606405,0.015524702,0.000965766,-0.016585359,-0.002657294,-0.003228316,-0.006828404,0.05146617,0.003833401,-0.013646196,-0.02177464,0.000272441,-0.006599471,-0.113517999,-0.004216909,0.00133884,-0.025939256,0.032377806,-0.009474371,0.001310707,0.010646917,0.005969866,0.008914588,-0.002993845,0
GSM1607714,0.001999835,-0.012097289,-0.038992074,0.002924056,-0.026681241,0.003298792,0.046379039,-0.003166378,0.005510535,-0.00358301,-0.035447477,-0.005773412,-0.003631739,-3.05E-05,0.002642306,-0.005376075,0.014809232,0.000989695,-0.016751046,-0.002679276,-0.003128542,-0.006630811,0.051521182,0.003628523,-0.013652516,-0.021754225,0.000274655,-0.006673382,-0.125674316,-0.004831441,0.001741336,-0.024124448,0.033481446,-0.009399367,0.001364102,0.010095483,0.006206139,0.009084992,-0.002906728,0
GSM1607734,0.00164134,-0.012117087,-0.035680807,0.00247861,-0.027780185,0.003662034,0.047057399,-0.002987389,0.004715452,-0.003943065,-0.048201555,-0.00619598,-0.003454476,-2.72E-05,0.002463249,-0.005298524,0.01368403,0.000959814,-0.015821731,-0.003467689,-0.003105365,-0.006438679,0.046001758,0.003468967,-0.01334819,-0.022131642,0.000254831,-0.005194836,-0.124098045,-0.004303491,0.002049025,-0.024596695,0.031756529,-0.009336494,0.001301129,0.009878254,0.005756332,0.008867813,-0.002964909,0
GSM1607741,0.001726513,-0.012276425,-0.037728872,0.002810151,-0.031998452,0.003277734,0.05250537,-0.003056101,0.005719298,-0.003503951,-0.044515574,-0.006373772,-0.00357897,-2.89E-05,0.002624893,-0.003694935,0.013116027,0.000974031,-0.017030682,-0.003268566,-0.002663436,-0.006674654,0.044115626,0.003577367,-0.013712693,-0.023278876,0.000291144,-0.00701602,-0.113377862,-0.004285578,0.001663423,-0.025917913,0.047111583,-0.009686141,0.001364849,0.009828878,0.005686438,0.008957346,-0.002936934,0
GSM1607742,0.003076974,-0.011659879,-0.038972968,0.003047718,-0.025245205,0.003187305,0.059585243,-0.003747777,0.005306022,-0.003517541,-0.043615732,-0.005796237,-0.003703961,-2.86E-05,0.002540873,-0.005023202,0.014772831,0.000995653,-0.016921846,-0.003061758,-0.003450092,-0.00676433,0.047827152,0.003671347,-0.014007384,-0.022800708,0.000281913,-0.006520325,-0.124408611,-0.004925669,0.001757321,-0.025024727,0.032590084,-0.009004897,0.001396552,0.010122206,0.006278499,0.009175427,-0.003060555,0
GSM1607766,0.002791175,-0.012773012,-0.036200405,0.003228486,-0.024748365,0.003509065,0.046190678,-0.002936463,0.005426754,-0.00349597,-0.042226667,-0.005601163,-0.003403852,-2.85E-05,0.00257636,-0.004731193,0.014911693,0.000981764,-0.0161908,-0.002846692,-0.003562,-0.006577093,0.05142288,0.00379339,-0.013673454,-0.022340142,0.000276508,-0.006670981,-0.115839315,-0.004788472,0.001447678,-0.025607942,0.036397243,-0.009233922,0.001320768,0.010354955,0.00587159,0.009372866,-0.003003399,0
GSM1607767,0.001818427,-0.012242032,-0.036075143,0.003324209,-0.029603964,0.003396027,0.046018201,-0.00290941,0.005633206,-0.003920738,-0.03897363,-0.005851231,-0.003455622,-2.83E-05,0.002683081,-0.004116163,0.014654983,0.000980099,-0.016329327,-0.00347176,-0.003056835,-0.006618891,0.044441936,0.003624905,-0.013620823,-0.022060416,0.000290098,-0.006524626,-0.122153316,-0.004192603,0.001708696,-0.02561177,0.043568559,-0.009744501,0.001424132,0.009471223,0.006168021,0.008843217,-0.003005505,0
GSM1607774,0.002513268,-0.012823617,-0.038220603,0.003584336,-0.024890061,0.003547801,0.052885774,-0.002919952,0.005569695,-0.003505805,-0.045610173,-0.004761669,-0.003454755,-2.90E-05,0.002474004,-0.004618585,0.013626426,0.000983317,-0.016509576,-0.002782217,-0.003222822,-0.006365971,0.050160469,0.003580175,-0.01347116,-0.021842492,0.000284609,-0.006288585,-0.104877105,-0.004592511,0.00140011,-0.025719576,0.032173719,-0.009037607,0.001396292,0.010448848,0.006109321,0.009515411,-0.003050529,0
GSM1607775,0.002915346,-0.012409125,-0.036325607,0.002766478,-0.027649657,0.003490451,0.048834847,-0.00359817,0.005728636,-0.003579387,-0.043466157,-0.005222155,-0.003471206,-2.84E-05,0.002558392,-0.004655099,0.014157804,0.000980462,-0.016239665,-0.003008396,-0.003501021,-0.006582895,0.046690957,0.003430992,-0.01298737,-0.021792567,0.000288145,-0.006982226,-0.107055004,-0.004308943,0.001666681,-0.025546279,0.03305132,-0.009152316,0.001381693,0.010238144,0.006167463,0.009016929,-0.003177185,0
GSM1607779,0.002368138,-0.012597604,-0.035356958,0.00393166,-0.029615142,0.003699248,0.045847428,-0.002905097,0.005404747,-0.003458885,-0.040082471,-0.005600612,-0.003234371,-2.83E-05,0.002497911,-0.004464097,0.015001322,0.000980228,-0.016518843,-0.002872372,-0.002832917,-0.006601157,0.048870721,0.003630204,-0.012772481,-0.020634703,0.000286356,-0.006634417,-0.119741676,-0.004254869,0.001596745,-0.025358103,0.03249735,-0.009645472,0.001281528,0.010297537,0.005698494,0.008641438,-0.003106538,0
GSM1607792,0.00290641,-0.012058288,-0.03818904,0.003366695,-0.031104121,0.003264874,0.051564528,-0.002960478,0.005566248,-0.003919757,-0.03822783,-0.005392219,-0.003365244,-2.82E-05,0.002480871,-0.004755724,0.014200302,0.000989891,-0.015955202,-0.00274692,-0.00300058,-0.006691607,0.055048593,0.003736562,-0.013362616,-0.022459221,0.000293873,-0.005812159,-0.121119984,-0.00458685,0.001435479,-0.024932383,0.040706913,-0.009318557,0.001320326,0.010337741,0.005671972,0.008802321,-0.003077442,0
GSM1607795,0.002501759,-0.012182996,-0.037732463,0.003069251,-0.028174782,0.003560732,0.053669991,-0.00298475,0.005149852,-0.00396158,-0.039355747,-0.005827987,-0.003371242,-2.83E-05,0.002435452,-0.005502953,0.013861911,0.000996098,-0.016331469,-0.002494487,-0.002909174,-0.006161177,0.044970586,0.003613921,-0.013682427,-0.021759491,0.000262213,-0.005433073,-0.130060632,-0.00409578,0.001899903,-0.024153726,0.038597135,-0.009209004,0.001377963,0.010266942,0.005561385,0.008471126,-0.00290298,0
GSM1607799,0.002787815,-0.012104108,-0.039461685,0.004402834,-0.029359316,0.003323007,0.046946045,-0.00292305,0.005688548,-0.003995825,-0.036491936,-0.005501945,-0.003417177,-2.82E-05,0.002422258,-0.00489069,0.014551549,0.000988268,-0.016128975,-0.002584976,-0.00310047,-0.006436093,0.045569546,0.003741795,-0.012887902,-0.021903987,0.000274146,-0.00609872,-0.134724747,-0.004194266,0.001584867,-0.024177023,0.044897728,-0.009415581,0.001401147,0.009689266,0.005933524,0.008728714,-0.003120528,0
GSM1607801,0.002444756,-0.012594068,-0.037451509,0.003449355,-0.025919027,0.003345655,0.046735052,-0.003031526,0.005406274,-0.004359676,-0.039709532,-0.005682671,-0.003466895,-2.85E-05,0.002582339,-0.005014388,0.014640118,0.000996382,-0.016268698,-0.002792186,-0.002804316,-0.006899767,0.04887294,0.003710273,-0.013511987,-0.023538529,0.000294017,-0.006984227,-0.093277428,-0.004504169,0.001511157,-0.025629142,0.034952277,-0.009551646,0.001344557,0.010200451,0.00612316,0.009186089,-0.00320138,0
GSM1607803,0.003120584,-0.012149932,-0.038439199,0.003022924,-0.023388358,0.003417061,0.047503174,-0.002915549,0.005191352,-0.00361687,-0.043642374,-0.004678949,-0.003715771,-2.75E-05,0.002570687,-0.004305478,0.0139555,0.000980629,-0.015462866,-0.002991518,-0.003518308,-0.006587826,0.054285644,0.003509091,-0.013695208,-0.021794582,0.000281053,-0.007046634,-0.111699129,-0.004403829,0.00170712,-0.024923316,0.033526201,-0.008930759,0.001345073,0.010331381,0.006210446,0.008974912,-0.003001939,0
GSM1607806,0.001927154,-0.012209895,-0.035189048,0.003698467,-0.027730326,0.003410461,0.047193241,-0.002949375,0.004867036,-0.003247544,-0.04353058,-0.005644469,-0.003475244,-2.81E-05,0.002611989,-0.003577904,0.013936363,0.000959852,-0.016025895,-0.002508115,-0.002465766,-0.006251762,0.04384981,0.00349364,-0.013547642,-0.020844163,0.000259595,-0.005768671,-0.090234125,-0.00433718,0.001261084,-0.026442962,0.032346935,-0.009025962,0.001273894,0.009749555,0.005586218,0.008830095,-0.002964404,0
GSM1607817,0.002464567,-0.012206451,-0.035821264,0.003663991,-0.026934286,0.005522141,0.050222919,-0.002999865,0.004613849,-0.003256011,-0.038393662,-0.005581194,-0.003463945,-2.78E-05,0.002492187,-0.004202726,0.013554288,0.000973759,-0.016342102,-0.002846506,-0.002490186,-0.006421289,0.044880344,0.003664296,-0.013342403,-0.021304242,0.000276428,-0.005414338,-0.123392225,-0.004240718,0.001297243,-0.024627957,0.032543134,-0.009513274,0.001252247,0.010082739,0.005899519,0.009139396,-0.002942202,0
GSM1607824,0.002390716,-0.01205528,-0.037247076,0.003163121,-0.025538912,0.004054862,0.044997199,-0.002839183,0.00498203,-0.003609033,-0.040902362,-0.005414453,-0.003564235,-2.69E-05,0.002590254,-0.004399135,0.01374861,0.000978816,-0.015517044,-0.002666513,-0.002798376,-0.006422405,0.043013826,0.003638493,-0.013339127,-0.020784376,0.000272647,-0.006640571,-0.113890672,-0.004267519,0.001491337,-0.024359291,0.031669049,-0.009230064,0.00147452,0.010417568,0.005765962,0.008964632,-0.00294415,0
GSM1607825,0.002679002,-0.012273341,-0.035203668,0.003222831,-0.029509269,0.003341345,0.044629581,-0.00286663,0.005453649,-0.003626682,-0.038595363,-0.005813252,-0.003523114,-2.86E-05,0.002725586,-0.005311636,0.014802954,0.000987877,-0.016969869,-0.002937367,-0.003074675,-0.006484933,0.050065336,0.003468144,-0.013517071,-0.021870955,0.000266816,-0.006945678,-0.115885602,-0.004453905,0.00161354,-0.024626694,0.037570651,-0.009326559,0.001308101,0.010779927,0.006063054,0.009251233,-0.002934757,0
GSM1607829,0.001813634,-0.012285427,-0.038487753,0.003725555,-0.032935185,0.003293453,0.052669723,-0.003191344,0.005769734,-0.004350764,-0.041320253,-0.0063198,-0.003479343,-2.85E-05,0.002577961,-0.005343219,0.013703228,0.001006418,-0.016544447,-0.002970999,-0.00298475,-0.006443545,0.047758125,0.003549564,-0.013597678,-0.023259427,0.00027738,-0.00734416,-0.131762349,-0.004749774,0.001811841,-0.024054896,0.035071373,-0.009325652,0.001333168,0.0103873,0.005882251,0.009790399,-0.002874116,0
GSM1607832,0.002229988,-0.013151413,-0.036646525,0.002853234,-0.024564031,0.003706883,0.044675353,-0.002864428,0.004818018,-0.003548952,-0.040225201,-0.005280526,-0.003531362,-2.74E-05,0.002564653,-0.004129446,0.014741791,0.000953709,-0.016153569,-0.0030705,-0.002976191,-0.006088914,0.046418186,0.003543949,-0.013281779,-0.020918583,0.000258398,-0.006481823,-0.093207681,-0.004317955,0.001497926,-0.02393718,0.032234857,-0.009484228,0.001451326,0.010094873,0.005850942,0.009355249,-0.002753336,0
GSM1607841,0.002051688,-0.011668854,-0.038158749,0.003041084,-0.032935192,0.003855264,0.044702451,-0.003699293,0.005350955,-0.004686971,-0.04168506,-0.006117285,-0.003420332,-2.72E-05,0.002608519,-0.004668395,0.013532259,0.000979264,-0.016956064,-0.003069083,-0.002533322,-0.00632784,0.045828446,0.003533036,-0.014171763,-0.023098733,0.000274982,-0.006907709,-0.121178554,-0.004780217,0.001791909,-0.025049977,0.03705616,-0.009162965,0.001386984,0.010053322,0.005703882,0.009075058,-0.002976607,0
GSM1607843,0.002038921,-0.011807941,-0.03518167,0.002908471,-0.02626694,0.004404912,0.046783014,-0.002952905,0.004588615,-0.003418184,-0.045483006,-0.005639179,-0.003359602,-2.77E-05,0.002629947,-0.004567382,0.013700723,0.000965773,-0.015738916,-0.002827026,-0.002592098,-0.006380622,0.047270574,0.003728992,-0.013855926,-0.021721658,0.000287283,-0.006550616,-0.09233773,-0.004382891,0.001610333,-0.025908234,0.032312422,-0.009501549,0.00133438,0.00964786,0.005567263,0.009558573,-0.003158881,0
GSM1607849,0.001727449,-0.011470829,-0.035244982,0.002791055,-0.026339204,0.003801483,0.047277868,-0.0041294,0.004682736,-0.003986696,-0.047525509,-0.00594677,-0.003548381,-2.77E-05,0.002539264,-0.004682032,0.012675973,0.000949963,-0.015885428,-0.003515436,-0.002873955,-0.006422825,0.044532114,0.003528489,-0.013431706,-0.021129142,0.000274666,-0.005442309,-0.095835552,-0.004381786,0.001950427,-0.024108638,0.032577179,-0.009212223,0.001447836,0.009695179,0.005891877,0.008786978,-0.003052895,0
GSM1607850,0.001859892,-0.012295469,-0.036592601,0.003010379,-0.031614819,0.00346306,0.052410165,-0.002986567,0.005435919,-0.003954635,-0.041091258,-0.005599944,-0.003444294,-2.87E-05,0.002410156,-0.004256866,0.013591,0.000998025,-0.015909783,-0.00338505,-0.002803669,-0.006585869,0.04888072,0.003607749,-0.013418754,-0.022451941,0.000279714,-0.005141565,-0.098552323,-0.004340911,0.001802781,-0.025694732,0.0398228,-0.009235351,0.001269038,0.010305415,0.005796817,0.008775476,-0.003141508,0
GSM1607851,0.002549687,-0.012339796,-0.038226821,0.003209352,-0.029932716,0.003558785,0.046700513,-0.00307328,0.005815497,-0.003960181,-0.040247667,-0.005340036,-0.003580823,-2.95E-05,0.002394864,-0.00506369,0.014010263,0.000966898,-0.015695359,-0.002834936,-0.003344542,-0.006842019,0.0452674,0.003629262,-0.013660332,-0.02213143,0.000294064,-0.007166472,-0.121601287,-0.004125254,0.001602729,-0.024994386,0.048148774,-0.009246175,0.001386801,0.010400312,0.006327152,0.009260262,-0.003169377,0
GSM1607855,0.003144248,-0.011554507,-0.038009112,0.003175638,-0.027081909,0.003708298,0.047306826,-0.003340796,0.005152388,-0.003726794,-0.038917184,-0.004971694,-0.003480365,-2.74E-05,0.002499599,-0.004160194,0.014559104,0.00096908,-0.015959003,-0.002707206,-0.003282497,-0.00635584,0.048907043,0.003670921,-0.013632599,-0.021786331,0.000276884,-0.006690203,-0.112219459,-0.004514819,0.001312593,-0.025239284,0.032873428,-0.009305354,0.00134182,0.010585838,0.005960927,0.009033221,-0.002965162,0
GSM1607856,0.002305594,-0.01214397,-0.0358836,0.00274857,-0.0280534,0.003512135,0.045550236,-0.003008215,0.005588524,-0.003487094,-0.040405072,-0.005593632,-0.003462523,-2.79E-05,0.002719158,-0.00496496,0.013373315,0.000979325,-0.015739562,-0.002949712,-0.003014796,-0.006939243,0.048025995,0.003519704,-0.014062895,-0.021919736,0.000282277,-0.006152441,-0.101241681,-0.004578761,0.001525247,-0.025326997,0.033290851,-0.008647115,0.001309927,0.0104209,0.005914852,0.009034851,-0.003037466,0
GSM1607861,0.002478122,-0.012529381,-0.03671855,0.003195467,-0.030550117,0.003906069,0.047572297,-0.003014701,0.005217791,-0.003497174,-0.040682856,-0.006126489,-0.003414257,-2.85E-05,0.002545447,-0.003896491,0.013332937,0.00096474,-0.01618491,-0.002843294,-0.00296121,-0.00643373,0.044360994,0.003521268,-0.013511087,-0.021481034,0.000278838,-0.007275385,-0.1191433,-0.004175128,0.00198569,-0.024726285,0.034834306,-0.009191948,0.00136649,0.009848471,0.005734208,0.008780607,-0.003133019,0
GSM1607862,0.001771844,-0.013244545,-0.03598577,0.004307302,-0.02869896,0.003776934,0.045940755,-0.00365104,0.005220995,-0.003731447,-0.040044489,-0.006037923,-0.003684545,-2.84E-05,0.002565852,-0.004229783,0.013322914,0.000942936,-0.017557419,-0.002840384,-0.002741197,-0.006287987,0.042623498,0.003942528,-0.014049165,-0.022931882,0.000251931,-0.007506525,-0.122577957,-0.004274082,0.00167601,-0.023133466,0.033676873,-0.008994337,0.00133282,0.0103739,0.006114556,0.00910439,-0.002948559,0
GSM1607865,0.00184163,-0.012176804,-0.038397385,0.002760965,-0.031042945,0.003280272,0.052713934,-0.002889822,0.005919584,-0.004322826,-0.04249497,-0.006229194,-0.003685022,-2.96E-05,0.002597874,-0.004902745,0.015336419,0.00099153,-0.01719021,-0.003043922,-0.002548687,-0.006915087,0.044163585,0.003434952,-0.012861055,-0.022222701,0.000283538,-0.007034797,-0.107990374,-0.00470041,0.001750774,-0.023819165,0.034376052,-0.009145601,0.001448921,0.009798285,0.006253087,0.008929058,-0.003169107,0
