,BCAM,BRMS1,BTG1,CAMK2N1,CDKN2A,COX8A,CTNNAL1,CXCL13,DAD1,EEF1A2,EMD,F3,FAU,GSTP1,HBEGF,HSP90AA1,HSP90AB1,IL1A,MRPL41,MT1X,NQO1,PDAP1,PPP1R14B,PSMB7,PSMC3,RPN2,RSL1D1,SBDS,SERPINE1,SMS,SPINK6,SURF4,TCEAL8,TNFRSF12A,TOMM7,TRIB3,ZMAT2,class
GSM1607700,-0.002236137,0.009481153,0.035648297,-0.0509049,0.041970412,-0.022035351,0.015471718,0.011133825,-0.04277512,-0.036523641,-0.002232382,-0.002752826,-0.003319756,0.001942813,-0.01177719,-8.33E-05,0.00314073,-0.020560476,0.021938158,-0.066184627,-0.004207399,-0.008902465,0.001583955,-0.031364537,-0.01998346,0.001755642,-0.000756664,-0.02500802,0.002744898,-0.005784782,0.027248852,0.001233196,-0.013343012,-0.030056232,-0.004480448,-0.009123146,-0.035857561,0
GSM1607704,-0.002276481,0.009216658,0.037241325,-0.041961114,0.054056947,-0.022932384,0.01511049,0.012583245,-0.044016973,-0.026297976,-0.002338773,-0.002062387,-0.003388512,0.001899672,-0.010891747,-8.27E-05,0.003088123,-0.01711534,0.021253752,-0.074162609,-0.004933028,-0.008888476,0.001504229,-0.031024949,-0.019794266,0.001796633,-0.000712014,-0.02321363,0.002209429,-0.005730419,0.026541502,0.001180335,-0.014101531,-0.027039585,-0.004512372,-0.010059272,-0.035260331,0
GSM1607714,-0.002297798,0.009655043,0.032522151,-0.044620181,0.043760795,-0.022332551,0.015453838,0.011533171,-0.045583862,-0.035581769,-0.002209191,-0.0020995,-0.00340771,0.001961185,-0.011682813,-9.23E-05,0.003282707,-0.019975088,0.022392572,-0.070681871,-0.004780569,-0.00899497,0.00158387,-0.030995862,-0.020053255,0.001827462,-0.000773628,-0.025197756,0.002873651,-0.005804293,0.027446203,0.001238255,-0.013203493,-0.032282194,-0.004650339,-0.009561524,-0.036341354,0
GSM1607734,-0.002342895,0.00901964,0.036518428,-0.046457993,0.04440086,-0.021582029,0.016487773,0.013494904,-0.04559865,-0.039315348,-0.002321778,-0.002310478,-0.00339291,0.001816205,-0.013034408,-8.23E-05,0.003060253,-0.019686943,0.020809936,-0.07826267,-0.004745152,-0.009132605,0.001487954,-0.031533613,-0.020129925,0.001774906,-0.000720051,-0.023632719,0.003381417,-0.005633365,0.026032214,0.00123012,-0.014515276,-0.026264715,-0.004686723,-0.009857823,-0.035170266,0
GSM1607741,-0.002345855,0.009691841,0.035407074,-0.053512381,0.049541275,-0.021814081,0.016573795,0.013584935,-0.045729256,-0.033131675,-0.002295704,-0.002053174,-0.003362242,0.001976834,-0.010148059,-8.77E-05,0.003261074,-0.013728725,0.021265887,-0.073329705,-0.004069863,-0.00890456,0.001552129,-0.033168216,-0.019778411,0.001731106,-0.000709081,-0.024914721,0.002745075,-0.005664153,0.038619422,0.001305753,-0.013161495,-0.030654376,-0.004552002,-0.008757926,-0.036276987,0
GSM1607742,-0.002277115,0.009433319,0.034580312,-0.042218637,0.056221467,-0.022657644,0.015389416,0.011214921,-0.045397446,-0.032494618,-0.002260727,-0.002061138,-0.003439842,0.001920436,-0.011816016,-8.67E-05,0.003156691,-0.018663972,0.022258298,-0.061599413,-0.005271913,-0.008817022,0.001632184,-0.032486912,-0.020758982,0.001815926,-0.000693325,-0.025086097,0.00290003,-0.005319217,0.026715515,0.001253124,-0.015005307,-0.030426346,-0.004559472,-0.010019916,-0.036344129,0
GSM1607766,-0.002266528,0.009088373,0.035090989,-0.04138775,0.043583068,-0.022646758,0.014638385,0.01212436,-0.045576544,-0.030891094,-0.002250023,-0.002048498,-0.003463866,0.001922229,-0.011124475,-8.62E-05,0.003200779,-0.017578996,0.021114525,-0.068674363,-0.005442914,-0.008812277,0.001537955,-0.031830688,-0.019829993,0.001774265,-0.000744757,-0.024865895,0.002389039,-0.005316934,0.029836409,0.001266197,-0.015115301,-0.027990817,-0.004630117,-0.009222168,-0.035337252,0
GSM1607767,-0.002391789,0.009150819,0.036533422,-0.049507977,0.043420327,-0.02127918,0.015779094,0.014097548,-0.042887578,-0.030701297,-0.002270034,-0.002297395,-0.003256017,0.001880361,-0.010884106,-8.57E-05,0.003333365,-0.015293821,0.020817692,-0.06876015,-0.004670997,-0.008797596,0.001541289,-0.031432128,-0.019503995,0.001831949,-0.000726439,-0.024498133,0.002819786,-0.00577702,0.035715051,0.001278683,-0.013413316,-0.032009409,-0.00439352,-0.008665294,-0.034017577,0
GSM1607774,-0.002316468,0.009394412,0.03807495,-0.041624715,0.049900204,-0.023142129,0.01565367,0.012721487,-0.045475897,-0.025190629,-0.002109238,-0.002054261,-0.003539318,0.00191222,-0.011149769,-8.78E-05,0.003073616,-0.017160595,0.019562027,-0.073561394,-0.004924632,-0.008602231,0.00160135,-0.031121626,-0.018739396,0.001695906,-0.000730173,-0.024761646,0.002310541,-0.005575035,0.026374203,0.001169044,-0.013662772,-0.027157729,-0.004635823,-0.009400884,-0.034052603,0
GSM1607775,-0.002318424,0.009372284,0.036828095,-0.046239705,0.046077965,-0.022439496,0.016447235,0.015746816,-0.044757321,-0.03201011,-0.002072033,-0.002097377,-0.003414693,0.001890301,-0.012013993,-8.61E-05,0.003178456,-0.017296263,0.020376875,-0.06859507,-0.005349735,-0.008862157,0.001525296,-0.031050492,-0.01874301,0.00174122,-0.000756736,-0.025549476,0.002750451,-0.005276985,0.02709361,0.001250511,-0.014747257,-0.030846873,-0.004650293,-0.009036848,-0.034506018,0
