,ALDH3A1,BANF1,BTG1,CDC42EP4,CHGB,CTNNAL1,CXCL13,F3,FTH1,G6PD,GSTO1,GSTP1,HK1,KIAA1522,LAMC2,LMO4,MME,MT2A,NDUFA4,PGK1,PRPF19,PSMA7,PSMC3,PSMD2,RAN,RNASE7,ROMO1,RPL12,RPL36AL,RPS21,S100A10,SERPINE1,SOD1,SPP1,TCEAL8,TMBIM6,TMSB10,TNFRSF12A,TPI1,TRMT112,class
GSM1607700,0.001426251,0.010088797,0.025378176,0.007878119,-0.003819928,0.026400293,0.025117097,-0.002968831,-0.038397552,-0.005046096,0.016792543,0.002051547,-0.003647977,0.011611478,0.000739219,0.005690558,-0.003489062,-0.00310335,-0.00334629,-0.009832813,0.001228553,-0.029104408,-0.032973423,-0.000174101,0.012673827,-0.117523051,0.070945231,-0.01408787,-0.000368704,0.015738981,-0.007309074,0.002229947,-0.016021026,0.004774256,-0.118096735,-0.004794198,-0.000152753,-0.020321186,-0.000102036,0.013582975,0
GSM1607704,0.001930319,0.009924144,0.02651226,0.008032783,-0.003724842,0.025783909,0.028386883,-0.002224215,-0.03770988,-0.005461335,0.016248456,0.002005992,-0.00362314,0.012067993,0.000553551,0.007526631,-0.003371333,-0.003068064,-0.003240125,-0.009966773,0.001211103,-0.028950066,-0.032661246,-0.000167845,0.012356889,-0.099291287,0.071304526,-0.013943136,-0.000363929,0.014838257,-0.006827493,0.001794933,-0.016761314,0.003740413,-0.124810259,-0.004926489,-0.000157596,-0.018281614,-0.000108269,0.013540119,0
GSM1607714,0.001506497,0.010365767,0.023152659,0.007732103,-0.004177782,0.026369783,0.026017993,-0.00226424,-0.034518851,-0.00541845,0.017333494,0.002070948,-0.003633283,0.011511829,0.000713302,0.005869365,-0.003399222,-0.00326032,-0.003386093,-0.009678365,0.001243938,-0.029358357,-0.033088588,-0.00017204,0.012457295,-0.109924106,0.072479234,-0.014162861,-0.000377544,0.017000643,-0.007186933,0.002334546,-0.015588629,0.003938005,-0.116861881,-0.004887488,-0.000154525,-0.021826171,-0.000112554,0.013798941,0
GSM1607734,0.001236439,0.009199191,0.025997626,0.007526144,-0.00394162,0.028134047,0.030443518,-0.002491773,-0.046938807,-0.00534618,0.018577526,0.001917854,-0.003540076,0.010637163,0.000732641,0.005915023,-0.004399488,-0.00369085,-0.003345643,-0.009397928,0.001227582,-0.028513281,-0.033215095,-0.000164455,0.011558172,-0.108545382,0.07173875,-0.014709269,-0.000373255,0.01514292,-0.006876539,0.002747053,-0.015893784,0.005549288,-0.128472245,-0.004854795,-0.000158061,-0.01775772,-0.000104396,0.013469074,0
GSM1607741,0.001300601,0.010010078,0.025206449,0.007473087,-0.00403228,0.02828083,0.030646623,-0.00221428,-0.043349389,-0.005108527,0.016868477,0.002087472,-0.003647699,0.01019563,0.000750752,0.006308473,-0.00414686,-0.003147258,-0.003309054,-0.009742359,0.001251175,-0.029070152,-0.032635085,-0.000169657,0.013205169,-0.099168712,0.069167028,-0.013542402,-0.000365684,0.015079886,-0.007383193,0.002230091,-0.016747523,0.005578323,-0.116490158,-0.005036605,-0.000148814,-0.020725595,-0.000103129,0.013605064,0
GSM1607742,0.002317917,0.010496916,0.024617874,0.007747225,-0.004944891,0.026259856,0.025300045,-0.002222868,-0.04247312,-0.005973215,0.017985511,0.002027918,-0.003636547,0.011483533,0.000736559,0.005881207,-0.003884481,-0.003141232,-0.003345716,-0.009873249,0.001258558,-0.029161168,-0.034253063,-0.000176817,0.012786502,-0.108817026,0.075995224,-0.015170654,-0.000383206,0.017332211,-0.007209169,0.002355976,-0.016170368,0.005885491,-0.132809425,-0.004682371,-0.00015914,-0.020571422,-0.000113866,0.0139363,0
GSM1607766,0.002102622,0.009736576,0.024981426,0.00785086,-0.003874427,0.024978328,0.027351671,-0.002209236,-0.041120444,-0.005890434,0.017861785,0.002029811,-0.003620278,0.011591475,0.00053113,0.006335259,-0.003611624,-0.002735405,-0.003393586,-0.009599958,0.001193218,-0.028991052,-0.032720198,-0.000167038,0.012541375,-0.101321682,0.072628502,-0.014489963,-0.000364846,0.016849446,-0.007026617,0.001940849,-0.016547227,0.004730348,-0.133782964,-0.00480146,-0.000155514,-0.018924748,-0.000106487,0.014236184,0
GSM1607767,0.00136984,0.010068057,0.026008301,0.00827536,-0.003838733,0.026924787,0.03180304,-0.002477663,-0.037952628,-0.004973969,0.017409437,0.0019856,-0.003803624,0.011391925,0.00068812,0.006011775,-0.004404653,-0.003038615,-0.003158554,-0.009660966,0.001186018,-0.02948782,-0.032182288,-0.000173159,0.013157725,-0.106844377,0.068904241,-0.014426321,-0.000363115,0.014752733,-0.007196686,0.002290786,-0.016549701,0.004273097,-0.118718985,-0.005066951,-0.00015737,-0.02164174,-0.000111863,0.013431716,0
GSM1607774,0.001893272,0.010708325,0.027105721,0.007330636,-0.003852643,0.026710768,0.028698747,-0.002215451,-0.044415312,-0.005307867,0.019171434,0.002019242,-0.003706534,0.010592384,0.000585301,0.006585284,-0.003529824,-0.002793193,-0.003469124,-0.009291803,0.001158392,-0.029122611,-0.030920674,-0.000168744,0.012908787,-0.091733318,0.072310028,-0.014920257,-0.000383931,0.016159908,-0.006992268,0.001877076,-0.016619362,0.00489206,-0.120926883,-0.00469938,-0.000150874,-0.018361492,-0.000110798,0.014452693,0
GSM1607775,0.002196161,0.0102856,0.026218079,0.007923303,-0.004747497,0.028064874,0.035523668,-0.00226195,-0.042327463,-0.00588728,0.019037252,0.001996096,-0.003733186,0.011005447,0.000688885,0.006372383,-0.003816779,-0.00302644,-0.003466911,-0.009608426,0.001135095,-0.028958965,-0.030926636,-0.000175999,0.013069148,-0.093638271,0.067067911,-0.014241671,-0.000376432,0.015162101,-0.007252334,0.002234458,-0.016507382,0.005470385,-0.130525476,-0.004759026,-0.000151885,-0.020855743,-0.000111853,0.013695562,0
