,ACTB,ANO1,ARF1,BCAP31,BSG,CALM3,CERS4,CFL1,CHCHD2,CHD3,CHMP4B,CHPF,CLIC1,CSRP1,DDIT4,DHCR7,EHD2,EIF1,FABP4,FMOD,FOSL1,FSCN1,FST,GRHL3,IL12RB2,KIAA1217,KRT18,LMAN2,LYZ,MBNL1,MORF4L2,MYL12B,MYL2,OSR2,PLS3,PPIB,PSMB5,RALB,RPL22L1,SDF2L1,SFRP1,SLC25A39,SLC25A5,TBC1D2,TMEM14C,TPM2,VDAC1,VDAC2,YWHAB,ZNF385A,class
TCGA-CV-7177,-0.24415207221706908,-0.023520387602271518,0.0904461880895975,-0.18109011775128553,6.189021958151511e-05,-0.0004348607916019206,0.000500373522805976,0.06567234077795765,-0.004239378530385562,0.04307077241656857,0.031319924672904384,0.04112727382923855,0.003834631611117205,-0.041928779073221775,-0.010574925857283592,-0.0018155692366632272,-0.033434439110977536,0.030596298810547675,0.00048009318927878493,0.05934453053142118,-0.015475392189912444,0.14027538605964637,0.0024378420488831796,0.035037229613024024,0.00017721950643221428,0.01892091128053706,-0.002568474889105213,-0.005699102831605472,6.286639497081262e-05,0.07752616258467863,-0.07983967267204829,-0.020006652669735468,3.1936812023442296e-05,0.0008304797187763056,0.026750982978816954,-0.024791429178540204,-0.036078154127451585,-0.029743604358539122,-0.007377086926601583,0.00807424878610359,0.004024661603580891,-0.06398319416785819,0.0058795029722663325,-0.01662142084546857,-0.019384136694070346,-0.038571721282609876,-0.013983569429106394,0.012965263547405561,-0.10842996169170001,-0.05089605659770909,0
TCGA-P3-A6T4,-0.20955979050392823,-0.024416300896798346,0.057067014394053144,-0.21703548105658987,3.8211384995610415e-05,-0.00044966373353438644,0.000663141465059546,0.06542980791494188,-0.005208917772701772,0.03829290621911517,0.035401181891587974,0.01401502052325818,0.005144052242254014,-0.013948128452022366,-0.088359264348774,-0.00048715618355357206,-0.012454632832899798,0.03251991961861579,0.0003248028705694167,0.007945822085086712,-0.0497183658632193,0.06636508021483856,0.001372504483345264,0.03384468427683427,0.0014109565139618287,0.015518031744010482,-0.00570714892463239,-0.006703513412306313,4.860967421967626e-05,0.07266268027208718,-0.14046028772204805,-0.020400619171561184,1.973365393479844e-05,0.0008136274400443831,0.020116438587166458,-0.017775683891801616,-0.09487151575194169,-0.02121062700440781,-0.017374235387268278,0.00887660191438398,0.005849079298796554,-0.05049971250767726,0.006797951089991756,-0.006879987240824982,-0.012800670731330302,-0.01351412078828806,-0.015467450290001468,0.008771478870727618,-0.07753633767880944,-0.07081577782839173,0
TCGA-CV-5432,-0.18188379037753458,-0.010672572975162792,0.06718478655789521,-0.18183433179198358,3.544249637776085e-05,-0.0003531853064746766,0.0009781794839276668,0.05961315009340354,-0.0070419797211996905,0.06466030003342221,0.034092192860685176,0.01368434499955692,0.005314849906843792,-0.017387149715171937,-0.046103417212622524,-0.0012553229594950163,-0.025028311897479474,0.036515748910674,5.008385078611297e-05,0.005890499834097148,-0.009199181858408411,0.10626735468260194,0.007244466815271677,0.0292376855592129,0.0008391772245350893,0.008538028142648497,-0.004298594245147595,-0.003967989609696892,0.00040656130961263674,0.07991670633880225,-0.07717357898890899,-0.03783907559970316,0.003487057638854806,0.0009049875675534012,0.005481218988577143,-0.026290212470212116,-0.1496254076564132,-0.03525813320401758,-0.011919036611298358,0.03184309760573951,0.0011566094288176314,-0.06329809739606633,0.0038735739607953785,-0.00918074504150083,-0.0140422858586847,-0.013939708325048457,-0.016532660306099404,0.006641158150819306,-0.07164947931984729,-0.07830496962269376,1
TCGA-CQ-5323,-0.18489871133973151,-0.06262486030338978,0.05856878731344984,-0.09097621178348937,3.158390087715043e-05,-0.00043656413912468374,0.0016311279071200625,0.055809475378344076,-0.004700846171815203,0.037735053655610855,0.01804878309019539,0.007078386960676004,0.0048181610874158615,-0.02083666341570726,-0.01575847360417719,-0.0010327459355287257,-0.016463247563508882,0.023906335233867364,4.975094960961776e-05,0.011133299246129665,-0.008252235889649422,0.0926711680841195,0.0017065571951624784,0.0543730665580361,0.0052679504221982585,0.018120043278641904,-0.003860714987221459,-0.007095424561248095,0.0001448129704688887,0.13049226325280944,-0.07345103915415126,-0.014901159468263519,2.53241605463481e-05,0.0009021668308307207,0.013369936724797589,-0.01839604636438885,-0.046468495751004917,-0.02725325990344963,-0.007635433935807834,0.008000509914261489,0.019492614009338226,-0.03906997859564594,0.005271859897767935,-0.011948222432903315,-0.011368609997431244,-0.019271404121004768,-0.01290598556425257,0.010814579957919148,-0.061008171605956896,-0.0858494871405704,1
TCGA-CV-5434,-0.22470349835737097,-0.013666951243265722,0.0901508881887064,-0.13560904694117795,5.7291077508079725e-05,-0.0004742624961314977,0.0004987606074565647,0.06620781989580425,-0.003600454923365567,0.07255107100602903,0.04565109825594655,0.023018079450309644,0.004586632417277659,-0.04024562859804222,-0.024324966551124472,-0.0023990072387941467,-0.01974896847205947,0.0374335277201817,0.0001295171419456123,0.044319462908491654,-0.011620835412091517,0.08763335099248891,0.00572874192581955,0.02176212237270334,0.00019450409402895936,0.02024964722962106,-0.008966348357269598,-0.00595793499418984,0.0008101528236989801,0.12110676020767924,-0.11242087222941663,-0.02602963939150064,0.05330201776464277,0.0007926486615544727,0.017098503989531767,-0.025621593662852955,-0.0878419484593819,-0.034753588929155435,-0.00999825191826074,0.011198068555909562,0.001965210596818521,-0.04462466471450867,0.005986138920658481,-0.01095695332953155,-0.015065844543750349,-0.11121149199145279,-0.012046532587264335,0.006425467100334753,-0.05490322142660096,-0.09454911882040336,1
TCGA-CR-7401,-0.18238930406360776,-0.01633625067416874,0.05988377282920403,-0.09751131464182375,8.545508802261586e-05,-0.00048025994902383166,0.0005261245049251713,0.07031296702438891,-0.0028263248518492975,0.047293425255670755,0.02263500791743281,0.024744360935397523,0.005012809582323521,-0.017760380702179453,-0.005302905285325914,-0.0005894510281070862,-0.03276283019750314,0.01994193888337625,1.4233141320298463e-05,0.05083732099218292,-0.004442482844536643,0.09963885500667846,0.004441826072575936,0.019832549131696565,0.0025234214959644827,0.017210798603046827,-0.001114586448140528,-0.00843992406143289,0.00011736972951870892,0.07123226269154585,-0.07915153694838457,-0.03579294918704222,0.04937527095280944,0.0007868989757028709,0.01501825137852418,-0.018348193245783326,-0.05767925082457737,-0.027156152847776675,-0.006196722279169496,0.012285916335171065,0.02106230583746545,-0.05157284698824056,0.0035668691402991107,-0.010572321719327845,-0.013306167145729453,-0.10545883198503733,-0.01431502136159177,0.006622153213667259,-0.08231977060243703,-0.07153193630508554,1
TCGA-QK-A6V9,-0.15396892574468726,-0.004713848033317381,0.04356806247896576,-0.19105037006702189,7.989456423163608e-05,-0.0007686505790032002,0.0005630625194719596,0.04431044673470392,-0.0045208433880171706,0.10604959714401853,0.0415871512724474,0.003931617268791421,0.004205940212277275,-0.0222486002820975,-0.01594475594073129,-0.000732098246701978,-0.009257723817204907,0.03768983782167107,3.639288589646567e-06,0.0038378333667356784,-0.0033722282707672278,0.03269951072851309,0.001792923983204577,0.018948263604394576,0.00038678055227453256,0.0237235289830189,-0.008219119645136682,-0.007859612900260502,0.0001392148516067204,0.15232704275090542,-0.16142260289103208,-0.010975939633222465,9.553925477946813e-06,0.0016859060042713559,0.01060271645032784,-0.01845949530828772,-0.044373872106626244,-0.02095127982276918,-0.010506670004717892,0.008572315445245367,0.00019948026532542025,-0.032205948287175844,0.00950303548769882,-0.0076709785382646,-0.018223428231455074,-0.006402030337130289,-0.014320723364869817,0.005639707453854257,-0.10019786545559817,-0.06352807994062942,1
TCGA-CV-7183,-0.19440675799860913,-0.002933495503707483,0.04752917316773709,-0.07659935148205974,5.209935815534402e-05,-0.0004382200284922306,0.0007448978513163101,0.05611949047412702,-0.0024065568908018344,0.02826083499700416,0.017229833042200774,0.01135212583327288,0.003905912439706996,-0.015066685867873296,-0.027963660935338964,-0.00040993145770877365,-0.019586603690031422,0.014315108724226108,2.1130336569237872e-05,0.011707400558075282,-0.002902821647993269,0.1008062559341446,0.0011531076608771145,0.056503941202598475,0.0007755554800409972,0.01270662148900368,-0.00170818524839983,-0.004628986429667293,4.144301378321458e-05,0.04261734451187204,-0.06529405942452994,-0.017980528295310733,2.1798803765184323e-05,0.0008085270286302268,0.012285904428200064,-0.019950516688756387,-0.03700651246315376,-0.018996173720427223,-0.009592593320249216,0.004869956255026919,0.010813270953169299,-0.05437070290971896,0.0026645782890714117,-0.003280815613158846,-0.005739297909907648,-0.008949586636423156,-0.014052456094319907,0.004844332177762233,-0.06774627928443208,-0.05355443915989072,1
TCGA-CQ-A4CE,-0.10534143903773376,-0.007377381163938712,0.03923786119706338,-0.08790074248214237,4.4034310961719935e-05,-0.0003698185322004841,0.0008373986128710835,0.0437242072302117,-0.0027033079809782546,0.022656294339737596,0.020038779676537267,0.007029636053623157,0.0025096096836939447,-0.008496285239469,-0.01990104020825852,-0.000693003349575768,-0.009650935695235712,0.024371429945302635,0.0005912126931476515,0.007978991127420577,-0.008157868765183351,0.058814138490167346,0.0011736720145392949,0.03165633944433223,0.0018229058516842532,0.009919217846737065,-0.0008877844092688247,-0.0031278780449058696,0.0001179493664556028,0.056048792048121326,-0.08813879697754025,-0.013068527161490805,0.00040689709688390945,0.0008114126927966519,0.01198909498884211,-0.01548211833441876,-0.04043051050151778,-0.019981655087468988,-0.008502554558729832,0.011592195869408246,0.01581564132783556,-0.047764412610297506,0.005264826129469353,-0.007651321573597904,-0.01189336483676172,-0.005548474595588701,-0.008582930680125141,0.006003480423718895,-0.06333510407128651,-0.049402836234752695,1
TCGA-CV-6959,-0.29255416335916823,-0.020899384595047584,0.06539433720988985,-0.11236432390792928,9.418818658180044e-05,-0.0008753073508942988,0.00051548748060769,0.11558867075996437,-0.010468152885961724,0.06335215914782166,0.10469836844624346,0.018922360497432622,0.008643957241829293,-0.020524479337125943,-0.09422515044385919,-3.289776208973673e-05,-0.049819476893407606,0.029624831663369117,9.183426399022774e-05,0.012252118732007936,-0.01820115255445307,0.2092502994792455,0.02601279260583315,0.012337011550598218,0.0016372189966722568,0.026096760736122458,-0.007826227045644302,-0.005500042321478927,0.0002143083575883708,0.12059331706258165,-0.11302807677634238,-0.02293486448089179,0.03680929315709587,0.0016741397086327578,0.026288585871693068,-0.03846931357465998,-0.04485079701228908,-0.043022075769678134,-0.005073363039229871,0.013284331384583318,0.0069577169526728894,-0.06932828806746909,0.00485570089098872,-0.014666650426667455,-0.018548555132353744,-0.15429792590966637,-0.01229834040944662,0.007308765442607511,-0.0997147265267039,-0.06772820053143742,0
