,HSP90AB1,LAMC2,PYGL,SQLE,GSTO1,PLA2G4A,ATP6V0E1,PSMB3,TMED10,TNFRSF12A,RPL13,TGFB1,SSR3,NDUFA4,EZR,OAF,BCAM,ALDH3A1,CCL19,MT2A,RPL36AL,AQP1,ROMO1,TCEAL4,EEF1A2,SMS,RPL35,HSPA5,SERPINE1,CYBA,FXYD5,MANF,PPDPF,EPHX3,CCT7,NSDHL,CHGB,HSPH1,SPINK6,CCL26,PFDN2,SF3B5,CDC42EP4,class
TCGA-CV-7177,0.08263262054214406,0.0022248344126147533,-0.018052336275831672,-0.00038360299126108085,0.028700289176829923,0.003269131863827907,-0.1335853349793032,-0.02706936663920754,0.04367086368565151,-0.03779778000365113,-0.04884797775741117,-0.006603680862897478,-0.03796872577699979,-0.0857835047233071,-0.12935830583425295,-0.015825653105874547,-0.021478415794982705,0.02939817663793138,0.002925818927915382,-0.007479655853119997,-0.029971002474618477,0.03343183823934654,0.038937726918820324,-0.03409425376787713,-0.004476256033151621,-0.011702902808932,0.003177885216657019,0.002911491388451327,0.006592751285385632,-0.008791852080111835,-0.00396966063796845,-0.0035451567669896973,-0.040891625870253134,0.000573505244885796,-0.0179086027021722,-0.06700687320054846,-7.075742403008368e-05,-0.01792210831420954,0.003735725107595696,-0.005339928724464887,0.011940085879402892,0.016108656392107956,0.034988829425483835,0
TCGA-P3-A6T4,0.08617360439892288,0.0010825815989755887,-0.01839760212090534,-0.00048649660666946325,0.017475523495238,0.005303661127549917,-0.1784683989744603,-0.030209678217936336,0.0561753700462848,-0.061243661297091356,-0.026892765593632826,-0.007025903193182713,-0.04518582151014838,-0.08103807797663447,-0.15502753278457018,-0.04191575728737748,-0.02257242307170855,0.0037477880384070277,0.0001520935235011522,-0.02868288791673205,-0.054149091879457635,0.009061693727315884,0.036355443856343955,-0.08725648298499994,-0.06789069691987099,-0.012575885590989768,0.0020054421707498306,0.002437670524103221,0.007869857484769947,-0.004093739798742229,-0.0021258673337373117,-0.004556225227170062,-0.021772765186135582,0.003769962290398666,-0.020708332454976698,-0.053500492496738584,-7.652867680278199e-05,-0.022176829392151338,0.006799319969408242,-0.006521923272398582,0.014785139919592436,0.0226643486472892,0.017367979394460574,0
TCGA-CV-5432,0.05612202607335898,0.0012439568888887448,-0.02847242088849609,-0.0005216227082667638,0.032455774129154576,0.007836415705603516,-0.05553013560930162,-0.04970348328785018,0.06824490245144962,-0.04197428118189948,-0.022196007957255705,-0.007885906881997534,-0.05563639024206037,-0.067544062769101,-0.10955804993046053,-0.014758860717784926,-0.029455933721752835,0.009571957939498721,0.0009076368760652648,-0.005995038111424228,-0.09442205226708206,0.01864300622285179,0.06476656863880513,-0.03827632063082529,-0.0025458366355284234,-0.016597235799861356,0.004323599726098114,0.0023964947117011645,0.004283200733508377,-0.003909162993320049,-0.00228978939939824,-0.004274350370906682,-0.02510755805633281,0.021778909962662713,-0.03423753727735494,-0.09324093659423273,-6.131826554547302e-05,-0.017107743189239986,0.003040021087450501,-0.003670508221937934,0.012414276223893529,0.023920524949233534,0.04393311289219441,1
TCGA-CQ-5323,0.050214343193736945,0.0007013441334272869,-0.01065606354177182,-0.00028274252072325125,0.028740724231564107,0.0021875720755088882,-0.09483766494983245,-0.032883475930295704,0.030684002593022324,-0.015526954675631009,-0.021758025963699388,-0.003148396528974805,-0.037407158935795305,-0.0504792286826363,-0.10175763422856428,-0.015738012145817062,-0.014789501403715974,0.0028377437316504813,0.002443253956417322,-0.014897374440144249,-0.036716567443550605,0.015055588896986542,0.023174363704107425,-0.02161438927677901,-0.0026007093048656276,-0.01185428833187309,0.003010131956279746,0.0023387187134750916,0.0005895400079061586,-0.0030470545024638505,-0.0018390015045054902,-0.003921432035588661,-0.01911700000910878,0.0411739041962488,-0.019064276046202453,-0.04739598486002217,-4.60974929725937e-05,-0.021984326765036158,0.09540365849632813,-0.0021678896692117677,0.009150933718548693,0.016458473180576815,0.07285772684136103,1
TCGA-CV-5434,0.06947454590356263,0.0009972008261960744,-0.008768478163113751,-0.0011279916411319915,0.039403960838464674,0.041825569930902196,-0.11334562486647963,-0.03178805275880988,0.053479233314601936,-0.035464143619572855,-0.04108573577469,-0.008369194167724902,-0.04167914695223396,-0.07277341754433572,-0.05894624039586759,-0.026313485160743257,-0.03016667347916258,0.020147446240042378,0.003406785787044517,-0.005013746844507681,-0.034588388469766265,0.0372971554204829,0.0583982691063113,-0.039408839124427004,-0.02364196448596028,-0.012083966820711221,0.0034875684704799956,0.0021851640773178182,0.002363185754808852,-0.006435061836531485,-0.0066617043525982805,-0.004335932333991919,-0.01875893875495156,0.0012128005958760935,-0.024038791857063386,-0.06785883548676785,-0.001262899309610599,-0.02359084977782982,0.0004359903500411696,-0.07933031506419809,0.020530000641126152,0.014776517658444044,0.017944348011939653,1
TCGA-CR-7401,0.05017369522910974,0.004177966367026864,-0.02264489908931074,-0.00035273908760627876,0.02864669274606603,0.00935983802435033,-0.11444056066113506,-0.026757497273972475,0.04910359801900178,-0.05195882198609998,-0.0250624731723871,-0.006315188692087395,-0.045691933489419516,-0.047812897595481026,-0.07971177666889731,-0.020081972405360568,-0.021041321802636407,0.0013825872464528644,0.00395073516412785,-0.026535087155907595,-0.030796652762822358,0.028356091814809452,0.020708578448499684,-0.02251044139977416,-0.011577300985417956,-0.011002331663307262,0.0019165462964373938,0.001965880923706366,0.004334087568412759,-0.001473216393592673,-0.0043896694126271405,-0.0040802503393607935,-0.018733509529831674,0.0058213600805630565,-0.01588917429458692,-0.03609504660906585,-0.0005185423990349346,-0.02260780542300623,0.004260131474070303,-0.000340608922196964,0.00892322317638338,0.015481003649680202,0.03220671451511189,1
TCGA-QK-A6V9,0.05004678571376848,0.0002854154499740161,-0.0018932575755052346,-0.00015301983459647717,0.023506699943144544,0.004952015210331397,-0.09538954403004223,-0.03549032208752123,0.03823054293917915,-0.006074044817308293,-0.028752699256279803,-0.0032425834226200018,-0.03192240036175703,-0.06273047232078349,-0.14154851155319845,-0.007563968551432135,-0.010168318529550503,0.0015976896729521664,0.010734481803722017,-0.005543266401454332,-0.03651283697146771,0.008341447451931206,0.07746217172533114,-0.0597644114687317,-0.000395482696699283,-0.03387826924437078,0.002339471238857864,0.0019159570067493804,0.0006881529751885264,-0.002938868081116868,-0.00204306042868171,-0.003160253707460021,-0.04964006416412119,0.01621148628924477,-0.018871482246611213,-0.06516326777813916,-2.1168167710273977e-05,-0.023533715524850514,8.203903279203983e-05,-0.0006847615617068893,0.011361960389998068,0.016585753417039686,0.2187523039488339,1
TCGA-CV-7183,0.03558406658632459,0.0009345855898028495,-0.023050137408355233,-0.0002986608584612242,0.014435727986471981,0.01488465641063421,-0.08308591283702939,-0.015168712941098275,0.024354464054220194,-0.008508950895483196,-0.019424549672554383,-0.003024209299530464,-0.02533123547349951,-0.03708331440048518,-0.10558374397281949,-0.009300792018965694,-0.01756152761744662,0.002573172727757304,4.1511943241601e-06,-0.007998786913110576,-0.030938836457760997,0.014420790081955612,0.023935207651154856,-0.01915828667766311,-0.004553044480434423,-0.008726660185449011,0.002030146630069057,0.0018232306825602743,0.0020245528755547045,-0.0022966265585517716,-0.0035153785379153147,-0.004149790586906277,-0.020052708968304137,0.006713093921363556,-0.015239552109297025,-0.04280203017220614,-6.90063616986905e-06,-0.02338811146998183,0.0285095214002851,-0.000405219954135609,0.006902427211282147,0.013134126427167799,0.01907718264414772,1
TCGA-CQ-A4CE,0.04311714408123769,0.00044704021765100426,-0.01031315463694058,-0.0005666154954785235,0.01046175041050868,0.005916465156553606,-0.04888388656420877,-0.025677250970162623,0.027573730038038414,-0.010467623805619804,-0.020890637792060126,-0.003612094757676726,-0.021735942228023386,-0.05537262889217617,-0.08842266989242734,-0.012409780970896378,-0.006466476212864519,0.0019608019297616065,0.0017689739681738957,-0.0048896284884168755,-0.03385543346615542,0.011395890628182335,0.026384350362924223,-0.012008010385620698,-0.010082977827421073,-0.007240627766951822,0.0022198278051063854,0.004028667390909009,0.00019845500855267143,-0.0015335115507855413,-0.003308649137551881,-0.005385074237605905,-0.02135314851471285,0.020165574155206128,-0.012814318055735385,-0.04453970842509332,-0.0003418094393510662,-0.019912379567810248,0.010699678495517749,-0.0013396899683604758,0.006450395156990834,0.0133351240986935,0.020044395346984052,1
TCGA-CV-6959,0.09956257237430488,0.010806752574503363,-0.02062935257584254,-0.0007362823507571788,0.024131830850691476,0.00979428796732005,-0.07650655336509378,-0.025733201512191942,0.04564450728547869,-0.05176423080107188,-0.026322684164723418,-0.008144331920951329,-0.03643348065177721,-0.038941682977892265,-0.2308138129556905,-0.015360881964791148,-0.037980000232162206,0.0003249822238748038,0.0013389063383558632,-0.044237345781409,-0.032347796599163266,0.025110140563537515,0.024198768679666766,-0.026029392429744128,-0.03926808061011751,-0.0171295232115239,0.0021307362562618956,0.0032268757483768827,0.010896922399981074,-0.0014511695229652906,-0.007913028378551344,-0.004796634894956049,-0.043862151407714496,1.907873658153311e-05,-0.019752289626087667,-0.041723548572672284,-0.026932084671548437,-0.045100145184412584,0.000815564502462043,-0.00029091446778497045,0.012780594671404103,0.015619408196930975,0.05136818737144716,0
