,MME,TNFRSF1A,RBP1,TRMT112,POLR2L,NQO1,RNASE7,SPINK6,PLA2G4A,PSMB7,TPI1,FXYD5,CCL19,F3,TMBIM6,MSMO1,TOMM22,ARL4D,GAPDH,HSP90AA1,ALDH3A1,FTH1,HSP90AB1,PSMB3,APRT,KIAA1522,CAMK2N1,CDKN2A,CALML5,LYPLA2,SERPINE1,SOD1,TMEM230,RAN,CHGB,TCEAL9,F2RL1,IL1A,RPS21,KLF3,USP14,PGK1,class
TCGA-CV-7177,-0.001793117817381327,0.0061689270653191245,-0.004357025745250075,0.024040483107721333,0.003968977920572363,-0.04760240196478085,-0.013293806379999898,0.0034864843733417557,0.006733403409291479,-0.05504237265947601,0.11089702266281476,-0.007661342794821752,0.0008242201496031127,-0.006503968470262627,-0.1306630439901831,-0.024558448899826956,0.014715073050989565,-0.034559012102297205,-0.2046975940610927,-0.0015513155299974083,0.06287841608144028,-0.036887028174895385,0.06797346954962948,-0.01927726773041224,-0.05377455655777909,0.08049395741985954,-0.008927127505685216,0.0007306200847012094,0.0025646686094655887,-0.026327247030636044,0.01171313915767919,-0.059019897056001185,-0.019767031698485055,0.0016686449953669208,-6.79889591832877e-05,-0.08008204093277863,0.00857880784031439,-0.000894709815564477,-0.025726837232460203,0.0031435812109280726,-0.007927741034751976,-0.09202190621085983,0
TCGA-P3-A6T4,-0.003761336205960356,0.0030415563716505644,-0.005560910720316134,0.026770598084889963,0.005494502792413963,-0.010680636079253805,-0.07957295538584704,0.006345681799362729,0.010923906225108828,-0.05051547910697868,0.02521936907760921,-0.004102869203552489,4.284562708161198e-05,-0.017496683021136022,-0.08956153906489131,-0.014205030248183165,0.018101228962725764,-0.03741720831533301,-0.03734202036989689,-0.0016387866417712635,0.008015972506265748,-0.06209873872370119,0.070886277551909,-0.0215136195397075,-0.02661362949008126,0.05462574119923867,-0.0057008118365706115,0.0012793484826439687,0.0843086796606834,-0.031508653340808705,0.013982134602067212,-0.04557912065761202,-0.009921430098680701,0.0024018620324564068,-7.353440511462337e-05,-0.18535202293933806,0.0038931785711898165,-0.007413334243781907,-0.019818027915837547,0.002322642059797957,-0.005958665298500804,-0.06815440207169754,0
TCGA-CV-5432,-0.00022217452587925174,0.007783382540561374,-0.014422621448998323,0.02926423179835638,0.007722101409990202,-0.023096134102972257,-0.033618623281864206,0.0028371964506904166,0.016140599531201318,-0.06389646013676958,0.20742830384876565,-0.00441923456855416,0.0002556865685153056,-0.0026272826464470668,-0.0751369452594191,-0.0038841871272940944,0.021385667615398694,-0.056788897413154994,-0.3145824443914138,-0.0018517825651323634,0.020473023257411016,-0.04441356720503825,0.046165894356640425,-0.03539600195470285,-0.019802016842947544,0.07509175124901865,-0.0030699261350027787,0.012329377500993662,0.008263552478115313,-0.027851015079149558,0.007609831474011477,-0.05203446108356896,-0.01034740310174044,0.0029116813053327597,-5.891911853078e-05,-0.07304159507227269,0.004362910720222874,-0.0010102836419960796,-0.03951536719376848,0.00197425603548455,-0.009004954944167146,-0.15418297716023166,1
TCGA-CQ-5323,-0.0003595614075154808,0.0038999819941807636,-0.010732880777551688,0.014377678808689657,0.005959889541686247,-0.005418966678932633,-0.0963422866586134,0.089038501208446,0.004505723808294136,-0.060376912513339376,0.05956821119112102,-0.0035492255412089657,0.000688278800257636,-0.007619323401295824,-0.08467747927175609,-0.00911548077847652,0.01214302349429058,-0.032220307041426234,-0.12024519532430569,-0.0008736195948521806,0.006069520340965388,-0.026336022486817857,0.04130624329278423,-0.023417746630862234,-0.020796008126709134,0.08592517447414943,-0.00640093509298484,0.11839563980328702,0.03250946455000092,-0.02554142354368534,0.0010474176641444783,-0.030053667330240882,-0.00733225684651672,0.001789501515467821,-4.429387602964519e-05,-0.05179487723228791,0.005020749518674376,-0.00032485968263849173,-0.016960157048533344,0.00425622451546509,-0.005610250972232959,-0.06210510464748322,1
TCGA-CV-5434,-0.0013126363247321206,0.004074944093409839,-0.0026903263503974518,0.02633332968826539,0.006582927688665204,-0.015942645806944985,-0.00934347883331278,0.0004069018727463745,0.08614777466900045,-0.0468070596963132,0.09861712148545383,-0.0128569178319311,0.0009597113014318427,-0.0025208306782670965,-0.10156508629270304,-0.012038476962972939,0.022950690171191696,-0.02504293901952817,-0.15662168790907208,-0.0007510128077137527,0.043092451727950974,-0.12173564922048974,0.057149657114427724,-0.02263764837306836,-0.0253552446366957,0.052076774885999225,-0.012212734404126362,0.002778537277341316,6.391465701716885e-05,-0.018619495529187405,0.004198599704933674,-0.06857241348214861,-0.015338119861505777,0.0027330589154011256,-0.00121348693498524,-0.11134285831790289,0.004694171401607592,-0.000339564522480223,-0.018282823675926083,0.0024228190836160734,-0.008367239270960085,-0.12563950495434392,1
TCGA-CR-7401,-0.0011653257445414025,0.00441307937807052,-0.011934748033076443,0.013178462056848072,0.008421913208092982,-0.0038636147233635527,-0.021761247599637934,0.003975903307908748,0.01927837967043051,-0.04749108666583751,0.059028441282774714,-0.008471948912814765,0.0011129449936055336,-0.010840992861378544,-0.08104822905022069,-0.008026405730085345,0.01847625938016436,-0.04321426861421923,-0.12361461915902149,-0.0004839126085173578,0.002957152656848355,-0.02125131144001528,0.041272806338132254,-0.019055172055597213,-0.023838772760958693,0.050658697591502704,-0.006093359218276042,0.023312814678787507,0.0026373147323292025,-0.026656780581210113,0.007700240554033977,-0.034798258380927934,-0.013786163251169967,0.00147695982083907,-0.0004982538367677283,-0.06437347005500968,0.007198454097468518,-0.0005587789021112667,-0.016326325791705072,0.0014993016650044781,-0.0031426340042406257,-0.06183586771101042,1
TCGA-QK-A6V9,-1.5885187796013255e-05,0.00249955150796762,-0.004902453169505897,0.02292142350502392,0.00624831962591768,-0.0004072397945592598,-0.008702647920183538,7.656553884330252e-05,0.010199624086458683,-0.05532357542241298,0.059255870593426484,-0.0039430540094421195,0.003023965739561151,-0.011349872343654952,-0.09001126614806707,-0.012510860847195186,0.014343226495432418,-0.018004356217662658,-0.16174598466214024,-0.0012741007513798967,0.003417225403540384,-0.04879357668719857,0.04116841076142163,-0.025274194621486664,-0.01547473851155543,0.09467648270006665,-0.001954974079492892,0.12023563924047981,0.010424088297579535,-0.024087443514622817,0.001222620300878328,-0.0680893511104127,-0.007739620730045454,0.0017521188497889024,-2.0339939026425068e-05,-0.10605216990945589,0.00037717819087816244,-0.0002548087124722077,-0.03648199520897999,0.00390730190038892,-0.005849327281881515,-0.1407595748447222,1
TCGA-CV-7183,-0.0002687213976705446,0.0026879055696293797,-0.00325952503299926,0.013325949307948904,0.008025359817586042,-0.005057071696791899,-0.0732349697183688,0.02660741837011629,0.03065780164160813,-0.02906142433813762,0.0563518278255071,-0.006784590041508374,1.1694155008179588e-06,-0.007156369164407853,-0.06705516021597886,-0.012164620096020165,0.009253977718999537,-0.04095229337481786,-0.0965246712809204,-0.0003977902568274128,0.005503641515527792,-0.008386637224120254,0.029271399729165152,-0.010802297090608275,-0.019821369759005236,0.033415232051551697,-0.006673515295182432,0.0037330687909857816,0.02647852663244402,-0.023195143719240457,0.003596961046599638,-0.018226471000791524,-0.0042095000607137055,0.0011996251991880306,-6.6306409161033264e-06,-0.08236360313801902,0.005608662023311387,-0.001354614457144839,-0.01613935473105351,0.0023535228581949537,-0.003187213682021607,-0.06341010214380315,1
TCGA-CQ-A4CE,-0.00020118208662937154,0.0030167686437903574,-0.006124598506420755,0.01501434763043253,0.00443665147404389,-0.002938950338570935,-0.20744524890918853,0.009985815551190916,0.01218609353048398,-0.027103458234008705,0.039987763975846684,-0.006385607623010562,0.0004983302195433975,-0.0027271408136518714,-0.06116188917835077,-0.015257332087569159,0.008253674844305866,-0.03508944689188395,-0.06764697057351685,-0.0006413463650269625,0.00419386961005473,-0.007573337845694823,0.035468097962332294,-0.018285881902233642,-0.01887117527968018,0.040365431704683395,-0.0014041489079645983,0.00638554684177268,0.02422195449930469,-0.0178828022413157,0.00035258893155407187,-0.020986338588741226,-0.006889945915679759,0.0015842744491493905,-0.00032843575552752647,-0.0682332763113362,0.003411621764788239,-0.0011424668205870202,-0.019753342444413496,0.002717309037399652,-0.0038667330091185273,-0.05479698075057369,1
TCGA-CV-6959,-0.0008504755063373549,0.006858874768073907,-0.01766577773221876,0.030921565146994276,0.00981056677256015,-0.004042444057519107,-0.06117101289752954,0.0007611515332069486,0.020173212564608557,-0.0427959602246534,0.10005946933999514,-0.015271940974848698,0.00037717767561593323,-0.03870556031057165,-0.12060915834732423,-0.01142858526380418,0.013494786704434818,-0.04192946899961689,-0.2525807792675671,-0.0008528045246347264,0.0006950896221742535,-0.08232604646484905,0.08190002249917748,-0.018325726705133414,-0.01805287670027815,0.0841328762535523,-0.017068321023199114,0.017645819968078187,0.006413227326988483,-0.030751491104065547,0.01936022806507919,-0.025870966507190504,-0.015572023306445498,0.0032178077315580234,-0.025878336168318385,-0.10154414111292895,0.005776553238492608,-0.0043446987957872565,-0.02185078852977864,0.0028105819267368872,-0.006351682630481488,-0.12012647158829885,0
