,S100A10,BTG1,ALDH3A1,RPL12,TMBIM6,TPI1,ROMO1,SERPINE1,BANF1,TRMT112,SOD1,LAMC2,PSMA7,RPS21,LAMTOR1,OST4,G6PD,SELENOW,RAN,FTH1,CIAO2B,KIAA1522,GSTO1,ELOB,RNASE7,MME,HK1,TNFRSF12A,LMO4,GSTP1,RPL36AL,F3,PSMC3,TCEAL8,SPP1,CHGB,PGK1,PSMD2,PRPF19,CXCL13,TMSB10,MT2A,CDC42EP4,CTNNAL1,NDUFA4,class
TCGA-CV-7177,-0.07725485868948162,0.06115065580698423,0.04736697521140492,-0.14992432406825754,-0.06794223989420911,-0.0020112204087564113,0.05683721753682381,0.015703376781529003,0.0279447679751798,0.036514419740533335,-0.038137216539923295,0.010598649627274406,-0.18312318022443877,0.09052636718248179,-0.006879950139382463,-0.12602615127963354,-0.06677899419199843,-0.01213691169345058,0.0756834094549237,-0.035920689343961955,-0.07675687625091034,0.06257128259089602,0.03172997072304493,-0.06037851745869268,-0.0116277520100465,-0.002274944960345861,-0.04454935531998199,-0.03962044065604743,0.006355969204795294,0.044980217604928284,-0.0005444798886465987,-0.004110104680141908,-0.07236619830795478,-0.057980550206956714,0.04757416784948415,-8.970597783200605e-05,-0.13431563167067923,-0.0015326802775946053,0.002570294943852017,0.0015649820457479696,-0.0015125064135418456,-0.006726144717730949,0.012319547724276599,0.005630178618532648,-0.006059799119310752,0
TCGA-P3-A6T4,-0.07034078188493695,0.06721318670746756,0.006038516786234159,-0.10325463511404324,-0.04657025725574402,-0.00045737665959769407,0.05306787105007025,0.018745335892502102,0.03324155551599119,0.04066111528610804,-0.02945211498029702,0.0051571941693368374,-0.12169352753374751,0.06973473092441307,-0.004123823176241262,-0.12722910177460311,-0.021441846947237605,-0.016339756902165714,0.10893935388375486,-0.06047192231831936,-0.03635637522144735,0.042462848130155696,0.01932028787087756,-0.0679398395204498,-0.06960042635532432,-0.004772041615431802,-0.025046391321072167,-0.0641969144152404,0.0027199377962250576,0.03268697723585992,-0.0009837205659640469,-0.01105681847950699,-0.09818559995238772,-0.18914216811448767,0.0056402278770418274,-9.702274890426076e-05,-0.09947850400339985,-0.0020758573107217,0.00433254257003991,0.0043210645840409505,-0.001096116837305664,-0.025793333121058106,0.00611525605565042,0.004300900840247571,-0.00572457927823532,0
TCGA-CV-5432,-0.057951597132592104,0.0601446612198622,0.015422544739045077,-0.07405361258480316,-0.03906974921016729,-0.0037619047656745693,0.09453945677188812,0.010202222416353319,0.03360712020041572,0.04444862603140637,-0.03362339836003663,0.005925952575172199,-0.20022003101585611,0.13904478842895848,-0.0065706420268940215,-0.1337847242865202,-0.04469604385674649,-0.012304199628983933,0.13206282285663126,-0.0432500537225477,-0.05285354743281618,0.058371924281714796,0.035881895006940216,-0.08034746694348727,-0.02940534887199821,-0.0002818748512043525,-0.021597691404932937,-0.04399833843381947,0.00787177194855796,0.035778793926950395,-0.0017153549851294594,-0.0016602796816420715,-0.14572093135669978,-0.05543083770577298,0.005242942345448976,-7.773905063842609e-05,-0.22504623978000646,-0.0014526501100366053,0.004139184875052692,0.005595458442261504,-0.002697696925270069,-0.005391089472242444,0.015468825046122167,0.029145799061376283,-0.004771353809838709,1
TCGA-CQ-5323,-0.04491467766144235,0.055952448145616764,0.004572233803778732,-0.10627467068026936,-0.04403064121750306,-0.0010803247840563243,0.03382751011310789,0.00140423451017453,0.02492751177134181,0.02183785561058247,-0.019419946085379898,0.003341057966468688,-0.10800630991026432,0.059678591292633,-0.0037650463328847373,-0.060307295186761006,-0.008314319986303477,-0.00766091309136117,0.08116500291637913,-0.025646091027425624,-0.03388380210688817,0.06679319225976543,0.03177467421348698,-0.04785576416009016,-0.08426813098711437,-0.00045617884337170365,-0.024959277203844013,-0.016275685668194054,0.013796503902574156,0.04187535396957356,-0.0006670258217114993,-0.00481493981933713,-0.11155606952939617,-0.04585999782955423,0.0024855303729036334,-5.8442216338350406e-05,-0.09064891941692807,-0.0017611002368562677,0.003604092130992581,0.011057395420357356,-0.001611820497377751,-0.013396591817368037,0.025653165814421744,0.012438490294680743,-0.003565883516897335,1
TCGA-CV-5434,-0.07031517774370023,0.08704477512311101,0.03246199920419119,-0.14339920666925676,-0.05281186819965198,-0.001788513006227546,0.08524367978360543,0.005628908888883517,0.02766681962733729,0.03999696050593677,-0.04430981943517208,0.0047504578790020955,-0.10262664148166195,0.06433272750414895,-0.005971056376047316,-0.1352316593825145,-0.05158616612712664,-0.007886670998912743,0.12396118858897794,-0.11854650954805845,-0.0378002480424076,0.04048143118144657,0.04356355143577662,-0.059642788003793544,-0.008172501665762973,-0.0016653537000024168,-0.025838265321463636,-0.037174273133530625,0.006142085004291161,0.02322986494901744,-0.0006283634295660433,-0.0015930086401806504,-0.08359333529613426,-0.0715100521437921,0.15097776802303997,-0.0016010986695024,-0.1833840458821382,-0.001362676442427709,0.004180404588630823,0.00992362951113955,-0.001979653101020532,-0.004508654878841593,0.0063181951309610445,0.03596025524133035,-0.005140758622147819,1
TCGA-CR-7401,-0.06367308343216685,0.05955109240939062,0.0022276543418628014,-0.08764275461514791,-0.042143501735231424,-0.0010705355559090597,0.030228214929178442,0.010323430559529348,0.02150040841924572,0.020016398710552094,-0.02248578498580603,0.01990296510499086,-0.12108535916423867,0.05744829611219885,-0.006165110835533097,-0.09060848919706573,-0.01023604585546341,-0.011072631814756762,0.06698929681232425,-0.020694585445300343,-0.020825064193648046,0.039379101044205944,0.03167071650548218,-0.07172050055132835,-0.01903400600888032,-0.0014784594207966513,-0.01904924124668618,-0.05446434745266918,0.006940047360721034,0.026812801062946666,-0.0005594793861563331,-0.006850835101778675,-0.07336091907819224,-0.04996848577944488,0.0009537859193711,-0.0006574059696266766,-0.09025593984629672,-0.0013903839473864868,0.002634462947354269,0.00420333828806039,-0.001814016802601122,-0.023861904854056776,0.011339966584366121,0.018717518442166015,-0.0033775322618879965,1
TCGA-QK-A6V9,-0.037055508566738525,0.10400741206139787,0.0025742320031031697,-0.09354406210789656,-0.04680410658635006,-0.0010746601974922969,0.11307116911078371,0.0016391222700407866,0.03372196668108894,0.03481471130021319,-0.04399767632425305,0.0013596599977659851,-0.2142302033962295,0.12837110383979544,-0.005593978374220016,-0.09196194199555939,-0.011006096552568321,-0.011655031688413807,0.07946946695699313,-0.04751531898561832,-0.03356036488484933,0.07359594612596805,0.02598813191030582,-0.0698937472860416,-0.0076119832765792015,-2.0153682914970886e-05,-0.010117854574891475,-0.0063669435666086505,0.035009873948698124,0.024231945041161787,-0.0006633246727476783,-0.007172415372546501,-0.09634013734290689,-0.04638628497225724,0.000781334714601209,-2.6836917954427936e-05,-0.20545337504358202,-0.001420989016907302,0.003605225470733883,0.02100510652917129,-0.0018107564214007007,-0.004984829884862263,0.07702256670325443,0.03895580157630786,-0.0044313188432851475,1
TCGA-CV-7183,-0.053258628677467855,0.03852452537575699,0.004145951305465719,-0.07596056328943401,-0.034867378276300924,-0.001021992687197637,0.03493811045760331,0.004822313969198048,0.009643868006966167,0.02024041298551247,-0.011777500571650688,0.004452171881582266,-0.0770918152966893,0.056790391266138496,-0.0036706707084282857,-0.08246084523269065,-0.007319084999956224,-0.006699639401855369,0.0544104500326193,-0.00816693036207126,-0.022666989025377407,0.025975042034921184,0.01595960317871576,-0.036330468499279296,-0.0640567525964271,-0.0003409292927892958,-0.020011468848773674,-0.008919264146390295,0.003063459681152629,0.02798866427427505,-0.0005620624216238025,-0.004522381455251466,-0.05420296675816084,-0.048368676312731965,0.00011474370842709026,-8.74859880452717e-06,-0.09255370024862725,-0.000789620555583131,0.0017557162039774684,0.0010086649591610126,-0.0017297482349900094,-0.007192977778707837,0.006717065586027936,0.012880944933495368,-0.002619587957731561,1
TCGA-CQ-A4CE,-0.022776758552269634,0.07538595927580466,0.0031592862899414266,-0.06922194409173806,-0.03180299203232052,-0.0007252152048598196,0.03851311259827217,0.0004727030701722992,0.017454667441103616,0.0228048741388151,-0.013560859626365463,0.002129606863917162,-0.11632154225765329,0.06950711877432268,-0.003989000855589188,-0.0426747641602262,-0.007730060622213422,-0.00781387360462287,0.07185668141328126,-0.007374937193699404,-0.023961334150428996,0.03137771970786606,0.011566121588253252,-0.03583830492213088,-0.1814470469200885,-0.0002552415517000146,-0.0109511610978667,-0.010972386943368821,0.005943895233847757,0.028077056438523814,-0.000615047917043999,-0.001723383849851898,-0.05493179678899964,-0.01967563922203657,0.00010380234876058387,-0.0004333446335773975,-0.07998194545431798,-0.0006721660973711456,0.002102957885916785,0.01713290361759563,-0.0010908298368368311,-0.004397040381919869,0.007057620650251952,0.005595779470176314,-0.003911556293684084,1
TCGA-CV-6959,-0.09166993506098595,0.055340210294557025,0.0005236183567440543,-0.11282570837539986,-0.06271441502991632,-0.001814671322942682,0.03532282925598083,0.025955548874611732,0.03663506758377805,0.046965903461771784,-0.01671718693181801,0.051481127537575416,-0.18336720464385528,0.07688751197048498,-0.007206405498683772,-0.10849747675905315,-0.011031075998957507,-0.011694015122982298,0.145947556712729,-0.08016933014931901,-0.029671580082480758,0.06539996471768815,0.026679253357630748,-0.04717165678785386,-0.053504718501536874,-0.0010790060464991218,-0.020982324834739125,-0.054260372814533,0.00341210023464448,0.028149843491864456,-0.0005876588447513866,-0.02445951349662242,-0.10529613330929202,-0.046282493044359704,0.0055245891229367215,-0.034144388714439984,-0.1753371949802984,-0.0016318105594122195,0.005110894914612129,0.007105841230921449,-0.003175323747852199,-0.03978081284715067,0.018086710708052643,0.06576391912822702,-0.0027508642480282733,0
