feature,coefficient
HSP90AB1,4.030536899077691e-05
LAMC2,4.6029107718088765e-06
PYGL,-0.00012950221112248945
SQLE,-3.98187401205017e-06
GSTO1,0.00013781545580840638
PLA2G4A,0.0004519870401266324
ATP6V0E1,-0.00040101662564291494
PSMB3,-9.848713611920146e-05
TMED10,0.0001960313468243124
TNFRSF12A,-0.0001997035971142252
RPL13,-4.4273698881620166e-05
TGFB1,-4.45307047634612e-05
SSR3,-0.0003636384389072647
NDUFA4,-0.0006850623280890202
EZR,-0.00021558948703205078
OAF,-0.0005592913851785788
BCAM,-0.00018573662191233506
ALDH3A1,2.1285046854212625e-05
CCL19,6.49639174359953e-05
MT2A,-1.998556551764862e-05
RPL36AL,-6.820343211907479e-05
AQP1,0.00026980568472922896
ROMO1,0.00015452686943709617
TCEAL4,-0.0004902889707787004
EEF1A2,-0.0005548298214075239
SMS,-0.00012471004443618934
RPL35,2.748237809730167e-06
HSPA5,4.1675501667044e-06
SERPINE1,1.5859019199171423e-05
CYBA,-5.056621703528039e-05
FXYD5,-4.428650393389757e-05
MANF,-6.316098777973017e-05
PPDPF,-3.828549400765786e-05
EPHX3,0.0001970943861728627
CCT7,-7.894590704362731e-05
NSDHL,-0.0006059906723233421
CHGB,-0.00010361315570373948
HSPH1,-0.00029928891031589535
SPINK6,0.0001915010102521938
CCL26,-0.0004120601526699298
PFDN2,4.890375237104858e-05
SF3B5,5.033624790906833e-05
CDC42EP4,0.0005379081824349782
