,TNFRSF12A,RSL1D1,BTG1,GSTP1,EMD,TGFB1,CAMK2N1,CIAO2B,SBDS,HBEGF,ZMAT2,NQO1,RPN2,ADGRG1,SURF4,BRMS1,PDAP1,SERPINE1,TCEAL8,BCAM,DAD1,PSMB7,TOMM7,AREG,PPP1R14B,BEX3,JCHAIN,MRPL41,MT1X,HSP90AB1,CDKN2A,TRIB3,EEF1A2,SMS,IL1A,PSMC3,SPINK6,FAU,TCEAL9,COX8A,CXCL13,CTNNAL1,F3,HSP90AA1,class
TCGA-CV-7177,-0.058600966859313576,-0.001636558065879832,0.08589729631597816,0.04259622209100284,-0.0022053577781047705,-0.03175168837592528,-0.014929217540110529,-0.02872584261172441,-0.03317097844397397,-0.007405075290642778,-0.04002204342462531,-0.07273884467217948,0.011218453757230004,-0.09199635024330224,0.009793843888666538,0.009813499325461633,-0.03262991612447636,0.019329681570457207,-0.006550859872334943,-0.009823545507046784,-0.03566916787560712,-0.07842548960387088,-0.00778236393867262,0.00010231982465294997,0.0031788148098722082,-0.08553179563203452,0.004589427865723211,0.02724907205711862,-0.024353697227612405,0.08444783924409524,0.000689374261483043,-0.020020265468879538,-0.002995548423171872,-0.00531834930056604,-0.0033243412382177326,-0.0438573522821262,0.0028580234815008708,-0.009136794667455555,-0.0066543686338584,-0.017911635300333226,0.0006937201407020969,0.0032995291693744258,-0.0038110643350468057,-0.004702095784021036,0
TCGA-P3-A6T4,-0.09495102002464688,-0.002507478222837568,0.09441323136706414,0.03095453548160893,-0.00277410289223828,-0.033781809475794955,-0.009533711712888438,-0.013606175284285458,-0.04995530815689874,-0.01807337633412795,-0.05096528126143437,-0.01632054469317986,0.00806139647525507,-0.025685044274748534,0.005930014108984227,0.018721172099111952,-0.030295839991982466,0.023074105574511183,-0.02136999105467202,-0.010323909703854406,-0.09509014257684631,-0.07197547980077623,-0.006488573197233245,0.0007739948366373282,0.002362414152836703,-0.2655662010258423,0.003009409628743639,0.013617396079733626,-0.040059161300567615,0.08806660908996602,0.001207125199361054,-0.00892653714582952,-0.04543302898676493,-0.005715073723913346,-0.02754463213723385,-0.059505135641075006,0.005201832461198765,-0.012781636117784899,-0.015401713958627229,-0.014201503858782051,0.0019154274257447183,0.0025205146654267816,-0.010252353612774809,-0.004967224017408968,0
TCGA-CV-5432,-0.06507613569491116,-0.00251478510817459,0.08448419266235517,0.03388248286494773,-0.002769197109161917,-0.03791686228896394,-0.0051339689135547215,-0.01978015207475801,-0.029833313985469657,-0.005170037175890387,-0.05288253401202254,-0.03529204497468179,0.010329320056473525,-0.02030017328338825,0.006754562016029937,0.015621331845069544,-0.036599886877192706,0.012558172255731144,-0.006262783797679286,-0.013472208943631074,-0.14857389051820344,-0.09104097312777575,-0.005004014896605546,9.454005442277926e-05,0.0033685463693158856,-0.09528614570420914,0.013842425190082363,0.047697171498999824,-0.017056440007731273,0.057354877587099805,0.011633345000047578,-0.005795616881095578,-0.001703695423749242,-0.007542564340545671,-0.0037537618510035636,-0.08831380355499201,0.0023257738195258198,-0.011026145813359442,-0.006069347054028099,-0.014160250558176346,0.0024803365817549494,0.0170807039498154,-0.0015394821235284208,-0.005612822681177627,1
TCGA-CQ-5323,-0.02407269835119481,-0.0019098582931901477,0.07859546156199222,0.039655919264202866,-0.002127421414895687,-0.01513805823559902,-0.010704557810162402,-0.012680828271691705,-0.025767176692909094,-0.013270634584631258,-0.0476190345883729,-0.008280451390545954,0.007480673882554526,-0.02797096488234256,0.005707921459029971,0.014060405719570603,-0.02416655778591189,0.0017285075884982824,-0.005181434437145935,-0.006764248418166595,-0.041730976889813386,-0.08602625024765413,-0.0034577134655357756,6.660762625463544e-05,0.0021239873649697917,-0.054829820940194444,0.01870257447191288,0.019499957077523097,-0.014215687178533104,0.051317418641101925,0.11171183007593037,-0.0035359509254940277,-0.0017404166784967196,-0.005387146000256229,-0.0012070331864506491,-0.06760827506427519,0.07298874739182376,-0.007931570560884917,-0.004303863917983744,-0.013096014383030475,0.004901486204043231,0.007289495472698886,-0.0044646175338383075,-0.0026479738869109796,1
TCGA-CV-5434,-0.054982940922556185,-0.0028883499365257273,0.1222703296119612,0.021998659392966868,-0.002633745203354301,-0.0402405947059374,-0.020423878628672034,-0.014146536818419136,-0.04514372917264821,-0.010516059801862274,-0.041335609728158924,-0.024361158033011105,0.016166144954138758,-0.01828885555389986,0.007040121465999664,0.009741702015335175,-0.04172270508930125,0.006928765572205826,-0.008079473709463702,-0.013797278744738704,-0.06415393734974227,-0.06669164856520778,-0.0053821428859829774,2.6730252605736702e-05,0.0022224661097156773,-0.08871891832254707,0.003084183865908896,0.0330624183909919,-0.007972173122576483,0.07100071673302814,0.002621680027251931,-0.018963295682850233,-0.01582140273302031,-0.005491522704943124,-0.0012616697900028446,-0.050661530386313706,0.00033355523284940396,-0.010487798241937702,-0.009251967299593709,-0.016969889920833085,0.0043989141469370375,0.02107427119920441,-0.0014771055451084701,-0.0022763480985087134,1
TCGA-CR-7401,-0.08055597987401107,-0.0015032824965064003,0.08365041655114007,0.02539169638952604,-0.001682967217700941,-0.03036456599726496,-0.010190185506115763,-0.0077936667778177905,-0.029210465005006653,-0.005949527129093926,-0.051401422770694656,-0.005903796019449057,0.009311003780553325,-0.021898798348380485,0.007273353559211815,0.015238094523964978,-0.021114617869952005,0.012707370408710244,-0.005645626804255985,-0.009623632591417615,-0.07130451525125395,-0.06766626407313793,-0.004313599469226756,0.00018148010016928333,0.002635980324356624,-0.06609486653065093,0.0012618880421984562,0.014870414258948507,-0.026258552219579033,0.05127587774889838,0.021996732280981025,-0.003478849563865099,-0.007747627806499113,-0.004999976831516192,-0.002076172313100826,-0.044460200300437215,0.0032592215531110115,-0.008928038681198831,-0.005349074461604338,-0.015176049997785053,0.0018632420969520557,0.0109692786432993,-0.006352386460574044,-0.001466757337463057,1
TCGA-QK-A6V9,-0.009417084786637882,-0.002062409400842969,0.14609746003534363,0.022947628260411305,-0.004821833029653664,-0.015590925804188112,-0.0032693868547793836,-0.012559783654077387,-0.02185252624300199,-0.002852317077084093,-0.06441235402144327,-0.0006222827197394902,0.012733380288523092,-0.0241332327080282,0.0036613023339805363,0.011345258772206629,-0.032072050747981806,0.0020176368417906864,-0.0052408963310423004,-0.004650666080713466,-0.06140470752009398,-0.078826153007277,-0.004658374958837719,8.699942837831155e-05,0.0010227254652365797,-0.08322178020427404,0.007324880965704571,0.017182515327374994,-0.024191893245586855,0.05114618036934331,0.11344795570360558,-0.001416105706080222,-0.0002646603678867734,-0.015395878482616409,-0.0009467551333323684,-0.0583866976730742,6.276411549729198e-05,-0.011528197434448542,-0.008812340754283254,-0.01716949729147972,0.009311075163111433,0.022829791437574205,-0.00665056940143667,-0.0038618473518997488,1
TCGA-CV-7183,-0.0131921173514839,-0.00122854108386709,0.054114751967318526,0.02650523770091569,-0.0013328130729740586,-0.014540943642775386,-0.011160405352739069,-0.008482997107597295,-0.027049748855694385,-0.0026675948856112997,-0.026499592931642155,-0.0077274578060404515,0.00460808697867834,-0.012438859633291856,0.003935350877628459,0.00895166545604355,-0.019157995432214008,0.005935907591990533,-0.0054648743346525875,-0.008032085204512387,-0.04270394041549405,-0.04140730717413789,-0.00455867527141277,0.00013995453575603206,0.001954479612876372,-0.05645022564644158,0.0004362872926495508,0.00934133784762108,-0.007885821462649186,0.03636575380300955,0.003522325206682016,-0.0018132151401829937,-0.003046935902009596,-0.0039658047111301034,-0.005033141051360238,-0.03284957153245571,0.02181126267633951,-0.006626835719004049,-0.0068439536618860024,-0.00959530015982906,0.0004471177156898449,0.007548793105297683,-0.004193344942492041,-0.0012057172466751157,1
TCGA-CQ-A4CE,-0.016228806974103623,-0.0017791950299734754,0.10589338734840635,0.02658894499403097,-0.001461318443124765,-0.01736760293406161,-0.0023482183370140053,-0.008967398716463494,-0.03393832049749768,-0.014974052554362158,-0.024836630723384743,-0.004490862716018508,0.007072469163591526,-0.015949556664749027,0.0038674821290891515,0.012561852137365121,-0.019184238460473402,0.0005818621020770262,-0.0022230274632115154,-0.002957560927847812,-0.04447251530819146,-0.038617557333700044,-0.0037295364969563236,0.000128709918052572,0.001955574184193222,-0.044896290991030076,0.0027090114458813873,0.015989158560547546,-0.006116094172828202,0.044064312957130584,0.006025062450907918,-0.003383774688184317,-0.0067476141016317645,-0.003290481707720984,-0.004244895382730081,-0.033291277137609446,0.008185809047491938,-0.006117837301877544,-0.005669802722094469,-0.010149277253697526,0.0075946176766222015,0.003279369774603227,-0.001597994999372975,-0.0019439449813897854,1
TCGA-CV-6959,-0.08025428936245603,-0.0022193093041557865,0.07773546136388594,0.026657874262374658,-0.002456275066075561,-0.03915941647590219,-0.028544084022268327,-0.011104427135678416,-0.0344655431283366,-0.00795860774673437,-0.04183047941081306,-0.006177056162279541,0.011670399468954694,-0.017949350189518924,0.005970336758221267,0.02016086002800835,-0.031278144317867254,0.031949338139986544,-0.005229169530018348,-0.017370846351035234,-0.0486954877674719,-0.06097655263609739,-0.004134861355268929,0.0007686829956758091,0.00540004308635356,-0.08749042314776041,0.005080877423709655,0.019179416214942763,-0.025490841401996686,0.10174969704979586,0.016649657412212252,-0.015982515920330866,-0.026278531898409636,-0.007784460768272558,-0.016142956211292008,-0.0638144564792443,0.0006239491481789615,-0.010992735536685633,-0.008437748834862521,-0.015113403193147454,0.003149854141723137,0.03854051250553722,-0.0226799039912422,-0.0025848826253197566,0
