feature,coefficient
MME,-0.0001817527207781837
TNFRSF1A,2.7686504925954328e-05
RBP1,-0.0001261074713314889
TRMT112,6.797587274776858e-05
POLR2L,2.7618408203404298e-05
NQO1,-5.079512985160338e-05
RNASE7,-0.0009541853977505112
SPINK6,0.00017872441373319915
PLA2G4A,0.000930953905719981
PSMB7,-0.0001783828742305091
TPI1,7.240665732307214e-05
FXYD5,-8.547181201752591e-05
CCL19,1.8300712062878856e-05
F3,-6.426706603475643e-05
TMBIM6,-0.00023669846482934616
MSMO1,-9.672069701520201e-05
TOMM22,0.00011880081647193252
ARL4D,-0.00041453172052731006
GAPDH,-4.3705849993459565e-05
HSP90AA1,-1.0678173413902443e-06
ALDH3A1,4.552561367650549e-05
FTH1,-0.0004386018327268676
HSP90AB1,3.315513599600611e-05
PSMB3,-7.013695282480317e-05
APRT,-0.00012035395558265466
KIAA1522,0.0004867597894128725
CAMK2N1,-0.0004196123802302837
CDKN2A,0.0014539703178133522
CALML5,1.635105963753712e-05
LYPLA2,-0.000236089375679947
SERPINE1,2.8176233372549437e-05
SOD1,-0.00021253129118566593
TMEM230,-0.00014652850024414007
RAN,7.690324147072312e-06
CHGB,-9.955917291446435e-05
TCEAL9,-0.0009434180471553116
F2RL1,9.459725894817477e-05
IL1A,-5.01187452001746e-05
RPS21,-2.5551221134480803e-05
KLF3,4.471589689689611e-05
USP14,-0.00011663965929089917
PGK1,-0.00015672445222235989
