,ANXA10,ANXA2,ANXA5,APLP2,CAPG,CCNB1,CYP27A1,CYP2C9,DYNLL1,G6PC,GDI2,IRAK1,ITGA5,NT5DC2,PLOD2,PSMB5,SLC2A2,TAGLN2,TFDP1,TMEM106C,YBX1,class
GSM3212451,0.083194206,0.007611363,0.013531263,-0.00689696,0.018605544,-0.096207637,0.015605954,0.008829206,-0.018739365,0.00268868,-0.033569604,-0.00304094,0.011476608,-0.000712529,-0.017903259,-0.0206758,0.026546224,-0.013751815,-0.01059966,-0.067584287,-0.108769526,0
GSM3212452,0.176174956,0.008616323,0.015204176,-0.007446471,0.017089134,-0.103060638,0.012583032,0.010755373,-0.018501505,0.002196125,-0.035309011,-0.002683826,0.013553298,-0.00069901,-0.02353164,-0.020783811,0.019964263,-0.01249557,-0.013607323,-0.081336297,-0.120892355,0
GSM3212456,0.247132817,0.008410711,0.014628814,-0.006852383,0.020695433,-0.086026882,0.012962626,0.007691875,-0.01737153,0.0015246,-0.032614892,-0.002904754,0.013042939,-0.000855923,-0.017569636,-0.019674907,0.017617497,-0.012595778,-0.007398732,-0.067099302,-0.109633884,0
GSM3212459,0.26785181,0.008942544,0.013588662,-0.007540019,0.013778612,-0.096292977,0.013951483,0.012610331,-0.017758021,0.003906939,-0.031498548,-0.002741757,0.012804063,-0.000736717,-0.015909404,-0.019762088,0.024402937,-0.011651587,-0.010031159,-0.067779527,-0.116807872,0
GSM3212461,0.275824744,0.008731972,0.012812682,-0.007463902,0.016680734,-0.066587061,0.014511332,0.009384052,-0.017239659,0.002319202,-0.030238317,-0.002604327,0.011291935,-0.000811963,-0.01305908,-0.020384552,0.02312451,-0.012038969,-0.007080467,-0.061054312,-0.108737734,0
GSM3212466,0.117729379,0.009390642,0.011983767,-0.007149517,0.020078498,-0.104897233,0.013866221,0.013255301,-0.017993483,0.002222099,-0.032209987,-0.003042188,0.01210586,-0.001049327,-0.018779443,-0.020981366,0.020787684,-0.011026268,-0.010732486,-0.070821815,-0.101117879,0
GSM3212468,0.140051283,0.009079806,0.013410997,-0.007405727,0.019938307,-0.082897945,0.014140657,0.0119942,-0.017794567,0.001730732,-0.033222699,-0.003140956,0.008367604,-0.000795941,-0.019872019,-0.020291032,0.027274264,-0.011807942,-0.009938958,-0.068602121,-0.112599688,0
GSM3212473,0.221881463,0.008363761,0.012219682,-0.006905372,0.011313624,-0.10486111,0.015838001,0.013422344,-0.018080583,0.003449587,-0.030613967,-0.0027486,0.008582337,-0.000814497,-0.016801726,-0.01990743,0.028209542,-0.007909604,-0.011212006,-0.067957576,-0.109446096,0
GSM3212485,0.202713028,0.008582964,0.013223042,-0.007118337,0.014431053,-0.09902952,0.012605328,0.01251708,-0.017948979,0.003883763,-0.031104072,-0.003825622,0.011804158,-0.000689523,-0.016868586,-0.020164446,0.023975418,-0.011811927,-0.013833178,-0.078119436,-0.111760197,0
GSM3212486,0.0629109,0.010528482,0.012995522,-0.007316585,0.020464772,-0.089526686,0.016275736,0.01004968,-0.01759396,0.002542487,-0.031971483,-0.002826408,0.01127686,-0.000853254,-0.016621751,-0.021878888,0.0250976,-0.011758523,-0.010871176,-0.068225274,-0.114844638,0
