"","ANXA10","ANXA2","ANXA5","APLP2","CAPG","CCNB1","CYP27A1","CYP2C9","DYNLL1","G6PC","GDI2","IRAK1","ITGA5","NT5DC2","PLOD2","PSMB5","SLC2A2","TAGLN2","TFDP1","TMEM106C","YBX1","class"
"GSM3212448",112.446719629695,8.08543755316114,148.868867915493,56.7725236723355,138.203262582615,126.332849000961,130.699933187867,49.3091346715979,159.300234849282,74.5954856974094,93.8265084466577,24.2281059707801,34.627744075464,20.5503229909775,36.979720939349,193.455363406576,119.272189364228,156.029946400994,57.2622117538714,103.617334005661,143.790875590765,1
"GSM3212450",196.173210651909,12.0530816306873,143.622848611566,63.8298113351095,93.3094027839962,91.4156565946604,146.255940506132,71.9121532686945,155.433470278595,64.2970723226594,78.5974733795608,23.1521153286027,34.421462716138,21.8362262553777,39.6147455920439,189.392653742845,155.715584791835,150.581924541107,44.7943387668422,97.2821219809968,128.279991594949,1
"GSM3212451",68.3051138173342,8.59048115321372,132.927112332598,56.7308660046792,113.541670997011,128.305870664134,148.759869919404,49.0866869075943,170.84248874399,75.9501693700247,101.271764439295,27.4339779562248,34.3745207882739,18.7505468225339,42.0280355167086,207.886967297797,140.750128277443,179.47479595993,51.9467241378197,100.452786061437,131.391368003783,0
"GSM3212452",144.645293778187,9.72471843409579,149.361316765643,61.2508595629452,104.287672072671,137.445272877862,119.944616515599,59.7953725758561,168.673974522474,62.0364255834794,106.519153822973,24.2122594209846,40.5945818525956,18.3947932334156,55.2407038750979,208.972976575811,105.852064457612,163.079566100503,66.6866549029051,120.892858818055,146.035498062929,0
"GSM3212453",141.030718251406,9.35911472155922,93.6084176176835,60.7686645444635,69.2333407772235,94.258475938152,150.031615567621,77.9951394131169,156.166586168561,114.989257625799,103.577325028369,28.1548970570221,26.3867512988276,22.3751875293278,40.2042361368027,193.825354681257,143.100551966678,103.473739880586,53.4229105966709,98.6881164420463,140.829776684242,1
"GSM3212454",179.199456826147,10.1366883207756,145.418749159395,63.2610172433291,98.4396075312609,113.111481911793,139.086681672319,66.3378715290731,161.686074610509,87.9842055373293,99.8722992750927,34.4975670230163,35.2330220766998,19.9928367408936,47.8385282341243,213.040715653338,125.878418219979,160.533381746394,50.958015241812,109.345181001272,133.364150185918,1
"GSM3212455",54.0224710413056,10.2138825429333,139.603786248382,62.2988708771776,123.598559177016,145.972282125027,108.551890874093,42.3857872533611,160.016518715948,49.3598849779011,99.4100794980279,30.1650965191234,36.3300322943779,19.8492655386636,46.0949476753033,216.771905481354,110.038071545951,144.457796454852,55.0647333939472,103.225631363278,147.429357229075,1
"GSM3212456",202.903975132905,9.49265671654979,143.709128181289,56.3641966308625,126.295371120362,114.728459421317,123.563004650305,42.7636029933665,158.372258272404,43.067097301593,98.3916188146825,26.2053769696769,39.0659656045857,22.5240363935116,41.244853340421,197.823389115917,93.4093319303638,164.387380832748,36.2596430562594,99.7319367556831,132.435494763336,0
"GSM3212457",97.9419760269321,11.0882668774605,126.740780310728,57.4694706936012,128.675967149431,141.728769301738,127.952832458462,41.3377392265399,165.402872560904,100.608058280469,98.0165715135519,29.866964542169,35.1261211749047,20.8700425352351,35.2721731077905,207.911433512715,123.150526271493,160.703066657114,53.5847822747599,99.9412033027471,131.88494160886,1
"GSM3212458",196.240151591371,9.50239472403383,123.360003688697,58.1690075015989,99.3744157419773,132.454262793019,118.853767667777,75.7623895779062,167.691638167258,70.847219097676,99.7510849483785,32.3112037085879,34.3169611643799,20.2531990127521,51.616569686435,198.200159942891,124.860268217838,167.336047367984,49.29740162677,115.174390390935,138.861992509638,1
"GSM3212459",219.91493392912,10.0929043679367,133.490990382227,62.0203398682887,84.0849705178916,128.419682869272,132.989031378707,70.1081604254644,161.895801198403,110.363705969986,95.0238653212715,24.7348879933529,38.3504879252756,19.3870692151649,37.3474463252047,198.699958533394,129.386254867934,152.064749131405,49.160618033884,100.742978286472,141.101525975989,0
