,ADH1A,ARCN1,ATF4,CDC20,CKS2,DRAP1,DSG2,G6PD,GSR,HMGA1,HSPA8,HSPD1,KIAA2013,LDHD,MMP12,PPIA,PSMA7,RPN2,S100A16,SEC14L2,SEC61A1,SMG5,SPP2,class
GSM3212451,0.006008941,0.0313694,-0.013715035,-0.054085418,-0.383340337,-0.031043559,0.008013923,-0.006045222,-0.031589136,0.002131317,-0.023022446,-0.05625841,-0.00053685,0.026758066,0.055236058,-0.082672741,-0.037743729,0.074436263,0.030494889,0.004931397,-0.066141738,-0.034582335,0.007337594,0
GSM3212452,0.003861515,0.031947593,-0.014163303,-0.075832856,-0.424906661,-0.035304798,0.007454557,-0.01004366,-0.032916642,0.002609239,-0.023058185,-0.054211317,-0.000536495,0.03970528,0.101285669,-0.084413185,-0.039382866,0.072868539,0.031261867,0.004188573,-0.068021114,-0.03288765,0.001784208,0
GSM3212456,0.004159137,0.030404179,-0.013252905,-0.060723045,-0.371667653,-0.029231093,0.009414342,-0.007919443,-0.027417214,0.003085195,-0.020963486,-0.052258754,-0.00051475,0.026739337,0.143821425,-0.082574964,-0.037666009,0.073780772,0.029881061,0.002896462,-0.060112059,-0.030858477,0.001769107,0
GSM3212459,0.00587561,0.032319415,-0.014007725,-0.07142795,-0.382051341,-0.026360741,0.003840485,-0.005477623,-0.029275543,0.002347106,-0.021290396,-0.052659593,-0.000469522,0.048662746,0.035882727,-0.084102093,-0.04120004,0.074717881,0.02997529,0.006328502,-0.062715046,-0.030895877,0.003669327,0
GSM3212461,0.00519022,0.031623332,-0.013809942,-0.044707289,-0.346033869,-0.032196714,0.006834406,-0.005334847,-0.029969963,0.002332126,-0.022376989,-0.047747642,-0.000536819,0.047002818,0.038529057,-0.078906828,-0.037742815,0.068357891,0.026304997,0.005911421,-0.061770913,-0.02732512,0.005447774,0
GSM3212466,0.005712769,0.029157195,-0.014540061,-0.062346092,-0.39508344,-0.032591848,0.008295011,-0.006002306,-0.023927286,0.003592353,-0.022029561,-0.052124752,-0.000692146,0.026258883,0.146242597,-0.083112784,-0.038323968,0.071380359,0.031909448,0.002899758,-0.055609846,-0.031436697,0.005162968,0
GSM3212468,0.003900029,0.030018929,-0.01349031,-0.057219567,-0.414050917,-0.029030168,0.007057496,-0.005694225,-0.028373093,0.002278803,-0.02307907,-0.050855955,-0.000483962,0.031597053,0.096486865,-0.083265114,-0.03812288,0.072541333,0.03143721,0.007160135,-0.059615371,-0.0305175,0.006832911,0
GSM3212473,0.00649385,0.026356673,-0.013630523,-0.068293239,-0.379962926,-0.02508008,0.003739702,-0.005712238,-0.018108955,0.002402645,-0.02175701,-0.050437233,-0.000530132,0.042364869,0.04449501,-0.082785095,-0.039649008,0.072447015,0.027647402,0.005957362,-0.051175151,-0.031331302,0.009203614,0
GSM3212485,0.005325253,0.031545644,-0.013920315,-0.064237077,-0.390310196,-0.037142811,0.006430285,-0.005313755,-0.033749193,0.002488057,-0.022479516,-0.053028501,-0.000529468,0.038954976,0.044997784,-0.081497297,-0.037208251,0.071082341,0.032481496,0.007348414,-0.065206512,-0.029564,0.006668536,0
GSM3212486,0.005566115,0.030521972,-0.014589049,-0.062077735,-0.342531939,-0.033849944,0.005322496,-0.006379547,-0.031158784,0.002782615,-0.021412265,-0.056922616,-0.00055795,0.042153096,0.106703885,-0.081771987,-0.044000754,0.078739699,0.024686315,0.005992304,-0.056723145,-0.034706828,0.008302683,0
GSM3212487,0.005166312,0.029758039,-0.013813533,-0.060676482,-0.357575701,-0.031729199,0.007270845,-0.005832195,-0.032954687,0.003070185,-0.02300513,-0.0571705,-0.000552722,0.038967138,0.089001573,-0.081786479,-0.040804635,0.073603781,0.028305712,0.005704763,-0.054215679,-0.031852738,0.007091409,0
GSM3212496,0.004404833,0.031243295,-0.013630734,-0.073169096,-0.40062579,-0.028298775,0.005561991,-0.006207231,-0.021097654,0.002213212,-0.018268541,-0.042720872,-0.000618074,0.033740632,0.113339492,-0.083199842,-0.035664075,0.068335636,0.035404189,0.005919221,-0.066281892,-0.034407278,0.003276317,0
GSM3212497,0.006339134,0.02708161,-0.013063967,-0.038610037,-0.356146107,-0.028347929,0.00423706,-0.00578706,-0.022717019,0.002488817,-0.022028309,-0.050602355,-0.000479879,0.04965653,0.030201228,-0.081568683,-0.04101184,0.069236989,0.027763284,0.008508411,-0.055918204,-0.030717692,0.006786137,0
GSM3212499,0.003414113,0.030054938,-0.014620048,-0.077209737,-0.430437432,-0.032649811,0.010248087,-0.012102948,-0.036275827,0.002701742,-0.021924294,-0.053314525,-0.000540549,0.027476361,0.107803481,-0.085281089,-0.040336299,0.07401591,0.034045374,0.003069459,-0.062084191,-0.033699001,0.00156624,0
GSM3212500,0.002599201,0.030038516,-0.014205544,-0.072577248,-0.423532875,-0.032130727,0.007190803,-0.008983886,-0.027720724,0.00266608,-0.022912216,-0.053101095,-0.000478832,0.036214347,0.143024821,-0.082013135,-0.040239353,0.072950902,0.03252124,0.004320552,-0.064085997,-0.035398348,0.002616119,0
GSM3212448,0.004744427,0.031080116,-0.013460734,-0.067210376,-0.388932462,-0.031675539,0.006377344,-0.00648877,-0.026366468,0.002558954,-0.022808996,-0.050858727,-0.00051127,0.025119781,0.109883032,-0.081946346,-0.037109896,0.070618718,0.028616208,0.004159074,-0.059119603,-0.029723454,0.006677992,1
GSM3212450,0.006506128,0.030503159,-0.014300007,-0.057567133,-0.336318668,-0.031689041,0.00511329,-0.006739897,-0.026368233,0.00201137,-0.018451447,-0.048544373,-0.000556997,0.044001514,0.036465324,-0.084367873,-0.035960436,0.069498307,0.029128724,0.007236529,-0.061133185,-0.032002038,0.005521865,1
GSM3212453,0.006177372,0.029543973,-0.011910038,-0.038923518,-0.356829789,-0.032335653,0.003867976,-0.005721103,-0.032083713,0.00219375,-0.02291631,-0.054679908,-0.000499787,0.04533105,0.032531075,-0.083925584,-0.03917077,0.064933303,0.027701511,0.006936051,-0.059696896,-0.031244522,0.006784015,1
GSM3212454,0.005627566,0.031519228,-0.013936644,-0.040738915,-0.392384656,-0.033576282,0.007809373,-0.005875277,-0.030339053,0.002384678,-0.022772882,-0.05610803,-0.00053491,0.034422928,0.11192245,-0.083592101,-0.038307102,0.076458188,0.030302874,0.005874942,-0.066499714,-0.031677554,0.007228555,1
GSM3212455,0.00485834,0.031126452,-0.014787294,-0.072991179,-0.414345631,-0.02829161,0.010344162,-0.006380736,-0.025298819,0.003643938,-0.021885614,-0.056619024,-0.000582088,0.028862633,0.14423062,-0.083396343,-0.038766584,0.078080909,0.027602411,0.003223593,-0.05964156,-0.031643177,0.004105225,1
GSM3212457,0.005592975,0.030071858,-0.014843448,-0.062337298,-0.393559727,-0.028438062,0.008045395,-0.005267256,-0.021547499,0.002864144,-0.022792422,-0.052782826,-0.000581569,0.026319452,0.046593084,-0.084075628,-0.038654684,0.072665261,0.029840595,0.002988585,-0.057915932,-0.0338997,0.007237053,1
