,ADH1C,CDC20,FAM50A,GSR,HSP90AB1,HTATIP2,LAGE3,LAPTM4B,MARCKSL1,NPM1,NUDC,PPIA,RPN2,S100A16,SPP2,SRM,TIMM23,TPI1,ZWINT,class
GSM3212451,0.022650874,-0.053979781,-0.011934132,-0.054054364,0.007002672,-0.169627104,-0.006027278,-0.00389216,-0.039325738,-0.031046409,-0.043973609,-0.05872718,0.012181615,0.016039121,0.008813779,-0.063646957,-0.130317288,0.018879093,-0.168939869,0
GSM3212452,0.020708834,-0.075684743,-0.012707266,-0.056325952,0.006910472,-0.168408432,-0.006694502,-0.004636178,-0.046214832,-0.032004723,-0.053560603,-0.059963517,0.011925055,0.016442521,0.002143156,-0.06489964,-0.117876909,0.021073631,-0.186849575,0
GSM3212456,0.021392698,-0.060604444,-0.011516992,-0.046915498,0.006309663,-0.169861493,-0.007122138,-0.001340782,-0.040553294,-0.031350448,-0.045950137,-0.058657724,0.012074343,0.015716271,0.002125018,-0.07422324,-0.111038572,0.020378721,-0.170203276,0
GSM3212459,0.023117388,-0.071288441,-0.012405192,-0.050095414,0.005082787,-0.146124567,-0.007034749,-0.002365094,-0.033679068,-0.031320512,-0.050563533,-0.059742531,0.012227703,0.015765832,0.004407526,-0.072056541,-0.125752533,0.020120271,-0.21248398,0
GSM3212461,0.025011548,-0.044619969,-0.010898239,-0.051283685,0.005062381,-0.173369961,-0.00611988,-0.002986892,-0.035582959,-0.030790386,-0.046947587,-0.056052037,0.01118688,0.013835401,0.006543764,-0.072929236,-0.12775141,0.019701381,-0.147451153,0
GSM3212466,0.017179456,-0.062224321,-0.010810288,-0.040943641,0.006429204,-0.136705842,-0.006107889,-0.00423635,-0.041690217,-0.031679529,-0.042711657,-0.059039768,0.011681512,0.016783123,0.006201659,-0.059958799,-0.151108744,0.019932069,-0.217091255,0
GSM3212468,0.021943324,-0.057107808,-0.012089983,-0.048551169,0.005667733,-0.181190594,-0.006582197,-0.003654161,-0.037830602,-0.029697734,-0.050962844,-0.059147977,0.011871507,0.016534745,0.008207563,-0.067200455,-0.123513018,0.021303837,-0.194961669,0
GSM3212473,0.02062799,-0.068159852,-0.009238158,-0.03098749,0.006023623,-0.150794714,-0.005921658,-0.0031332,-0.033452508,-0.03313287,-0.044935151,-0.058806992,0.011856072,0.014541454,0.011055207,-0.065314384,-0.121983673,0.018654727,-0.197355943,0
GSM3212485,0.023155351,-0.064111612,-0.011565181,-0.057750587,0.005465114,-0.174191746,-0.00675996,-0.004027883,-0.034734941,-0.031252455,-0.049221207,-0.057892196,0.011632741,0.017083998,0.008010119,-0.064674183,-0.138943673,0.020689367,-0.174915155,0
GSM3212486,0.016617741,-0.061956488,-0.011730647,-0.053317959,0.006367713,-0.182982141,-0.005766272,-0.00324973,-0.03826023,-0.030439636,-0.046151905,-0.058087324,0.01288588,0.012984038,0.009973027,-0.068197265,-0.129285381,0.019922686,-0.190968882,0
GSM3212487,0.011606215,-0.060557972,-0.01244809,-0.056391054,0.006713567,-0.177137361,-0.007046839,-0.003382179,-0.0391887,-0.032257294,-0.050487116,-0.058097618,0.012045378,0.014887699,0.008518066,-0.074698908,-0.114862538,0.019791741,-0.18836366,0
GSM3212496,0.018232357,-0.073026185,-0.010506163,-0.036101661,0.003254685,-0.126455621,-0.007025913,-0.002734287,-0.035979506,-0.032018907,-0.044044521,-0.05910161,0.011183238,0.018621221,0.003935451,-0.060898784,-0.131253863,0.019983633,-0.209295418,0
GSM3212497,0.026151255,-0.038534626,-0.010836649,-0.038872668,0.006380733,-0.150732904,-0.006455167,-0.001319214,-0.025155139,-0.032478834,-0.047916586,-0.057942905,0.011330746,0.014602403,0.00815138,-0.067559132,-0.119859834,0.018359714,-0.149673256,0
GSM3212499,0.024349549,-0.077058935,-0.012460738,-0.062074087,0.006157594,-0.180088981,-0.00706799,-0.004679777,-0.03984579,-0.032497148,-0.050961166,-0.06058004,0.012112824,0.017906537,0.001881338,-0.079767179,-0.110193317,0.019162347,-0.182350511,0
GSM3212500,0.012818512,-0.072435493,-0.012210743,-0.047434856,0.005986002,-0.179893776,-0.006780371,-0.004232265,-0.040582669,-0.031618681,-0.052511892,-0.058258625,0.011938534,0.017104902,0.003142433,-0.077549165,-0.11980435,0.020202985,-0.20507457,0
GSM3212448,0.020560515,-0.067079104,-0.010765703,-0.045117495,0.005592639,-0.138564213,-0.006287409,-0.003299825,-0.040289294,-0.031279134,-0.045015574,-0.05821118,0.011556868,0.015051008,0.008021478,-0.069180161,-0.116117858,0.019115207,-0.191301205,1
GSM3212450,0.027497001,-0.057454696,-0.011108823,-0.045120514,0.00420488,-0.18967832,-0.005893153,-0.001737704,-0.033714728,-0.030530822,-0.048133176,-0.05993133,0.011373511,0.015320571,0.00663276,-0.066782108,-0.110238417,0.018782566,-0.17105165,1
GSM3212453,0.026231203,-0.038847494,-0.012337673,-0.054900669,0.006570742,-0.192911458,-0.006586662,-0.004092201,-0.025768779,-0.03250994,-0.051255214,-0.059617147,0.010626441,0.014569913,0.008148831,-0.069138848,-0.130532699,0.019539808,-0.161092867,1
GSM3212454,0.022900474,-0.040659345,-0.010964497,-0.051915259,0.006556983,-0.200305883,-0.006232182,-0.004895054,-0.03569409,-0.031243687,-0.049214001,-0.059380254,0.012512507,0.015938128,0.008682805,-0.070430942,-0.146862308,0.021760286,-0.161765534,1
GSM3212455,0.010723917,-0.072848616,-0.012313959,-0.043290566,0.006637041,-0.138929178,-0.006226906,-0.005079963,-0.04511854,-0.031781039,-0.046044531,-0.059241197,0.012778068,0.01451779,0.004931119,-0.080303762,-0.119267846,0.021900527,-0.200878653,1
GSM3212457,0.018346403,-0.062215544,-0.011614276,-0.036871422,0.006889203,-0.15249284,-0.005836285,-0.004205184,-0.042703337,-0.032236404,-0.044326402,-0.059723732,0.011891788,0.015694988,0.008693011,-0.067077164,-0.130840108,0.019226053,-0.183869155,1
GSM3212458,0.016811734,-0.063572067,-0.013854125,-0.049877462,0.00575915,-0.169137869,-0.008238598,-0.003548516,-0.037500709,-0.030882412,-0.050579567,-0.058631772,0.011896323,0.017137403,0.007425384,-0.064935253,-0.117887589,0.021063368,-0.177463932,1
GSM3212460,0.019654227,-0.0617529,-0.011476744,-0.050132697,0.00562984,-0.174215914,-0.006635964,-0.003770704,-0.038347556,-0.032213208,-0.047129726,-0.058235953,0.012113989,0.016423362,0.008620514,-0.063712465,-0.133631967,0.019755472,-0.183657552,1
GSM3212462,0.026775674,-0.041574213,-0.011501957,-0.035611254,0.0049794,-0.159075331,-0.007575466,-0.001626734,-0.029201593,-0.029960518,-0.048972803,-0.059169614,0.011583565,0.015826591,0.008870293,-0.064808554,-0.122241336,0.019940146,-0.141426309,1
GSM3212463,0.021716612,-0.064103826,-0.012057517,-0.047788733,0.005214728,-0.158575534,-0.005908033,-0.001559263,-0.032128858,-0.031388231,-0.046082842,-0.05829201,0.011818877,0.01521096,0.008230525,-0.072513307,-0.126906154,0.020568926,-0.196130008,1
GSM3212464,0.020936003,-0.064453714,-0.012064131,-0.048272705,0.004849452,-0.160796772,-0.007336452,-0.004234359,-0.04089426,-0.030025902,-0.048718346,-0.059216041,0.011618766,0.01734403,0.007576998,-0.065800088,-0.121077464,0.020247609,-0.212658673,1
