,APEX1,CD63,CKS2,FAM50A,HDGF,HSPA8,HTATIP2,MMP12,PAEP,PPIA,PRDX1,PSMA7,RAB10,RAMP3,RPN2,SEC61A1,SPP2,VASP,class
GSM3212451,-0.090831365,0.015806825,-0.566736712,-0.01922686,-0.012517855,-0.022529256,-0.082140386,0.027384901,0.005499349,-0.080789664,-0.00778368,-0.04782653,-0.048622667,0.134433985,0.063538746,-0.063153327,0.000257095,0.042250065,0
GSM3212452,-0.100371974,0.015395793,-0.628189055,-0.020472442,-0.01260744,-0.02256423,-0.081550256,0.050215352,0.004026166,-0.082490465,-0.008444716,-0.049903544,-0.046622052,0.08973097,0.062200538,-0.06494779,6.25E-05,0.043998248,0
GSM3212456,-0.091744243,0.015559312,-0.549479622,-0.018554812,-0.012201717,-0.020514403,-0.082253887,0.071303705,0.005658049,-0.080694115,-0.008007672,-0.047728049,-0.049750653,0.120780068,0.062979219,-0.057396081,6.20E-05,0.040750076,0
GSM3212459,-0.096068261,0.015162447,-0.564831038,-0.019985775,-0.012428701,-0.02083431,-0.070759496,0.017789918,0.00491201,-0.08218646,-0.00798394,-0.052206155,-0.046871204,0.157971288,0.063779136,-0.059881461,0.000128566,0.034780543,0
GSM3212461,-0.089655716,0.014384566,-0.511582211,-0.017557952,-0.011537822,-0.021897626,-0.083952831,0.019101914,0.007101144,-0.077109529,-0.007967527,-0.047825373,-0.046132083,0.245088252,0.058350252,-0.058979985,0.000190879,0.035113757,0
GSM3212466,-0.097820447,0.015004431,-0.58409791,-0.017416255,-0.013201469,-0.021557641,-0.066198564,0.072504072,0.004619435,-0.081219684,-0.007701704,-0.048561773,-0.049850391,0.121772177,0.060930228,-0.053097287,0.0001809,0.036867224,0
GSM3212468,-0.089112241,0.015711258,-0.612139743,-0.019477947,-0.012100811,-0.022584668,-0.087739902,0.047836203,0.005312431,-0.081368544,-0.00820918,-0.048306967,-0.050245682,0.141540524,0.061921235,-0.056921835,0.000239412,0.032727261,0
GSM3212473,-0.093210484,0.013780093,-0.561743491,-0.014883425,-0.012085858,-0.021290929,-0.073020972,0.022059711,0.004858673,-0.080899459,-0.008021973,-0.050240783,-0.048544552,0.142899112,0.061840725,-0.048862959,0.000322476,0.029575473,0
GSM3212485,-0.089353395,0.015033195,-0.577041068,-0.01863245,-0.011936133,-0.021997957,-0.084350773,0.022308976,0.004404762,-0.079640994,-0.00820718,-0.047148005,-0.04960508,0.161599058,0.060675841,-0.062260357,0.000233652,0.034256315,0
GSM3212486,-0.098363848,0.015162182,-0.5064049,-0.018899029,-0.012222307,-0.020953569,-0.088607442,0.052901592,0.005489106,-0.079909427,-0.008586853,-0.055755048,-0.04670394,0.143116548,0.067212156,-0.054160285,0.00029091,0.035622298,0
GSM3212487,-0.093273895,0.014435471,-0.528645846,-0.020054888,-0.012241203,-0.022512311,-0.08577716,0.044125149,0.005641058,-0.079923589,-0.00811641,-0.051705122,-0.046567305,0.1144444,0.06282814,-0.051766111,0.000248469,0.036580607,0
GSM3212496,-0.088312315,0.015307856,-0.592291813,-0.016926286,-0.012980604,-0.01787719,-0.061234988,0.056191389,0.005835179,-0.081304759,-0.007098697,-0.045191321,-0.054147198,0.126149841,0.058331255,-0.06328715,0.000114796,0.035437789,0
GSM3212497,-0.094578873,0.013950633,-0.526532312,-0.017458725,-0.012321127,-0.021556416,-0.072991041,0.014973148,0.004874661,-0.079710754,-0.008428061,-0.05196768,-0.049869083,0.181249424,0.05910065,-0.053391712,0.000237773,0.032979068,0
