,AGR2,ARCN1,CA9,DAD1,DAP,DDOST,EIF3D,FAM50A,GPLD1,HDGF,HSPA8,HSPD1,HTATIP2,ILF2,KIAA2013,LSM10,NUDC,PAEP,PCNA,PON1,PTTG1,RAMP3,S100A16,SEC61A1,SLC17A2,SLC25A15,SPP1,class
GSM3212451,0.022552502,0.023092798,0.004450595,-0.061062472,0.013453435,0.02648011,0.01555779,-4.66E-05,0.038482139,-0.037193296,-0.027499706,-0.027950594,-0.085377557,0.075441505,-0.006666139,-0.392732533,-0.018333016,0.00643956,-0.10794279,0.017799323,-0.142930078,0.192700365,0.009564209,-0.0543937,0.044751097,0.03441008,4.16E-05,0
GSM3212452,0.062902254,0.023518439,0.007439578,-0.064348945,0.013833926,0.026514429,0.015288229,-4.97E-05,0.033112698,-0.037459472,-0.027542396,-0.026933547,-0.08476417,0.075548415,-0.006661726,-0.464781485,-0.022329925,0.004714511,-0.120143989,0.017293904,-0.163949692,0.128622169,0.009804758,-0.055939264,0.037093332,0.02915539,4.58E-05,0
GSM3212456,0.070894859,0.022382244,0.009499086,-0.059111642,0.012599668,0.027709813,0.01510743,-4.50E-05,0.023175249,-0.036253982,-0.025040332,-0.025963464,-0.085495531,0.066257721,-0.00639172,-0.419590177,-0.019157049,0.006625394,-0.106267273,0.017699627,-0.146388997,0.173128567,0.009371692,-0.049435008,0.038266394,0.026128237,4.63E-05,0
GSM3212459,0.013814577,0.023792158,0.005190096,-0.060176404,0.011214965,0.03083949,0.014891251,-4.85E-05,0.044779326,-0.036928398,-0.025430818,-0.026162611,-0.073548144,0.064672559,-0.005830117,-0.43775094,-0.021080418,0.005751805,-0.113683656,0.016018064,-0.160612205,0.226439206,0.009401245,-0.051575655,0.041284504,0.046170275,3.18E-05,0
GSM3212461,0.016454275,0.023279732,0.004792252,-0.058834057,0.01269536,0.028457964,0.01459112,-4.26E-05,0.044961149,-0.034281403,-0.026728724,-0.02372223,-0.087261431,0.058648596,-0.006665759,-0.447605063,-0.019572895,0.008315211,-0.093039405,0.024890077,-0.128613378,0.351314406,0.00825012,-0.050799218,0.047855886,0.036642906,7.01E-05,0
GSM3212466,0.038363665,0.021464268,0.008562393,-0.064467453,0.012163855,0.025969486,0.015588457,-4.23E-05,0.029710998,-0.039224462,-0.026313731,-0.025896889,-0.068807464,0.072670946,-0.008594474,-0.401485287,-0.017806896,0.00540921,-0.108766654,0.025427503,-0.157378122,0.174550676,0.010007861,-0.045732474,0.043813535,0.030362674,5.22E-05,0
GSM3212468,0.012954202,0.022098639,0.011411285,-0.065799192,0.012705191,0.025698439,0.014039418,-4.73E-05,0.03766474,-0.035954167,-0.027567343,-0.025266518,-0.091197751,0.067132147,-0.006009419,-0.482041388,-0.021246894,0.006220686,-0.110760717,0.022058459,-0.157825277,0.20288702,0.009859752,-0.049026542,0.04740612,0.028022546,5.77E-05,0
GSM3212473,0.014490263,0.019402645,0.004445105,-0.05909995,0.011499778,0.026231983,0.015521385,-3.61E-05,0.044761799,-0.035909739,-0.025988177,-0.025058487,-0.075898745,0.06753956,-0.006582726,-0.451756608,-0.018733892,0.00568935,-0.108023858,0.021935668,-0.173292979,0.204834448,0.008671142,-0.042085465,0.04477948,0.036335582,3.39E-05,0
GSM3212485,0.01574141,0.023222541,0.004119415,-0.066166207,0.013119475,0.028329856,0.014284119,-4.52E-05,0.046927507,-0.035464873,-0.026851191,-0.026345894,-0.087675056,0.071584691,-0.006574482,-0.48052609,-0.020520789,0.005157834,-0.114046392,0.025745964,-0.162005868,0.231639324,0.010187274,-0.053624588,0.038673668,0.038539895,4.52E-05,0
GSM3212486,0.015154282,0.022468958,0.005098097,-0.062932087,0.011989225,0.02746077,0.015953204,-4.59E-05,0.027842335,-0.036315159,-0.025576387,-0.028280588,-0.092099481,0.069326625,-0.00692814,-0.385689446,-0.019241168,0.006427566,-0.107280802,0.00909437,-0.146147859,0.205146125,0.007742447,-0.04664803,0.048264422,0.031848095,7.68E-05,0
GSM3212487,0.015610786,0.021906584,0.005014274,-0.059931651,0.013300721,0.027681591,0.016573534,-4.87E-05,0.022541261,-0.036371302,-0.027479023,-0.028403743,-0.089157657,0.07132896,-0.006863229,-0.435906657,-0.021048559,0.006605498,-0.098814087,0.010988243,-0.163070578,0.164046893,0.00887761,-0.044585938,0.045872711,0.033063432,4.80E-05,0
GSM3212496,0.013623363,0.022999965,0.006627593,-0.05827097,0.01167347,0.025255922,0.01389466,-4.11E-05,0.055171632,-0.038568225,-0.021821292,-0.021224804,-0.063648272,0.063805064,-0.007674705,-0.38800455,-0.01836258,0.006832807,-0.112925639,0.023114304,-0.162744113,0.180825708,0.011103928,-0.054508961,0.021331519,0.039391127,3.36E-05,0
GSM3212497,0.015648264,0.019936312,0.004854337,-0.06109238,0.01287089,0.025584849,0.015522346,-4.24E-05,0.045100967,-0.036608772,-0.026312236,-0.025140523,-0.075867635,0.06385636,-0.005958723,-0.471273928,-0.019976881,0.005708071,-0.104181529,0.017731089,-0.139039021,0.259806552,0.008707487,-0.045986061,0.04085103,0.040357041,3.98E-05,0
GSM3212499,0.071441652,0.022125148,0.009407229,-0.062804745,0.011678408,0.030051992,0.015701993,-4.87E-05,0.019672982,-0.040246428,-0.026187992,-0.026487998,-0.090643282,0.074564082,-0.006712076,-0.449722632,-0.021246195,0.005674979,-0.109556386,0.014164244,-0.174482523,0.187071256,0.010677759,-0.051056852,0.011139958,0.029194067,6.83E-05,0
GSM3212500,0.050177729,0.022113059,0.00469141,-0.06031437,0.013415889,0.029760161,0.015089183,-4.77E-05,0.027894066,-0.036363283,-0.027368039,-0.02638196,-0.09054503,0.071121367,-0.005945718,-0.491168869,-0.021892707,0.00581829,-0.104714718,0.009329367,-0.164161265,0.24015327,0.01019974,-0.052703099,0.033940089,0.029635664,6.81E-05,0
GSM3212448,0.034567431,0.02287984,0.004631353,-0.060473938,0.012015974,0.026301471,0.014831854,-4.21E-05,0.040045885,-0.035507031,-0.027244746,-0.025267896,-0.069742829,0.070463329,-0.00634851,-0.438260658,-0.018767421,0.004865311,-0.113360524,0.009986392,-0.162830881,0.321920575,0.008974992,-0.048618831,0.029082324,0.031825113,4.08E-05,1
GSM3212450,0.014324258,0.022455109,0.004667796,-0.057395684,0.014244006,0.02805148,0.014919432,-4.34E-05,0.043605174,-0.036447776,-0.022039768,-0.024118066,-0.095469835,0.052510054,-0.00691631,-0.425074181,-0.020067179,0.006971758,-0.097861271,0.023717217,-0.129173848,0.264311205,0.009135734,-0.050274762,0.042297802,0.038862468,4.52E-05,1
GSM3212453,0.01449114,0.021748998,0.005176776,-0.064024568,0.014712231,0.02590215,0.014295248,-4.82E-05,0.034864601,-0.038194571,-0.02737293,-0.027166354,-0.097097155,0.066580272,-0.006205927,-0.449969779,-0.021368786,0.005561247,-0.108524714,0.009542932,-0.129470664,0.282680278,0.008688113,-0.049093586,0.042309953,0.042461718,2.83E-05,1
GSM3212454,0.019633419,0.023203095,0.007090804,-0.063416835,0.014233357,0.026077835,0.013088829,-4.29E-05,0.042417683,-0.033894632,-0.027201608,-0.027875881,-0.100818953,0.063415882,-0.006642051,-0.448362451,-0.020517785,0.005981191,-0.098791994,0.019817602,-0.139156717,0.210681775,0.009503986,-0.054688093,0.041155779,0.037607086,6.00E-05,1
GSM3212455,0.064579309,0.02291395,0.004762094,-0.063119226,0.01474865,0.029732616,0.016772021,-4.81E-05,0.025210277,-0.037663799,-0.026141791,-0.028129756,-0.069926525,0.077060454,-0.007227872,-0.412776263,-0.019196403,0.006011962,-0.111994587,0.007553475,-0.169085672,0.147934542,0.008657032,-0.049048078,0.042171806,0.031031628,4.30E-05,1
