,ALAD,BAMBI,CDC20,DDIT3,DDOST,DNAJC1,ENO1,FTCD,G6PD,GAPDH,GSR,HSP90AB1,HTATIP2,KIAA2013,LDHD,NCL,PAGE1,PPIA,PRDX1,PSMA7,RTN3,SEC61A1,SF3B5,SLC17A2,SRM,TPI1,class
GSM3212451,0.033804411,-0.003915633,-0.184860133,0.007230642,0.05876298,-0.192122,0.005507173,-0.004366848,-0.002465302,-0.018453555,-0.015786308,0.00517172,-0.119642622,-0.009472654,0.014452187,-0.018069144,-0.005969685,-0.100045121,-0.027347501,-0.009996561,-0.007509782,-0.053529796,-0.023545401,0.007063204,-0.06877122,0.059095224,0
GSM3212452,0.033122439,-0.004515633,-0.25919134,0.006863274,0.058839139,-0.205573854,0.006573906,-0.002697463,-0.004095905,-0.019374384,-0.016449713,0.005103627,-0.11878306,-0.009466384,0.021445053,-0.017183321,-0.005601257,-0.102151292,-0.029670014,-0.010430693,-0.007877885,-0.055050812,-0.024183774,0.005854555,-0.070124758,0.065964554,0
GSM3212456,0.030542747,-0.004074954,-0.207547074,0.008663442,0.061491859,-0.174404713,0.006504299,-0.002297614,-0.003229628,-0.01855844,-0.013701437,0.004659909,-0.119807943,-0.009082702,0.014442071,-0.018004567,-0.018775559,-0.099926798,-0.028134486,-0.009975977,-0.007708007,-0.048649859,-0.021262517,0.006039703,-0.080199008,0.06378935,0
GSM3212459,0.037552249,-0.001425524,-0.244135683,0.007703221,0.068437038,-0.176889477,0.006059269,-0.005097051,-0.002233829,-0.019254834,-0.014630116,0.003753817,-0.103065642,-0.008284659,0.026283032,-0.01816068,-0.006283532,-0.10177483,-0.028051103,-0.010911978,-0.00731553,-0.050756508,-0.021589213,0.006516061,-0.077857866,0.062980351,0
GSM3212461,0.033126198,-0.002108411,-0.152806352,0.007850644,0.063152108,-0.17784963,0.006170109,-0.005019709,-0.002175604,-0.01836046,-0.014977144,0.003738747,-0.122282561,-0.009472115,0.025386495,-0.017124413,-0.005935781,-0.095487861,-0.027993437,-0.009996319,-0.00840661,-0.049992402,-0.020299903,0.007553243,-0.078800823,0.061669144,0
GSM3212466,0.034059545,-0.004334982,-0.213094535,0.008600789,0.057629834,-0.151202005,0.005690722,-0.003500726,-0.002447801,-0.018663334,-0.011957386,0.004748194,-0.096422358,-0.012212839,0.014182575,-0.018293013,-0.006029244,-0.100577633,-0.027059484,-0.01015024,-0.007477689,-0.045006131,-0.021105492,0.006915226,-0.064786126,0.062391244,0
GSM3212468,0.037774628,-0.004304786,-0.195572432,0.008587529,0.057028344,-0.177717392,0.00621756,-0.001626861,-0.002322162,-0.019676819,-0.014179127,0.004185821,-0.127798667,-0.008539448,0.017065752,-0.017395072,-0.007215654,-0.100761972,-0.028842473,-0.010096981,-0.008430277,-0.04824788,-0.023869105,0.007482255,-0.072610814,0.066685143,0
GSM3212473,0.03854473,-0.002727281,-0.233421462,0.006640671,0.058212352,-0.168651918,0.006036167,-0.004574064,-0.002329508,-0.017306538,-0.009049742,0.004448659,-0.106359624,-0.009354123,0.022881512,-0.018510064,-0.006707248,-0.100181085,-0.028184731,-0.010501181,-0.007355848,-0.041417046,-0.022682407,0.007067684,-0.070572894,0.058392915,0
GSM3212485,0.033853324,-0.003846771,-0.219557785,0.00851521,0.062867818,-0.202077713,0.005646385,-0.004070214,-0.002167003,-0.018972928,-0.016865771,0.00403618,-0.122862188,-0.009342408,0.021039809,-0.017626854,-0.005022333,-0.098622677,-0.028835444,-0.009854738,-0.007823149,-0.052772899,-0.021195025,0.006103985,-0.069881149,0.064761731,0
GSM3212486,0.031317004,-0.003336083,-0.21217731,0.008145553,0.060939199,-0.161784037,0.006220938,-0.003930055,-0.002601643,-0.01900206,-0.015571244,0.004702781,-0.129062294,-0.00984496,0.022767132,-0.018882895,-0.007457181,-0.098955088,-0.030169403,-0.011653757,-0.008144701,-0.045907146,-0.02306327,0.007617723,-0.073687877,0.062361873,0
