,ANXA10,ANXA2,ANXA5,APLP2,CAPG,CCNB1,CYP27A1,CYP2C9,DYNLL1,G6PC,GDI2,IRAK1,ITGA5,NT5DC2,PLOD2,PSMB5,SLC2A2,TAGLN2,TFDP1,TMEM106C,YBX1,class
TCGA-DD-AADA,0.0726574516511366,0.021048625307592127,0.017584447457759687,-0.013908645754887159,0.0011282128254861447,-0.004381708676408367,0.047880622092686786,0.06161843421210837,-0.014179516501257967,0.021596170317010957,-0.02691826288344536,-0.0015705400163354508,0.013476313687750026,-0.00015359020478794528,-0.011753529680165567,-0.00966980959666108,0.05309171968562256,-0.02301352590606283,-0.002601294101793333,-0.008769162803610718,-0.11415490871288816,1
TCGA-DD-A3A5,0.12936278641902016,0.06716150881253906,0.008408977231547834,-0.023561094233888993,0.0020618355666927254,-0.013971289116990642,0.08015670308067929,0.03934152317191198,-0.014199611336024438,0.006121503826625485,-0.03052490212376247,-0.007078575612524577,0.009553178617194414,-0.00016442033204920622,-0.020289476563701933,-0.019671129038390415,0.11305097414446719,-0.0198711359787638,-0.0018204814500156691,-0.025669206334724044,-0.12492669665621221,1
TCGA-DD-AACY,0.019382311640781816,0.011225378256378631,0.013950481958475409,-0.010958535106677658,0.0018861883150386083,-0.003452818829681231,0.039265909638342734,0.057059835599818906,-0.012245333811003725,0.008739698919551023,-0.041525244621238966,-0.014607439868916236,0.013083282360993032,-4.653154677689123e-05,-0.006286028694538651,-0.012817850239002955,0.03007528784968086,-0.02224587533839884,-0.0032894482512001617,-0.02609340455227033,-0.10993041681276618,1
TCGA-DD-AAW0,0.021484421903189537,0.10289711516037059,0.015164535280059038,-0.029712169944965294,0.009347714371988333,-0.007051854579052317,0.0807214595156788,0.06400435125772629,-0.011671983861179357,0.004476516719710375,-0.04621254308248157,-0.008693243317392015,0.01318878516362233,-0.0002383274005068426,-0.015498395119569132,-0.01672189285701906,0.15764509982439817,-0.05342272055939395,-0.0052343585819595775,-0.026830318600927664,-0.11271672216391167,1
TCGA-DD-A39X,0.004753041942186631,0.1537742322850922,0.01450565953870305,-0.019204744846539733,0.017144934952437102,-0.011882486690426403,0.028614658245528838,0.038001979871737056,-0.017279298327133992,0.006215269344900206,-0.03849190071621546,-0.019774768918406634,0.004341607263009924,-0.0006793833832105305,-0.003938049054283334,-0.022639212308337445,0.009547540983052175,-0.06346097807533478,-0.0030774824897757545,-0.04310647790185753,-0.23563204377951594,1
TCGA-DD-AAD3,0.04865217824432271,0.07412095271598967,0.026344432836164073,-0.03334721259217536,0.00693560026705898,-0.0067882142253961495,0.07324782068460066,0.02248154874951507,-0.009096565340986287,0.017435794943772648,-0.04788250814155969,-0.010876981959597708,0.021338309088367074,-0.00015716224676183484,-0.017528633506596628,-0.019379501422973056,0.08074508885063457,-0.0347511104262353,-0.004260821958613418,-0.022716369606747992,-0.20423590077725537,1
TCGA-DD-AAW2,0.08178523120298549,0.03394894121341415,0.0032047994569586523,-0.02869089316376502,0.0005388056051533758,-0.006999816352249877,0.11180508342350778,0.12409403727695312,-0.014853187061766911,0.005993353724252816,-0.05919537035115807,-0.014407773439997208,0.0044201000126876085,-0.00037718863221947304,-0.006406283897362373,-0.013635495621005427,0.0682705441256336,-0.0375400712308618,-0.0022059497980199514,-0.022021236223133678,-0.13968290621864568,1
TCGA-DD-AACN,0.009917517250525025,0.10399649234796546,0.019773316427142862,-0.025283302064670856,0.0017036914924178502,-0.004775369614034896,0.061645545220410956,0.1717951466761246,-0.014933906433517165,0.0075613905887570235,-0.0673058999526785,-0.00737271586444238,0.019609098121095153,-0.0002879331834080707,-0.01692416261461341,-0.018767841292416904,0.1019162627795898,-0.06148386371877756,-0.006679431283545688,-0.013100425079737181,-0.13286507580359905,1
TCGA-G3-A25X,0.058533399715358925,0.3526270935691034,0.03530983972154501,-0.024752610152844724,0.022643190441173393,-0.04258361582618719,0.007139289677385887,0.0006417929248659449,-0.02362283839872486,0.0020154364843401906,-0.06251508016549649,-0.012882569330744354,0.024410811119242534,-0.0011769384298161226,-0.03224492252491052,-0.027571231827721896,0.007689024121798799,-0.16510018585854871,-0.0033915950168615584,-0.07281757672148416,-0.29400215242492955,1
TCGA-BC-A10R,0.015760041566964922,0.0374823118504303,0.01556768262209566,-0.038918225461023116,0.0016773583332231337,-0.0026786939687181268,0.007704192982209115,0.005535650591738414,-0.012627651204991371,0.008769849594189366,-0.09621609479845186,-0.00870479344335291,0.017704538824896313,-0.00020738743694151402,-0.02675003078639106,-0.012969362928903647,0.04460480074126111,-0.029719109081739067,-0.0031284742531372868,-0.02008869544584588,-0.1502090774296372,0
