,SMG5,SEC14L2,ARCN1,LDHD,KIAA2013,CDC20,DRAP1,HSPD1,PSMA7,HSPA8,MMP12,HMGA1,CKS2,RPN2,SPP2,G6PD,ADH1A,S100A16,PPIA,GSR,SEC61A1,DSG2,ATF4,class
TCGA-DD-AADA,-0.024602118314308374,0.0037391154929923825,0.024947461808347088,0.022849266732769213,-0.0001496989360050537,-0.0014846769542424334,-0.015973590612590346,-0.043972150524994855,-0.014722427507534745,-0.019709808894181495,1.8669282766784116e-05,0.0006979406015462539,-0.01362646750941356,0.093042652647584,0.0010991468627222147,-0.0007582395305657976,0.008634326700999022,0.017144414491192857,-0.04668667035653378,-0.00872204599608018,-0.10378762123622597,7.080533475303996e-05,-0.01821827509624863,1
TCGA-DD-A3A5,-0.025737969794341634,0.023511292720611157,0.01886469280796967,0.06993848451466868,-0.0012189602628291233,-0.008478094132930616,-0.032050408408771214,-0.04906533384127737,-0.10169772801838854,-0.1167572617828347,0.0,0.0003435491218260723,-0.023961261605639172,0.20424590505581391,0.020214378012042598,-0.000754847340667854,0.00722764341417117,0.026471546155797807,-0.06476522710328798,-0.011569245362717714,-0.1067806942280614,0.0009373326389605542,-0.016011203006668816,1
TCGA-DD-AACY,-0.020170957214175396,0.0025748732969235934,0.012003870286926604,0.024147503188696424,-0.00042490882168425535,-0.0013747620179509886,-0.02168474624492888,-0.10908692576311001,-0.032717876770242946,-0.04234573268321028,2.0141412590688237e-05,0.0009962315175632592,-0.016808560381006563,0.17079255162083545,0.004065213985775012,-0.0008687523124917849,0.005133319306824566,0.029450627798354827,-0.043736028031788395,-0.018175129667378106,-0.2057967302015739,0.001424832614522594,-0.020688947971389458,1
TCGA-DD-AAW0,-0.054463585789949684,0.015616780918054487,0.026612731136767626,0.024549254740598225,-0.00036092327403804554,-0.001838927249490564,-0.02376507842071073,-0.10836149074370138,-0.030391194816505963,-0.11190279418989853,0.0017668903636449268,0.0016340722102141296,-0.018061770338793002,0.16772883879047154,0.004224091674528226,-0.0014329563118718562,0.0031286107892655067,0.034227861684188024,-0.06551510116200361,-0.023475591919157487,-0.16800317519224978,0.0036938019774489764,-0.017503551800608832,1
TCGA-DD-A39X,-0.08666236497540673,0.005680994149356733,0.009922572865627945,0.057221221060130695,-0.00047209226024716124,-0.007055379237498609,-0.03581374417725258,-0.12266951443001135,-0.05251303633505486,-0.1338731056483328,0.0003124930126196481,0.002420273900870828,-0.02913863811276201,0.1514107135583823,0.0011135552758324344,-0.0026279941811023126,0.00885053268852923,0.1324336124527288,-0.09088105514228412,-0.04169393628930924,-0.23245553313375442,0.002387882406149142,-0.023921437295666297,1
TCGA-DD-AAD3,-0.04028762808410867,0.007166435216251067,0.025086432749890867,0.027122424994562768,-0.0007428878112190087,-0.0036404402503551606,-0.02865951465186291,-0.05174460015346685,-0.03473401099251294,-0.0696641320224464,0.00026665624310263334,0.002989411306323173,-0.0066801558719524695,0.16416044875137153,0.005116972486095476,-0.0009993119156541154,0.007006110888294929,0.02913457154515244,-0.07506637520572466,-0.0163176928107389,-0.13777162597976,0.006952050068800558,-0.011872031313424758,1
TCGA-DD-AAW2,-0.024647530340720612,0.018965211388770564,0.025313740754178932,0.08120293594465804,-0.0006767239303008928,-0.0023052086715632824,-0.020578092498084836,-0.07994032349119995,-0.02644264398698993,-0.0577414477724889,3.2453771117886364e-05,0.0013628334907774527,-0.019512744977348933,0.07902994306153187,0.006008214763662552,-0.001484656008744531,0.005117267313057058,0.0026770871618209827,-0.08164130842951542,-0.006504806970718956,-0.08521987188673966,0.0006983038598032914,-0.008343623308313581,1
TCGA-DD-AACN,-0.050197058586109046,0.0034987971196465445,0.052604380582776916,0.013932624827658797,-0.0004570495741911661,-0.002162069543901493,-0.030430211577471354,-0.09318211147606517,-0.031832866440416455,-0.08743419153200083,2.8572701582139132e-05,0.0028061301646863826,-0.026975721681008213,0.15183649491040266,0.022926899808720754,-0.002229372160185416,0.0121906931003994,0.014864665075793645,-0.08469635089094946,-0.017651714778108913,-0.20545671939649973,0.0066821607064441015,-0.03106385119583009,1
TCGA-G3-A25X,-0.06146248485251573,0.0005858131980219279,0.02751964924010377,0.011022195320469684,-0.0005809109967723022,-0.03633812341605357,-0.04734497759909345,-0.060530828813882664,-0.12157905463273032,-0.094825557381357,0.006207503062459721,0.007316905923398939,-0.07675287620802952,0.28584023804015446,7.279899701856818e-06,-0.0021071739080424316,0.0003600252035667561,0.1493009927271417,-0.1978349128667739,-0.014740654420486086,-0.2704540725333058,0.00917209286864497,-0.03983652160150622,1
TCGA-BC-A10R,-0.03666641679198044,0.003188494783615668,0.01861108104809558,0.031089101818053414,-0.000684215351168562,-0.001422037714461402,-0.016774220555917218,-0.05623479525147715,-0.03209790461485309,-0.04551999115515027,9.930184812153272e-05,0.0007487880848743772,-0.008667754494726657,0.20427272232497598,0.00013324665350322149,-0.0007283905284872357,0.022527356794408395,0.013604184102577502,-0.04678892895195703,-0.023652361263171787,-0.16675356025997273,0.00024156211061391296,-0.01940747662500306,0
