,H2AZ1,NUDC,HSP90AB1,MARCKSL1,HTATIP2,ZWINT,RTL8C,SPP2,TPI1,SRM,FAM50A,ADH1C,NPM1,S100A16,LAPTM4B,H2AX,CDC20,GSR,PPIA,RPN2,TIMM23,BRK1,LAGE3,class
TCGA-DD-AADA,-0.010101323032841534,-0.015700689859018367,0.0466987525125378,-0.011084747092455426,-0.03933800503593068,-0.003507695596699006,0.001284090721573055,0.001320274477538817,0.011910355843830076,-0.013943740181289504,-0.0021377121873050794,0.13235430988670227,-0.016147180505739902,0.009017292470156433,-0.001017179695771598,-0.004568434443903724,-0.0014817771546236503,-0.014924898543730922,-0.03316421457250558,0.015226581457056323,-0.025999312224371712,0.016160443607089924,-0.00024299451029589176,1
TCGA-DD-A3A5,-0.020449765468422358,-0.07632839959902599,0.07018146078631451,-0.010963332662748288,-0.0964806910302421,-0.02427316560726521,0.007283112492331558,0.02428112955035257,0.05564874987932638,-0.028470048842491553,-0.0072846759469672095,0.030158672750897755,-0.012385239570409592,0.013922999467068174,-0.001100906171699303,-0.011603665591219952,-0.008461535127239562,-0.01979693908329442,-0.04600644835212371,0.033425174606554996,-0.07833779209322934,0.04550061043876267,-0.0011136396032592538,1
TCGA-DD-AACY,-0.008767203843560226,-0.054196691094532165,0.03197837664420902,-0.014120602151919159,-0.11438704290479751,-0.0036446210136662463,0.007363924108509547,0.004883058354786059,0.015652424862281453,-0.047574491256556835,-0.007025721687389478,0.04238356115417305,-0.015758768363346602,0.01548988006699828,-0.004304513981136728,-0.00262164921490921,-0.0013720768988992108,-0.03110072641518761,-0.0310682044172027,0.02795047889878359,-0.03859648986930646,0.023728809327977194,-0.0015506474450761116,1
TCGA-DD-AAW0,-0.011217234812747516,-0.029926557787463413,0.040909674933790746,-0.007063786861566081,-0.2096374156809358,-0.009286879130395623,0.006581159087962745,0.005073899237497324,0.03775488174815673,-0.019541067422383523,-0.005521012900094952,0.0257905476896955,-0.020352740892607437,0.018002518522457284,-0.004549422682736207,-0.006454217168369233,-0.0018353355452334157,-0.04017071542673783,-0.046539126823209424,0.027449097310392512,-0.05324311779097643,0.02152768011396761,-0.0007898180522485025,1
TCGA-DD-A39X,-0.027990391016936834,-0.051932945137095524,0.06779642041030333,-0.0207954639759129,-0.13977146595868264,-0.008598373138563185,0.010494320585217523,0.0013375815915710081,0.03894734107400287,-0.04269634522803936,-0.008621980705633402,0.0403424268576265,-0.028968887724162017,0.06965490813227056,-0.003851797170467795,-0.005805827762122791,-0.007041599010113246,-0.07134538952057606,-0.06455801603107071,0.02477860957167793,-0.06803144289573332,0.04526208555443354,-0.0018867468711825045,1
TCGA-DD-AAD3,-0.010076383182710006,-0.05338777970201374,0.05334615987036371,-0.00949369476931578,-0.13546259743858563,-0.01240888207476859,0.005651581944585731,0.00614641082532716,0.032464586594681794,-0.02755684183378505,-0.005912888835775601,0.12386383038862761,-0.014593278162493244,0.01532364682096869,-0.004759838778156228,-0.006466519128742026,-0.003633329917551774,-0.027922337233430794,-0.053323943547292585,0.026865124475839892,-0.036579884449330434,0.027755500852380398,-0.0009744956176948155,1
TCGA-DD-AAW2,-0.023551488396137923,-0.049976044323905976,0.09108513354842958,-0.006538140619349496,-0.06731954402983421,-0.014998440385457803,0.004469898255796628,0.007216954237024781,0.03552315857686608,-0.020560841291504716,-0.00571352937748678,0.1304596754790949,-0.02716681779860812,0.001408043297054072,-0.002510291615335532,-0.006857550255746299,-0.0023007062488591963,-0.01113082688719653,-0.05799449500381075,0.012933378739005514,-0.029883832735469597,0.025195718545595224,-0.0010168698858763,1
TCGA-DD-AACN,-0.0145630817565025,-0.029836074945922334,0.06686167053977385,-0.01843174338117076,-0.04864227118127951,-0.010757889960269358,0.01091081067939387,0.027539359564358438,0.023585170686802045,-0.03294509802028251,-0.005723323509174929,0.03634987504467442,-0.036486748237661515,0.007818233310225183,-0.005228384115401596,-0.010707144376010936,-0.0021578466936570187,-0.03020507485337154,-0.060164666552678436,0.02484828938254908,-0.06998642838374396,0.03365076695984845,-0.0005508358678121064,1
TCGA-G3-A25X,-0.08503619581536978,-0.06439918047948706,0.05424132311091632,-0.06208358028324237,-0.07659125544832909,-0.02889979657547932,0.013632969772619312,8.744478196116261e-06,0.10864875630765956,-0.06463755550034077,-0.020195066090691858,0.03905322783496176,-0.02188763328067875,0.07852649142360209,-0.015080074227686915,-0.035177011800833886,-0.036267149541145585,-0.025223757337765263,-0.14053346383757306,0.04677821992788806,-0.063225374806768,0.04892807877006191,-0.005489181656099696,1
TCGA-BC-A10R,-0.015535801028734255,-0.05482110086404807,0.03062043036014507,-0.026555277248738834,-0.10713247244636895,-0.006450751631645476,0.008965973629859002,0.00016005336666481665,0.02631496739094107,-0.03546613867413965,-0.004782607305109012,0.07266741021670885,-0.00854195263756926,0.007155269544714487,-0.001614892600759268,-0.005979735629763952,-0.001419260258793011,-0.04047319772575815,-0.03323685470671522,0.03342956329627668,-0.0576825042940975,0.018313027172626627,-0.0013398561938562604,0
