,FAM50A,RAMP3,CKS2,SPP2,HSPA8,MTARC2,PRDX1,RAB10,MMP12,PSMA7,SEC61A1,VASP,RPN2,PAEP,H2AZ1,HDGF,CD63,HTATIP2,APEX1,PKM,PPIA,class
TCGA-DD-AADA,-0.003444028538337365,0.04998982480115136,-0.020145595563647062,3.851192717055325e-05,-0.019287582866825272,0.15271248216212455,-0.003245769140918724,-0.01721234758632031,9.25584641893528e-06,-0.018655354020487434,-0.09909829800205411,0.01534196348189837,0.07942114858346176,0.0,-0.009328838152856293,-0.01936791973573726,0.041949736392476365,-0.019049072120086937,-0.02915725427577508,0.0023321360535809494,-0.045623265562903664,1
TCGA-DD-A3A5,-0.011736206587063053,0.04275149029096286,-0.03542472656016524,0.0007082717334694926,-0.11425607290412823,0.16532131501067254,-0.014794211656082527,-0.017159447695049256,0.0,-0.1288651017837457,-0.10195613823149448,0.014385090980598012,0.174344173466798,2.9627222661797802e-05,-0.0188858975897058,-0.030235332512134134,0.02227705099429349,-0.04671989949546829,-0.04455982702156611,0.0024855110375800373,-0.06329003830879429,1
TCGA-DD-AACY,-0.011319010172407235,0.025823847494906703,-0.02485005444066645,0.00014243703936445539,-0.04143859702388897,0.11763168495920959,-0.006240271565675623,-0.020056292619489022,9.98569810788358e-06,-0.04145807976539114,-0.19649844031925412,0.016566283994155693,0.1457884124456888,0.2432947109046113,-0.008096743906096606,-0.028403230277326004,0.05450571790084926,-0.055390887969705996,-0.048934382554211495,0.00172898586797345,-0.04273983144059508,1
TCGA-DD-AAW0,-0.00889480169565134,0.043054547135955246,-0.026702820826999495,0.00014800379862639398,-0.10950559833201227,0.1758700869816495,-0.005232722389549485,-0.02317795197871937,0.0008759879021218137,-0.03850985159324843,-0.1604124704101203,0.019385908431419484,0.14317322914003838,3.373561994184417e-06,-0.010359412103789559,-0.027232775588408743,0.03946459025518473,-0.10151501701032595,-0.051266708170184076,0.006083574037718905,-0.06402283212463615,1
TCGA-DD-A39X,-0.013890713531754686,0.038280137548667804,-0.0430790458561361,3.901676940334617e-05,-0.13100525899029536,0.04460239790630208,-0.019309110277317174,-0.032295565476983285,0.00015492760851766222,-0.06654128763886231,-0.22195274754668629,0.016566638112674007,0.1292440879152052,0.030354116716331862,-0.025849864100298266,-0.04340438435197805,0.03225222080281473,-0.06768306458208351,-0.04884652639024571,0.005350566827701272,-0.08881101354474828,1
TCGA-DD-AAD3,-0.00952614576244699,0.042679333899298004,-0.009876053232835856,0.00017928857225700648,-0.06817177814570535,0.12038523500718157,-0.008806056276078743,-0.02297487943965364,0.00013220268092995372,-0.04401280096541183,-0.13154684041264436,0.017155094560483,0.14012725369292214,0.0,-0.009305805543694395,-0.028864211181636977,0.0458217036465419,-0.06559653408516761,-0.05636285241795011,0.006701763704360204,-0.07335655219576069,1
TCGA-DD-AAW2,-0.009204961429115503,0.029333238359262975,-0.02884796579734954,0.0002105159349044089,-0.05650450315076951,0.14228334688392333,-0.007612037526328654,-0.0198220216724315,1.608991223363301e-05,-0.03350649100242114,-0.08136947508130489,0.009564254266709845,0.06745990867442693,5.077043793228034e-06,-0.021750420493644895,-0.02285815374401868,0.023670281670804885,-0.03259887856906775,-0.05736208445825348,0.0018723114291619334,-0.0797817249964032,1
TCGA-DD-AACN,-0.009220740573400003,0.056937930269310114,-0.03988135433102317,0.0008033131200440622,-0.08556116518538019,0.1598507674562889,-0.005823811182263215,-0.04456494560643853,1.4165757780951126e-05,-0.040336649144914194,-0.1961737918526661,0.021860488637400664,0.12960753460401533,0.0,-0.013449389973128011,-0.0429164634182776,0.031083571872375176,-0.023554578605872054,-0.10337243053779764,0.006787287757796659,-0.08276718128316633,1
TCGA-G3-A25X,-0.032535897190928045,0.029627784450366682,-0.11347272514798494,2.550732542077934e-07,-0.09279419225752826,0.03694654656354098,-0.008998790381334203,-0.025556426463637517,0.003077552346757595,-0.1540574952390822,-0.25823444025923875,0.09377036232558489,0.24399304373346098,3.394437996623677e-05,-0.07853316890441286,-0.07137353134583568,0.11486206215765567,-0.03708862072366413,-0.056242222578783786,0.08388225497465886,-0.1933287317002157,1
TCGA-BC-A10R,-0.007705170108620197,0.02684526130580697,-0.012814552001471892,4.668698596588639e-06,-0.04454485612802156,0.1605592812910122,-0.0066336738703708835,-0.039467643019883515,4.923181392723998e-05,-0.04067248920733112,-0.15921931547052734,0.024595168895083782,0.17436706467054292,0.002733194794560604,-0.014347721867802758,-0.0437811312800988,0.04588967134298698,-0.0518779280283812,-0.045144845236191465,0.006212876611215349,-0.045723194965010434,0
