,DDOST,PTTG1,KIAA2013,ARCN1,PON1,GPLD1,SEC61A1,S100A16,PAEP,CA9,NUDC,DAP,EIF3D,HDGF,LSM10,FAM50A,PCNA,DAD1,SPP1,AGR2,HSPA8,HTATIP2,HSPD1,BRK1,ILF2,SLC25A15,SLC17A2,RAMP3,class
TCGA-DD-AADA,0.016050144211530552,-0.003310833254774147,-0.0018588321346638473,0.01836524450372734,0.12489532382547558,0.023323205195302524,-0.08535295530320236,0.005377057062355963,0.0,3.970950123632621e-06,-0.006545766962292476,0.0032411979649745112,0.009905463090932171,-0.05754634195636888,-0.028431259143688756,-8.355391362343919e-06,-0.01188482132464634,-0.04239594120314964,2.8744224081340644e-07,0.0,-0.023542848264108702,-0.019799800335092037,-0.021846470979889232,0.02755274291173155,0.050116043959169944,0.006840923658383819,0.026098457568571654,0.07165641557292522,1
TCGA-DD-A3A5,0.03576497183378145,-0.023495279296037556,-0.015135996072467546,0.013887372533832302,0.2720213520762775,0.0200290542010099,-0.08781440130464693,0.008302354932076244,3.469252377017213e-05,2.519542720849178e-06,-0.03182203590200719,0.020695011880128063,0.021797804052052134,-0.08983581136477466,-0.09861800220257934,-2.847264418766113e-05,-0.04163112023218031,-0.05388051262149272,1.0495748107415242e-06,0.0,-0.13946347793851843,-0.04856114123849606,-0.0243768926259985,0.0775762505180283,0.04426278300262713,0.009958926314586947,0.002236133008981187,0.061280841988079066,1
TCGA-DD-AACY,0.039461813107453406,-0.0017796284829532565,-0.005276150874059521,0.008836731147401687,0.12387469798401185,0.012453120217274873,-0.1692432961196834,0.009236693750918677,0.2848902726241302,0.0,-0.022595116088379292,0.011508989116624069,0.010436476837193714,-0.084392233368695,-0.09670249508947432,-2.7460504107922155e-05,-0.01468012531830503,-0.040912892078388906,1.6925913160765663e-05,0.00012892280936002001,-0.0505808637996299,-0.057573855317978866,-0.05419712999059403,0.04045642551101879,0.053868689726695715,0.009163104798789661,0.009634897650125464,0.03701641994440955,1
TCGA-DD-AAW0,0.0183297467243716,-0.006004860795103088,-0.004481633589615868,0.019591143900465503,0.14485743885328964,0.03713521974917781,-0.13816259908628772,0.010734992757720064,3.950332469884313e-06,1.1460463647952373e-05,-0.01247666663180379,0.012050075582295646,0.013672972012192862,-0.08091455550282768,-0.05373290519836293,-2.157924896101054e-05,-0.0272068829400997,-0.038916603644137196,6.0535664420721474e-05,0.0,-0.13366494409391744,-0.10551574665405553,-0.053836715616721244,0.03670361099530211,0.06275424160177284,0.027167650064139664,0.012391178486363313,0.061715249736323335,1
TCGA-DD-A39X,0.020930379164618682,-0.009608838711835503,-0.00586203407513789,0.007304569826912643,0.04446638939422303,0.00022556718901427892,-0.19116698593938106,0.041535573670250896,0.03554369330277352,1.049914186169321e-05,-0.021651338863794438,0.02113195357935323,0.013812720030994246,-0.1289639557786775,-0.12180367856377576,-3.369958946857246e-05,-0.03283376003913228,-0.060613635015978884,0.004557660600073625,2.25221011319086e-05,-0.15990790320925524,-0.07035046937426771,-0.06094530185848034,0.07716957759643302,0.1324672537724539,0.0021754304019956064,0.002277803167177661,0.054871515459140034,1
TCGA-DD-AAD3,0.036110007478503584,-0.004495509192970247,-0.009224539417550469,0.018467548912086462,0.14626272332108473,0.05947935066753533,-0.11330075103595821,0.009137568026371088,0.0,2.364348942283157e-05,-0.022257873233694936,0.01602939808484419,0.015998304359570236,-0.08576190884839492,-0.08623616945292717,-2.3110922320755137e-05,-0.027944097923921742,-0.045114172962484614,9.870520170468824e-06,3.0446544122765328e-05,-0.08321197320890618,-0.06818170824135923,-0.025708019556062355,0.04732173187600343,0.06334118807605015,0.013434070726897045,0.008363973338967011,0.061177411571830424,1
TCGA-DD-AAW2,0.022684089897953657,-0.00534333412983198,-0.008402973471346857,0.018634883252889336,0.2765460313135672,0.011311449294439087,-0.07008319325035932,0.0008396233325673896,5.94505480616253e-06,1.0360912585237644e-05,-0.020835488298852428,0.025732294552589918,0.013735004046437791,-0.06791659351093858,-0.06316575907544505,-2.233171251614253e-05,-0.03622363078870872,-0.04595387583045599,1.0007096298032448e-06,4.444175922942458e-05,-0.06897064049458995,-0.03388360770259431,-0.03971636448121299,0.04295743188996168,0.05281817223858317,0.008515871497539702,0.05789582898395112,0.042046851060830434,1
TCGA-DD-AACN,0.03263693868322558,-0.006646329372481951,-0.005675246987809497,0.03872507426974328,0.057930341026916604,0.030997624252710874,-0.16896367773453852,0.004662052026705934,0.0,0.00016733910544732212,-0.012438943474405472,0.012949570701725109,0.026179371225711016,-0.12751423555670716,-0.08291524533612209,-2.2369993536288646e-05,-0.04680295680739823,-0.04375938264276435,1.6310458260006898e-05,1.306837966913215e-05,-0.1044378418575426,-0.024482869844443048,-0.046295217993705326,0.05737286385013129,0.13097642148183136,0.006901525034828209,0.004929706928081976,0.08161596903908241,1
TCGA-G3-A25X,0.0723136862457998,-0.06286969606368892,-0.007213251189330485,0.020258777860207734,0.08617988776065515,0.0050603214031221,-0.2224162582160333,0.04682574361303704,3.9747775965543886e-05,0.022679013495809645,-0.02684863096886193,0.017773314753754533,0.03200007010377882,-0.21206643240483902,-0.18879761924201255,-7.893376937184962e-05,-0.0966339411966978,-0.09094912140555822,0.0027520118448294945,0.36695458643837753,-0.11326663393716939,-0.038550291604920184,-0.030073239067974492,0.08341991150076014,0.1949813770912296,0.0014791859583967429,0.005498226889834773,0.04246905932408128,1
TCGA-BC-A10R,0.035496303764880416,-0.0021523811202037064,-0.008495995467459405,0.013700674503592213,0.10608843784568295,0.00817176511374271,-0.1371349396584057,0.004266723383521363,0.0032004830983050595,0.0004543344991137259,-0.02285543846127695,0.021639058480588447,0.011157435860808628,-0.13008335362069995,-0.08053802060583252,-1.869314120202837e-05,-0.019844831409285633,-0.04782782405021099,0.0023132732307949884,0.00045984940232907204,-0.05437243204654507,-0.05392244883555697,-0.027938861480588273,0.031222789540354477,0.06807021691074913,0.003585339976416123,0.006506284797240034,0.038480534947751374,0
