,SLC17A2,PRDX1,PPIA,G6PD,GSR,KIAA2013,ALAD,BAMBI,HTATIP2,SRM,HSP90AB1,SEC61A1,GAPDH,ENO1,NCL,CDC20,DNAJC1,LDHD,DDOST,PAGE1,SF3B5,TPI1,FTCD,DDIT3,RTN3,PSMA7,class
TCGA-DD-AADA,0.004119200389950913,-0.011403819284340047,-0.05649714214776594,-0.0003092176705332019,-0.004358742218167848,-0.0026414201764798024,0.08654075630803386,-0.0002228949429125864,-0.02774616768799818,-0.015066360987422442,0.034488677411619324,-0.08399734214107997,-0.041793885448482046,0.00389614976588252,-0.01992393219935903,-0.005074520839656338,-0.02902795373575077,0.012341021771011757,0.03561746140386689,-0.0,-0.006713618439904972,0.03728172429334778,-0.017795435704160877,0.000891546631278899,-0.004367400451181011,-0.003899287462808735,1
TCGA-DD-A3A5,0.00035293579853813283,-0.05197859393428339,-0.07837462414739803,-0.0003078343015370409,-0.005781597370328375,-0.021508410937905877,0.05695928298697148,-6.504105716657778e-05,-0.06805046238450425,-0.03076219347274572,0.051831486519593004,-0.08641969437493842,-0.13027528458821147,0.02033702638220564,-0.02216164362162202,-0.028977526212142862,-0.039697881027827175,0.037774181995488924,0.07936735565185438,-4.27314292229414e-06,-0.01757083044175006,0.17419138248042054,-0.018117954572314635,0.0007702984212616283,-0.005945926190794615,-0.026935006177159757,1
TCGA-DD-AACY,0.0015207057372358744,-0.02192482771588236,-0.052926468600578085,-0.00035428588923422117,-0.009082812110539075,-0.0074974663462081025,0.05886917856431978,-0.00037578678193016864,-0.08068030066272697,-0.051404748635955386,0.023617160135771923,-0.16655529968176494,-0.06230679260884278,0.01691776369303499,-0.02936433808496236,-0.00469883936012193,-0.057903915845477265,0.013042206826702913,0.08757115118452247,-0.0,-0.003991463260495335,0.04899512624891182,-0.005558989931209792,0.0035146525089226055,-0.004053058085263846,-0.00866544641735458,1
TCGA-DD-AAW0,0.001955738078347003,-0.018384862849072415,-0.07928207248253616,-0.000584373927856579,-0.011731657186914367,-0.0063684488590690985,0.04193756258035668,-0.0009501633035784475,-0.1478629860321846,-0.02111433317297825,0.030213239238605152,-0.13596823994348972,-0.11087981700524295,0.016554215670080124,-0.03141674708016305,-0.006285323297762999,-0.06860709130574646,0.01325919517501815,0.040676210624259794,-0.0,-0.00442437196170355,0.11818010398000742,-0.008968760520254805,0.0033718852888585723,-0.006978718656246472,-0.008049216399070786,1
TCGA-DD-A39X,0.0003595127286667139,-0.06784142512415119,-0.10997828398773368,-0.0010717223332432808,-0.020836065348369674,-0.008330012588297273,0.026288899840140684,-0.0009315335639098148,-0.0985846264685951,-0.04613385947282925,0.05007004999899531,-0.1881307878208495,-0.12624398854015012,0.023685804773769224,-0.029149296822293367,-0.024114787307811275,-0.05831757487312291,0.030905514086112883,0.046447369085228646,-0.0,-0.011281407340775342,0.12191273299631487,-0.0067562703553648035,0.0009237404998934394,-0.0043348087523892125,-0.013908265067734496,1
TCGA-DD-AAD3,0.0013201118169106241,-0.030939561632441163,-0.0908403970154155,-0.00040752940230385766,-0.00815457939447076,-0.013108168339610395,0.03899409653911217,-0.0007739910318863903,-0.09554546399975741,-0.029775463494236896,0.039398022429478846,-0.11150125869457311,-0.09815839673662735,0.018096786559705702,-0.024867849039275143,-0.012442767339496574,-0.05386534289603071,0.014648979385430213,0.08013303685676344,-0.0,-0.006111798146938871,0.101620453879842,-0.011192132656190231,0.0010552027155535354,-0.006304288220500495,-0.009199426760760151,1
TCGA-DD-AAW2,0.009137878002967165,-0.02674444686823784,-0.09879694937007681,-0.000605457581754592,-0.003250702504555398,-0.01194071441725641,0.08578212810646423,-0.0017482928295795054,-0.047482310188970825,-0.022216209788431616,0.06726958685036907,-0.06897010116261305,-0.040161735593804614,0.017707060047049642,-0.027379993527752732,-0.007879040224998492,-0.04618041023664157,0.04385817768610929,0.050339092644524255,-5.853201898668479e-06,-0.0035807241377171853,0.11119437751959817,-0.00744614014747952,0.0006741086971569123,-0.004508168612317761,-0.007003428621347638,1
TCGA-DD-AACN,0.0007780709127022309,-0.020461618613408183,-0.10249396110582472,-0.000909160282911794,-0.008821241536788309,-0.008064586156305696,0.08916081665264722,-0.0019838797269945935,-0.03430872032499176,-0.03559753216039124,0.04937970421863236,-0.16628012231874903,-0.06799525836061895,0.01585386662295507,-0.053926240623948817,-0.007389800808831619,-0.10252900268172255,0.007525091651141908,0.07242582300631588,-0.0,-0.012962966601264204,0.07382615956116907,-0.015247047350150514,0.0013372697860557685,-0.006442461680798853,-0.008431048273313283,1
TCGA-G3-A25X,0.0008678021790804824,-0.031616721593867164,-0.23940681802039845,-0.0008593266124848688,-0.007366472588526874,-0.010250106437373417,0.01224133239919939,-0.002403258481690647,-0.054021901089356214,-0.06984157276678588,0.04005913208601346,-0.21888374541625266,-0.2084010085159522,0.04808989640984035,-0.03620936508945647,-0.12420113616086835,-0.1152600285388253,0.00595315175778399,0.1604739430927207,-3.915229010518737e-06,-0.022351750432081065,0.3400916841267706,-0.0027446615589265554,0.003522678246935384,-0.0084386214423136,-0.03220064647809744,1
TCGA-BC-A10R,0.0010269070807539535,-0.023307023612759294,-0.05662088878374015,-0.00029704494869741695,-0.011819995634450556,-0.012072899660241004,0.042800183258863554,-0.001132547940097497,-0.07556345428833394,-0.03832154365667161,0.02261426886323065,-0.13495690225445867,-0.0683729950405718,0.017050242552602485,-0.028315464523068944,-0.004860424347661373,-0.12991124405766108,0.016791404593634388,0.07877114452450143,-0.0,-0.008363663829583286,0.0823709528011898,-0.00775026649593602,0.0006328576577927946,-0.004544483142747253,-0.008501244579609752,0
