feature,coefficient
ANXA10,0.0012179791774770989
ANXA2,0.0008860228784613819
ANXA5,0.0001017946020696456
APLP2,-0.00012157333268261077
CAPG,0.000163865334130159
CCNB1,-0.0007498303573838671
CYP27A1,0.00010490701694087574
CYP2C9,0.00017986965748323895
DYNLL1,-0.0001096879626990809
G6PC,3.54005807659306e-05
GDI2,-0.0003314803904559672
IRAK1,-0.00011084573858825798
ITGA5,0.0003338696285737297
NT5DC2,-3.8000446530740086e-05
PLOD2,-0.0004259837152806323
PSMB5,-9.945693179774854e-05
SLC2A2,0.00018860532385360013
TAGLN2,-7.662253884414855e-05
TFDP1,-0.00020404867291529393
TMEM106C,-0.0006727965385349526
YBX1,-0.0008278285552158436
