feature,coefficient
FAM50A,-0.0001485795130367246
RAMP3,0.001233442592561601
CKS2,-0.0008173849147805384
SPP2,7.800405327455456e-07
HSPA8,-0.00020388565398335386
MTARC2,0.001121243606145444
PRDX1,-2.4480389337668045e-05
RAB10,-0.0004041244558522038
MMP12,0.00033175076770377345
PSMA7,-0.0001976925255574064
SEC61A1,-0.0007182488198849919
VASP,0.000442648147893027
RPN2,0.00039063487619316896
PAEP,8.350400975704003e-05
H2AZ1,-0.0003006868036801265
HDGF,-0.00010602136713683788
CD63,8.238508660008724e-05
HTATIP2,-0.00060632043033618
APEX1,-0.0004056147920858031
PKM,0.00023102121403688488
PPIA,-0.0006539882336830529
