"","ACTB","ACTN4","ANO1","ANP32B","ANXA10","ANXA2","ATP1B3","B4GALT1","BIRC3","BTG2","CALU","CHCHD2","CHPF","CLTB","COX6B1","CYP27A1","DDIT4","FLNC","FSCN1","FURIN","GANAB","HERPUD1","HNRNPF","JOSD1","JUP","KRT16","KRT18","KRT6A","KRT8","LRP10","MAFK","MMP14","MYBL2","MYL12A","NDRG1","ORMDL3","PLSCR1","PRKCD","SERBP1","SERP1","SET","SFN","SHC1","SPINT1","SREBF2","TIMP1","TMEM45A","TMPRSS11E","TNNT1","TNS4","TPM2","TPM4","TUBA4A","YWHAG","YWHAZ","class"
"GSM1465989",0.000537553485853217,0.00721951151889856,-0.00912906469749758,-0.171106696221081,-0.0157183629883414,-9.75574661466553e-05,0.0364624092544317,-0.00328519666244195,-0.0149094039254563,0.000684325481015968,0.013340715394012,0.00638568917562207,-0.0142958886356119,0.00081531999911351,0.0049099871909284,0.00173726115972458,-0.0114368418866795,-0.000836726075680642,-0.0124730655130222,-0.00415942248726207,-0.00154895669462355,0.0100028045699966,-0.0142527150638448,-0.0226810852635968,0.00309953595313523,0.0316517138874974,0.00918879842563277,-0.00517841163945269,-0.00538521845428661,-0.00578091235750304,-0.012909867078885,3.15180363430471e-05,0.0111536058455876,-0.000426330930514868,-0.00290562371531816,0.0130362903252825,-0.0227076070113851,0.0884343512489204,-0.00152425558905243,0.0106648987861394,0.020227915685836,0.00951504203421201,-0.000194600320546764,0.00598119194725774,-0.00965271679022493,-0.0132683262381026,0.00764473136762558,-0.000772188008991424,-0.0288459271774187,-0.00841778503192634,-0.0279637400151816,0.0108602403123359,-0.00105747413829841,-0.0124434153830094,0.00265801498308784,1
"GSM748053",0.00054859357683681,0.00720343517341676,-0.00971423606541779,-0.177505949843936,-0.016146023587044,-9.63966622317999e-05,0.0387009174212518,-0.00331654270500169,-0.0142319120385116,0.000664166731283004,0.0155107883875286,0.00649142942544241,-0.0146869626363459,0.000726597141992287,0.00434002189863006,0.0019766419451417,-0.00890526271484163,-0.000855521174326022,-0.0122652614593151,-0.00435391508408431,-0.00160413835287441,0.010422074127834,-0.0146802837070576,-0.0250667211846798,0.00294356006381391,0.0242802683329177,0.00915997880757894,-0.00298705826052915,-0.00560496945722358,-0.00570244090600571,-0.0127481791133826,2.97521400667753e-05,0.0114220888269031,-0.000428737060064492,-0.00270198641300908,0.0134937087895773,-0.0204764763585929,0.0824357521587243,-0.00170661063478281,0.0109746163317762,0.0213886835428818,0.00874971746717672,-0.000220385774295855,0.00652213379286397,-0.0109277976465453,-0.0125380952162473,0.00724772336487107,-0.00125122043458613,-0.0141735976170691,-0.00743478910715987,-0.0265954384898967,0.0110953899684656,-0.000985877687222457,-0.0122781334876992,0.00289139555624782,1
"GSM748054",0.000553241999803916,0.00733888320296611,-0.00915674483021125,-0.17648558419622,-0.0138623295921468,-9.88240346381642e-05,0.0385157332506498,-0.0032796933337505,-0.015093598672175,0.000690202363547612,0.0152183592689136,0.00634301539028869,-0.0151069149978181,0.000652061881358479,0.00457582417971177,0.00169263929534229,-0.0101763304362264,-0.00085930932193425,-0.0163041584763725,-0.00403423632265034,-0.00159079091031903,0.0092965977575422,-0.0151272299830387,-0.0255800427509256,0.00407557037155871,0.0368167337415192,0.0102908468071363,-0.00296925815307793,-0.00644958818361012,-0.0057700958098427,-0.0140906453768765,3.08640615801727e-05,0.0134345763306017,-0.000464616137937356,-0.00298307168600821,0.0130842536790121,-0.0230609817885551,0.0837250042403926,-0.00164823909983644,0.0100383525167045,0.0226494669138484,0.010155657158312,-0.000209135166895286,0.00666822938504733,-0.0101557596601713,-0.0125876379229611,0.0073957189742967,-0.0011116448202217,-0.0216306563317396,-0.00749043562556521,-0.0265667252890098,0.0109077842257597,-0.00114696352876494,-0.0129214617193441,0.00291034700442306,0
"GSM748055",0.00054126085416345,0.00689336685082671,-0.0098446354049107,-0.174108027295548,-0.0141917385148844,-9.85662162337651e-05,0.0386255319296249,-0.00324446444683822,-0.0151058377692667,0.000583600522579969,0.0145019467688328,0.00676231951380955,-0.0140831852700828,0.000652003745879328,0.00444052212393535,0.00168569543851587,-0.00896543417813864,-0.000827379745028301,-0.0136120013909637,-0.0040873786526834,-0.00141445073059734,0.00980344981553444,-0.0164426668246867,-0.024288321018137,0.00310552609255378,0.0285383450717016,0.00942493966451471,-0.00260090311737534,-0.00559535009222619,-0.00569300013821476,-0.0137422627484564,2.86100137156505e-05,0.0139257702788833,-0.000442574086127391,-0.00275390027695345,0.0130700148361303,-0.0208297316209676,0.0762718669598332,-0.00172742606194266,0.0105813225187407,0.0213407384982,0.00895061322629391,-0.000215584429716839,0.00640930608790624,-0.00971884637927609,-0.0124059118176147,0.00633565065073932,-0.000880965764532762,-0.0155732767512157,-0.00768389757673345,-0.0253745486511604,0.0111748308877166,-0.00109185965163924,-0.0128655718963757,0.00267245655069463,1
"GSM748057",0.000515456820259949,0.00722620479066454,-0.00930348496888026,-0.172254231087927,-0.0129863380118834,-9.66014205383772e-05,0.0386714077065973,-0.0036684637816374,-0.0126663636540105,0.000763351502612295,0.0150610386062668,0.00654927091267914,-0.0149131300281103,0.000676775478169343,0.00454747868030594,0.00152625303498016,-0.00907766252127605,-0.000878167944332386,-0.00958479958112996,-0.00456060507845586,-0.00156810862366229,0.0103310122639824,-0.0146757997382426,-0.0222972945492411,0.00280891196647602,0.0250327763111406,0.00838431417767859,-0.00260660041883896,-0.00456123587288261,-0.00569925279400717,-0.0160644430365254,2.97196053505695e-05,0.01225685264435,-0.000414527554383196,-0.0028811931176448,0.0131037700022061,-0.0176311308128661,0.0822581009774979,-0.00143365769503115,0.0115732241960066,0.0213017057397171,0.00877158543325534,-0.000216048440002126,0.00597959226431731,-0.0107883049961047,-0.0104507596523028,0.0056436937988445,-0.000748753230781191,-0.0167084695285784,-0.00868278879729026,-0.0202361437474212,0.0115636769622606,-0.000872669722440873,-0.0126414028756515,0.00279206853240986,1
"GSM748058",0.000555812573104758,0.00712254274967617,-0.00990682425107032,-0.180352756829355,-0.0127984300319921,-9.24923551787717e-05,0.0404609228485051,-0.00334500771822528,-0.0142179945283542,0.00066607391481278,0.0148122369024484,0.00631400364032914,-0.0147209425964868,0.000690789599478502,0.00440967309712502,0.0018873598531777,-0.00932870390931999,-0.000854717331880714,-0.0124411055786673,-0.00418121270741436,-0.00158123291148601,0.00996002647345894,-0.0143415338736758,-0.0235993775799494,0.00284971276368712,0.0228182130544644,0.00922718096043518,-0.00257485372202252,-0.00549956973182,-0.00566820350685987,-0.0128540269537777,3.10831169194992e-05,0.0114599876122877,-0.000421949569475002,-0.0029241483665031,0.0136452479529238,-0.0208311828627486,0.0880405638553021,-0.0016474228737821,0.0111455142014294,0.0221968189216607,0.00921225811772684,-0.000216078985419989,0.00622313332934251,-0.0103400528435839,-0.0129727883406256,0.00662262949368464,-0.00112776234797045,-0.0147362275843241,-0.00819349060011755,-0.0268534182996969,0.0107126354022844,-0.00105513398793804,-0.0125547187186567,0.00276570096413512,1
"GSM748064",0.000530671052251689,0.0064845196325276,-0.0100884307391984,-0.183425876652788,-0.0288254832943032,-9.83857618233736e-05,0.0369737811694653,-0.00329935721492545,-0.0161681982949014,0.000825878892678944,0.0141363808880848,0.0064006790933387,-0.0137522184007128,0.000646882539418151,0.00456284209604019,0.0019655625019956,-0.00891265934903293,-0.000838975057460506,-0.0104678996590355,-0.00393949356308205,-0.00150212863422204,0.0102263485130283,-0.0158656363779594,-0.0234575631137798,0.00288836854030319,0.0262331162689645,0.00894942066333248,-0.00232396399002139,-0.00500496623278726,-0.00573286609119255,-0.0135920539803728,2.99180496371442e-05,0.0114269456933538,-0.000427679665618613,-0.00250525053375831,0.0124044276519812,-0.0220810221273785,0.0789715865774872,-0.00168063539394806,0.0109850120633756,0.022171849606359,0.00904000837804142,-0.00022211701989117,0.00586203582487273,-0.0108794955756134,-0.0121976541650984,0.00950446018517769,-0.000677572440932469,-0.0154048674449454,-0.00758401362668314,-0.0250894872488322,0.0110029517587719,-0.000948672644849335,-0.0118954898683403,0.00274650028301477,1
"GSM748068",0.000540695654530945,0.0068196975806268,-0.00984756061724302,-0.177393989454461,-0.0125770321926748,-9.99241535242998e-05,0.0416134823998303,-0.00320336328491014,-0.0182285379905602,0.000707632729948293,0.0158258845102336,0.00639056544043425,-0.0140168491700485,0.000655070437948601,0.00456078394709561,0.00169003603316737,-0.00884038342161349,-0.000847303507677114,-0.0114606974089287,-0.00409919853771175,-0.00161401640842685,0.0102023997445754,-0.015710763233334,-0.0259752598316979,0.00295866423891678,0.0225732763174626,0.00881997129223402,-0.00263153911952378,-0.00546751101853604,-0.00541613070957763,-0.0124861456158662,3.09007267205507e-05,0.0162706641393677,-0.000428433167311524,-0.00266181997128645,0.0133716909932654,-0.0225056318098863,0.0851620499458626,-0.00158885504800047,0.0111781299050236,0.0220933116424589,0.00841629016828428,-0.000220758044066911,0.00624620948794471,-0.010440494146538,-0.0127141523554924,0.00752386249805636,-0.000723008026025317,-0.021558385528008,-0.00765775568829123,-0.0249823976431796,0.0101871007965183,-0.000977575379691547,-0.0127600145145741,0.0028608017847244,1
"GSM748075",0.000546054407414769,0.00702139185052441,-0.00991102608004135,-0.17947153053404,-0.0125610620948173,-9.27414201927844e-05,0.0406329858990917,-0.00331491404161963,-0.015210786649753,0.000667754650364353,0.0159067049753488,0.006414175576503,-0.0155771874766322,0.00070144822511018,0.00460081895462339,0.00200509180381795,-0.0102827220688312,-0.000915586397692701,-0.0132311576775259,-0.00408405693589883,-0.00155211388147123,0.0103183402294229,-0.0151222255413569,-0.0245464583311569,0.00274699301680586,0.0241016228209011,0.00890430848196437,-0.00363615753624495,-0.00537253340672956,-0.00579487532091921,-0.0135948910149127,3.21352975359594e-05,0.0139066629161007,-0.000453091596315388,-0.00310990593810552,0.0118872868542875,-0.0219741053431656,0.0875272659049209,-0.00158751865716966,0.0105356556936558,0.0223096958725146,0.00892704188775734,-0.000234106166591504,0.00604417287355429,-0.0101381177109022,-0.013062744418684,0.00850770638276715,-0.000736390922205617,-0.0254767046528471,-0.00758789969225529,-0.0264907417094682,0.0106445524539184,-0.0010734521980066,-0.0128486936663295,0.00279887380952805,0
"GSM748077",0.000540211320440396,0.00667957875705027,-0.0094457556379026,-0.172331470855548,-0.0132789347552294,-9.41713251783251e-05,0.0397791575633417,-0.00356166196056617,-0.0166128777472744,0.0007981382098623,0.0149248149995531,0.00648841774985523,-0.0152180934120278,0.000695590012724032,0.00431633346104707,0.00185872288611037,-0.0105962357068179,-0.000870413972667882,-0.0119389772022132,-0.00411005401505416,-0.00162786301962574,0.0103348580690266,-0.0155738402818942,-0.0239256788352654,0.00347715061350242,0.0229989210088076,0.00919725475736165,-0.00282975783658818,-0.00571672154809713,-0.0060470940780965,-0.0147800995439943,3.15147471271087e-05,0.0132922296490151,-0.000425484346138511,-0.00247208497245937,0.0118029416724898,-0.0210017203815244,0.0832512296559948,-0.00166708561453373,0.0101882465108219,0.0217963763283555,0.009396277754552,-0.00024248849633006,0.00669150416767807,-0.0102454831812062,-0.0129143031026481,0.00735401764362806,-0.000669878036855732,-0.0176612491211069,-0.00819996244014023,-0.0295458411370933,0.0106453818812947,-0.00100445155038372,-0.0120768728949423,0.00268711888916081,0
