"","ACTB","ACTN4","ANO1","ANP32B","ANXA10","ANXA2","ATP1B3","B4GALT1","BIRC3","BTG2","CALU","CHCHD2","CHPF","CLTB","COX6B1","CYP27A1","DDIT4","FLNC","FSCN1","FURIN","GANAB","HERPUD1","HNRNPF","JOSD1","JUP","KRT16","KRT18","KRT6A","KRT8","LRP10","MAFK","MMP14","MYBL2","MYL12A","NDRG1","ORMDL3","PLSCR1","PRKCD","SERBP1","SERP1","SET","SFN","SHC1","SPINT1","SREBF2","TIMP1","TMEM45A","TMPRSS11E","TNNT1","TNS4","TPM2","TPM4","TUBA4A","YWHAG","YWHAZ","class"
"GSM1465989",100.665446788992,39.2160151165618,21.7734015242885,131.349652156653,66.9256672542777,20.0735527050731,89.6501251587256,25.3354463895637,23.7712194524529,61.1004893764257,45.1109805668396,253.400364111987,50.920532702207,104.394366083676,301.226208032417,64.3430059157251,132.370855169902,15.0220121307117,41.284316851321,38.6811476435825,48.1042451746443,24.4178692838454,63.7232081042481,49.066706897992,36.8115908923424,56.8271755415747,87.9462340463694,73.4526473681233,36.3318678901831,34.8224657251811,26.8092640955363,39.1528401776983,50.7464174856458,62.1473659642665,28.0595615277171,57.0513491200584,52.6542217353958,60.1381492593915,29.4257835724408,40.1562542543421,55.2910958928832,154.214619679287,37.3513091260584,61.219978989332,22.5397002485089,205.074594097413,33.5924356915169,44.635145028406,111.762167436076,29.9339467445427,55.2217461150133,17.7363616967344,58.1029746317809,73.9253783358843,31.7564514108464,1
"GSM748053",102.732879557455,39.1286892350554,23.1690725570216,136.262024120975,68.7465611315702,19.8347041629218,95.1539451593158,25.5771871626129,22.6910415726169,59.3006010074111,52.4489768997115,257.596405771524,52.3134993761186,93.0342051206513,266.259012185893,73.2089609311739,103.070170310667,15.3594465767688,40.596510923638,40.4898595203645,49.8179612693917,25.441349167545,65.6348470802788,54.2276283065004,34.9591456509965,43.5925547556613,87.6704007157112,42.3696207167255,37.8144380914135,34.3497774605641,26.4734949244257,36.9591802071743,51.9679551342099,62.498113712025,26.0930393716112,59.0531717129349,47.480693408353,56.0589126014772,32.9461512506334,41.3224253319135,58.4639451320283,141.810655869963,42.300532494406,66.756743018055,25.5170941696874,193.788179540144,31.8479053528805,72.3248806119148,54.9149271683142,26.4383778329512,52.5196755265639,18.1203954965428,54.1691036935416,72.9434512469953,34.5447497759596,1
"GSM748054",103.603370749797,39.8644359625745,21.8394204061555,135.478742835905,59.0230457421851,20.3341635057951,94.69863284147,25.2930047023977,24.0648954282418,61.6252110310368,51.4601420510993,251.706959932091,53.8093278972251,83.4906378179871,280.725409798268,62.6903442719368,117.781602271139,15.4274564081553,53.9647646226161,37.5169609010457,49.4034444198456,22.6939462067521,67.6331225266187,55.3381130360749,48.4034485933338,66.1004013442431,98.4939684073455,42.1171369230912,43.5127354297924,34.7573101170567,29.2613263077729,38.3404491679164,61.124324156138,67.7282999908682,28.8074753361423,57.2612534694031,53.4736244079661,56.9356446973809,31.8192876416301,37.7971365728655,61.9101773265336,164.597360750599,40.1411068896903,68.252091965684,23.7143369593076,194.553909164778,32.4982268296182,64.2569260243755,83.8069450786304,26.6362588565396,52.4629737731982,17.8140078648403,63.019974107964,76.7654150290161,34.7711709011118,0
"GSM748055",101.3597105175,37.4444140602007,23.4800832981394,133.653616883602,60.4256035002721,20.281114451392,94.9685948520352,25.021319422203,24.0844091703285,52.1071895160687,49.0376280093491,268.34601245276,50.1629044808094,83.4831940946643,272.424670180083,62.4331643894766,103.766599284012,14.8542144529318,45.0540549008151,38.0111656423115,43.9270413228989,23.9312239333834,73.5143777985332,52.5436906828275,36.8827326906625,51.2374638169665,90.2063481223054,36.8922427996502,37.7495401673572,34.292909133821,28.5378578293959,35.5403897088826,63.3591470027584,64.5151729048675,26.5943707215066,57.1989393312513,48.2998189509496,51.8672761743011,33.3479934737965,39.8415668006127,58.3328918834258,145.06666493183,41.3789692354778,65.6019046868602,22.694116994298,191.745159468543,27.8400805488319,50.9228765625874,60.3379171379253,27.3242165225291,50.1087080139032,18.2501341429111,59.9922885516066,76.4333778687278,31.9289910477256,1
"GSM748057",96.5274944307021,39.2523726244163,22.189404995469,132.230554593125,55.293247603426,19.8768355017237,95.0813896242794,28.2912035478098,20.1949663171959,68.1563841618121,50.9281698782569,259.891702884093,53.1190851191288,86.6549908027328,278.986422104659,56.5278901844504,105.065538440695,15.7660313165599,31.7245109031661,42.4120028499303,48.6990255795741,25.2190578418762,65.6147994699354,48.2364403444912,33.359999601853,44.9436001722508,80.2464939193219,36.9730555863683,30.7727941876943,34.3305732391659,33.3602114787308,36.9187644106453,55.7659442122287,60.4267571987166,27.8236356385661,57.3466637004042,40.8829283861117,55.9381041927331,27.6767894793659,43.5763472937351,58.2261995268943,142.165079955516,41.4680307105808,61.2036055713133,25.1913700656729,161.526424301435,24.7994876318566,43.2805335711671,64.7361673475824,30.8763096784286,39.9615785213397,18.8851766856284,47.9488858483996,75.1016068751425,33.3580469821966,1
"GSM748058",104.084751517745,38.6892857513263,23.6284076624236,138.447368795089,54.4931727517406,19.0313488022164,99.4812704803687,25.7967094288898,22.6688518063568,59.4708852511411,50.0868590119006,250.555700013061,52.4345326127138,88.4493725324586,270.532091848161,69.9022167843594,107.971110061574,15.3450149350218,41.1785333889415,38.8837889298375,49.1066121579507,24.31344357382,64.1203127595422,51.0532776202259,33.8445696399895,40.967595100855,88.3135943074901,36.5227478301066,37.1033492225903,34.1435417343421,26.6933037489284,38.6125676018624,52.1403861499684,61.508683596939,28.2384537865333,59.716359897435,48.3031840790537,59.8703614063747,31.8035303818938,41.9659024471617,60.6729068172791,149.307262848085,41.4738935547003,63.6963493279684,24.1446731229222,200.50677497103,29.1011213706575,65.1885750271936,57.0948101104767,29.1363476669472,53.0291243896935,17.4953012784014,57.9743949416506,74.5866229334898,33.0430222716263,1
"GSM748064",99.3766015452602,35.2235770061685,24.0615507188543,140.806441986018,122.733181873276,20.2439839142744,90.9074352795548,25.4446526122517,25.778212981584,73.7391868463343,47.8014847550131,253.995202116615,48.984033427413,82.8274698358708,279.928962947251,72.7986111850223,103.155779502696,15.0623888233484,34.6474638363976,36.6358869821916,46.6499575845355,24.9635629182603,70.9345022397656,50.7464859140721,34.3036643741471,47.0986787166632,85.6551431187428,32.9640282272538,33.7664615666075,34.5330495641406,28.2259269234916,37.165279052353,51.9900527926703,62.3439745799727,24.1931641470789,54.2860978813275,51.2013016015399,53.7031706998118,32.444698724866,41.3615680982569,60.6046555536212,146.515532869391,42.6328253150038,60.000366682423,25.4043057989263,188.526339491475,41.7644456292165,39.1660370481196,59.6854233224412,26.9690255987765,49.5457794364664,17.969430372883,52.1248705961173,70.6701947930198,32.8136234529841,1
"GSM748068",101.25386788969,37.0442463748631,23.4870601161121,136.176077991819,53.5505047311614,20.5605254165226,102.315068634193,24.7043471396963,29.0631724136967,63.1814937453833,53.5144591207335,253.593866683899,49.9266218937504,83.875856331447,279.802696140835,62.5939271543469,102.319252564971,15.211912166555,37.9335026079474,38.1210863631116,50.124733180958,24.9051015244084,70.2420718094571,56.1930986083242,35.1385301534059,40.5278380943416,84.4161797461191,37.3267960216139,36.8870621869483,32.6251315248847,25.9293432926647,38.3859959261499,74.0278907660811,62.4538144768986,25.7051526893392,58.5191793176635,52.1858832160866,57.9128811208706,30.6728773745264,42.0887094716328,60.3899794515118,136.406647784186,42.3719854255107,63.9325433771209,24.3792098767041,196.509309976699,33.0613143828853,41.7923714465501,83.5269353005528,27.2312550257145,49.3343028953565,16.6370263614615,53.712932950085,75.8062695431082,34.1792327924062,1
"GSM748075",102.257379665687,38.139839271491,23.6384292924979,137.77089750602,53.48250722684,19.0825967474865,99.9043219006038,25.5646269057873,24.2517373131438,59.6209509253887,53.7877495945598,254.530776845357,55.4843916688295,89.8141133303688,282.258831571987,74.2626594006647,119.012986907768,16.4378168346984,43.7935089251698,37.980274859332,48.2022944556283,25.1881241091147,67.6107479069545,53.1021272712968,32.6246201520886,43.2718163619311,85.2233732314118,51.5767026417724,36.246287058888,34.9065743891622,28.2318184487694,39.9196242682726,63.2722127662221,66.0483376553043,30.0323116705184,52.0229095465117,50.9533837975917,59.521302603787,30.6470783237386,39.6696187422325,60.9814452950291,144.684633513085,44.9340051039355,61.8646148777307,23.6731418992051,201.897131664359,37.3845156620827,42.5659492604403,98.7082756473127,26.9828445879098,52.312924247059,17.384111860592,58.9808900003626,76.3331055959311,33.4393525630591,0
"GSM748077",101.163168621797,36.2831281345074,22.5287296146276,132.289847518731,56.5390664141624,19.3768158803138,97.8050141826216,27.4675475874246,26.4871999337925,71.2623401662768,50.4675363744522,257.476894835525,54.2053343450122,89.0640221157532,264.805733806569,68.8415883744582,122.641616977059,15.6268217714162,39.5165500559806,38.2220384359316,50.55475216229,25.2284458454308,69.6298958352819,51.7591754143113,41.2963255760383,41.2920363832361,88.0271698221861,40.1384090296196,38.5683837737539,36.4258638168344,30.6930806964962,39.1487541951661,60.4766785219372,62.0239571630482,23.8728848545597,51.6537856398431,48.6986251452709,56.6134630307611,32.1831199716936,38.3615283650128,59.5783348322114,152.289752910081,46.5428975681497,68.4903190141051,23.9238470188398,199.602830025473,32.314983076323,38.7212738066897,68.4276663829543,29.1593617631546,58.3460201368379,17.3854664368744,55.1896456254791,71.747777470487,32.1041683292809,0
