"","AGRN","AMBP","ANGPTL4","BEX4","C16orf89","C4BPA","CCL20","CCT7","CDC42EP5","COL5A1","EIF5A","FUCA1","GAPDH","GHITM","GJB2","GPI","GTF3C6","HSP90AA1","HSPD1","IGFBP1","KLF4","LAMC2","MAOB","MDFI","PCNA","PERP","PFDN2","PLAUR","PLP2","PRPF19","PSMB7","PTGES","PTTG1","PTTG1IP","S100A11","S100A16","SEMA4B","SLC6A14","SMS","TCN1","TK1","TM4SF1","TOMM22","TPI1","TSKU","class"
"GSM1465989",0.000397613963904839,-0.00194703836894556,-0.0195744187641892,0.0787237434206187,0.00380185206760685,-0.00557928349918674,-0.00559609715486894,0.0388499399923262,-0.227267402053952,-0.00149523520659984,-0.00176420202956636,0.0254364723773525,-0.00946717712535177,0.00293823492599797,0.0268539167754445,-0.0139291456047414,-0.192788954521964,-0.00559462318026127,-0.00119120061018523,-0.0155304498822809,-0.000387085896292256,-0.00386783278280477,0.00494393743972729,0.00644796874791246,0.0267682603609405,-0.00103441331481998,0.0093247782074919,0.00138798107216181,0.00156812652396076,-0.0281852973174664,-0.036293263545566,-0.00646918368387284,-0.0998205963704751,0.00190445234068612,0.0119957374802624,-0.0161471189063021,-0.00903475154742896,-0.00472115024709205,-0.000947379010239269,-0.0262808476594447,0.00265477783442276,-0.0137767891710808,-0.0197978780111988,0.0229024540795387,-0.00798554789286216,1
"GSM748053",0.000415920865758202,-0.00232877162682345,-0.0160081059038746,0.0671118852625616,0.00372143230640154,-0.00539701042695117,-0.00383522640418903,0.038604862344732,-0.169512475982622,-0.00172085580341059,-0.00153757599780094,0.0280734050218566,-0.00904155078709601,0.00279668045586385,0.0188513003396844,-0.0131473196917368,-0.198211435825257,-0.0056290426778827,-0.00122000283808953,-0.013945562861489,-0.000379803190826078,-0.00342347260503089,0.00464938072611927,0.00686403926047885,0.0293671222583289,-0.00100902258392848,0.00956542051955397,0.00120062959272285,0.00117846642980114,-0.0270307568001105,-0.0363759245915536,-0.00665902446062611,-0.0768254748154348,0.00195768697317573,0.0119933111432712,-0.0166400110349782,-0.00779019729709527,-0.00403808440249568,-0.00100724983775991,-0.0120859105554137,0.00218719023434753,-0.0144295307979349,-0.0227108213424717,0.021712764606108,-0.00740054692545861,1
"GSM748054",0.000383121595381873,-0.00189856526527106,-0.0198014384891233,0.0623535893189966,0.00265497574702505,-0.00447557958538909,-0.00461529385727065,0.0412549318225438,-0.189193833599486,-0.00180075147122572,-0.00166265157440003,0.0244818716055156,-0.00961684412299714,0.00285859890774085,0.0232200622073251,-0.0134570303764196,-0.189496136582196,-0.00560157390248594,-0.00122828164444269,-0.0139967960410515,-0.000505249524022951,-0.00397117673183828,0.00498696493574513,0.00669717891204687,0.0308896379833619,-0.000993202026369116,0.0102103936927046,0.00149627016030066,0.00160297486479413,-0.0282313469437945,-0.0391162125539422,-0.00755518715969922,-0.087161272062985,0.00191254859012645,0.0113800824303849,-0.0156996097741354,-0.00815020440940807,-0.0069862224197651,-0.00101349396247813,-0.0125249347031798,0.00309176388297846,-0.0152110117743301,-0.0233723616192516,0.0228715776066876,-0.00843466690149898,0
"GSM748055",0.000408303091919829,-0.00228703056262342,-0.0171530775284543,0.0661303853260894,0.0031349743005422,-0.00398708930778376,-0.00553568827472509,0.0411327674142534,-0.154463876019917,-0.00152176566069114,-0.00148559496585662,0.0253745170595147,-0.00962230985101525,0.00293160289752835,0.0189947301966307,-0.0140802605011522,-0.192768699336412,-0.00575246528583122,-0.00130195751235523,-0.0138238597050841,-0.000360530915708919,-0.00353188002481223,0.00502186869570784,0.0070423706361447,0.0297782642063626,-0.000976489661320192,0.0103015858560705,0.00125188864780661,0.00127585156485045,-0.0277271963833447,-0.0359147899053562,-0.00670759895913345,-0.0960632063256738,0.00186140650010181,0.01119727356915,-0.0171013310463171,-0.00758157614375576,-0.00288642636267606,-0.00093554299128029,-0.0190538069962273,0.00289859440771062,-0.0138944076955752,-0.0220308412033445,0.0230603019109321,-0.00743271817566271,1
"GSM748057",0.000440332137573965,-0.00211217965187551,-0.0177675308045955,0.0587356929000084,0.00343890631181059,-0.00417598205487953,-0.00616304461546642,0.036982457516737,-0.114809230790102,-0.00114043105940822,-0.00187121955623997,0.0256568004681902,-0.00944399979183573,0.00330595665661087,0.0145423905823008,-0.0154166029975654,-0.186119722732629,-0.0053693704783874,-0.00125308415505494,-0.0145112311161263,-0.000389290749471328,-0.00238427230142733,0.0049910048811814,0.00610896889598566,0.0272921493913499,-0.00103982244481513,0.0101567271925488,0.00105939117165436,0.00146710155138786,-0.0263347343252093,-0.0364089149674958,-0.00777333523688291,-0.0767323884449806,0.00182925492323847,0.0111638877677852,-0.0153979549640116,-0.00760460320257267,-0.0025783727544357,-0.000904366892268796,-0.0115760038410092,0.00215113157613705,-0.0132321763705414,-0.0228195662739019,0.0221746366032411,-0.0082033006756618,1
"GSM748058",0.000385261883386528,-0.00206130198525252,-0.0142879294638459,0.0760214712292829,0.00355468658250713,-0.00522641472187977,-0.0037637131984295,0.037908647409387,-0.172038191232255,-0.00168814109709773,-0.00177681396915526,0.0274603251558419,-0.00915434093992207,0.00280757682258245,0.0151331661188522,-0.0133066227719731,-0.183354338956152,-0.00569287013672351,-0.00117887202762859,-0.0139414090954752,-0.000439995073419997,-0.00299818195272451,0.00487966290946701,0.00627936702777131,0.0289075844174752,-0.000969253933298875,0.00932556985647428,0.00121739634416124,0.00148218653619767,-0.0270155095321244,-0.0368665178459416,-0.00723457983014567,-0.0923435438431196,0.00196475876075026,0.0117085541319976,-0.0158588557887254,-0.00695084630764815,-0.00507208189598789,-0.000987365379143573,-0.0117472439816286,0.00228955149168366,-0.0145531289254382,-0.0220365723880229,0.0214307626104312,-0.007426630653523,1
"GSM748064",0.000397328001601585,-0.00289694215935939,-0.0152359205851609,0.0697464443467095,0.00305072743565921,-0.00599923385424671,-0.00639001451928795,0.0390619579666694,-0.155057417628299,-0.00142954340039859,-0.00166630016992268,0.0250898633825984,-0.00947574922670632,0.00298680026254448,0.0188549035884443,-0.0142571504381775,-0.19785980952012,-0.00548361818999828,-0.00132477504354453,-0.0138510034124685,-0.000363946029544227,-0.00290244163379361,0.00481225514807276,0.00651034926900917,0.0291087239800223,-0.0010215236299551,0.0100798892252567,0.00117975457170303,0.0014838882086192,-0.0285571855626931,-0.0389049053148966,-0.00734187026364259,-0.0854815157939811,0.00182234085117745,0.0114035947491012,-0.0159269825145817,-0.00780894693348154,-0.00494177954981379,-0.000965229775214246,-0.0178279350879812,0.00233775621604501,-0.0140753738360808,-0.0254276958107254,0.0228909143516761,-0.00680541359392217,1
"GSM748068",0.000375007351583395,-0.00238223718261169,-0.0175565904909936,0.0562616468086239,0.00167077436268211,-0.00524426880864854,-0.00916913257854363,0.0402218910765519,-0.156849861877053,-0.0016310451922146,-0.00176089892497502,0.0240835205145466,-0.00949659695855046,0.00306944218387353,0.0171595122129497,-0.0150896476344496,-0.191950495257733,-0.00562675293343619,-0.00136425241129756,-0.0143824834885654,-0.000394159955817642,-0.00297287704634197,0.0045789560556382,0.00634520463719519,0.0320518129901982,-0.00102435377435062,0.00993457649442042,0.00131813619896371,0.00136204743256446,-0.0285815504218517,-0.0387926817499966,-0.00885767064658801,-0.10254276798877,0.0017956230371911,0.0117899111674298,-0.015258152279488,-0.00815060247384979,-0.00655204126260071,-0.000982230496317614,-0.00983240471178307,0.00347771997890517,-0.0117441499920472,-0.0262536145917379,0.0229415133682743,-0.0113608429136292,1
"GSM748075",0.000400180499296903,-0.00214133169693542,-0.0217096013599158,0.0674852594588892,0.0022767602376763,-0.00392466490665692,-0.00840249599753661,0.0408339327066408,-0.179591702914287,-0.00185722332834932,-0.00169156041700243,0.023919922378167,-0.00962922266169504,0.00293104511995594,0.0284993632561953,-0.0153169095990573,-0.179170216726904,-0.00554483569433082,-0.00132662574943589,-0.0143137468867471,-0.000460990157176547,-0.00385050750261579,0.00543088041823686,0.00645564941006449,0.0285843647536148,-0.000994317473407447,0.0100229381446832,0.00158320501125911,0.00152659260600609,-0.0263031944223255,-0.0393431728090378,-0.00703644793710336,-0.105341102794604,0.0018687212437991,0.0115700662098327,-0.0149506508982772,-0.00825714732321492,-0.00678395840679138,-0.0010235354329589,-0.0109154356340655,0.00299614352535054,-0.0141714756512432,-0.0237035592421155,0.0235393106819966,-0.00800067635848557,0
"GSM748077",0.000381422070886805,-0.00207158360527227,-0.0181596060998551,0.0732055305550427,0.00218069735099686,-0.00515040820723478,-0.00675173669899656,0.0403134834523413,-0.181159364004127,-0.0016743525684974,-0.00193056933164351,0.0260430455826524,-0.00943401475604829,0.00308667374068966,0.0234131119783128,-0.0139533709603462,-0.196156781102398,-0.00574161045789538,-0.0013185162932931,-0.0141922524925458,-0.000537085573898312,-0.00312374658961975,0.00487265481358913,0.00779274295253761,0.0286699987710815,-0.000999785231941951,0.00972795836465034,0.00139583098746475,0.00130375817403829,-0.0283888708532358,-0.0382808846918337,-0.0077735834131706,-0.0961934570258274,0.00186865785611519,0.011556599453204,-0.0152521735230717,-0.00875094875463816,-0.006328179854901,-0.000964840317301956,-0.0163643777437601,0.0030521502638125,-0.0127398608366099,-0.0222758067068624,0.0226460002355892,-0.00862336132907898,0
