"","APOL1","C16orf89","CCL20","CCT2","CCT6A","COL6A1","CXCL17","CYP24A1","FKBP4","GHITM","GJB2","GOLM1","GPD1L","GPI","HMGA1","ICMT","IER3","IFI35","IGFBP1","LAMB3","LAMC2","MARVELD1","MDFI","MRPS12","MT2A","MUC13","PFDN2","PFKP","PLAUR","PMEPA1","RHOC","RHOV","RTCB","S100A10","SELENBP1","SLC7A8","SPRR1B","STIP1","TCN1","TK1","TM4SF1","TNNC2","TOMM22","TPI1","XRCC6","class"
"GSM1465989",-0.0136041710927401,0.0174091643015518,-0.0217892528506263,0.0029190160047397,-0.00200660094921931,5.85443780268643e-05,-0.00760574937782693,-0.00438355173146223,-0.00379691115890562,0.0114732721291952,0.0209527531084855,-0.00644759157636432,0.00478351100493487,-0.0164087362671876,-0.000508132646887303,0.0314419574955763,-0.0659046265644947,0.0114335377462393,-0.0162838229985739,0.00336909915649356,-0.00520941923713456,-0.0539605279100692,0.00317200031733978,0.025934554682144,-0.0175885042475935,0.00348880233371281,0.0348064092944895,-0.0034057560527542,0.0217690153880415,-0.00678974224980435,0.00836102334960062,0.00599861348052817,0.0153974688408519,-0.00629185382771586,-0.00694696012744236,0.00127592904604313,0.0424701253875431,-0.006708193269734,-0.0174990648125415,0.0145192651348881,-0.0123996101872091,0.0800618069515186,-0.0237902840233136,0.00133010657688311,-0.0366145671226097,1
"GSM748053",-0.0144828385086596,0.0170409119837292,-0.0149330355688277,0.00290955394441943,-0.0020646043562751,6.13878424547166e-05,-0.00806598593148373,-0.0020930838018958,-0.00395454870794068,0.0109205277102304,0.014708716240325,-0.00635545305398377,0.00509204120032621,-0.0154877339618504,-0.000509837939083943,0.0314325063330611,-0.0681307135157145,0.0107973445520107,-0.0146220540276211,0.00286726337634231,-0.0046109294397982,-0.0512500101097582,0.00337668117878527,0.0242445000047479,-0.0177220646927717,0.0033491429661874,0.0357046499411652,-0.00306018314952679,0.0188306055489745,-0.00581622051011372,0.00892184647365884,0.00404172192180793,0.0168558717022667,-0.00615272684574283,-0.00782163532085227,0.00136548293204288,0.0243389429460395,-0.0075130137565992,-0.00804738625132433,0.0119619783249527,-0.0129871013381185,0.0766958050562044,-0.0272906464942612,0.00126101294230739,-0.0383812781972462,1
"GSM748054",-0.0138360587619657,0.0121574717202737,-0.017970346484874,0.00318330083438275,-0.00199660644006623,5.6884554023383e-05,-0.00705380582987964,-0.00487671371357416,-0.00377047553993664,0.0111623079851559,0.018117440173146,-0.00605183609191473,0.00469343092928802,-0.0158525776563811,-0.000518731837787791,0.0311749068693102,-0.0778591840870323,0.0126482286535174,-0.0146757724990095,0.003463399750828,-0.00534860880048126,-0.0557693242077086,0.00329459624648019,0.027626204709079,-0.0179687857019535,0.00356685709977327,0.0381121281405511,-0.00320177582226167,0.0234674152245608,-0.00644553425481134,0.00876145892317113,0.00455834589218009,0.0167239536389165,-0.00607787918291233,-0.00583323876181426,0.00127449506418069,0.0441896093056846,-0.00795757950708031,-0.0083397098519776,0.0169091887725498,-0.0136904625753188,0.0646159421562354,-0.0280855918448969,0.00132831336295645,-0.0382213522467307,0
"GSM748055",-0.0134359232249191,0.0143554461638052,-0.0215540417155351,0.00303574306445529,-0.00225884872285368,4.76546761792703e-05,-0.00679684803562391,-0.00218325325143217,-0.00443663011923046,0.0114473752661747,0.0148206273036574,-0.00626601186257135,0.00480228267554696,-0.016586751814703,-0.000567643225676032,0.0337809837956799,-0.0666265399130772,0.0119566518372018,-0.0144944471216856,0.00275581540535026,-0.00475693877623272,-0.0500058189827058,0.00346440914433828,0.0230847023432317,-0.0168449336511441,0.00332719701016879,0.0384525192674965,-0.00322922160539068,0.0196345496237714,-0.00561320300804142,0.00877434410507033,0.00363181142290537,0.0163565696298286,-0.00624007360047235,-0.0080794480838441,0.0012400191178225,0.0201611336436695,-0.00785558719811236,-0.0126869501270753,0.0158527241633405,-0.0125054711274045,0.0778680230248418,-0.026473542730368,0.00133927391056508,-0.0367985059999942,1
"GSM748057",-0.0127866381553084,0.0157471895106217,-0.0239967487589543,0.00294165972673931,-0.00200104981196602,4.76648065898466e-05,-0.00851731007971406,-0.0020973653866706,-0.00393364002635009,0.0129091584995499,0.0113466918820847,-0.0065743105720054,0.00515173299132326,-0.0181609827265268,-0.000471679531379211,0.0342355426458715,-0.0451657773321791,0.0107111557488767,-0.0152151625212093,0.0024568301320817,-0.00321127481230347,-0.0457276825498352,0.00300523343618235,0.0271745597788987,-0.0151883039432696,0.00357513865442663,0.0379118082907638,-0.00360757840871312,0.0166154302679212,-0.00442967797809251,0.0073900810849571,0.00435361888595326,0.0156785872385946,-0.00535600002826946,-0.00779756940295551,0.00151119762669473,0.0217658985530647,-0.00711923229321702,-0.00770786559509055,0.0117647696500204,-0.0119094389037704,0.0701790794926978,-0.0274213207414385,0.00128783709743642,-0.036831120446893,1
"GSM748058",-0.014286150762785,0.0162773621000836,-0.0146545880581197,0.00285336016831077,-0.00203201632715814,5.84472039882443e-05,-0.00722199634187269,-0.00312426289611487,-0.00407452062416823,0.0109630760372807,0.0118076441544628,-0.006301712913265,0.00515279789364847,-0.0156753953090947,-0.000465055080785829,0.0302745789444792,-0.0636631776147067,0.010918117714222,-0.0146176987648272,0.00295325655586527,-0.00403812357410827,-0.0560142609907965,0.00308905873826267,0.0244416632654473,-0.0180088806641754,0.00332242093402488,0.0348093642664883,-0.00284742892089254,0.0190935743151848,-0.00524944743755179,0.00892260354315441,0.00380268431927154,0.0160672637429234,-0.00599094465308052,-0.00768633270572109,0.00147091269475056,0.0226437126281823,-0.00718186652472087,-0.00782188559771898,0.0125218030362837,-0.0130983441380103,0.0964623933166222,-0.0264804296558866,0.00124463510315351,-0.0367323969601788,1
"GSM748064",-0.0156435997347771,0.0139696690513459,-0.0248804904966307,0.00327786015982828,-0.00210318916137463,5.06011283060395e-05,-0.00762122546486621,-0.00386132659352934,-0.0042177438403926,0.0116629109212856,0.0147115276730961,-0.00613988382500636,0.00477180289148529,-0.0167951307352291,-0.000510594191384676,0.0282629807468261,-0.0654430344342162,0.0115372312153358,-0.0145229075545721,0.00298424532471273,-0.00390917501629436,-0.0504753984438105,0.00320268766097473,0.0271064331561028,-0.0171408649722658,0.0036686444990416,0.0376249967785312,-0.00343350347041922,0.0185032029186933,-0.00519843009617082,0.00827408183762113,0.00459423041767755,0.016112770872999,-0.00626137300223854,-0.00770906488044333,0.00127191609944962,0.0245392718322836,-0.00767586145446854,-0.0118707050708941,0.0127854398516441,-0.0126683472207734,0.0657006758777792,-0.0305554011926628,0.00132943638372947,-0.0371114025213637,1
"GSM748068",-0.013895422442765,0.00765068836806757,-0.0357014080788384,0.00331599484053592,-0.00197585303644975,5.37823236159456e-05,-0.00731272988309711,-0.00567074555889819,-0.00399211564335812,0.011985612569237,0.0133886995281353,-0.00635203930032308,0.00413882778732558,-0.0177758245497982,-0.000541258059849441,0.0328374615928111,-0.0674738205536263,0.0126682797045884,-0.0150801694209076,0.00277902844142429,-0.00400404147348356,-0.0530234460475563,0.00312144675472956,0.0284046181970889,-0.0177955617263425,0.00660640769153017,0.0370825909140008,-0.0035676922083925,0.0206735724098047,-0.00452452267241427,0.00851708165579432,0.00427548845718358,0.016147908470262,-0.00625570700126242,-0.0055441740616359,0.0012433714233499,0.0229063417287408,-0.00802611393472781,-0.00654689260956151,0.0190200241179883,-0.0105701611655043,0.0641879952979834,-0.0315478733338369,0.00133237502447633,-0.0369850375407458,1
"GSM748075",-0.0147249831020686,0.0104255747851591,-0.0327163922998382,0.00311256960193395,-0.00209526386183553,6.43284682685928e-05,-0.00482088622135812,-0.00270608483868541,-0.0041628239265307,0.0114451972463646,0.0222366117780678,-0.00626973387355589,0.00459580785448679,-0.0180435424520033,-0.000490539378144832,0.0313829856193337,-0.0611336687455377,0.0122827264909074,-0.0150080984464017,0.00316859052722131,-0.00518608455516318,-0.0554608712338764,0.00317577872628314,0.0288697543086433,-0.0181498310674395,0.0035543562194915,0.0374124166424577,-0.00358000389951561,0.0248308964320703,-0.00606671028394241,0.0088437734408748,0.0043468222289018,0.0159648856252313,-0.00606394434037775,-0.00629021193419359,0.00135955720852123,0.0495030874915452,-0.00824018909390136,-0.00726802719960947,0.0163862307657852,-0.01275484234177,0.0905392283293783,-0.0284835782104722,0.00136709331867588,-0.0364583766679021,0
"GSM748077",-0.0165277392685822,0.00998569060562115,-0.0262889106539707,0.00323650645517594,-0.00194986718754522,5.74534000945637e-05,-0.00640306227617697,-0.00569286958176293,-0.00385755189561252,0.0120528986595396,0.0182680671458509,-0.00613319468680163,0.00438479807909165,-0.0164372740887007,-0.000574903867199163,0.0315641665009421,-0.0645562922611586,0.0121377740167624,-0.0148807104296032,0.00296041797638813,-0.00420724123551646,-0.0530424524088327,0.00383354573894288,0.0256223629627671,-0.0174548743672846,0.00579719963128481,0.036311351638126,-0.00325395481325695,0.0218921330086286,-0.00545024232285862,0.0093294985710098,0.00592753754447438,0.0160872623216289,-0.00547679293708237,-0.00647321769012019,0.00139919470856617,0.0251403759565407,-0.00832505212812957,-0.010896197507239,0.0166925376343019,-0.0114663370580462,0.0707115382073261,-0.0267679075557958,0.00131521249857519,-0.037248700200698,0
