"","ABCA3","AMBP","BAIAP2L2","C4BPA","CCL20","CCT7","CDR2L","CHMP2A","COL5A2","CPXM2","CYP4B1","EIF5A","EIF6","EPHX1","F2RL1","GFRA3","GGTLC1","GOLM1","GPI","IER3","IGFBP1","INMT","ITGB4","KLK12","KRT7","LAD1","LDHA","MARVELD1","METTL7A","NPC2","PFKP","PLAUR","PMEPA1","PSMB7","PSMC4","PTTG1IP","RANGAP1","RHOV","S100A11","SEC61G","SEMA3C","SERPINH1","SLC6A14","SPRR1B","TIMM23","TK1","TMED10","TOP2A","TSKU","TXN","UBA1","class"
"GSM1465989",-0.00519672889748263,-0.0148723782753573,-0.00337410389894272,-0.00125036724073311,-0.00570692791591199,0.024595766549411,0.00536085017623553,-0.0248063573029078,0.00657600853016462,0.00913037159309187,0.00600963841953254,-0.00821847867874973,0.01837960350536,0.00808807920376115,-0.00293625097387169,-0.00228575055865204,0.00738577711160368,-0.00467601417451235,-0.0113638421457082,-0.0821062464844699,-0.000589632108605386,-0.00390643318477643,0.000838033905135326,0.00954413927014687,-0.00686529057931156,-0.0215052360225249,-0.012665677170681,-0.0672415673764282,-0.0272427615584661,0.0150835011956229,-0.0170725371712653,0.0160706175468425,-0.0121536080430255,-0.032615721174628,0.0165151354207966,0.0121485686858954,-0.00863007224168523,0.0175764850861426,0.00934090612950053,-0.00450808067754733,-0.00331543197274232,-0.0173349652884931,-0.00770624459050886,0.037243805255313,0.00538377823915948,0.000275169740691057,-0.0109304348741422,0.00631971605319217,-0.00056294160724961,-0.0206204357850493,-0.000216399809853649,1
"GSM748053",-0.00621430884870907,-0.0177882331973736,-0.00393495547563947,-0.00120951821801821,-0.00391118310211355,0.0244406087137002,0.0048701516189036,-0.0236491574673671,0.00703698999435696,0.00837222033276979,0.00750670493892157,-0.00716274856456801,0.0181199247932368,0.00820816264476833,-0.00367174048705739,-0.00342696144484768,0.00860118427899912,-0.00460919216329045,-0.0107260035795162,-0.0848795820367752,-0.000529459976886456,-0.004428500099009,0.0006782482786194,0.00889420428403891,-0.00654906809744885,-0.0202087491965366,-0.0123380423749478,-0.0638639231547412,-0.0291336041571138,0.0158481708509836,-0.0153402327594561,0.013901384815009,-0.0104110085141693,-0.0326900062998703,0.0156468564380926,0.0124881542850999,-0.00978324117623873,0.0118426141826924,0.0093390167762106,-0.00465120636384109,-0.00357550969499637,-0.0189517246129726,-0.00659128908297669,0.0213438232859174,0.00505351775436224,0.000226703930484746,-0.0115430676111147,0.00572674957258873,-0.000521701934123725,-0.0209638354484915,-0.000215118098137352,1
"GSM748054",-0.0053067504412797,-0.0145021183228438,-0.00363056287566087,-0.00100301734043092,-0.00470669979903375,0.0261183588010581,0.0060999151026534,-0.0246529818700866,0.00743846182853096,0.00854828352049111,0.00458824154874704,-0.0077454091342107,0.0192365974825816,0.00693353125220008,-0.00358780640626652,-0.00227090637664033,0.00774067537654397,-0.00438899874665692,-0.0109786754541196,-0.0969996446831184,-0.000531405105837967,-0.00380982911905785,0.000844811000230442,0.00790940924640856,-0.00690007623399018,-0.0216129678664868,-0.0127822476705424,-0.0694955538148236,-0.0261620461279619,0.0152483529888694,-0.0160500152955511,0.0173244332903563,-0.0115374772824593,-0.0351526249620703,0.0166963433362525,0.0122002149467771,-0.0104773631819033,0.0133563695763122,0.00886150450550523,-0.00467873590131925,-0.00427481711987707,-0.0191147345243249,-0.0114034792185585,0.038751691648455,0.00529628978575898,0.000320463676819173,-0.010834425883617,0.00857347298481833,-0.000594602274740485,-0.021597812398077,-0.000208458511184169,0
"GSM748055",-0.00594183343531643,-0.0174693956714675,-0.00382848769031468,-0.000893542308265345,-0.00564532263728276,0.0260410169244027,0.00616565911808709,-0.024241757915152,0.00642726408480808,0.00901820073528577,0.00649241914493586,-0.00692059659128247,0.0181170281538234,0.00625632360177213,-0.00361514448789095,-0.00290084915177153,0.0109983032180219,-0.00454432634884232,-0.0114871265076789,-0.0830056309196604,-0.000524839370962039,-0.0037008207899957,0.000749123206985855,0.00772175233111239,-0.00662775938666057,-0.020685689839083,-0.0126955762027025,-0.0623135053819893,-0.0241761203040311,0.0135828788687325,-0.0161875968326332,0.0144948833047115,-0.0100476080999442,-0.0322755977050058,0.0175789406437603,0.0118739777497986,-0.0101079971823281,0.0106415390019025,0.00871915390678252,-0.00508848985329062,-0.0032346285838097,-0.0186945231103177,-0.00471145936458499,0.0176801299336735,0.00564377666043523,0.000300441513860879,-0.0111031758907754,0.00857569979114567,-0.000523969848052752,-0.0213168635811214,-0.000211790345505512,1
"GSM748057",-0.00579630723169819,-0.0161338036626455,-0.00345523862376501,-0.000935874859212983,-0.00628510377673028,0.0234134696652001,0.00540319991121065,-0.0223735120690988,0.00486102687730636,0.0100525779871618,0.00722726845501124,-0.00871701640089249,0.0170282599079803,0.00943771319380083,-0.00281118318387017,-0.00262134559692908,0.00702136850035389,-0.00476791512896638,-0.012577357424403,-0.0562690760817759,-0.000550936248873496,-0.0038756006770737,0.000760919470363159,0.00802053506223452,-0.00699134472733596,-0.0216356621025994,-0.0121398492521223,-0.0569824122600716,-0.026516827520849,0.013389040477556,-0.0180842419500954,0.0122660680996476,-0.00792910362747712,-0.0327196538101259,0.0160824376523493,0.0116688817064167,-0.00982229378453214,0.0127565007594003,0.00869315686932486,-0.00467607395033041,-0.00293889975188305,-0.015291673308109,-0.00420862926432474,0.0190874144947783,0.00546922256920725,0.00022296642314956,-0.0118851598019766,0.00436237750336159,-0.000578292100813349,-0.0228431442189631,-0.00021501801526799,1
"GSM748058",-0.00555430036816382,-0.0157451765478165,-0.00384612508674124,-0.00117128619753348,-0.00383825357658694,0.0239998373760522,0.00497836028728948,-0.0241338199763645,0.00662427481927842,0.00920007095467473,0.00737345994643368,-0.00827723099558872,0.0174030328963594,0.00822927631229866,-0.00326885033072996,-0.00318084236802979,0.0100184558434641,-0.00457021797319713,-0.0108559681235377,-0.0793137724269234,-0.000529302274190663,-0.00496087033768016,0.000722414916610018,0.00807900402923789,-0.00660969978003078,-0.0211130728457824,-0.0125338759360915,-0.0698007756842319,-0.029653857410604,0.016009180208932,-0.0142737281653397,0.0140955171812737,-0.00939648726729026,-0.033130888470061,0.0157694884622894,0.0125332654675884,-0.00939194994474827,0.0111422121865234,0.00911728063731955,-0.00459930815279273,-0.00388596254821401,-0.0175974293580751,-0.00827906370860569,0.0198572058755601,0.00521119700022214,0.000237313752622319,-0.0108710940662385,0.00638290982677937,-0.000523540707868074,-0.0213290182429764,-0.000211990516968668,1
"GSM748064",-0.00646838591128459,-0.0221281821267632,-0.0041246227616531,-0.00134448186437211,-0.00651656882180442,0.0247299944170024,0.00493346433137767,-0.0241040143933976,0.00591089748255782,0.00872939270739872,0.00580077079768535,-0.00776240599965342,0.0173066518697376,0.00635979565656531,-0.00419175204263543,-0.00335292271383156,0.00762195292055937,-0.00445285397741927,-0.011631438971527,-0.0815311791606782,-0.000525869914284463,-0.00408449322038818,0.000780851498332837,0.00770400682466089,-0.006273795804757,-0.0248943070765423,-0.0123322816575577,-0.0628986601274188,-0.0279228342448046,0.0145465864892584,-0.0172116307564061,0.0136596852084219,-0.00930516645602391,-0.0349627291710171,0.0163012980165016,0.0116247765967545,-0.00927108222431208,0.0134615145117672,0.00887981320577292,-0.00456425871534412,-0.00382094316445529,-0.0171096256009201,-0.00806637364415514,0.0215194999517667,0.00518863171962426,0.00024231020894744,-0.0108290172122078,0.00523898801428793,-0.000479747979469919,-0.0214691971536318,-0.000218331439663951,1
"GSM748068",-0.00434240821790877,-0.0181966278048284,-0.00441089902728253,-0.00117528745776916,-0.00935072734247663,0.0254643441737649,0.00591878548170277,-0.0257865119377681,0.00685994371551528,0.00890436843030276,0.00336833682430413,-0.00820309127175063,0.0180787511404323,0.00791429750981635,-0.00374680051111199,-0.00328884258698623,0.0056994946716905,-0.00460671639224996,-0.0123106167900115,-0.0840612022314311,-0.000546048191174452,-0.00285835454115515,0.000773706297886413,0.0135601224556358,-0.00603035377668487,-0.0176695607187848,-0.012400836656371,-0.066073846161758,-0.0253510713044025,0.0136332058205486,-0.0178842984934747,0.0152619247863381,-0.00809887520308891,-0.0348618770528986,0.0182963719759498,0.0114543427185124,-0.010560700981475,0.0125275714709069,0.00918063217633053,-0.00464914435961383,-0.00341784615066672,-0.0203123355295256,-0.0106947734967358,0.0200875161698275,0.00522018821642396,0.000360468319564497,-0.0113949633865582,0.00911332739462517,-0.000800883202419378,-0.0229539222608618,-0.000193193811061978,1
"GSM748075",-0.00518880732199409,-0.016356480446291,-0.00366637669356766,-0.000879552442684441,-0.00856890751618901,0.0258518256745126,0.00589601149744318,-0.0244461569851227,0.00747813347480572,0.00901823558514712,0.00440959395515318,-0.00788008005203837,0.0179538272882592,0.00744103850582522,-0.00306858353099786,-0.00225507218040631,0.00802553979587153,-0.00454702567864869,-0.0124960243638003,-0.0761624234318205,-0.000543438523857943,-0.00307205182394217,0.000859798001118091,0.00760453911621147,-0.00626872982957764,-0.0199019634100049,-0.0127516848145259,-0.0691111828268865,-0.0256429716385,0.014148594174233,-0.0179460151288076,0.0183310008648471,-0.0108593840810014,-0.0353565876723575,0.0175959497356461,0.0119206387579676,-0.0101910571104034,0.0127365859338012,0.00900944210858046,-0.00474872364357056,-0.00420056474122945,-0.0187286708340088,-0.0110733274813217,0.0434112999019448,0.00513349804079265,0.000310552554060767,-0.0106499218367859,0.00815482499694556,-0.000564008089207708,-0.0220419438558416,-0.000197993952274354,0
"GSM748077",-0.00524912165176622,-0.0158237123099546,-0.00426293804260246,-0.00115425245906003,-0.00688545491295948,0.0255223309993061,0.00621362875756542,-0.0237150285029988,0.00695089660438082,0.00896226775302303,0.00516179598620609,-0.00899349542969308,0.0180181908992847,0.00801659833562222,-0.00360185654446473,-0.00248321509498623,0.00698342187888415,-0.0044480027853594,-0.0113836059650284,-0.0804264453168714,-0.000538825843840324,-0.00372630791676366,0.00089904111730745,0.00767899417923261,-0.00634079035367878,-0.0208793947960704,-0.012523016982604,-0.0660975304653007,-0.0287721968519392,0.0136406755306057,-0.0163115806424308,0.0161615071051649,-0.00975590920751691,-0.0344019396288067,0.0176258929724532,0.0119202344056952,-0.0110454547251029,0.0173682261052817,0.00899895574125666,-0.00469180912077342,-0.00426283953619749,-0.0170379730170537,-0.0103293687390346,0.0220466329596802,0.00529871529081044,0.000316357695078483,-0.0109344388267391,0.00784084116377198,-0.000607904298066383,-0.0200789622927153,-0.000199049419034328,0
