"","AGRN","APOL1","C4BPA","CCT7","CD79A","CMAS","COL6A1","CYP24A1","CYP4B1","EIF6","ERRFI1","FUCA1","FXYD5","GAA","GAPDH","GFRA3","GOLM1","HMGA1","HSP90AA1","IER3","IGFBP1","ITGB4","KLF4","KLK12","KRT7","LAMB3","MARVELD1","MRPL15","MRPL51","NME4","NPC2","PFN1","PLAUR","PLP2","PMEPA1","PRR15","PSMB7","PSMD8","PYGB","RHOV","SERPINE1","SPRR1B","TCN1","TNNC2","TOMM22","TPX2","class"
"GSM1465989",0.000648190098398942,-0.0115855222457575,-0.00348212125034673,0.00495393316876655,0.0101079085129877,-0.00244497701300398,0.00121460633881359,-0.00228307385773254,0.00296221157109318,0.0272596178467273,-0.002920639238422,0.0375365026107205,-0.0248308369637947,-0.00527751597858226,-0.00763171610123248,-0.0129218651443233,-0.00594592203876762,0.00159690705644908,-0.00351567242777529,-0.0837570802729927,-0.00695885548297982,0.00759313847377079,-0.0149920499331664,0.00832148673908297,-0.00578109403451666,-6.22695865725441e-05,-0.0246013014958149,0.0685988106875813,0.107489357630868,-0.00242044547198297,0.0102862699362772,-0.0126154701803918,0.0156634362251797,-0.00264226745598605,-0.0168365320815853,-0.0033616741790162,-0.031844272810033,0.0280034958350237,-0.00200383991094798,0.00369543128566217,-0.00303207940691523,0.0246797263522866,-0.021504601017439,0.0432906245254307,-0.0348952260003025,0.00118217314660057,1
"GSM748053",0.00067803400125682,-0.0123338089899009,-0.00336836167202632,0.00492268219932928,0.00932899311499544,-0.00240796269428192,0.0012735990215384,-0.00109013539770813,0.00370013080297524,0.0268744766518509,-0.0024856258748655,0.0414278137810088,-0.0240710575431176,-0.00551100350047484,-0.00728860861145322,-0.0193733885254879,-0.00586095256383216,0.00160226627349369,-0.00353730170911679,-0.0865861766989548,-0.00624870221516466,0.00614537558396537,-0.014709986739846,0.00775481171317671,-0.00551481078221186,-5.29943752754531e-05,-0.0233655414282641,0.0633569081762538,0.0995385437979308,-0.00223668578923554,0.0108077402756307,-0.0136075786007088,0.0135491653545297,-0.00198569659262618,-0.0144224890444002,-0.00331503179162632,-0.0319168008949181,0.0255567950403399,-0.00223713155667899,0.00248989298715085,-0.00365167364626739,0.0141435525826905,-0.00988943308809994,0.0414705766180662,-0.0400295043211076,0.00102543405674351,1
"GSM748054",0.00062456464599611,-0.0117830013668311,-0.00279328175099419,0.005260604653991,0.0100538417258986,-0.00270463843561984,0.00118017036350921,-0.00253992613140508,0.00226159067448956,0.0285306642166448,-0.00307163618408123,0.0361278019924635,-0.0228117158230413,-0.00564019417455594,-0.00775236621906905,-0.0128379476243616,-0.00558095921054226,0.00163021710421972,-0.00352004027556254,-0.0989499261510198,-0.00627165868424389,0.00765454341358504,-0.0195685923083635,0.00689617390264216,-0.00581038618732886,-6.40125032247395e-05,-0.025425955085878,0.0690234243468119,0.103326336229042,-0.00219544676181338,0.0103986914505411,-0.0136818705892808,0.016885484032578,-0.00270098633834164,-0.0159829990994453,-0.00328754100608655,-0.0343211720902171,0.0268979662031042,-0.00211388802827654,0.00280815793108056,-0.00429960547083722,0.0256789320805404,-0.0102486695654415,0.0349388128591254,-0.0411955180450773,0.00151608392043656,0
"GSM748055",0.00066561550990057,-0.0114422397626019,-0.00248840705221159,0.00524502691270255,0.00974680265248509,-0.00262564585051161,0.000988680274900016,-0.00113709811780678,0.00320017907450276,0.0268701805154611,-0.00259610744145143,0.0374450753909683,-0.0231922110251877,-0.0053663478167035,-0.00775677227210559,-0.0163991566802118,-0.00577847054788961,0.00178393078693212,-0.00361486072350396,-0.084674547792943,-0.00619416968818293,0.00678754905941464,-0.0139635609112386,0.00673255678768464,-0.00558107480081017,-5.09345311581768e-05,-0.0227982986265249,0.0667518842874455,0.101792984695664,-0.00214284961827278,0.00926291294995112,-0.0132784378711391,0.0141276263698639,-0.00214978894685004,-0.0139190662985865,-0.00400564193135374,-0.0315121941631206,0.0272199668181359,-0.00215423651989296,0.00223736861849749,-0.0037012939103156,0.01171579449642,-0.0155909932064122,0.0421044125240303,-0.0388309889743043,0.00143851588346425,1
"GSM748057",0.000717829245178609,-0.0108892985678364,-0.00260629807689145,0.00471580195467101,0.011127763500965,-0.00257470495300549,0.000988890448127838,-0.00109236536438078,0.00356239373324831,0.0252553792877482,-0.00194876887633344,0.0378616399109818,-0.0233441627480979,-0.0056264436179765,-0.00761303230277429,-0.0148190598365898,-0.00606278137453493,0.00148234595170405,-0.00337412317812182,-0.0574004259610122,-0.00650216580863222,0.00689443096568128,-0.0150774451110134,0.00699306393919664,-0.00588724116328728,-4.54085170835158e-05,-0.0208478409808791,0.0685390067087643,0.102781577821874,-0.00221118594962448,0.00913072387860778,-0.0131840780922729,0.0119552826674224,-0.0024720420352738,-0.0109842778481607,-0.00295823566268177,-0.0319457471628747,0.0273437324872073,-0.0019370786422559,0.00268203635543872,-0.0031142051217351,0.0126483360997758,-0.0094721961484291,0.0379468849822295,-0.0402211753151656,0.000867955785830222,1
"GSM748058",0.000628053742502469,-0.0121663066672851,-0.00326189012779782,0.00483390465523326,0.00943452945242363,-0.00240919888292324,0.00121259029205976,-0.00162720172585354,0.00363445299825824,0.0258112219880279,-0.00261067330890749,0.0405230942251741,-0.0240126475595156,-0.00563640361933494,-0.00737953142973218,-0.0179820216906214,-0.0058113937970769,0.0014615273092443,-0.00357741101227295,-0.0809084605416984,-0.0062468410033119,0.00654555437879529,-0.0170412515006214,0.00704404273569098,-0.0055658672457989,-5.45837496121012e-05,-0.0255376249282896,0.0591106425484872,0.101713006335781,-0.00209857012399831,0.0109175414217071,-0.013436799152256,0.013738378988005,-0.0024974599870959,-0.0130170611698085,-0.00318307902722901,-0.0323472550317273,0.0255222156432686,-0.00212110748630881,0.00234263445186931,-0.00374161267908817,0.0131584408137224,-0.00961231533141393,0.0521586685199727,-0.0388410906116862,0.00104137055584377,1
"GSM748064",0.000647723922785631,-0.0133223311803028,-0.00374421907270297,0.0049809685483754,0.0116807426674347,-0.00264072859387613,0.00104980961901129,-0.00201108469613375,0.00285925860735887,0.0256682749460736,-0.00262046833583362,0.0370250130753998,-0.0255374767250414,-0.00519988294102793,-0.00763862627551809,-0.0189548308250312,-0.00566215618936024,0.00160464294549635,-0.00344591666924807,-0.0831704506063898,-0.00620633219077571,0.00707502825119612,-0.0140958301507971,0.00671708457039665,-0.0052830106871155,-5.5156501476885e-05,-0.0230123859667772,0.0653465497246733,0.100587114008887,-0.00219297400877784,0.0099201182364302,-0.0139046076610631,0.0133135896921512,-0.00250032727719748,-0.0128905534065864,-0.00430885817262706,-0.0341357678385864,0.0268071738896723,-0.00215441224882918,0.00283026450597906,-0.00334454629542618,0.0142599652856869,-0.0145879096443092,0.0355253447154181,-0.0448181967522124,0.00109815940604758,1
"GSM748068",0.000611336809542593,-0.0118335563943886,-0.00327303315269558,0.00512887691342648,0.0126025326549582,-0.00262188995675658,0.00111580912432063,-0.00295347967413052,0.00166028729513299,0.0268134101527572,-0.00252697239632814,0.0355399568485176,-0.0238237705432208,-0.00582367587599186,-0.00765543212679587,-0.0185925713674573,-0.0058578044250449,0.00170101019965601,-0.003535862829114,-0.0857513424934603,-0.00644447680794234,0.00701028803474415,-0.0152660321542977,0.0118230021588084,-0.00507801408282325,-5.13635675540447e-05,-0.0241740737736481,0.0659348937432852,0.105660958405006,-0.00210091685874591,0.00929723366930774,-0.0139879359210739,0.0148752333174194,-0.00229502756925784,-0.0112194643515604,-0.00298160125381299,-0.0340373011407127,0.0277351969644673,-0.00195034538926998,0.00263390429429244,-0.00334092897334632,0.0133110566648598,-0.00804547642864535,0.0347074155491866,-0.0462739397618938,0.00168316587208815,1
"GSM748075",0.000652374063197333,-0.0125400230660475,-0.00244944697181137,0.00520692113518234,0.0109626280948377,-0.00260545288514355,0.00133460748851663,-0.00140940313482925,0.00217353346839015,0.0266281299605492,-0.00301574500054091,0.0352985357197455,-0.0247858173673298,-0.00608686149706997,-0.00776234485280956,-0.0127484333299736,-0.00578190295933804,0.0015416167396923,-0.00348438587175638,-0.0776937503088909,-0.00641367743753968,0.00779033550069406,-0.0178544026565901,0.00663035917867717,-0.00527874475276792,-5.85636732500032e-05,-0.0252853273918871,0.0668839356401663,0.100937758898856,-0.00211958783696735,0.00964870536405921,-0.0140431625961141,0.0178665481991175,-0.00257228348590815,-0.0150436288399936,-0.00347239589821782,-0.0345203105411096,0.02827514117624,-0.0019679749764258,0.00267784929134676,-0.00338556077152967,0.0287666363528793,-0.00893167873745339,0.0489559240250824,-0.0417792783801023,0.00146543625965806,0
"GSM748077",0.000621794081957387,-0.0140752780645653,-0.00321445323023765,0.00514055627531271,0.0119290309631944,-0.00278515877377177,0.00119197207815973,-0.00296500247147036,0.00254430145884739,0.0267235905312453,-0.00234805638931788,0.0384316203128357,-0.0238640863353351,-0.00573366180465828,-0.00760498312851872,-0.0140381768519321,-0.0056559875147783,0.00180674878485779,-0.00360803952785724,-0.0820435049086162,-0.00635923845234301,0.00814590394910899,-0.0208016200522775,0.00669527617140442,-0.00533942516551849,-5.47161110162975e-05,-0.0241827390191934,0.0635734250755014,0.0964196947231676,-0.00244226228902927,0.00930232767586475,-0.0139400571957972,0.0157520229142828,-0.00219681112531412,-0.0135149724901365,-0.00593057857280015,-0.0335882424573278,0.0261104150861764,-0.00197619932900764,0.00365164512764357,-0.00416234920773669,0.0146092716548235,-0.013390337284336,0.038234793426567,-0.0392627588136124,0.00148334308275733,0
