,ANP32B,ANXA10,DDIT4,ERO1A,KRT18,KRT6A,LPL,ORMDL3,PGC,SHC1,STC1,TNS4,YWHAG,class
TCGA-50-6594,-0.12544690596821967,-1.494698770799302e-05,-0.011482317887124437,-0.16496941105756094,0.007561803444266487,-0.0,0.0003030999485735706,0.021111041216429195,-6.7753344542788e-08,-0.0379045540046893,-0.0011895485322849318,-0.0024350166761140115,-0.18115560347771342,0
TCGA-78-7161,-0.0941666187294129,-6.498042432255554e-05,-0.003381486462699912,-0.08639410513801093,0.011226534549681247,-2.277172342054151e-05,0.00647813930704111,0.013616334312005126,-0.0984499691070211,-0.08328286444881455,-0.0006046753454913255,-0.003939144813107079,-0.0533228476024115,0
TCGA-38-4632,-0.09699975451630757,-4.739708142066805e-05,-0.01243602272792788,-0.04660830166170131,0.006053146849820249,-0.0001517422342624143,0.0004628479776778715,0.007923250199592212,-1.1971821089533444e-05,-0.011614654439961281,-0.0008442058102709192,-0.013060322745018142,-0.07186283740997758,1
TCGA-64-1677,-0.22874300508419462,-2.1549338106615706e-05,-0.010011320660869278,-0.09890494922167534,0.02040937371622737,-0.0005886519530289748,0.0005067264067449249,0.0062295015126569405,-1.1528271698609507e-05,-0.003849702629680855,-0.0005520214017501372,-0.0002626652815334726,-0.053911077530746795,0
TCGA-MP-A4TA,-0.12188398432256199,-0.0002909963013365175,-0.009582034878030865,-0.09951876541369979,0.025986269631845218,-0.0007384998536645629,7.247808263487936e-05,0.01047176626864228,-4.96078295271662e-06,-0.026477874355513003,-0.0005579157527329594,-0.004988171886529908,-0.12628481666059185,1
TCGA-86-8359,-0.12672538651154466,-0.00022090364042058396,-0.016968315944956357,-0.0900992334243204,0.018495926241379104,-0.0003297668199086335,0.0008879064847902267,0.030201301531690365,-0.00011843961013106082,-0.014696314247316378,-0.0013796808729913713,-0.015349109087031586,-0.06439080477022993,0
TCGA-MP-A4TC,-0.2063515351881328,-8.053491996653295e-05,-0.007974923408722173,-0.09258611378075614,0.01250752664536596,-0.0011512476525586367,0.00011861680690326094,0.011997480589236052,-4.295630829134122e-07,-0.015450058400077562,-0.0008898211612037565,-0.014340550893516761,-0.0935449505933474,0
TCGA-L9-A50W,-0.1574242693582395,-7.515904785376551e-05,-0.005525439248339905,-0.06550467458877293,0.009227118407579149,-1.197707712444958e-06,0.0006095160218529445,0.02617795457042616,-0.00032540269076801465,-0.011746060531109458,-0.0004979145720067973,-0.005971141509931083,-0.08392813668438909,0
TCGA-78-7158,-0.2355528981835891,-2.588213055571184e-05,-0.0016172136576450826,-0.02185311377070792,0.006601584869472122,-1.4421378578418884e-06,0.000823992922067863,0.009306735210655667,-9.022097265926877e-05,-0.017590328726318855,-0.00030768813246602147,-0.013697255631542725,-0.05929485050241931,0
TCGA-49-4507,-0.19761913968707912,-0.0001118731595322177,-0.014423334372895702,-0.0693512074661499,0.06945683486837388,-0.03922950759242176,4.5749194936633416e-05,0.008002242431616388,-1.0144658982388003e-06,-0.02178308411369819,-0.0015691432299973368,-0.0818990000150578,-0.07600794781540716,0
TCGA-86-A4D0,-0.20700317103798227,-5.403381906095023e-05,-0.004530930305934693,-0.04761699381873008,0.015709251600403415,-0.0,0.001095274474700741,0.015949705165041024,-9.774904562499926e-05,-0.010021720052605447,-0.00018180271189099532,-0.000145534992521392,-0.0873226170680798,0
TCGA-75-7027,-0.17569364607175655,-8.87763955509248e-05,-0.04313856022739777,-0.08426474515228975,0.025960433639278545,-0.0069934642189951905,0.0002229491631804411,0.009038541971921797,-2.854353252836439e-06,-0.031229134458234917,-0.004227130419772958,-0.008264099901419578,-0.1271551841843522,1
TCGA-53-7624,-0.2921081652732179,-1.560034529952339e-05,-0.0027928129091987957,-0.13372728755134453,0.1541358534527913,-0.002742222081309533,0.00019944414324100566,0.009593033734905353,-3.2064184323472715e-06,-0.02019495987785486,-0.002507060187407034,-0.028030192534767514,-0.10508208771015667,1
