,ACTB,ACTN4,ANO1,ANP32B,ANXA10,ANXA2,ATP1B3,B4GALT1,BIRC3,BTG2,CALU,CHCHD2,CHPF,CLTB,COX6B1,CYP27A1,DDIT4,ERO1A,FLNC,FSCN1,FURIN,GANAB,HERPUD1,HNRNPF,JOSD1,JUP,KRT16,KRT18,KRT6A,KRT8,LRP10,MAFK,MMP14,MYBL2,MYL12A,NDRG1,ORMDL3,P3H4,PLSCR1,PRKCD,SERBP1,SERP1,SET,SFN,SHC1,SPINT1,SREBF2,TIMP1,TMEM45A,TMPRSS11E,TNNT1,TNS4,TPM2,TPM4,TUBA4A,YWHAG,YWHAZ,class
TCGA-99-8025,0.0325892730573221,0.0785720546489115,-0.004410365717283786,-0.2597818982380729,-1.780259784893319e-05,-0.00105797721055445,0.03549596940315843,-0.03982053184839152,-0.016861182249429525,0.0005921928143250419,0.05189773324915922,0.015101846674755384,-0.03955643332517622,0.0009606223659203136,0.00833094904661635,0.0012057286664648235,-0.0175383164745767,-0.028446928010135736,-0.0002103096710626557,-0.037552109255782895,-0.022115367155155153,-0.007426333628505459,0.030028888339430307,-0.051513951271423636,-0.026594880586553515,0.03149037857667417,0.005682049778713818,0.14150402924516464,-0.00018649806216492496,-0.1727777242829926,-0.01217618240586121,-0.010788929882966668,0.00018776135328475645,0.005183458784766258,-0.001939702509340274,-0.028010422637603283,0.032848137383255614,0.0027192432479176544,-0.021643318652749724,0.12549208612105336,-0.004029635173771532,0.02707873938794526,0.07471435306569973,0.05250243124486774,-0.0004260203584428109,0.025494133690872646,-0.037310525335835044,-0.060867867454267977,0.0029414236207147702,-1.513027505989464e-05,-0.007019801270536463,-0.009865185196750587,-0.061858332716665715,0.06787968660233219,-0.0032175022553046317,-0.0576156945539325,0.03699277243893352,1
TCGA-50-6594,0.02985901978970191,0.047201469753219684,-0.003343936855042954,-0.26828449550616357,-3.062610500660802e-05,-0.001007280585820172,0.03653371221238179,-0.06862029378314878,-0.008052355878202326,0.0002693685849432565,0.09511961297104458,0.032274937455361634,-0.04001562664753213,0.001111601364224551,0.014321382229205978,0.0003134760516723564,-0.00953080294780872,-0.10230743789584779,-0.0012268472261469008,-0.08492904405193254,-0.017620179401621628,-0.0075172962985020865,0.034810579852955346,-0.08018050862389312,-0.05150384169184346,0.026796091982379918,0.004712344474127164,0.04194688384888923,-0.0,-0.037238720718606025,-0.025306827624460706,-0.009120808230125095,0.00033564991376642617,0.029619956016378984,-0.0014038387327357528,-0.007919510885539329,0.03119957356340523,0.00848193566236789,-0.030590684800161447,0.1916687044161375,-0.005774417597155863,0.048612008505858166,0.06757012453087224,0.025247847878813078,-0.0011985854339330605,0.04484602936717951,-0.013873120392048908,-0.12198694074714883,0.0026866559000303563,-0.00902386620066973,-0.021923035085764455,-0.0019695556294451327,-0.415896989287411,0.05695432768051523,-0.007580464035400583,-0.08426821487575617,0.04443136147055423,0
TCGA-78-7161,0.013879856187735294,0.02665025014233624,-0.0014391653507535502,-0.20138754004616066,-0.00013314370343746996,-0.0003473865356698564,0.01957219949598587,-0.047591424640115315,-0.01418634623947747,0.00149524185842107,0.026450278140940957,0.012418597475828142,-0.0397929644905497,0.00035608908900183674,0.004215520986368257,0.0007591200632789046,-0.0028067748570882547,-0.053578172397611264,-0.0002689337005671282,-0.008128510602055508,-0.07729623293555318,-0.005081767429386169,0.01970527510567394,-0.044041001326392416,-0.020012990284454423,0.023187467100612796,0.0,0.06227590339419373,-5.252503712032595e-05,-0.06553043391275165,-0.025366375718336456,-0.04753999839230989,0.0001098003142200866,0.0015735484182981849,-0.0023112347460698944,-0.005606386060128804,0.02012330039414224,0.0037820681123931486,-0.014022245329383287,0.0883072034005205,-0.007855206711411145,0.028133962157693277,0.09213538172461912,0.004508988878576993,-0.0026334996109496868,0.015820397897516544,-0.024730561035722163,-0.10823589429521657,0.002082973601986994,-0.00030849508032393283,-1.2079120059309964e-05,-0.003186164972897041,-0.26463121273044937,0.037750771515932056,-0.0005035315415451291,-0.024804207506062673,0.03291179403296916,0
TCGA-38-4632,0.03060658834175759,0.04259420683147144,-0.0010270169050752575,-0.20744656875971104,-9.711575475638355e-05,-0.001892790315048426,0.05846610042948194,-0.02117036321459028,-0.04324576414983357,0.0007256283841985981,0.1324337087228922,0.054430936443609995,-0.055370808779841484,0.0007178587508012794,0.014732424807404087,0.002988069644354867,-0.010322417759158037,-0.028904606600199775,-0.003352599948175841,-0.09550190260547292,-0.020922057059516407,-0.006116275464992576,0.028943559150052343,-0.05419262019476919,-0.02305968234987673,0.009578526517988812,0.009656504771211803,0.0335780544550123,-0.00035000717074250206,-0.04999755599319676,-0.018577179169822492,-0.00560764511980179,0.00019111371578977738,0.02887528273881888,-0.004048791806051005,-0.021145646719169253,0.011709608490132783,0.003854132198370863,-0.02418282828521155,0.07341186895695119,-0.005232114547083007,0.04876121422216856,0.05894196157421329,0.029352598629633,-0.0003672686830764796,0.017381486253697665,-0.025851644628737843,-0.09276056578754376,0.0014918533210778692,-8.854295185073478e-07,-0.0201700398821143,-0.010563801240930966,-0.025137274503530403,0.07939323564001152,-0.002803160259065544,-0.033428460992599246,0.053155827901932226,1
TCGA-64-1677,0.018407736417003558,0.012414889462884632,-0.0009373337387165729,-0.4891966146628103,-4.415420046964959e-05,-0.001496863702915206,0.039746830757216356,-0.014686285870742936,-0.0155103107231241,0.0007674591894349579,0.03219336964653657,0.026340586076756083,-0.021092543844423026,0.0005696794075635927,0.00742758625888093,0.0004960216306468009,-0.008309813872429433,-0.0613368980662598,-3.6680366286688644e-05,-0.007489182414658292,-0.007529260448717372,-0.01157756047630005,0.04113296853612277,-0.05041181461817156,-0.016202383288472733,0.01197280239021986,0.007760817232923073,0.11321500684499833,-0.0013577789046879268,-0.10265223612947165,-0.011873112988020218,-0.0033463076059471034,6.0105594224579517e-05,0.026115017745587756,-0.0011759261253499343,-0.01166507506390543,0.00920645214581978,0.003802282738359982,-0.01959622013640122,0.0755433871542554,-0.004424801255499169,0.03139518799048392,0.09478939342600871,0.014804223085480883,-0.00012173200867469472,0.012961283607498899,-0.01251285688204215,-0.051717319268911696,0.0023587235324499718,-0.00010511659831751125,-0.005352960132608478,-0.00021245599218221503,-0.02059085005595382,0.052792175386570994,-0.0004119436555272031,-0.0250778346257637,0.03688975590570948,0
TCGA-86-A456,0.02198259707529746,0.021606826713515236,-0.003257020911208661,-0.19871105217316865,-0.00012487653398783344,-0.0007423925928278427,0.08376709575734498,-0.02535789789720615,-0.025522741170393694,0.0027848285811012787,0.028013954574300216,0.014422414434361444,-0.044562920755014813,0.0006030463264323911,0.003245096967004449,0.004695577769633548,-0.003272462123275182,-0.020619946077685063,-0.0001035798782169396,-0.019442030301763044,-0.016273724223512333,-0.006970258428191848,0.05225937470881776,-0.05442668667898632,-0.04247678570646954,0.014817875345482262,0.00041907310233831074,0.039983567767560096,-0.00012825750040960847,-0.0460344515911586,-0.014402653595780296,-0.023845457370861297,8.669641611472343e-05,0.0019956566882885,-0.001832597495569968,-0.0053640235885503065,0.034214342919020854,0.0026534533490464862,-0.04802073590947771,0.17605957974630293,-0.005085821972845461,0.04353898759279369,0.0571102197329165,0.032465461816965094,-0.0005627151903972391,0.019339668391157798,-0.03065434310159047,-0.08057341811727686,0.0010157710775121759,-0.0001180168385626917,-0.005026798080921512,-0.014607214190754897,-0.02883265909561449,0.042509380182832276,-0.0014839837707169368,-0.03157982836167619,0.029892174750613995,1
TCGA-MP-A4TA,0.019678254296968435,0.03879311919105123,-0.00157958093005941,-0.26066472498368115,-0.0005962461102781884,-0.000771711345317835,0.052348847549950756,-0.02312358306308256,-0.15224870277575955,0.0008321774481998793,0.037954175425107727,0.019603095017717752,-0.054446863301806946,0.0010399620744892416,0.004237667867066515,0.0009794630417038234,-0.007953488760657653,-0.06171756234542787,-0.00041723012302827094,-0.014537623862549863,-0.11973287292731279,-0.015240409399121954,0.03130749084033108,-0.07807205383801831,-0.030347613838552372,0.03778039439011167,0.0066657910245271155,0.14415119910838486,-0.0017034166237982536,-0.16820720099057795,-0.030240803059259472,-0.058661098338534,0.00017581574005746654,0.03862575299523406,-0.0015905818926957305,-0.004173718893698557,0.015476007966060528,0.002774219905287634,-0.041228886700722146,0.08355963078927753,-0.00557690708093933,0.028538527959857063,0.07420601351658115,0.02082696629668663,-0.0008372607291488364,0.02592586819133996,-0.02315561374346361,-0.10435493889683439,0.003259570359005802,-0.00028188367808276683,-0.0024601399288317265,-0.004034667243196707,-0.07398471383502953,0.04972606755170821,-0.0013200583649560856,-0.05874395194852158,0.03424272075944556,1
TCGA-86-8359,0.028483922515664825,0.04132920881176022,-0.0021375116896363215,-0.27101869213646773,-0.0004526275273675995,-0.0007612712603822388,0.019824527788692974,-0.04426770140956149,-0.011077297044614446,0.004398452930425162,0.04963542245056726,0.01658562638118171,-0.10478574877812101,0.0005771172854811182,0.004513403962502927,0.0007571827743085715,-0.014084410239929384,-0.05587594493385128,-0.00012878476046734362,-0.08743236693946956,-0.05843191372302541,-0.006610476571719947,0.029716119849926993,-0.05224643510244386,-0.018469813711672476,0.026003784764421584,0.002645552128504131,0.10260071892149142,-0.0007606369591301194,-0.10289400307727377,-0.03671542563764477,-0.033773095031238425,0.0002676648391486385,0.005196866024791986,-0.001249849435261908,-0.018424932522094498,0.04463388229829507,0.006287738295102476,-0.0233985413209764,0.07807091628673317,-0.004673270697097244,0.04387017222832066,0.05447215880831105,0.03680829669060697,-0.00046471429757904915,0.031315258977242307,-0.023368798636351988,-0.07338871747849839,0.03797591084517612,-4.113348598795681e-05,-0.005516647695463487,-0.012415078921584784,-0.2183897601324594,0.09402255128664948,-0.0012718533531192533,-0.029952692979039672,0.04102321790751143,0
TCGA-55-5899,0.02282365430365055,0.028791877025199204,-0.0026002667654197722,-0.3626741374322109,-0.00016802082455312406,-0.0009858959090512538,0.03533047555676495,-0.027681087398343164,-0.003976283877480958,0.0011937440391403503,0.0356779357073647,0.03973123708156081,-0.1267855616006104,0.000590438892857512,0.004704161753223378,0.0011727515229740064,-0.006157493443037952,-0.04317429049251114,-0.000558208280936691,-0.023410995157960645,-0.011856205823348055,-0.02606387588570512,0.046102976584847126,-0.05218146012521971,-0.020421480919898774,0.02547150453193295,0.0012447429148134727,0.04345256997778253,-2.262248345045569e-06,-0.05607516885410362,-0.023706781796768404,-0.02524805485310247,0.00015565561138455218,0.026073697071410103,-0.0007236957380052886,-0.013520822918277685,0.020929884926789457,0.002413431055541477,-0.01503768692510971,0.08531940162523059,-0.003435005590682619,0.025681389876027357,0.1105399074759426,0.018350925983321484,-0.0003040138360042025,0.016274301676968205,-0.04775727029393185,-0.06581860363439039,0.001752902050329402,-0.0002808994824535845,-0.0008113658508215129,-4.330671448849916e-05,-0.0263898313775996,0.04912967241028624,-0.0021184839891351887,-0.0912554860391404,0.03147487036808159,1
TCGA-62-8397,0.016152834123422333,0.020601606716567137,-0.00931132644605096,-0.15492287164461468,-3.25519797079438e-05,-0.00044141728948643807,0.022857347925795336,-0.010472519286847792,-0.003035666351248141,0.0006624094897027584,0.01317045845155263,0.008812917122527807,-0.05361514392208123,0.0005904912447663757,0.0027137057469350887,0.0012641715680384716,-0.017015201987380553,-0.02230233867264268,-3.061427627720744e-05,-0.0072429197590430225,-0.014097068284469081,-0.005035832214549596,0.024710472169785763,-0.024729744730729513,-0.014423921286878775,0.005532004437965421,8.583089456450515e-05,0.04862349589147932,-1.2255607077988303e-05,-0.04683377512706228,-0.014420898188802166,-0.008470240303971416,2.0946732709022252e-05,0.000513739062887458,-0.0008392341634391443,-0.006969249106887587,0.02128438087396895,0.0003623656433512723,-0.006712799499889235,0.11011324482458743,-0.002613632878189408,0.017315405709205527,0.025488170601851563,0.018166644403628036,-0.0002123090491906127,0.016283960450939796,-0.026752305834510347,-0.03850258433366335,0.00021214334008218895,-6.227463188875553e-06,-0.0028048852421483994,-0.002415530424947151,-0.013905381544598907,0.021466551199149198,-0.0006089639811493266,-0.011982144364314506,0.009961719692576554,1
