feature,coefficient
GGTLC1,5.516261241776945e-05
PTTG1IP,0.00014922698404724625
EPHX1,7.302484075703093e-05
ITGB4,3.805042981204612e-05
INMT,-7.213292094936933e-05
EIF6,0.00012077344019223464
COL5A2,0.00019533057470061136
METTL7A,-0.00043931301740195465
CHMP2A,-0.0002103124995349224
CDR2L,0.00011614015834849493
RANGAP1,-0.00030813413748946193
SERPINH1,-0.00035957303987398895
CCL20,-4.1021943835722576e-05
TOP2A,0.00027259297343950077
KRT7,-0.00016672206974679943
CYP4B1,9.608199243499168e-05
PSMB7,-0.0002458661703613411
SEMA3C,-0.00017251343272036356
BAIAP2L2,-9.764657440654226e-05
CCT7,0.0003639662934259007
LDHA,-0.0002518036757787407
RHOV,0.0001526955515315582
TK1,2.7735907129941158e-06
PSMC4,0.00018077251359172204
IER3,-0.00043857640407064016
PFKP,-0.0003525046304623785
GOLM1,-0.00019100468716439257
C4BPA,-1.045726808150206e-05
S100A11,2.1302578663679457e-05
SLC6A14,-0.00019584959897235978
TIMM23,4.322769665192366e-05
TXN,-8.768004011421935e-05
ATP5F1B,3.2230393239954896e-05
MARVELD1,-0.001112884144767927
TSKU,-1.2890201705064662e-05
UBA1,-1.2295522851547839e-05
PMEPA1,-0.00035029001653239173
ABCA3,-0.000219001877348534
AMBP,-0.0003114371704994641
GPI,-0.00042435142493518535
CPXM2,0.000390931871257996
PLAUR,0.00032414356212222826
EIF5A,-0.00010919147602549233
NPC2,0.00013248237793059747
LAD1,-0.0003932643446284751
F2RL1,-6.131494669366926e-05
TMED10,-0.00021057684720520166
GFRA3,-3.9788884374248014e-05
IGFBP1,-1.2151655201615842e-05
KLK12,0.00010527770741401752
SEC61G,-3.440856493816493e-05
SPRR1B,0.00014123885588258325
