,LAMC2,ATP5F1B,PSMB7,SELENOK,PERP,FUCA1,PLAUR,TK1,CCT7,PTGES,BEX4,PCNA,HSPD1,C16orf89,COL5A1,TPI1,PRPF19,GPI,SLC6A14,EIF5A,PFDN2,MDFI,KLF4,AMBP,CDC42EP5,AGRN,SEMA4B,TOMM22,S100A16,IGFBP1,GTF3C6,C4BPA,HSP90AA1,PLP2,SPRR2D,GJB2,ANGPTL4,MAOB,GAPDH,TSKU,SMS,CCL20,TM4SF1,S100A11,GHITM,PTTG1,TCN1,PTTG1IP,class
TCGA-99-8025,-0.019658463701075442,0.0033990317995721488,-0.0417159513082005,0.055276203396457155,-0.01143178995726152,0.017196346135838498,0.005388679284107551,0.004144385785018586,0.12501546752517936,-0.00900143522631847,0.011526601682574982,0.029714702207088387,-0.0029536344751270815,0.002126152174224749,-0.009375933446983748,0.09697922709494698,-0.046654850428702856,-0.050916223086293524,-0.02198162659884741,-0.005639093476953133,0.013277733803531734,0.003647055310550618,-7.530549703715727e-05,-0.0002262125211010919,-0.02408279026672695,0.003610927720664075,-0.03797624807189827,-0.026334176506713772,-0.022047370086059233,-4.5193195063452274e-05,-0.08814913990254258,-0.0010791134800038253,-0.06937857626849668,0.003074600278741893,6.089271219183549e-06,0.029461648815716657,-0.08680752323001255,0.0027274907119827748,-0.08633728392269265,-0.012880793727878648,-0.0013216047053103927,-0.0003276148069870762,-0.049526394927404016,0.14940435678126748,0.00511797433762423,-0.021720055752469526,-8.205687894027449e-05,0.015024007297085695,1
TCGA-50-6594,-0.008720249623471801,0.009435142649484014,-0.06794433211326989,0.03754536241251825,-0.010775801748138887,0.025621029691140544,0.0013058057556060182,0.00806235296573162,0.17112588951935218,-0.004022012193495772,0.03197156102809661,0.029550953771955064,-0.005160418880274323,0.0004464791546264603,-0.006964493384224932,0.167220395173915,-0.05645554871846935,-0.15675363453461838,-0.01878418870716647,-0.008320377331388863,0.007836565204162444,0.0178107771324849,-0.00010066532155729838,-0.0,-0.04392078699337181,0.005804995215819216,-0.05913930307804173,-0.07391557427619126,-0.03598868608230956,-0.00018672599150154433,-0.11336933699754273,-6.334304297708216e-05,-0.03754414927112902,0.0015843651968627482,0.001552004153515734,0.005595743081488023,-0.07087916344578621,0.0006670254186115226,-0.19879839070783725,-0.010110924620262361,-0.005019677410536093,-0.000486540872543616,-0.06198134649605306,0.0566573449885497,0.018502399363837192,-0.05028586599142209,-0.009649177579608023,0.01484893850845812,0
TCGA-78-7161,-0.005668440107534439,0.004804648606384871,-0.05046117984739984,0.048824700716460535,-0.006755921064347514,0.01919252125130713,0.0008940757949321027,0.0005304864753960174,0.10147440982762247,-0.002582811690293054,0.010333854476221035,0.019026123059692465,-0.002283299725014391,0.01053993793106025,-0.011524354303547707,0.1104705868281199,-0.027426183080168122,-0.028460912241464156,-0.0018157241983075474,-0.004989422583416668,0.004686467531080065,0.02376763870074985,-0.00015831557855591806,-0.00027376110300298686,-0.05021632713497075,0.0023696929189675814,-0.04350736604854337,-0.01977326983684599,-0.02623583747804347,-0.00025118710683992454,-0.09606784113703991,-0.013815768601809561,-0.06753509925651037,0.000414615393878934,0.0,0.0002094099237803018,-0.06848664213236251,0.0016361876493798727,-0.10603141252774655,-0.002350862429544268,-0.0007564051913809144,-0.011326389453139943,-0.051188333546227587,0.03724328579093033,0.0065997643682558765,-0.007216800711797419,-4.677082834572902e-05,0.0053941852579759714,0
TCGA-38-4632,-0.03665694724356606,0.007445313688426775,-0.05182170802057055,0.10036666545604549,-0.013128676796461911,0.03286930284653036,0.004134698815997252,0.007518147150932257,0.21653154347411338,-0.00501344519374362,0.0110520367357311,0.070844515269497,-0.0037747644911020097,0.003387528098109849,-0.002718788849237551,0.272814492694805,-0.031243764064915826,-0.07554756315707314,-0.00570844039169753,-0.0093391594377133,0.010465248514248694,0.0029373877132429812,-0.0002871540853194911,-8.856952878192962e-05,-0.024997479383354736,0.0018206448168928864,-0.02914988909676071,-0.056537971624890944,-0.06626819895742035,-0.004037461466911606,-0.11194688829215842,-0.006990052942916194,-0.050129381524560306,0.004849875417875256,0.00010446186231457162,0.010997295430543747,-0.019432269258622403,0.000662974378302729,-0.2098804464751052,-0.004610225430021446,-0.0010801645439452775,-0.0010891879982504093,-0.15307547374934335,0.11007565262392509,0.010258790535874071,-0.09117227537631994,-8.95600311228659e-05,0.008184466453172834,1
TCGA-64-1677,-0.006992411975665253,0.007271701176739204,-0.07573093396261565,0.10425247244775511,-0.007623208139138348,0.013558099838307964,0.00133687237268359,0.004096356055556791,0.1770177940211174,-0.001308192767884962,0.008764787130956431,0.07177553081654268,-0.003528000926092104,0.002407110849169251,-0.0008717200339199563,0.16963111075141166,-0.04853472290536591,-0.04567065847822298,-0.004357826864994194,-0.01769619122946462,0.009155324648326952,0.0012814842136795626,-7.598602469042676e-05,-0.00010879663518008609,-0.005185920419427363,0.0008039505188005199,-0.03484377626537146,-0.041506200898627735,-0.04804704076891833,-6.727768840182484e-05,-0.1284094388123159,-0.006494045419864933,-0.07002356653372753,0.001215575117652339,0.0003274203898218179,0.014040119087387844,-0.006248414525449147,0.000523606792533695,-0.14379749255372756,-0.005692913818209191,-0.0009943684091581555,-0.02164367542141036,-0.02152866074291926,0.06292725948985921,0.007558850924412722,-0.08032856157327688,-0.0012215273322167925,0.0048089141351307565,0
TCGA-86-A456,-0.005205360664015866,0.005794558242558207,-0.030976727819470685,0.07024871022783184,-0.007406718047398055,0.0828491527240264,0.0018948592745112916,0.0015382304229870918,0.09322352441704113,-0.004617391707474068,0.022953818724549956,0.026925671732541723,-0.0031968781303798118,0.014430111568368162,-0.003703983698215829,0.08774348049349769,-0.03642860494890711,-0.0343291951928615,-0.015334889859246647,-0.005610992036533288,0.006737369879330755,0.0009581153181368146,-0.0007934897467198741,-0.00025942558474136257,-0.007364928485722152,0.0077870372545132465,-0.009943175445657326,-0.020216924563704868,-0.027822436282687425,-0.0003287068791088207,-0.08026197078220401,-0.009043842040094154,-0.05337765630551939,0.0011004884586720135,2.720365795801667e-05,0.0005073678699489855,-0.013159128873142793,0.0037016872452707906,-0.08267260938580992,-0.008265942127682545,-0.0017126536383588477,-0.0025958178801019087,-0.14507927524988823,0.056970244602317,0.011355791120224876,-0.018575001459161206,-2.093450243397557e-05,0.011325551936005528,1
TCGA-MP-A4TA,-0.018640555916674337,0.008337890999379394,-0.04884916913953539,0.030601157873561668,-0.011213769472257133,0.023798193984886615,0.0020829499057606134,0.0052701610065987595,0.1329327393512346,-0.02390393041277869,0.031875683564932866,0.050025908929124126,-0.006618656582754657,3.810928232825683e-05,-0.008952873317878602,0.11172303619156684,-0.08220961484459843,-0.03861779587840228,-0.013609742496661423,-0.007872017665802917,0.009523222211339163,0.010764790813560585,-0.00030225212451553295,-5.609851984120838e-05,-0.011714898342702064,0.0067732312754181035,-0.031647782908290616,-0.025460534951447737,-0.084274960612629,-2.4228929648040632e-05,-0.13325001646844098,-0.003417603308246514,-0.05807971484864231,0.0008909491499898337,2.7222082379254742e-06,0.008727360727449356,-0.020038314478681197,0.0024273794199803442,-0.11167850180290763,-0.03228719362014678,-0.0015450842477648101,-0.0012530698185151334,-0.05115375480216351,0.10189115666412936,0.009279459199603666,-0.058557760698264946,-0.001004449106217149,0.012283661539734338,1
TCGA-86-8359,-0.008555152336433362,0.006898654158015133,-0.04924256202099332,0.03674756816343394,-0.006308159924341408,0.019082085174636224,0.004071728516103064,0.0019539850091188637,0.12522001640226774,-0.00991120839864582,0.02781450361289808,0.01935340477817749,-0.0029085088701989946,0.004444861048182733,-0.006519067979438875,0.09944113551766601,-0.0298594720221567,-0.030386127246605707,-0.011755791010155264,-0.009296924067380063,0.009869530230992952,0.007097074026802224,-0.00010649543164661682,-0.00012168066183160281,-0.21732051689562928,0.003167166510152059,-0.03950657938135192,-0.016985544241096683,-0.06860529999004324,-0.0003448701677115427,-0.08886936205548711,-0.0780567196275164,-0.033051145119855845,0.0005747897186814142,0.0001897853570680936,0.008706822505589828,-0.12463517822801698,0.002271375037603352,-0.07584099359150497,-0.011185165219435519,-0.0005560572030626825,-0.024897176657671476,-0.0262469539551251,0.15856492412226575,0.004702605541392649,-0.015677692417502713,-0.0043100654377168975,0.004985933928872319,0
TCGA-55-5899,-0.0011759607668040343,0.008620241628750148,-0.03587582208867643,0.04825768148041901,-0.014745493239884382,0.03249964820062395,0.0008651228388343967,0.006952081908868234,0.19628643621847733,-0.005387805193803712,0.007524035433443683,0.1394292196593045,-0.005087041526786929,1.2657463358277546e-05,-0.009468664691609736,0.1804042382723106,-0.09162937917186673,-0.07997363833153914,-9.182468191587641e-05,-0.007908679157971303,0.008191810328889743,0.0012936746090339208,-0.0001844944549366178,-0.012827084146385361,-0.008939029046361431,0.001101372237143119,-0.008178775765053317,-0.023914695636557973,-0.021073925405362667,-0.00038404613850309054,-0.18583554993984824,-0.00017192445071753903,-0.14140000895643715,0.0018874895965833387,0.0,0.001224268647042701,-0.008467985643315855,0.043382236692475866,-0.201144042680427,-0.026389649484053937,-0.000797481445213956,-4.972247073690525e-05,-0.04583808022346142,0.014771391754803116,0.008754025678621097,-0.07561973080869216,-6.641351448411692e-05,0.007153467859825813,1
TCGA-62-8397,-0.0011526488454079644,0.004192261617158628,-0.026514609077258895,0.019131625755904044,-0.005242031825453047,0.05173581952138001,0.0005729840963563628,0.0010480911680949996,0.05422022731920753,-0.001379665872660029,0.020915929435493346,0.007283855991093169,-0.0010858408992669953,0.037485875006163065,-0.0031236270704672157,0.13001609603578876,-0.0221589652267866,-0.03214635205921196,-0.0009793192915162465,-0.0029065829163387622,0.0034854353070794624,0.00035584759173685934,-9.319710774686276e-05,-0.00017227085255692542,-0.005995720586143388,0.004052323575243922,-0.006853569848075256,-0.01711885881984117,-0.020225571360326357,-2.4805046865563395e-05,-0.054227910710393894,-0.0003509087927075882,-0.03386388521871619,0.0009148921265629532,0.0,0.0017708374644032098,-0.0020511343729502046,0.0049088185963144446,-0.1349876811558498,-0.003762301464254239,-0.00043280128525759285,-2.5683842379673165e-05,-0.014938579839177806,0.03935327083681737,0.005457911807393,-0.05603061841705875,-0.0003452157848537578,0.009134079593383663,1
