,GGTLC1,PTTG1IP,EPHX1,ITGB4,INMT,EIF6,COL5A2,METTL7A,CHMP2A,CDR2L,RANGAP1,SERPINH1,CCL20,TOP2A,KRT7,CYP4B1,PSMB7,SEMA3C,BAIAP2L2,CCT7,LDHA,RHOV,TK1,PSMC4,IER3,PFKP,GOLM1,C4BPA,S100A11,SLC6A14,TIMM23,TXN,ATP5F1B,MARVELD1,TSKU,UBA1,PMEPA1,ABCA3,AMBP,GPI,CPXM2,PLAUR,EIF5A,NPC2,LAD1,F2RL1,TMED10,GFRA3,IGFBP1,KLK12,SEC61G,SPRR1B,class
TCGA-99-8025,0.003077566276877292,0.09583867271799595,0.02765498915863661,0.0036847541574397905,-0.0003269208243267316,0.015129832333362098,0.01741899466007642,-0.041657373630821205,-0.034438945205092934,0.012087066313818748,-0.021058749731614798,-0.058469309038613644,-0.00033410322157004257,0.01867280949568721,-0.11774791190826542,0.00559623800018063,-0.037488936058186206,-0.017560349332725073,-0.0005330135910555515,0.07914687268299872,-0.1136677548587196,0.008161073334041731,0.00042956873716524526,0.029674151573857,-0.07611234732567558,-0.019205509781481767,-0.0401648476263028,-0.00024183896456004926,0.11633899744208927,-0.035880194910613436,0.005677646715814279,-0.06456218044964009,0.011095644845904844,-0.04481840414333739,-0.0009080322128308931,-0.001962493320544691,-0.027646009032789257,-0.00469973648752407,-0.0017279157093651268,-0.0415390820246254,0.006741151001598632,0.06239235216846635,-0.026269536442607804,0.05092609359414374,-0.04971958523625439,-0.0003648239328273321,-0.030831040526062146,-0.0008676642648839142,-1.7158137144681567e-06,7.450503353690019e-05,-0.003776226453699305,1.0578790305605485e-05,1
TCGA-50-6594,3.61535761786061e-05,0.09472190273748157,0.025174649324935523,0.0030071939588196665,-3.838192723715942e-05,0.02544476577189234,0.013841710515009422,-0.006001718718538543,-0.04317320227952831,0.004609788709105121,-0.037774533675798125,-0.0633931584174321,-0.0004961768194705989,0.03210583685592033,-0.18935349034926713,4.316003100179826e-05,-0.06105963407838726,-0.0008466786764482723,-0.00568617485015665,0.10833922600677519,-0.1413463422450973,0.01134816542471872,0.0008356690138715621,0.02214875452829584,-0.021786239014568644,-0.029278294346481187,-0.06228128035306781,-1.4195741420639046e-05,0.04411824966622994,-0.03066107728743861,0.010709921211693998,-0.038859907762674166,0.030799650630600733,-0.24167336443573065,-0.000712770148382403,-0.0038627725250128357,-0.03405894351045602,-0.012941587439095592,-0.0,-0.12788462474044962,0.003904471157376361,0.015119157825491942,-0.03876021144470633,0.015601032087442606,-0.03704282706645888,-0.0006139710872223878,-0.033424252284024764,-4.794560567096886e-06,-7.089275644622682e-06,0.0,-0.009135783668167231,0.0007650767584303652,0
TCGA-78-7161,0.0004211003506747684,0.03440969811161353,0.012046747325037728,0.001220870870777387,-0.0012495585896059249,0.005854081883621921,0.02193044727864909,-0.027964118672307504,-0.022748703887194324,0.002952921596089658,-0.011835740355107722,-0.07269685912304365,-0.011550708711405365,0.0045125586009121844,-0.04152985070226968,0.001597853142393155,-0.04534802360716944,-0.001457704003800528,-0.0003152812594438437,0.06424310810653625,-0.09244284532181589,0.002215307061619846,5.498532644882315e-05,0.01710357444646447,-0.03605036640764092,-0.01571634844823905,-0.055557686159256596,-0.003096237082731113,0.029000804419040217,-0.0029637723962888233,0.0039427895660826264,-0.0219945205266439,0.015684076433921165,-0.05828129750783843,-0.00016572416724133435,-0.0022831322768105,-0.01690051248564161,-0.0245996486754269,-0.002091113737601602,-0.023219321788463525,0.005637784888160064,0.01035197845736033,-0.02324306538246163,0.01708842499270722,-0.04926784248357966,-0.0008981719966422142,-0.10451663839990905,-0.01630467710221404,-9.536619002228113e-06,0.00013273413350759327,-0.003981903650617185,0.0,0
TCGA-38-4632,0.0003507900848870795,0.05220900031972171,0.03036631386613626,0.002708600820955597,-0.00027805077038353394,0.02462639286380574,0.012899435822653673,-0.010764882247115757,-0.02723908606476445,0.0065538588197005775,-0.017554648320084635,-0.039329128254209256,-0.0011107593776286274,0.031008323026258222,-0.043009909204239916,0.0005862154522443712,-0.046570691485759354,-0.016322151420717933,-0.0014437729552028119,0.13708539305144085,-0.10462797771789523,0.004094607562094499,0.0007792616674641868,0.07310321139790268,-0.030368828381107816,-0.0275822535674745,-0.03090631562632063,-0.0015665332675936776,0.08571430810280609,-0.009317779690628783,0.00798900139640498,-0.04002966471384599,0.02430414345153696,-0.0699918434979879,-0.00032499807754945433,-0.001165393017363122,-0.02067691909587402,-0.01868261215284874,-0.0006765349654759858,-0.06163411644700362,0.0007508237519381071,0.047873248905175074,-0.04350617527356395,0.041110659688594876,-0.028470922799460934,-0.0006036579131885126,-0.030931801547449837,-0.0002713084658826849,-0.00015328705454078302,5.808171118031346e-05,-0.00622513563319591,0.0005691219697788692,1
TCGA-64-1677,0.0011561200960965793,0.030676232965830698,0.006722995451875674,0.00031596696411624977,-0.00029989261884700295,0.02524272388379475,0.006499976468197304,-0.017620010433259337,-0.029608151215775584,0.0006234868260780603,-0.010340457826112611,-0.09775147705381536,-0.022072328633164644,0.01744671356045368,-0.039790822809361734,0.0005995708491928351,-0.06805723115304138,-0.0075841735399988,-0.0001568203984969069,0.11206937096157987,-0.12297222802352258,0.0020548087674050254,0.00042459041919449213,0.022575160733355998,-0.028031435435613337,-0.015580457913195806,-0.02052083687159983,-0.0014553735536141188,0.049000540804485564,-0.007113198679796415,0.00763530373685961,-0.06956216104116549,0.02373741066288424,-0.025143280194327298,-0.0004013222508653127,-0.0010220739439009102,-0.012352802288006528,-0.004800805853920418,-0.0008310389457607701,-0.03725958277443904,8.334667495220475e-05,0.015478859936378979,-0.08243714034847895,0.05618276913038736,-0.010183619530588826,-0.0019115793041005105,-0.04473711436179925,-0.0009118299265393294,-2.55427792337965e-06,0.001581586998480785,-0.00546507107885081,0.003727561760567549,0
TCGA-86-A456,0.004225936025929174,0.07224609545790399,0.08462157980338753,0.0015813910831605617,-0.0018697718705127922,0.011007037714895862,0.0076956925812270965,-0.01926545733993836,-0.026680496065999697,0.005465764904165198,-0.020931028131625416,-0.057769507988410886,-0.002647228079606849,0.004311821135271335,-0.04647781161600822,0.01643745745259805,-0.02783790209975841,-0.005090267602563407,-0.0008791414033544219,0.05901950025991706,-0.055589111138515175,0.000837764143477894,0.00015943875270018153,0.017956676092606524,-0.029409749500686137,-0.016930162892773205,-0.02233849477606234,-0.002026805739293758,0.04436190003995363,-0.0250308517710609,0.00581609638265106,-0.04867867814282891,0.018915492437119718,-0.08875039606536711,-0.0005827080131783006,-0.0020385829341592098,-0.018310639976194407,-0.04218392261299727,-0.0019816124284539904,-0.028006854564582285,0.002264981075694577,0.021939462516105745,-0.02613862678200084,0.0861610008426631,-0.0172535686125817,-0.0010177913261468934,-0.03435024291192492,-0.0002771096852244503,-1.2479749892059468e-05,3.6973530843802956e-05,-0.004436523374006196,0.0008505403901249163,1
TCGA-MP-A4TA,8.042708890510786e-06,0.07835791043003502,0.012373409345196153,0.00795276432825353,-0.0004926317836237179,0.020151108882794446,0.016992119222125703,-0.010254927696515568,-0.03022872030815328,0.004853996620064502,-0.027296463143882718,-0.041711083899550506,-0.0012778868790097445,0.015181275136090022,-0.12283175130884759,7.235934850279223e-05,-0.043899355544783386,-0.005668135848146809,-0.0029226596185622164,0.08415927088954284,-0.11485677181574681,0.08935665800895504,0.0005462561946925494,0.021953321363851832,-0.06658545910353192,-0.024736025429732116,-0.05225395448724897,-0.0007659154117326066,0.07934116025728857,-0.02221492623703631,0.007926165616551744,-0.03828337642690713,0.02721783223817604,-0.10034742787275026,-0.0022760873660717927,-0.0027339685245513497,-0.011978447347338361,-0.0009783908870545756,-0.00042850640289021267,-0.03150563206317289,0.005648496421432532,0.024117253452580152,-0.0366715422955527,0.014061017181663964,-0.046324416169773376,-0.0015970336275619868,-0.04689641146841083,-1.492481052878043e-05,-9.198802987623192e-07,7.401022831205431e-06,-0.004391678691322285,1.418038113061136e-05,1
TCGA-86-8359,0.000183128840704511,0.031805448476814616,0.019956308809406242,0.0033694302455873643,-0.0006199463890993547,0.015859026133210753,0.016396009374254377,-0.0074462677823596505,-0.029978448433706718,0.0074264082153569855,-0.013914012672232898,-0.06696314338651702,-0.025390265494485555,0.0072635941481609696,-0.13456723443728993,0.0004144304579698496,-0.04425288651114595,-0.0025392597188975755,-0.00166807690127208,0.07927637189019965,-0.09869729610301371,0.026474644846089468,0.00020253203160797113,0.023271839923487133,-0.1500419876035724,-0.01735055991506264,-0.07957186505581215,-0.017493207713062505,0.12347219786149032,-0.019188756158514893,0.00561699825741163,-0.05339482967650057,0.02251965293813835,-0.08702720625560847,-0.0007884987943794874,-0.0011440996308888117,-0.03183544260151501,-0.007040187650560119,-0.0009294530916386007,-0.024789973717576127,0.0007192755499275869,0.047144152790893554,-0.04330942315291361,0.01921638344350406,-0.04122098544309519,-0.001325439071182379,-0.033680882287713744,-0.0012853759308216449,-1.3093408479741068e-05,0.004669603240119488,-0.004445053257254367,0.0012514186347764523,0
TCGA-55-5899,0.0,0.04563222391069627,0.03611982422963751,0.00035324877524609254,-0.0005051684852847183,0.020606630067167495,0.027425643270586445,-0.011335769513229597,-0.028690852217804066,0.0028443073200021454,-0.03864251672769219,-0.0424156313138796,-5.070722477533668e-05,0.058882481081098434,-0.032532227386588355,2.0811359561419197e-05,-0.032240578439184875,-0.0014965022748193377,-0.001172354536982387,0.12426828363181841,-0.0675367674879676,0.00021705672650210997,0.0007205885748033667,0.029418087308354324,-0.007040905590950056,-0.025848776796712707,-0.0401802999054944,-3.852980424629434e-05,0.011502267702233464,-0.00014988369809354693,0.007399124893432161,-0.07854108815708619,0.02813952479365903,-0.03871746197330513,-0.0018603396904783422,-0.0016751014580694676,-0.006679645296254524,-0.014496807370898474,-0.09797919272551112,-0.06524505002720458,0.009652928858289563,0.010016749185413521,-0.036842328683204174,0.025018303454358855,-0.03186192326388888,-0.00010013343944543127,-0.1145542049756394,-1.1268212054787037e-05,-1.4580771076418848e-05,0.004751635629736491,-0.010098469938863704,2.141181055179962e-05,1
TCGA-62-8397,0.0002085146749391685,0.05826661605124679,0.07367731040671092,0.0021115477217318003,-0.0007665781908052327,0.005941606395729233,0.0033411099471964876,-0.048254405419241135,-0.019922166987194827,0.004228907059801232,-0.016300326686606286,-0.02083060555945999,-2.6192511139108862e-05,0.001724804780141097,-0.019689176204404076,0.024014550633416194,-0.02382792320763308,-0.0018817937754569978,-0.0004393509968847962,0.03432664384198895,-0.07247121303999811,0.00022369898299373276,0.00010863544632841092,0.006421690463826898,-0.058154485599879964,-0.00962189589217499,-0.011567740466862242,-7.864179315331994e-05,0.030643819054923156,-0.0015985244268124006,0.00385904022658919,-0.029025679391447276,0.013685028192724174,-0.021798952050885202,-0.0002652236342027285,-0.0014552009500786748,-0.014259325760987377,-0.0046199979039814685,-0.0013158843327943357,-0.026226021374699284,0.0026835127370633876,0.006634246285955645,-0.013540223469655562,0.27239141325851496,-0.051015627210411994,-0.0011341916209501553,-0.0391863718425243,-1.0185954399807492e-05,-9.417532781252277e-07,0.0,-0.002217360182601718,0.0,1
