,HSP90AA1,GPD1L,TNNC2,SEMA3C,AMBP,TXN,CKAP4,CPXM2,EIF6,PFN1,ERRFI1,PSMD2,CA9,SERPINH1,IER3,MUC13,MAOB,PSMD8,SERPINB5,PFDN2,CYP4B1,AGRN,TIMM23,GPI,PKM,PSMB8,PCNA,TM4SF1,CTSL,TSKU,MARVELD1,SELENOK,PYGB,PRR15,HTATIP2,COL1A1,CDC42EP5,class
TCGA-99-8025,-0.03461338386020542,0.05172171573207707,0.31191869585426807,-0.06184732179465296,-0.00048390462107635485,-0.0020363263630200574,-0.006895858873369668,0.009525022454621583,0.009887326484747608,-0.08026540772973005,-0.03615688767030998,-0.017977651924092116,-3.680487065992882e-05,-0.10462856856171215,-0.056998466948164475,0.0002014545248214124,0.0045262172570525935,0.2165478104604987,-0.00020170066778640844,0.05755401055439437,0.004053651514070977,0.017677307395186782,0.058264127433967715,-0.11016941262666605,-0.019744443328665484,-0.0026443833272590455,0.0004966976097736851,-0.06410517334532553,-0.005803330259313085,-0.01344934763141178,-0.04997288947911235,0.062156748814314974,-0.015845707629472384,-0.01820528152112126,-0.007315911059557158,0.050316362985525456,-0.02492026864059415,1
TCGA-50-6594,-0.018730999111270737,0.016881905238374382,0.0012905931285257747,-0.002981991278577885,-0.0,-0.0012256626726444818,-0.023061705682731012,0.005516888056448029,0.016628122570788936,-0.09286796197138082,-0.016197857602442127,-0.05883442738656392,-0.0011738908821606528,-0.11343960670787913,-0.016315121895837288,0.0024495976657477516,0.0011069155789782468,0.16830000376718687,-0.0037102731959694196,0.033968579513967735,3.1263095853346983e-05,0.028418371342739862,0.10990543186630788,-0.3391739370476374,-0.042556993085502405,-0.0059048301957796865,0.0004939604645124581,-0.08022641193913432,-0.009844204558586886,-0.010557217432850251,-0.2694677903382548,0.042218848568150655,-0.011072177612984667,-0.002071714037565072,-0.012924292379238452,0.07157147881838805,-0.045448131161667626,0
TCGA-78-7161,-0.03369366222731396,0.03311043656080156,0.0029377488051542146,-0.005134014528765341,-0.0005856186128393131,-0.0006937191662125849,-0.00798158555163444,0.007966002785179583,0.0038256351806480343,-0.0693254857939439,-0.06030823470531203,-0.013067477249106386,-0.0037924423262666158,-0.13008821951279298,-0.026997138970932418,0.002263010612066469,0.002715221262482623,0.09285153995536134,-3.5072622679395165e-06,0.020314084145508674,0.001157409640139683,0.011600838732126036,0.04046098766302156,-0.06158198299875993,-0.013351811095194305,-0.002485045529417827,0.0003180321236655337,-0.0662563265517146,-0.0039027665852777275,-0.0024546287066249976,-0.0649841263812924,0.05490219066965898,-0.012433559877165518,-0.003934897080711679,-0.004650831154664709,0.045705422763077756,-0.051962598539770644,0
TCGA-38-4632,-0.025009846248058402,0.028717631051722585,0.0014284815609381125,-0.05748640486422142,-0.00018946433228149052,-0.0012625574444971018,-0.0081825629049255,0.00106088902250932,0.016093316900095394,-0.11570028516293869,-0.05351117827679545,-0.022368886664129603,-1.6016508420022256e-05,-0.07037795485663007,-0.022742389658913186,1.2020797391112886e-05,0.001100192957165413,0.6531382653391101,-1.533930931525245e-05,0.04536293861255296,0.0004246268931888705,0.008912972115584252,0.08198329672992492,-0.1634652013423053,-0.03128814396510598,-0.0058663191749376,0.0011842050832177075,-0.19813535376445862,-0.03650165605462664,-0.004813719230153753,-0.07804148153910201,0.11285987876804231,-0.01730258201265267,-0.0011390348434622023,-0.0039228363857645426,0.021096933911474495,-0.025866766046274133,1
TCGA-64-1677,-0.034935173335246414,0.014336819945404224,0.009712386506183772,-0.0267113604967224,-0.00023273333529435592,-0.002194028476272779,-0.0055672257060682484,0.00011776608330677237,0.016496088449907718,-0.24408014915770196,-0.028896228725386143,-0.025247614535667293,-0.0002463656920687828,-0.17492248988575115,-0.02099197965015897,1.1475895944604945e-05,0.0008689151863520387,0.15741381327274379,-0.00010172384072220046,0.03968490852697769,0.00043430091439015104,0.0039357421556870855,0.07835364406917603,-0.09881938042205957,-0.017235760301326435,-0.007564548793420478,0.001199767520749705,-0.0278659193918818,-0.0028544088232088736,-0.005944197119704433,-0.028034964348016812,0.1172293743969712,-0.013240171494317105,-0.0076057918679970265,-0.0022367829723155164,0.00859893529516939,-0.005366260660394672,0
TCGA-86-A456,-0.02663042983342401,0.07816387883464422,0.219996302968685,-0.017927856244291523,-0.0005549526554530534,-0.0015353520424628618,-0.007738838808653369,0.0032003430274989576,0.007193085364014856,-0.0852849227661299,-0.03715558250765092,-0.02290900818265072,-8.191558703558783e-06,-0.10337630163117013,-0.02202416156863385,2.4594252832954465e-05,0.006142877266693308,0.10059798351569794,-9.423285791595985e-06,0.029203978847709713,0.011906520824891772,0.03812146403763698,0.05968490076410466,-0.07427941510771305,-0.010995787866818853,-0.005392667080269439,0.00045007742961374964,-0.18778536379118135,-0.013299338212053318,-0.008630798033487572,-0.09895742203621843,0.07899296926823311,-0.02792869452792355,-0.0002467808117082034,-0.007967522957627126,0.013894035953286055,-0.0076210436726900236,1
TCGA-MP-A4TA,-0.02897631477427966,0.01602156251338623,0.0014883735207317755,-0.019963100684042202,-0.00012000367112558247,-0.001207478560057929,-0.011261172072645317,0.00798113782590475,0.013168724422315642,-0.10204112576643772,-0.03114320561236209,-0.03798823956629346,-2.4092295864498312e-05,-0.07464037241632719,-0.049864039453434816,0.005459014667071008,0.004028188463432882,0.10652972844435674,-0.0013517915227275713,0.04127960687971229,5.2413707673988455e-05,0.0331583738519804,0.08133847466401788,-0.08355882724548282,-0.015644645622991206,-0.007583715949942292,0.0008362106144858023,-0.06621156907672493,-0.024187619337151856,-0.03371233948884689,-0.11188820794601217,0.03441025914410178,-0.01771688893887494,-0.014936644291020418,-0.01761255687256105,0.047985849668889934,-0.01212228361265646,1
TCGA-86-8359,-0.01648941264844601,0.019653165460535107,0.0030719351943278243,-0.008943239680442474,-0.0002602943208861024,-0.0016841020325209597,-0.024280257002365104,0.00101631246095746,0.010363853719874952,-0.10536743374967311,-0.034495095703234904,-0.020272991126061495,-0.00013145974893535089,-0.11982795682256077,-0.11236236394951069,0.0008221457511703359,0.0037693022554658295,0.11441226010710043,-3.1287426420411385e-05,0.042780722635845626,0.0003001939255214638,0.015504873069406802,0.05764175170579793,-0.06574764559979415,-0.00696272576670373,-0.0030210002821328707,0.00032350281780748464,-0.033973107381354596,-0.006678769488632674,-0.011678874650820105,-0.09703605121633833,0.04132174830259558,-0.02060336460478448,-0.000273307936179286,-0.0045190794853109005,0.028677272912300728,-0.22487783193603741,0
TCGA-55-5899,-0.0705453044885854,0.03207961665505674,0.0007864559800847857,-0.0052706615343180545,-0.027439176501628082,-0.002477228731754344,-0.019802448949214187,0.013639267849996032,0.013466406945913998,-0.16772829587511148,-0.007668211378653373,-0.030249428363014343,-0.001452307402032416,-0.07590113278201624,-0.0052727427114251215,0.020317585103857148,0.07199196958008361,0.1489629136528881,-9.952683869775535e-06,0.03550843427837894,1.5074769728038639e-05,0.005391771062347082,0.07592997191776593,-0.17304207237977337,-0.02280387580911185,-0.005047928964185035,0.002330636183217956,-0.05933115226434583,-0.01015063635156352,-0.02755447973784149,-0.04317028874825164,0.05426459130389325,-0.015435293406417331,-0.0025505920818323373,-0.014534120088258166,0.07762694185313426,-0.009249883537339642,1
TCGA-62-8397,-0.01689489351204235,0.05095795235412703,0.0010664420173589733,-0.00662765318483576,-0.0003685147984881249,-0.0009154857493618242,-0.004009113126085846,0.00379171436327865,0.0038828323397146966,-0.04783474025075145,-0.008485932781607808,-0.0120075649872592,-4.697641474318455e-06,-0.03727556350153884,-0.04355031268670498,1.4097628171219661e-06,0.00814608803057198,0.057089435458734045,-8.999767329052345e-06,0.015108058605373797,0.017395010636027212,0.019838162113966405,0.0396015502177214,-0.0695563125028174,-0.02806589846006435,-0.0019243516849190361,0.00012175366374187242,-0.01933595715026687,-0.002860504305907689,-0.003928368185681541,-0.02430601094397283,0.02151304871628401,-0.0118737117912225,-0.009629406609254623,-0.003020479362705873,0.008588932684650864,-0.006204221605794044,1
