feature,coefficient
HSP90AA1,-4.8023979202010536e-05
GPD1L,0.0009145771499820887
TNNC2,0.0005071292107846181
SEMA3C,-0.000607590064707489
AMBP,-8.721830883464094e-05
TXN,-2.7654762579543014e-06
CKAP4,-8.407687135670206e-05
CPXM2,0.000552373749093679
EIF6,7.892529193688746e-05
PFN1,-0.00013207234254771223
ERRFI1,-0.00010812130146164707
PSMD2,-0.00017725174537973223
CA9,-1.4842469113170474e-05
SERPINH1,-0.0006434420565933705
IER3,-0.0003284379414118053
MUC13,1.939151055188399e-05
MAOB,0.00032634086470068307
PSMD8,0.0009529979160160662
SERPINB5,-0.00013234951954488742
PFDN2,0.00011894076843069962
CYP4B1,6.95972748293566e-05
AGRN,0.0001471360482891729
TIMM23,0.0004436035125942778
GPI,-0.0011254593253814144
PKM,-4.202494052843619e-05
PSMB8,-3.7597403926667904e-05
PCNA,2.9969837525752957e-06
TM4SF1,-0.00023482410802548473
CTSL,-0.00013052425479262116
TSKU,-0.00019092362729065208
MARVELD1,-0.0012408749805477301
SELENOK,0.0007854143456094226
PYGB,-0.00012089140270849028
PRR15,-0.0006042625164255715
HTATIP2,-9.245082405010753e-05
COL1A1,4.31519004250456e-05
CDC42EP5,-0.0009912005505078912
