"","ARHGDIA","CD9","CLIC3","DLX5","DUSP1","DVL1","DYNLT3","EFNA1","EIF4EBP1","ERLIN2","FABP6","FBN2","FGG","FN1","ID1","ITGA3","LRP10","LTBP2","MOB1A","NPTX2","OAZ1","RAD23A","RPL36","RRAD","RRAS","SERP1","SMAP2","SOX2","SPARCL1","SYPL1","TGM2","TIMP1","TIMP3","TINAGL1","UBB","WNT10A","class"
"GSM1932967",-0.00597413020906278,0.000790953451380532,-0.0235931707671939,0.00196234231315948,-0.00250793382892522,-0.00974287085715025,0.00588993628945832,0.00472242336781441,0.00206062744155815,0.000929988035631342,-0.0304040906909145,5.19753565600807e-05,0.0003067245843256,4.33538267253345e-06,-0.00647997733987718,-0.00022669292877521,-0.00501318176907329,0.000654707296071394,0.000277932608223591,0.00480589241761271,0.00532636884255889,-0.00140684222602349,0.00108802793377049,-0.01018175970903,-0.00579540503166314,0.000635403863422144,0.00524964423367092,-0.000116637534505622,-0.0026527877952699,0.00217009762338002,-0.000323659871804048,0.000618109743556764,0.00071230239301843,-0.00136562061823828,-0.0134232231016757,-0.00773280607232177,1
"GSM1932968",-0.00546694078558186,0.000761939892906007,-0.0240939006799744,0.00192012230086535,-0.00249574683526542,-0.00984206302873981,0.00542099223950901,0.00458772811137044,0.0020480057594099,0.000977568226293754,-0.032385645677241,2.9379982283212e-05,0.0003207878377684,4.17473111228987e-06,-0.00660500851147416,-0.000226141842279131,-0.00464257681491206,0.000653138529432262,0.000266313891919909,0.00475612375919305,0.00506775834597938,-0.00133679169234429,0.00103216614416374,-0.00948879925912594,-0.00584180137864723,0.000663249330855279,0.00449014990041553,-0.000100439056890468,-0.00231805113226308,0.00243259862916521,-0.000325767863919519,0.000577482689655968,0.000662085689124186,-0.00132665931952073,-0.0129309138054376,-0.00760254765096955,0
"GSM1932970",-0.00565793208170763,0.000728098264578246,-0.0250543425095102,0.00236081662620447,-0.00303937970083772,-0.00947898859717073,0.00515322382536612,0.00438966602909298,0.00195525556027854,0.000881630493231758,-0.0303883342825432,3.37811161819541e-05,0.000814852578143423,3.89825785481274e-06,-0.00582139416233034,-0.000243244790519866,-0.00462708338904751,0.0006228632200919,0.000281083699840243,0.00476204406035636,0.00529960471069037,-0.00126124690184863,0.00103626456796302,-0.0108240767972369,-0.00616850391720036,0.000662690910441044,0.00507852782024059,-9.89636238909172e-05,-0.00247772933890236,0.00233338910610172,-0.00038096940122191,0.000627577848072698,0.000634898359377137,-0.00134231239728334,-0.0137794813754089,-0.00766103158574047,0
"GSM1932971",-0.00561043219288786,0.000764785769785324,-0.0239116840306031,0.00206874194845316,-0.00255721547398134,-0.00965367474538439,0.00571498047348906,0.00505129913157808,0.00209070607273777,0.000866267442736326,-0.0333691044405642,3.6490973176247e-05,0.000328206619598249,3.9348553743836e-06,-0.00672954870748834,-0.000242202912450755,-0.00447651978579448,0.000594974204908493,0.000257399504954662,0.00481990131847232,0.00478080893969545,-0.00125597207073222,0.00100266165013433,-0.00976197171612156,-0.0054982733861416,0.000662438498862056,0.00461469731810169,-0.000112944095978167,-0.00217243074006859,0.00212150325181907,-0.000341351250798033,0.000614478735354033,0.000611942375342884,-0.00135013146431496,-0.0123834865993987,-0.00808819335886631,1
"GSM1932972",-0.00579121945346832,0.000679532485353908,-0.0241089992859832,0.00171282612809379,-0.00270823734938459,-0.00963390483827451,0.00513853772547803,0.00486707453264274,0.00204492157174935,0.000954114881490129,-0.0295726841603339,2.84795531468133e-05,0.000311702553854803,4.22236647705571e-06,-0.00772780050933547,-0.000259883706960147,-0.00490230919010632,0.000645973098996345,0.00027061272236709,0.0047997496116581,0.00515997589512283,-0.00128426392606802,0.000999257869879401,-0.00953341947924406,-0.00631914946501742,0.000645683401153595,0.00511615002764043,-7.66284792244417e-05,-0.00243288732097021,0.00234116731460915,-0.000355188759840506,0.000648391009217766,0.000658291977976826,-0.00151853689737073,-0.0132406296115388,-0.00831367554074413,1
"GSM1932973",-0.00586209942027335,0.000826386755936304,-0.0234396254790699,0.00188160473285165,-0.00232034021204345,-0.0095077329610792,0.00466819325786116,0.00469738573646502,0.00209345233903175,0.00112621566648392,-0.0312071503389192,5.71259521375091e-05,0.000306261235726962,3.98277104018882e-06,-0.00714546599781333,-0.000266208851122258,-0.0048036577727921,0.000587979004227122,0.000292347973925659,0.00466010233194791,0.00538330787725059,-0.00141926686805861,0.00114244823949252,-0.00953412327974592,-0.00584941094254298,0.00067896573919513,0.00445184937874123,-0.000103337203292535,-0.00220667771353487,0.00252508287629569,-0.000341692607034429,0.000578648461273731,0.000592759751777736,-0.00146633839185761,-0.0138798971985091,-0.00775565366957621,1
"GSM1932974",-0.00551319601793557,0.000784445685518999,-0.0240485458587536,0.00202557924241272,-0.00263310558375176,-0.00972154263609236,0.00637624674586112,0.00457731616276914,0.00199223897841363,0.000920588008137765,-0.0298478942424509,3.10811660946883e-05,0.000303586554080748,4.38106218940955e-06,-0.00576498705238987,-0.000220822662022535,-0.00462433517234197,0.000611519727030047,0.000274635341709754,0.00481866437402125,0.00518399424215297,-0.00131050116422619,0.00101257880050868,-0.00961755796831307,-0.00599177796210443,0.000688705822102943,0.00431362427981591,-0.000110195692331787,-0.00212027055929123,0.00237914712200304,-0.000348427773225003,0.000607742553835779,0.000689012352261215,-0.00135335531330713,-0.0125897802166644,-0.00769750514998488,1
"GSM1932975",-0.00571356864676003,0.000791947565983573,-0.0246960578908546,0.00217949719271036,-0.00218958690236957,-0.0104654114069531,0.00620430244364053,0.00577094273643727,0.00200224024689599,0.000870417459274538,-0.0324427084717699,3.70582158167801e-05,0.000312809773411778,2.51118041009113e-06,-0.00694031471530913,-0.000251262165053609,-0.0045344407707559,0.000561741276485033,0.000283932320076658,0.00481996974226117,0.00483665238582141,-0.00131104255939172,0.000972939340771985,-0.00991344956661843,-0.00520385041846062,0.00067338004434446,0.00429939370186049,-0.000120368681165712,-0.00213581098601544,0.0023905852908026,-0.000283320855139356,0.000497996654315414,0.000562781484497896,-0.00153501183580749,-0.0134221910885825,-0.00854090404104367,1
"GSM1932976",-0.00620650140526742,0.000744716284920107,-0.0249467027448566,0.00179128321113484,-0.00252317393995426,-0.0102007621626982,0.00546063726345171,0.00450646479169682,0.0020899990946553,0.00101600270368501,-0.0351712827959582,3.22212961974667e-05,0.000348307339923985,3.98645562474973e-06,-0.00653263941943536,-0.000264689621775986,-0.00468966560030529,0.000569763730332817,0.000270115850137558,0.00491048289446252,0.00530815082658663,-0.00138473415139433,0.00113998819702297,-0.00993670934470898,-0.00618367243649278,0.000674865729992818,0.00433928643244773,-9.91983984124802e-05,-0.00213884930788956,0.00238463901696185,-0.000329972486691867,0.00065285523010667,0.000606583670247863,-0.00141726851142527,-0.0127216054480879,-0.00797769351177269,1
"GSM1932977",-0.00595523209008349,0.000777055424857625,-0.0245873262359854,0.00180917098626215,-0.00258473598638228,-0.00984540432610487,0.00572465313799912,0.0049181226585211,0.00211544809134436,0.00106252042029525,-0.0297809370026078,2.8464826088244e-05,0.000318958503953616,4.62578936547307e-06,-0.00653267006186209,-0.00026647738283996,-0.00490970959702585,0.000704696077780498,0.000291476668972318,0.00467980290710192,0.00538569078855589,-0.00131582283334814,0.00105535587365634,-0.00977073947884237,-0.00678623047669676,0.000725720375747301,0.00474007866586801,-8.81249315598529e-05,-0.00262359563642103,0.00247541431975297,-0.000380756905140376,0.000705892601556525,0.000756351820452881,-0.00161846837113474,-0.0135494082854891,-0.0077690192764208,1
