"","ABCC5","ALPL","ASH2L","B3GNT7","CBR1","CD14","CD59","COL18A1","COL5A1","EIF1AX","ELN","EPHA2","ERH","FASN","FGA","LAMB3","MAGEA1","MYADM","MYEOV","PDGFA","PFDN2","RBBP7","RBM38","RGCC","RPL36AL","RPL37","RPS21","RTCB","TM9SF2","class"
"GSM1932967",0.000134354783355514,-0.00552835782929014,0.00972661024278929,0.00556460687466458,0.00106519878495198,-0.00481277525408566,-0.0037465319477728,0.000899243508307518,0.000601538638381742,0.00253209817122714,-0.00135295457518125,-0.00849463618537316,0.00852050839031283,-0.0020793789451917,-0.000490710926255791,-0.000502226535327141,-6.91973853932098e-05,-0.00503748507752011,-0.00704684526866972,-0.000263350634327735,0.00252461680820751,0.00115606151089921,0.00201539496186783,-0.0052016652682565,0.00597533563258213,0.00118464199961729,-0.00125792193893733,0.00570537029775192,-0.00404617545326099,1
"GSM1932968",0.000128016443482063,-0.00624677239958653,0.0100197118807775,0.00562459211043887,0.000831215723626921,-0.00455555042867546,-0.00396715999995192,0.000904044762145402,0.000581616307019144,0.00243845184097517,-0.00139304078509845,-0.00971758271503841,0.00871978047676942,-0.00204690199665302,-0.000492978170588601,-0.000544978000177405,-6.76476828505126e-05,-0.00460454693107468,-0.00695951818937455,-0.000255545607494685,0.00242944421100646,0.00103950883132532,0.00193024516790238,-0.00515530910976073,0.006211360705446,0.00108548561585066,-0.00121837549528174,0.00548960092596776,-0.00382945614991496,0
"GSM1932970",0.000112081403080356,-0.00746728577715871,0.00953369336539324,0.00561083864624913,0.000862533439761339,-0.00547632600740832,-0.00425185175455474,0.000890699237287435,0.000559254009868398,0.00250578101648207,-0.00142465913739163,-0.0085184338217703,0.00813338708557904,-0.00215782647279518,-0.000761391796968496,-0.000449647148078256,-7.00246082465378e-05,-0.00522477799652825,-0.00697072131436568,-0.000255827841912359,0.00238436540610034,0.00112189697013292,0.00196980755844319,-0.00568500294854107,0.00628417682596891,0.00110744824875836,-0.00123145934410899,0.00518793615235233,-0.00425794797845865,0
"GSM1932971",0.000114004410312475,-0.00598561400975214,0.00935454254529039,0.00561219532560114,0.000944111347798267,-0.00459739812209678,-0.00406258458473555,0.000895729364298333,0.000559604106439169,0.00247957174539406,-0.00133940354079116,-0.00878775004463616,0.0085355026952051,-0.0019808812434872,-0.000529320325950353,-0.000531863157131234,-7.07191639855328e-05,-0.00444146725204361,-0.0073477986480678,-0.000251654858534977,0.00255341996569583,0.00111444758974877,0.00197082202670952,-0.00502153267185026,0.00582192668419032,0.00114547637851135,-0.00130574756077359,0.0051990062683927,-0.00388616281959676,1
"GSM1932972",0.000103810835599485,-0.00573270084989892,0.00968394095401172,0.0055605924507518,0.000870990296634083,-0.00516698266653915,-0.00415699090025699,0.000915802919125106,0.00061193615027278,0.00244470602912818,-0.00137287068768064,-0.00841152134490673,0.00785263168025114,-0.00193057113619404,-0.000507026043858392,-0.000563295224239832,-6.97703481709861e-05,-0.00510321841373718,-0.00702598192873939,-0.000256684363467532,0.00238044029510702,0.00104983793064312,0.00201285777206891,-0.00523850332970064,0.00606707125941616,0.00109167424452563,-0.00119041678213462,0.00521240319237676,-0.00415590030809047,1
"GSM1932973",0.000142423202047332,-0.00551933228617133,0.0124155640185509,0.00538358408905362,0.00132978695047477,-0.00493366616027796,-0.00385502110849657,0.000881255723756492,0.000555237786927089,0.0023950768503098,-0.00134315023773143,-0.00893001572147189,0.00841050458155597,-0.00203903477901859,-0.000485079161411033,-0.000581163318352818,-6.81112332031041e-05,-0.00464841097163545,-0.00754511860025296,-0.000256371292138724,0.00245676680424912,0.00108340555832513,0.00198662272450467,-0.00503232329077525,0.00626272061907873,0.00121613463060696,-0.00131561392830308,0.00504149880945215,-0.00403823103570453,1
"GSM1932974",0.000128634620906669,-0.00667755720572751,0.00983224341144756,0.00546964235441931,0.000981083378140024,-0.00518277124310481,-0.00399689461642045,0.000899315074065269,0.000591816944773772,0.00255659868193872,-0.00135141096445155,-0.00908439259143969,0.00817748678642083,-0.00193962544492364,-0.000521447141253327,-0.00053363855278137,-6.94580399445532e-05,-0.00510281519703485,-0.00743981883842793,-0.000250314592761693,0.00247008273114247,0.00107604288738453,0.00190603793676765,-0.00522576801136011,0.0061047966608261,0.00114646156937783,-0.00120337075724611,0.00553118273506917,-0.00406275617848408,1
"GSM1932975",0.000160069935376099,-0.00587655300247747,0.00909945737168677,0.00569175312629529,0.00130523278868464,-0.00376748637816897,-0.00396643208524357,0.000911421578130918,0.000537106639686968,0.00249593996913728,-0.0013106811510585,-0.00969903922462439,0.00795650706564059,-0.00221144429493508,-0.000506310018959291,-0.000548902481583679,-8.64402062625666e-05,-0.00506798676934238,-0.00727537195923187,-0.000266874431717191,0.00270026582828206,0.00115023190801245,0.00215515377219527,-0.00478795473319952,0.00525277562327395,0.00125693357733727,-0.00115748357085867,0.00570987934010776,-0.00356317125771579,1
"GSM1932976",0.000121100207718192,-0.00588837767100511,0.0102230117222817,0.00565100983418501,0.000859856118782581,-0.00428251245447873,-0.0039683046715534,0.00091063756209735,0.00056993343531563,0.00251306672744601,-0.00134725905181939,-0.00949539714293518,0.00842157453705895,-0.00210373478144593,-0.000559475503494558,-0.000596575832339906,-7.27826084778064e-05,-0.00448603990282984,-0.00839612062292747,-0.000266347688393704,0.00244545539245649,0.00109447487297127,0.00198889217962969,-0.00512388901250791,0.00608536837085074,0.00119612588595346,-0.00131950061049305,0.00545906583337298,-0.00357936394323695,1
"GSM1932977",0.000130136342034138,-0.0058968624701923,0.0119868711528495,0.00550562929833792,0.00101874407094853,-0.00539335083270552,-0.00462055264338409,0.000945429207931451,0.000674309679050782,0.00272528647091245,-0.00138633236962791,-0.00898292473502269,0.00829465573656526,-0.00194213049415607,-0.000524761501406976,-0.000569548644411094,-6.78915513228088e-05,-0.00560886647215883,-0.00702909519387544,-0.000274720334047971,0.00250727387578847,0.00124578515295724,0.00207478994259941,-0.0053201617800031,0.00613976911751469,0.00116468876097695,-0.00125591514040316,0.00569326257119092,-0.00441568031381729,1
