"","A2M","ATP6V1F","BAG4","BOLA1","CD14","CDKN1A","CTTN","EIF3D","EPHA2","FASN","FGA","FLII","FSTL3","GOLIM4","GPI","GTF3C6","MFSD1","PDGFRB","PHPT1","RGCC","RPL27","RPL37","RPS18","RPS29","S100A11","SERPINE1","SNRPG","SOD1","STEAP1","THYN1","TM9SF2","TNFRSF12A","class"
"GSM1932967",-0.000597412872371934,0.0181027221346508,0.000450504906253052,0.0250542334637612,-0.00238598051666433,-0.00663414747740861,-0.000349192966546272,0.00484840028993608,-0.00519517070728863,-0.00257576117349456,-2.2794283168386e-05,-0.00124979951585293,-0.00524713314482407,0.00527028386156569,-4.68287787477341e-05,0.00691753135628795,0.00625614310503751,0.00114360862486999,-0.0124657217227029,-0.00620184206574917,0.000470367245457371,0.00113718697466943,-0.000224292604668343,0.000245511736030233,2.40039330320338e-05,0.00124727425238836,-0.000231014448494506,0.000116320497087598,-0.00449662562720696,-0.00115323246090069,-0.00722156346835572,-0.00824704768423156,1
"GSM1932968",-0.000603724742802987,0.0170060052701749,0.000473143399840436,0.0251287345932775,-0.00225845878763489,-0.00696805321315119,-0.000343520819058555,0.00485601971403196,-0.00594310338490431,-0.00253553143890341,-2.28996001820672e-05,-0.00131367089331539,-0.00515369040469753,0.00484811273608528,-4.34639837802049e-05,0.00734770017851731,0.00628116000729691,0.00112462641683859,-0.0117822047437883,-0.00614657253975334,0.000436955896008947,0.00104200265053507,-0.000217975373727232,0.000251859005424671,2.32309735419266e-05,0.00127580764574461,-0.000217384010349392,0.000108134330790902,-0.00462305424778665,-0.00110159503797588,-0.00683476555956264,-0.00867851625867833,0
"GSM1932970",-0.000693453442947545,0.0178981415231189,0.000419340230002374,0.0243665340546181,-0.00271494230807601,-0.00706049754557048,-0.00033451611415757,0.00477075028634098,-0.00520972492489315,-0.0026729354265209,-3.5367829191436e-05,-0.00120379088659141,-0.00519627864457649,0.00484861429051582,-4.07170654549437e-05,0.00730924321293947,0.00648556195956731,0.00108800430930378,-0.0123095972895118,-0.00677811597092401,0.000474458392047504,0.00106308549250771,-0.000218873647408065,0.000261589662022094,2.25771880104711e-05,0.00136969455678051,-0.000212864045103306,0.000109243855558791,-0.00439388307146097,-0.00112044005272409,-0.00759953242922623,-0.00823907001272849,0
"GSM1932971",-0.000596430044658917,0.0168537234797965,0.000443477117747522,0.0244390139003914,-0.00227920519192332,-0.00694888698759264,-0.000348492736032704,0.00476191456088708,-0.00537443400972006,-0.00245375043739687,-2.45877496320622e-05,-0.00114245290524677,-0.00521243727288406,0.00493534151013331,-4.57374016632866e-05,0.00758205188486281,0.00580551973211586,0.00105745160448984,-0.0119319943664424,-0.00598707355293803,0.000476967734455966,0.00109959027103162,-0.000224772331005036,0.000243952702679614,2.36691560577795e-05,0.0013595064041622,-0.000208367650382931,0.000100678401321593,-0.00440174783719075,-0.00106918035896745,-0.00693597491613074,-0.00845953800869661,1
"GSM1932972",-0.000616754011688913,0.0181628085489217,0.000442168351949689,0.0238787334413362,-0.00256158231403783,-0.00721965581932657,-0.0003369535023199,0.00481589194432515,-0.00514433912661709,-0.00239143047340006,-2.35521456708511e-05,-0.00124133264861234,-0.00535456191067545,0.0045222635116827,-4.098736790346e-05,0.0073968154007007,0.00630925838621382,0.0011795281310318,-0.0121570462450949,-0.00624576335389495,0.000445621615763588,0.00104794337180151,-0.000218448385072369,0.000240199557222298,2.40595196961064e-05,0.00143037388435421,-0.000202560946607643,0.000103603092911703,-0.00527038581181414,-0.00109124880485023,-0.00741739902031345,-0.00868341477486074,1
"GSM1932973",-0.000599429054535444,0.0186220362855507,0.000584336334096954,0.0281027818914292,-0.00244591336862368,-0.00685093548349994,-0.000352679983410063,0.00479717547506475,-0.00546144120588723,-0.00252578618598879,-2.25326789616309e-05,-0.00127127094323055,-0.00509354874294398,0.00489811762405311,-5.00039971854106e-05,0.00723315144105061,0.00653454233802275,0.00107372344301627,-0.0120572605576294,-0.00599993899331399,0.000475471972861723,0.00116741805694668,-0.00023455950349038,0.000256431848407373,2.61422047718936e-05,0.00113427603302069,-0.000237397439197224,0.000122735701922889,-0.00476598206951245,-0.00121086518524253,-0.00720738437101654,-0.00821656080666978,1
"GSM1932974",-0.000598150947294853,0.0185438943472741,0.000436193629440407,0.0252154885965385,-0.00256940965566146,-0.00718639522605208,-0.000329698024420913,0.00476400009078216,-0.00555585539564625,-0.00240264619573506,-2.42220279987773e-05,-0.00114738103344488,-0.00520211660782679,0.00508180232660978,-4.42442512920197e-05,0.00705536403662807,0.00647639108482268,0.00112092052535803,-0.0122181091379538,-0.00623057928707561,0.000430901171662185,0.00110053599659367,-0.000216749493739532,0.000238747746759571,2.44888766019417e-05,0.00128627844977743,-0.000218510458745195,0.000103549355790305,-0.0051294591559533,-0.0011149477445643,-0.00725115653987054,-0.00863514704743828,1
"GSM1932975",-0.000352359661579534,0.0186221804045877,0.00040240142777881,0.0259154874372447,-0.00186776830841589,-0.00715013271568862,-0.000372460873689658,0.00487410686100069,-0.00593176251095662,-0.00273935271173707,-2.35188852043882e-05,-0.00133127920077958,-0.00521088226828114,0.00490799876877991,-5.13394373227537e-05,0.0072762508582335,0.00606131740532978,0.000947763603608312,-0.0126544376588061,-0.00570858322131377,0.000455959036882942,0.00120658265757448,-0.000228133602745501,0.000233274134844813,2.54076807307798e-05,0.00108298553165426,-0.0002403139312953,0.000120979391283798,-0.00394458469361978,-0.00109875067502314,-0.00635950360617139,-0.00880851405926296,1
"GSM1932976",-0.000565245159961769,0.0186685347067876,0.000453091406475286,0.0255938777869209,-0.0021230975350624,-0.00710235175869501,-0.000351126957322874,0.00486615414206185,-0.00580721858058974,-0.00260593115165882,-2.59885043720886e-05,-0.00121379827331783,-0.00564506136803,0.00483595845480893,-4.67068304828838e-05,0.00751059073313324,0.00589922228510859,0.00106040100175595,-0.0120864177904389,-0.00610911098257824,0.000467633969858795,0.00114821083332401,-0.000232805189189984,0.000253600571482148,2.40141602490281e-05,0.00146827066893828,-0.000205899622131379,0.000107925293090913,-0.00454776045827494,-0.00114268605563964,-0.00638840410926746,-0.00889806084042081,1
"GSM1932977",-0.000690971407628072,0.0200192220543209,0.000517981721170185,0.024921274281805,-0.00267380655172844,-0.00726348931785212,-0.000357452077811138,0.0048604540907309,-0.0054937994318727,-0.00240574924175057,-2.43759851654553e-05,-0.00123699054641112,-0.00578294389309649,0.00548581072405701,-4.60456333785744e-05,0.00731752741341007,0.00693146371110134,0.0013419835304188,-0.0126836243799807,-0.00634312310043616,0.000457008095087834,0.00111803303357025,-0.00022578975527976,0.000249727202150896,2.46845231468524e-05,0.00150280528314726,-0.000219272636793311,0.000113166797273134,-0.00510690970820184,-0.00114602538916943,-0.00788105113348468,-0.00960151430749102,1
