"","ADAM8","AGPAT2","COL5A1","DBI","EIF3D","ELN","FASN","KLK7","LAMB3","LMO4","LSM1","MFSD1","PHPT1","RBM38","RPL36AL","RPS21","RPS27A","SERPINA1","SOD1","TRIB1","UPP1","class"
"GSM1932967",-0.00506140289245071,0.00546211414125344,0.000667058262815598,-0.000122350516509812,0.00495139818488426,-0.00188019741147948,-0.00268026242240207,-0.00675004708933648,-0.000404898884811818,0.000763578478326885,0.0017360980057937,0.00320404633158729,-0.0241380354213197,0.000205698946561065,0.00939926929066392,0.000620321223038069,0.00208704123032904,-0.00205116704363437,0.00306214437206963,-0.00522098350913984,-0.0081123643808528,1
"GSM1932968",-0.0049967085758221,0.00533182137523557,0.000644965989930647,-0.000119179896980117,0.00495917947363563,-0.00193590511187456,-0.00263840052658756,-0.00563507277098275,-0.000439365443673882,0.00081164802995762,0.00175963407155128,0.00321685858868662,-0.0228145053911196,0.000197008231713614,0.00977053935072537,0.000600819616828731,0.00202395677553812,-0.00207244067330331,0.0028466430315331,-0.00564014870821808,-0.00858624650552009,0
"GSM1932970",-0.00508763195415949,0.00556533536195156,0.000620167990038118,-0.000126365875914551,0.00487209860896948,-0.00197984505282115,-0.00278137913364519,-0.00583025393321506,-0.000362508979532729,0.000773572189786896,0.00164863392545452,0.00332154182791973,-0.0238357234347111,0.000201046121165386,0.00988507991674217,0.000607271677847254,0.00203842058184066,-0.00262338550914212,0.00287585134054766,-0.00607269639752351,-0.00881013220915101,0
"GSM1932971",-0.00506655156132682,0.00529563930152668,0.000620556219148295,-0.000120478128085615,0.00486307518013556,-0.00186136557466064,-0.00255330158672467,-0.00648758836406299,-0.000428792156620426,0.000790224310854679,0.00174513788995227,0.00297326226212211,-0.0231045509494756,0.000201149661691016,0.00915795531163492,0.000643905554713759,0.00199436814621293,-0.00211851664550455,0.00265036522121907,-0.00516569738371636,-0.00832674232544518,1
"GSM1932972",-0.00525004844877308,0.00533497666816079,0.000678588272323049,-0.000116773506945338,0.00491819924217615,-0.00190787478059076,-0.0024884532384442,-0.00565215317558887,-0.000454132930204425,0.000733449678333519,0.00170997768418104,0.00323124900565451,-0.0235403307895353,0.000205439991230355,0.00954357045016017,0.000587032288221805,0.00197774557886171,-0.00227041577158005,0.00272735791052945,-0.00571516648884629,-0.00889769489067761,1
"GSM1932973",-0.00506762222197742,0.00553891845306079,0.000615714319854075,-0.000118262387583186,0.00489908516611363,-0.00186657234953536,-0.00262825989885677,-0.00560566757983582,-0.000468538324724943,0.000764943554255156,0.00211220681061679,0.00334662683625075,-0.0233471104921339,0.000202762341564136,0.00985132906508836,0.000648770973610902,0.00215509678853083,-0.00208473372776173,0.00323102504120282,-0.00506856960822177,-0.00846127285907186,1
"GSM1932974",-0.00512881389604248,0.00534223065174427,0.000656277681758987,-0.000121965430334086,0.00486520501437356,-0.00187805225971197,-0.00250012399403441,-0.00564270042869118,-0.000430223494210686,0.000781732967075987,0.00171120221364623,0.00331684501918476,-0.02365857009437,0.000194537548776627,0.0096029129254208,0.000593420304390084,0.00201729415120745,-0.00226530292241171,0.00272594327744259,-0.00535341386761608,-0.00877262817248207,1
"GSM1932975",-0.00511444152162022,0.00567139578250414,0.000595608326973243,-0.000123679809697415,0.00497765085828111,-0.00182145014526078,-0.00285049103563156,-0.00805089218671132,-0.00044252939068403,0.000742040524518961,0.00163108992599256,0.00310426751291787,-0.0245034560565269,0.000219963267252995,0.00826267437386635,0.000570791876742435,0.0020243035792474,-0.00189085244092817,0.00318479005361462,-0.00512098471036673,-0.00861339078507095,1
"GSM1932976",-0.00517049796668695,0.00544141879418556,0.000632010619143146,-0.000118569323764295,0.00496952919427569,-0.00187228235765696,-0.00271165642724634,-0.00577693988282875,-0.000480964011713891,0.000762854967468018,0.00175340829367338,0.00302125146507608,-0.023403569182132,0.000202993970866241,0.00957235200958876,0.000650687619926554,0.00204275529019418,-0.00225360696246876,0.00284114010098689,-0.00503675754580117,-0.00904934489069606,1
"GSM1932977",-0.00504388185490898,0.00553431233458268,0.000747755529582304,-0.000117435745025822,0.00496370805284221,-0.00192658244455503,-0.00250335293378081,-0.00798568009219769,-0.000459174485509651,0.000726841592511119,0.00194653861928458,0.00354990774718724,-0.0245599718464038,0.000211761026301593,0.00965792498807042,0.00061933160700342,0.00203976902199411,-0.00230424510328248,0.00297912302690821,-0.00511675545661546,-0.00884584838299255,1
