,ARHGDIA,CD9,CLIC3,DLX5,DUSP1,DVL1,DYNLT3,EFNA1,EIF4EBP1,ERLIN2,FABP6,FBN2,FGG,FN1,ID1,ITGA3,LRP10,LTBP2,MOB1A,NPTX2,OAZ1,RAD23A,RPL36,RRAD,RRAS,SERP1,SMAP2,SOX2,SPARCL1,SYPL1,TGM2,TIMP1,TIMP3,TINAGL1,UBB,WNT10A,class
TCGA-18-4721,-0.051873229411722996,0.030947847878387363,-0.0021209845195651923,0.004122268294045129,-0.01115036243441679,-0.01056933011802757,0.030028246347215452,0.055031925251448816,0.02773216178935647,0.018748705581315025,-0.006817023733353284,0.0002990999511294037,7.024627996179901e-05,0.0003774545271960171,-0.005044680083869917,-0.0013451343818523798,-0.0585831700292988,0.004163799888522964,0.004543820931268361,0.0013515940016287273,0.10087253560985827,-0.011261707657417033,0.013912199646481879,-0.001031104125813953,-0.006850102885388875,0.014068000145417724,0.0177982865787672,-0.002034867389425334,-0.04951473370361465,0.0476495644499762,-0.0034926192113245193,0.011736259344728304,0.011178363057041046,-0.00172462660060683,-0.033802563444306856,-0.001001267106104875,1
TCGA-34-5234,-0.028624022255717592,0.014736242415634593,-0.045834326067117945,0.0001754789012170272,-0.0543415572963,-0.016935137993228426,0.016847943477902052,0.060998302853052654,0.00961590431390343,0.00337251219653109,-0.014599528560620629,4.156253140000947e-06,0.005187232907657613,0.0002897595659913596,-0.02918653330939741,-0.0024877609209788165,-0.04597461070730446,0.004488980267201467,0.003543134310979059,0.0019270318331341151,0.13772939105490825,-0.003507078759876199,0.04213931146246418,-0.018122351828500888,-0.03227414822901492,0.018251300623825354,0.013224190960829385,-5.8508117602806606e-05,-0.03108899060257587,0.026561979022305348,-0.006047676138562939,0.027310098409170917,0.006344824546907042,-0.011437801463708043,-0.11566558555230987,-0.025100537011983472,1
TCGA-21-1076,-0.05481911272842811,0.02885620198158577,-0.027580449224251676,0.002886635602843026,-0.06812142189694877,-0.025987887357072015,0.03136836448618792,0.047290636007818715,0.006803365682405972,0.004975495854099555,-0.001562043599984194,0.0002100708427451684,0.0035548932817487874,0.0005673520988248489,-0.01955510706222947,-0.002168001319707682,-0.06827176182974164,0.011087396256117099,0.006050995010523811,0.001663214613693169,0.10936056350347124,-0.008356384419382757,0.015196417253600387,-0.017467923261984417,-0.016008614803483822,0.01258567394027483,0.04084131324571868,-0.0013302681614196401,-0.03519402175426734,0.02949660857500213,-0.013164893762692226,0.028408125126331493,0.02205450305278102,-0.0027725911378624676,-0.09081736771452764,-0.002383519494721353,1
TCGA-77-A5G6,-0.08595650517594113,0.030998905302868137,-0.00994113607227245,0.006571764790263455,-0.01130886387705263,-0.06239804595901857,0.016109634772335898,0.05103138127290774,0.011901484766627203,0.008862127682547483,-0.0135578883343389,0.00012949774644967774,0.0007167962244739466,0.00037141345895163935,-0.025945915463201373,-0.0017044450057392083,-0.022858352204907936,0.005944079121056982,0.003509296916906739,0.00033290650034207165,0.13293966273195112,-0.012611149233733071,0.027268244225429405,-0.001410655071060271,-0.013907979225626883,0.018932634623376687,0.014749857547715576,-0.0022719266987134856,-0.015052677189408744,0.023977392834678996,-0.0016889226001626464,0.004720687968257491,0.003930613197100118,-0.0006900717183384681,-0.14377437470388654,-0.020864796578569343,0
TCGA-22-4605,-0.08239453559493656,0.023500466257638783,-0.03158366586297638,0.0032067195243711357,-0.053716415921658725,-0.037036954731146245,0.05828114709257521,0.05927731886035725,0.00927419445319999,0.00513037046884376,-0.020356471347542964,1.6228340843384808e-05,0.005504021988721409,0.0007147071835752826,-0.047903865841544296,-0.004565513659106999,-0.12734831453590512,0.011019026551149837,0.003603808008017651,0.0009293107321209221,0.12293083222996304,-0.009802719169595483,0.018399678683038993,-0.05445837217797455,-0.019359440401803464,0.013297045995110768,0.027640426259404615,-0.001384935974353857,-0.032114764054542326,0.02874529278438177,-0.017394929964830302,0.028125727249033068,0.01675374287267435,-0.006942377719622177,-0.1772850331127416,-0.0007931147086708495,1
TCGA-56-8625,-0.08039890223647807,0.031290281477637204,-0.027331159384166664,0.004131174568642338,-0.026258627273235344,-0.0627512019390722,0.03401494234451713,0.011419055656739355,0.01379812808581923,0.005550629978446028,-0.0005773924919037153,3.079011894561614e-05,0.00011017463649032416,0.0013872328506961094,-0.009121298731947789,-0.00155824528735688,-0.08751587635414858,0.022121187754190717,0.004660670742909434,0.0013968814262194074,0.08264568661422407,-0.010878115245491277,0.012341053728850046,-0.008483640733268967,-0.015839839371631605,0.014413723535022014,0.03783460470399692,-0.002101402339781123,-0.024402716023032716,0.0202202099510846,-0.013094683262418206,0.01734564790171144,0.02457238426011323,-0.0018591218158981327,-0.08986534482444818,-0.008177630737862696,0
TCGA-21-1070,-0.04130246055385519,0.022378991380728703,-0.02607128577428713,0.00040322119474587404,-0.01700032985141312,-0.03155407809155759,0.015295730655508103,0.038144541718219675,0.009278185025834223,0.006063580418527807,-0.0014675479323269097,6.215426112620309e-06,0.0014337305865899195,0.00022488925513577523,-0.02059270521285498,-0.005843022878755636,-0.07825624729740563,0.004998261835478868,0.004059133647362677,0.000792050698330651,0.0659244241042288,-0.004740616852272901,0.01293098918826325,-0.004545892430723863,-0.009970150908043231,0.012878876744341183,0.02011292374358328,-0.0003591656201521206,-0.007905999530193837,0.05451818410243283,-0.011082813034788707,0.017604056455454466,0.011714389024879568,-0.019293086749477523,-0.06919866661951282,-0.0037217593902269864,1
TCGA-21-1081,-0.0812651625285871,0.018423890463239757,-0.041812632821832216,0.010413620925489343,-0.010031534647091531,-0.11149680084313959,0.00230637907438414,0.029597257477416768,0.014471333448936832,0.004894929875983634,-0.0017054019667939219,0.0007280821359696447,5.491300169689092e-05,0.0008697147774812234,-0.04345080622967385,-0.002660628141475054,-0.06500930380771847,0.005497566760637821,0.0026457210621454535,0.0015311462599706127,0.06660082961896333,-0.010415649849377803,0.012035669215077495,-0.0009458164683960669,-0.014528486666310068,0.013200170603011008,0.02159198238143882,-0.0005776416946940089,-0.006143200362483403,0.05822902188518339,-0.0016243169950520037,0.015105920759274354,0.021080779556255418,-0.008220734626483532,-0.07340824658660758,-0.012585245775011395,0
TCGA-22-1011,-0.0287006450633382,0.017169139422913336,-0.002769181408332845,0.00012998102581525823,-0.013397476722421933,-0.030218245160693075,0.010993827056493356,0.0227194237690662,0.007108562039077154,0.0061195717164068105,-0.022295455769560296,6.90181710349343e-06,0.00025475212382812545,0.00011718197872997582,-0.01840957426590592,-0.0015374387747185555,-0.05393285138386491,0.00501427537807847,0.0029814423025483257,0.0007107809372706563,0.07517314645668756,-0.005995495337830446,0.010431593522356114,-0.0018443282002145133,-0.014241303339859969,0.011662136930618268,0.02296323357488001,-0.0004840585518068858,-0.016833547098665403,0.020812390056909425,-0.004251720714573434,0.014339951737012026,0.007694837553349156,-0.009190107712820498,-0.047320265229370516,-0.0025056319172870557,0
TCGA-22-4613,-0.08611883782986063,0.024208465629745213,-0.005081283327013586,0.0030216388281268936,-0.008322630214824107,-0.0334246405353581,0.026550235564614232,0.054091592888509225,0.009194128583842026,0.00541060843034722,-0.01317803033623696,0.00017950410548297252,0.00010960892995631208,0.0001216962899587318,-0.0035564400063867476,-0.0012032931083709863,-0.05558428242549969,0.003199435502129263,0.004093302174122446,0.0009459640443381299,0.111440118890415,-0.011772497525640165,0.019540547731541433,-0.012061594774667818,-0.007309448934208295,0.01762100516451736,0.019770234902534232,-0.0017368336325250847,-0.014028440251510918,0.02221767066853057,-0.004401433436816497,0.01065798842106892,0.0033995688945714525,-0.0010251681237772683,-0.16567181337894962,-0.002233343118539093,0
