,EPHA2,IFITM2,NPPC,MYLIP,MT-ND3,SERPINB13,CD14,FASN,RTCB,LAMB3,S100A11,EIF4A2,SNRPC,MYADM,COLCA2,TIMM8B,COL5A1,FUNDC1,CTSE,TOR3A,RARRES2,ADH7,SNRPG,TXN,ELN,SOD1,RPS27A,LSM1,RPS26,PHPT1,AREG,RPS7,PPP1R15A,NTRK2,ERH,class
TCGA-18-4721,-0.016883791708322878,-0.02396727239018758,-0.007591608283204262,0.07682595467963657,0.022483495283043747,0.0026209641646638853,-0.03589167448085231,-0.03806713318024279,0.03182242140058348,-0.004563819516814124,0.015287638461500615,0.004403395078199296,-0.03868450127797581,-0.004576570413626088,0.006431794747119403,0.017330276483717745,0.02472942225942573,0.00305187365316512,-0.010074010390814434,0.05616042454175473,0.006223620099746462,0.007937690747652508,-0.029092933560699013,-0.0807773142512301,-0.0045422279634765445,0.026134472638345993,0.07091038243876882,0.004236074930081261,0.0025614789517632093,-0.013031297123833923,0.002385533889200063,-0.0064116173762969065,-0.01287473614971229,0.040681081432294035,0.0425120756882439,1
TCGA-34-5234,-0.024629409556182078,-0.05800634864681539,-0.0003105125536182421,0.015307651610575622,0.016523292482342643,0.0009024656197108129,-0.053777520126756496,-0.004142202941893017,0.014117091887601865,-0.003909430071849176,0.015198501035912372,0.010288149040814997,-0.0473662941392623,-0.0028258565574031357,0.0006634498617588269,0.03777491584772644,0.00982540807914118,0.004107106455436988,-0.06301620931927418,0.04508926246505939,0.042753705285707974,0.00186469545682797,-0.07688739614697805,-0.03007963637649635,-0.010229560090532367,0.024737351744939247,0.1651897068212895,0.0036613316400684838,0.00869735282906164,-0.03617738894239551,0.009945921452041926,-0.0330532118708374,-0.010683918921479848,0.00020145977688346373,0.10378346371009321,1
TCGA-21-1076,-0.030769850845224454,-0.061097470469935196,-0.0031764985661633716,0.0572287654168489,0.03965597521732025,0.0022803784191480006,-0.0659240966469158,-0.03610424396454367,0.01583514492921406,-0.004693696335328074,0.019402361757432478,0.013516344064033903,-0.024420612535336714,-0.007516608459656581,0.00040833631049490054,0.007143843575803549,0.038406594737736915,0.0030405338132295946,-0.05025461488350798,0.04067025896678553,0.009684283866817148,0.004110551535802834,-0.028986602403096716,-0.054775098381061364,-0.021288354208969434,0.021224481190596844,0.0804313318682401,0.0013580308323971877,0.0037200751853493546,-0.01598115119540267,0.011373969648390863,-0.004274242344254013,-0.027457541751898056,0.022576621512103635,0.060915168545088064,1
TCGA-77-A5G6,-0.07718484927409715,-0.01425780801918751,-0.024376232289059673,0.053330095069136836,0.03176100202439826,0.0010960779346414853,-0.011051554643801961,-0.06400270343936092,0.027730090552452014,-0.015872163997754055,0.026801350219108313,0.01547047200262674,-0.05698862206030036,-0.001309092199553968,0.002124103214091409,0.011392756413312931,0.024847786879883427,0.0037215341328668107,-0.011062446105658796,0.020016972136103546,0.0030889980820316036,0.0002054598560886194,-0.02122137011813874,-0.014807765518799428,-0.05777246800265872,0.025511396997206677,0.09396169271700831,0.0013370346537697679,0.010004297417588584,-0.017393868586562704,0.0018429010013858672,-0.011240672036953421,-0.04523589257997583,0.013480409769172731,0.09151698534666422,0
TCGA-22-4605,-0.08135349805857556,-0.07427798935638273,-0.00033986919793303256,0.040795000619216364,0.044019030013672196,0.008079766513824204,-0.07606297958462725,-0.05936082041583662,0.02108681383119589,-0.014002681534895083,0.022736165261878216,0.005089566733333651,-0.043536258227688585,-0.013629106112691265,0.003381326410704947,0.009553780043833813,0.037872423690441165,0.0026032423460135255,-0.038085420115783114,0.03464543483523676,0.012615488182853683,0.006277295578409898,-0.018323788478305042,-0.09898854465105325,-0.012106029058628967,0.03573127459628381,0.06834372443113296,0.0014924797538382198,0.0034050530238015964,-0.022378822218328515,0.013927945656169598,-0.004176799342717969,-0.029930362097056094,0.03354653457548862,0.03994688843268132,1
TCGA-56-8625,-0.04167362705762119,-0.034927231347787524,-0.0005191989199103095,0.05660135813743456,0.022468544266157745,0.012539919365283134,-0.14019199545521718,-0.09620060864419042,0.014916857865824185,-0.004344112863134476,0.010183311340174838,0.007192601751865592,-0.02238625391217028,-0.011977533111313561,0.0026561188741245838,0.007259574615302199,0.09269094362989998,0.006508736514095503,-0.03854138572131997,0.03465044613417969,0.01847175005969686,0.0007961792188899537,-0.012466589963495237,-0.027126052312828206,-0.07078958846238428,0.021228831400880947,0.03612635305889277,0.0014999176376093311,0.0038004012764239125,-0.017793620749722832,0.007959379881336062,-0.004551051588598989,-0.015309206227405213,0.0009464954369908302,0.04955515992103258,0
TCGA-21-1070,-0.09522911824485791,-0.025734628123193944,-0.0003410653939662329,0.024009236140831326,0.03929369347841235,0.012810931699419855,-0.020622019054663054,-0.023455229190928593,0.006424700576324017,-0.012255334667502917,0.03018025967526979,0.004941865732572359,-0.03659829999730338,-0.0033960000318398803,0.0020297798457941767,0.010605044259995498,0.01321931513522897,0.004100711141008598,-0.017295955145910702,0.029088545753783716,0.004423188834373198,0.0014317748332333751,-0.020764650883584212,-0.03416905399866707,-0.0038624521415409336,0.02261484951878648,0.13691382395132282,0.0013693794420524372,0.0073958718875615954,-0.007773737972096348,0.004326140489682296,-0.004800457684185771,-0.026005132580870942,0.0027450128544840332,0.08207077845688128,1
TCGA-21-1081,-0.1973830187724842,-0.041283311851364246,-0.00032686056607197944,0.030432777811591892,0.02694176774818637,0.018169008171949077,-0.018823819929276057,-0.12196035915082848,0.007245796022896044,-0.007209194063728749,0.03223286004605766,0.009120818215484635,-0.04965308485454819,-0.005310394182047185,0.0004939442557900045,0.0032950048203645443,0.0782814133895683,0.0012060378694457765,-0.0008954490362516648,0.031525841107670816,0.010779677573846985,0.0011346591659230605,-0.015030517541528222,-0.04107065401629448,-0.03129203589941789,0.03520461779502347,0.07658164914432977,0.0009765057517388881,0.0026495090967066947,-0.01381048915700335,0.007897709474397892,-0.002834223441615421,-0.030904213841037677,6.179060300120541e-05,0.04847448935204941,0
TCGA-22-1011,-0.045577293519581216,-0.025655760088859718,-0.006291692085625229,0.02754037881104862,0.020073893810891863,0.004235336749257788,-0.02084511704789667,-0.027663342972318553,0.012691466366120672,-0.01833742081380195,0.015101126536664759,0.00437250197183888,-0.030018614924442483,-0.002880878219820863,0.001084039307280914,0.0035687594880067014,0.007767053052287565,0.0016485403336034964,-0.0003510115692403442,0.024780071464995276,0.0039146242938565,0.0010406794653649173,-0.014969487603916818,-0.01466821083303624,-0.005329291744208643,0.019301396066721252,0.050775260074211515,0.0012947921434732987,0.002374842582042938,-0.009690002824921247,0.0023241135819182827,-0.0029732896678158005,-0.016311385708888185,0.005494134410549321,0.037617402171391826,0
TCGA-22-4613,-0.023531064927829814,-0.02356257146145873,-0.004580882550641896,0.04577615334105309,0.03315240933888273,0.0016509459380538018,-0.028052103084098726,-0.055971300856575805,0.025535458793202705,-0.0023778547017194694,0.013949645037818727,0.020362423536645965,-0.05990803133262153,-0.0035977991807534947,0.0007361018153330244,0.011500447191120096,0.005124339582833772,0.0025876685710629083,-0.0027672736594291183,0.04020765593876508,0.0033748120570611124,0.0008623886794940373,-0.035596999149313156,-0.03248253297479635,-0.0041736557219446335,0.027370830536776084,0.09483072309790237,0.0009363061579490582,0.0068755678465071135,-0.015295000893775773,0.005971837912004638,-0.009803938610909632,-0.010090482226781628,0.019942090042346716,0.0476828546659034,0
