feature,coefficient
EPHA2,-0.0008351160495379144
IFITM2,-0.00028700158054666526
NPPC,-0.0004984150138334544
MYLIP,0.0009526378369485784
MT-ND3,5.6967105681100815e-06
SERPINB13,6.415252317119693e-05
CD14,-0.00020928517188894413
FASN,-0.0005751382155056188
RTCB,0.00012726413096483618
LAMB3,-4.16418668485525e-05
S100A11,4.4235399062187986e-06
EIF4A2,3.4958816748234914e-05
SNRPC,-0.00020929615464675274
MYADM,-0.00015916014584242772
COLCA2,0.0002342855645733551
TIMM8B,0.00010151845570057012
COL5A1,0.00024882198961046555
FUNDC1,5.921587433694917e-05
CTSE,-0.00030923404919420684
TOR3A,0.0004009039154350034
RARRES2,6.762106963576988e-05
ADH7,2.376164965693495e-05
SNRPG,-0.00020943698562595845
TXN,-5.5133804426037604e-05
ELN,-0.0004281243367776866
SOD1,0.00010821418617168285
RPS27A,0.00014843294804072878
LSM1,8.338434720976936e-05
RPS26,2.8323727459293877e-05
PHPT1,-0.0002597479942560929
AREG,0.00020841638032500988
RPS7,-1.9603082307886755e-05
PPP1R15A,-0.000245049632364959
NTRK2,0.0002667988039775708
ERH,0.00024818468387184173
