,PIR,IFITM2,RPL31,RGCC,EIF3D,GPX3,THYN1,FSTL3,ACOT7,MSMB,PPDPF,AGPAT2,ICAM1,A2M,KLK7,POLE4,RPL36AL,S100A11,RPS21,CYBA,UPP1,MT-ND3,FASN,H2AZ1,PYGB,KLF5,CD59,PFDN2,CCL21,AREG,SERPINA1,MFSD1,class
TCGA-18-4721,0.0517761906840118,-0.003937182046922355,-0.001784556936139535,-0.010450430725777471,0.09628438900753139,-7.916030612696339e-05,-0.002498901812598485,-0.006786350789182783,-0.0016118080118714378,0.0003402614993608472,-0.004128465604790101,0.010716622565789629,-0.0004692689244192393,0.022688440788388584,-0.0,0.014053588079691358,0.02882340709684612,-0.001000402476760413,0.01919844195827564,-0.05945420303112843,-0.012070233077931819,0.009115366943457092,-0.039621054999141675,-0.031726181581489064,-0.016368506452738005,-0.009754259364175224,-0.017989552590351666,0.002055347348364391,-0.009658525597509996,0.00429082449704843,-0.024778210038455907,0.024063368705436763,1
TCGA-34-5234,0.02047148412143353,-0.009528892181876395,-0.00656488685015738,-0.06184327620615989,0.05338264276913527,-0.0001684932167795136,-0.003313457375014943,-0.02621689390104047,-0.0017402889005552157,0.040024396099951204,-0.014845074239458736,0.01631864951586117,-0.00034089111047498556,0.020639009275376406,-0.013859118085845324,0.03821496254238556,0.06800339182112852,-0.000994569443649701,0.20180227196471384,-0.16859370665017154,-0.1358761693342978,0.006698952818257237,-0.004311289999204057,-0.0264444225854627,-0.013945767487779467,-0.0020777003781547957,-0.036445018353461346,0.0012340514727081009,-0.014808149872396632,0.017889581701332077,-0.07691362913850697,0.031059601638182194,1
TCGA-21-1076,0.019424126434843123,-0.010036680850887384,-0.001763615895401596,-0.06052536330685789,0.07245703395238229,-0.00023888322467151963,-0.0016403090928743067,-0.01666077962559478,-0.005301525115040376,0.0004475921428577469,-0.01595314885390188,0.02213962000364256,-0.0009633318928221692,0.07168630156434051,-0.031097272051391844,0.011387514476157072,0.03219567530584885,-0.0012696644289448805,0.026889256273631753,-0.16172706955552563,-0.05811935183062758,0.016077516465116928,-0.03757803954000011,-0.017068168518584618,-0.03162726796854566,-0.0092612034669116,-0.023444470276872367,0.0009420229485234573,-0.014564114849662621,0.02045819085486398,-0.10494108196808662,0.053697297912113716,1
TCGA-77-A5G6,0.011529821323977845,-0.0023421766502137752,-0.002400514243419754,-0.012492974177553394,0.08803774514855138,-4.134610209325401e-05,-0.029371806432114376,-0.007020612132385285,-0.0018481919687074664,0.0018678236749854512,-0.01886512655648379,0.0077871982720978785,-0.00019884444469650187,0.017818215551321456,-0.0001299493506130684,0.014953688393952476,0.03798844668321356,-0.0017538442714511546,0.04488793472218328,-0.06041385926922422,-0.024830156261874257,0.012876698409193263,-0.06661532984524314,-0.034600670782666224,-0.02135737747384343,-0.02075262599038613,-0.011506395383769887,0.0021520126079558857,-0.006485252388711095,0.0033147987535122347,-0.01832823757897775,0.039408778812423856,0
TCGA-22-4605,0.032019657661870045,-0.012201887699793903,-0.0017637059549133558,-0.06286231999412095,0.0862915147346144,-0.0003594934992468857,-0.0016514388637899893,-0.02129637309897511,-0.006104305278120617,0.08464342894275319,-0.026083573845384626,0.024021840365303495,-0.0012686524804262857,0.080449174328428,-0.04868281013099665,0.011503279038116968,0.03805757155187516,-0.0014878240414500476,0.04367607109590604,-0.11025737518837424,-0.0636645434045008,0.017846407154152817,-0.06178396254201547,-0.01790749388906558,-0.07566824569185326,-0.008826521508028812,-0.03375514667534972,0.0017234413828646018,-0.018070757384684024,0.025051989697405554,-0.09639913577053258,0.03872057403536866,1
TCGA-56-8625,0.007086724919042265,-0.0057376102700577875,-0.001116518150229942,-0.023132779627117968,0.05518771554347535,-0.00010748908102090457,-0.0013713168967034127,-0.026784063811897182,-0.004176799334735716,0.00013723077236109903,-0.037040128626721014,0.023086406361679485,-0.0015220723207880376,0.0861014798613716,-0.00038790785115139556,0.008309670452582789,0.03213829714689445,-0.0006663821827019662,0.021478579155838638,-0.18273155349226278,-0.02873555656403525,0.009109305430183552,-0.10012757167699232,-0.01406666901711882,-0.0417463888481962,-0.005464967027455559,-0.02365898260377319,0.000952659450985541,-0.00459982298369164,0.014316418781878396,-0.07640657735351851,0.04485763382815812,0
TCGA-21-1070,0.02398642957911833,-0.004227511340520519,-0.001759794349126362,-0.012872349450387966,0.053353060229627325,-9.843259782867588e-05,-0.0019110744143136305,-0.006163627277396174,-0.004101384232280434,0.005225195052549411,-0.023131088279782417,0.009308229172299521,-0.0007675647984123559,0.01538024779813875,-0.01817527089775858,0.011403681522663783,0.04127266040384259,-0.0019749555567033384,0.04363481210473303,-0.09506182446233759,-0.054529157187445755,0.015930638457694758,-0.024412684858380187,-0.02226483143789211,-0.03946059191850126,-0.009195497225409707,-0.03309545699467999,0.0010986859888708323,-0.008773125409140731,0.00778136486546686,-0.03921418497625633,0.03532333937444365,1
TCGA-21-1081,0.009640039034585468,-0.006781744355908999,-0.0006742207730944481,-0.011704709712605335,0.0718424342830897,-5.1953398364750294e-05,-0.0015674700161422202,-0.03387867857253481,-0.004626102838908526,0.002719239679962232,-0.026519703727837154,0.012221095641749998,-0.0004122897083977494,0.00821918488151486,-0.0018512601244616389,0.007186315989521762,0.02400316375704611,-0.002109274961227899,0.02198609224753151,-0.07738215545735737,-0.06103801186377053,0.010922861238364803,-0.12693884970928163,-0.034626600506418755,-0.03260295615260914,-0.03394662284555011,-0.00897212618561967,0.0019152333359954284,-0.011650344312075598,0.014205493133732615,-0.006745596933782109,0.025315835715840694,0
TCGA-22-1011,0.006889893264140985,-0.004214555431153715,-0.0006837563749654634,-0.014050728349638499,0.04479617621086204,-3.0921124423880396e-05,-0.0009432753639543661,-0.006676895739023518,-0.0033329821575362995,0.004269792497435542,-0.015577180346248326,0.006799155796804272,-0.0005932338339834445,0.026794362341739975,-5.8602879865886623e-05,0.008699657904697957,0.029047668416506998,-0.000988197387529592,0.022141460150346917,-0.1396148031430434,-0.027888810480823357,0.008138454709409408,-0.028792576214675753,-0.013511859498639523,-0.009512939379885057,-0.006010788413230057,-0.014021940863964976,0.0008531871267350485,-0.005528990619222713,0.004180348699452749,-0.00554976487268177,0.02345707833610769,0
TCGA-22-4613,0.03741161325830369,-0.0038707005047166434,-0.0025986539863064612,-0.011634792514517116,0.09142105537004688,-5.7009921922530344e-05,-0.00191546630920928,-0.00496554193590445,-0.0044065322742516,0.00037480893443831434,-0.006790634584319579,0.00827235913556875,-0.0003662303508281326,0.027652715520386326,-0.0002542544810434178,0.01443715125806307,0.03118247248528464,-0.000912845988666364,0.041989200550423295,-0.08967489052063057,-0.023706374809406905,0.013440809463976695,-0.05825608088509468,-0.022567300222635003,-0.03301500714243626,-0.01040662436375355,-0.013391678160917263,0.0013402270094477191,-0.005908102501656685,0.010741456460224313,-0.020887588913665885,0.03499168359696799,0
