feature,coefficient
PIR,0.0004133382085285163
IFITM2,-4.714668619651912e-05
RPL31,-6.297867955231105e-06
RGCC,-0.000250330104146864
EIF3D,0.00035857623646008653
GPX3,-1.1049612249858095e-06
THYN1,-4.546475047255879e-05
FSTL3,-0.0006883965418821675
ACOT7,-7.908462925260234e-05
MSMB,0.0002458892176332181
PPDPF,-3.411475747035624e-05
AGPAT2,0.00018459112866524784
ICAM1,-8.850590413254308e-06
A2M,0.00011329899401350983
KLK7,-0.0004409547017749182
POLE4,0.00021272429614093067
RPL36AL,6.547775756521983e-05
S100A11,-2.8947049535310814e-07
RPS21,4.296916389606984e-05
CYBA,-0.0009171903260019103
UPP1,-0.0010937045766105616
MT-ND3,2.309587835222189e-06
FASN,-0.000598615681426814
H2AZ1,-0.00010305931539162889
PYGB,-0.00027219645252154746
KLF5,-3.3867450905568166e-05
CD59,-0.0002794584769421863
PFDN2,6.295278445835576e-06
CCL21,-6.0586167167509286e-05
AREG,0.00037487545841765073
SERPINA1,-0.00025254098266183877
MFSD1,0.0004759698299019268
