exp(coef)	exp(-coef)	lower95%	upper95%	p-value
A1BG	1.4112813904906	0.708575913165252	0.983154083459915	2.02584233402747	0.0612837634544235
A1CF	0.622476035810952	1.60648754726311	0.445259565787766	0.870225919736015	0.00626984357513661
A2M	1.21047423845499	0.82612249664757	0.833639177205328	1.75765237770524	0.315255919320949
A2ML1	1.45763713409079	0.686041797791983	0.989971395993565	2.14622970247337	0.0553337210288138
A3GALT2	1.45726524957304	0.686216871151621	0.99558357188259	2.13304243620406	0.049907997267471
A4GALT	0.859396157185301	1.16360771646362	0.57616635800004	1.28185504885867	0.457356244575007
A4GNT	1.22304864026781	0.817628969998306	0.870120499767297	1.71912738162242	0.24343034679227
AAAS	0.851405810164054	1.1745280429873	0.583843271996702	1.24158637831353	0.402727331372385
AACS	1.25890574223473	0.794340645571182	0.853445325690659	1.85699495928344	0.24500871290181
AADAC	0.839146903393659	1.19168645675247	0.57448977711224	1.22572681626255	0.363187073467054
AADACL2	1.29427264284795	0.772634734671956	0.892832502310569	1.87621045346077	0.17303726686337
AADACL3	1.00108911591855	0.998912068964461	0.724585623178133	1.38310695927816	0.994733488045398
AADACL4	1.39141790152438	0.718691342769442	0.954886825515023	2.0275112452602	0.0741333391112933
AADAT	0.811114120909158	1.2328721374979	0.546898163486518	1.20297737506382	0.297369840375427
AAGAB	0.701662475784439	1.4251866595574	0.475513041639503	1.03536640809359	0.0736837406979203
AAK1	1.39060966400202	0.719109054026067	0.947209545966844	2.04157068079581	0.0914174250903375
AAMDC	1.03297855661685	0.968074306668229	0.699275305537656	1.52592932995081	0.870525299288175
AAMP	0.858143664592427	1.16530604520042	0.583615618489649	1.26180747353179	0.436272849855317
AANAT	1.19942516142132	0.833732718108896	0.813177603574131	1.76913470258827	0.358438231889903
AAR2	0.726226561224213	1.37698075696141	0.492610628816566	1.07063264041738	0.104820656369483
AARD	1.28421933936535	0.778683180782957	0.888326949459469	1.85654539987051	0.182727659529794
AARS1	0.674481949241801	1.48261936605438	0.455526650783789	0.998681194767122	0.0475039657560495
AARS2	0.945771753678228	1.05733756174349	0.644751780638625	1.38733112015543	0.775445825494274
AARSD1	0.966164850215113	1.03502005871705	0.663519953619621	1.40685221702666	0.857516195062685
AASDH	0.9055155806033	1.10434322878658	0.614682531500832	1.33395439872562	0.615487696949589
AASDHPPT	0.709239898288095	1.4099601593392	0.481218402928935	1.04530755736287	0.081957372194293
AASS	1.33790421581095	0.747437662713292	0.906934739755356	1.97366757741309	0.140744509435436
AATF	0.589743321892107	1.6956529440497	0.399763620425956	0.870007094056613	0.00726155647610357
AATK	0.889614109157015	1.12408289134216	0.602712509799104	1.31308584166442	0.555939708759199
ABAT	0.868146132134374	1.15187980800128	0.591424075355847	1.27434397439165	0.470025531441833
ABCA1	1.15213826816129	0.867951380172373	0.797483108839836	1.66451499003259	0.450579163907697
ABCA10	1.09793464886218	0.910801021751456	0.753605265814776	1.59959138803099	0.626350979754407
ABCA12	1.03305554500668	0.968002161000483	0.709534405047788	1.50409021955345	0.865233803035409
ABCA13	1.32441858755119	0.755048297720566	0.905999904644532	1.93607591574669	0.14657296143131
ABCA2	1.23463927172707	0.809953176526736	0.832282279656708	1.83151097716451	0.294664045402891
