exp(coef)	exp(-coef)	lower95%	upper95%	p-value
A1CF	0.622476035810952	1.60648754726311	0.445259565787766	0.870225919736015	0.00626984357513661
AATF	0.589743321892107	1.6956529440497	0.399763620425956	0.870007094056613	0.00726155647610357
ABCB1	1.77678945178934	0.562812886463804	1.20942235471938	2.61032115345873	0.00311735397673552
ABCC3	0.569071946176429	1.75724705236123	0.387634162774181	0.835434311587459	0.00357062687155978
ABCD2	1.63027049723355	0.61339514006843	1.12172436425055	2.36937163785851	0.00995541937103221
ABHD12B	0.588768247557428	1.69846115878126	0.39552951825356	0.876415117795634	0.00832888274631567
ABI3	1.56239538645273	0.640042852578056	1.06601539565216	2.28991002715809	0.0215854656594367
AC001226.2	1.67055140705529	0.598604745580814	1.13844071970129	2.4513722632362	0.00839435956403498
AC013470.2	0.593764326311204	1.68416988978196	0.418250780929379	0.842929867139512	0.00368418260219248
AC020915.4	1.64532398763784	0.607783030888452	1.09033906726971	2.48279742105841	0.0116626945259159
AC040162.1	1.5775187026004	0.633906906049095	1.08111010604771	2.3018610621925	0.0174471878613826
AC068896.1	1.99743733245035	0.500641488848739	1.34515569016632	2.9660179310345	0.000520430251689975
AC073111.3	1.61521738928343	0.619111710061292	1.11749914010591	2.3346122793404	0.0104605550815736
AC119396.1	1.85505650052969	0.539067138771495	1.25324326091919	2.74586325533758	0.0018170281288937
AC136428.1	1.63110579046658	0.613081018928851	1.13071137948997	2.35294890274623	0.00770846197296982
ACADSB	1.5719828690871	0.636139247866443	1.06876402231608	2.31213821676764	0.0212176549364091
ACAP1	1.57417349981412	0.635253992090504	1.07451284241108	2.30618202938984	0.019188025153316
ACD	0.598599645851338	1.67056563920579	0.404396160016227	0.886065624359461	0.00963584825119762
ACOX3	1.64208460093473	0.608982021651484	1.12785373829911	2.39077261976664	0.00917833392313788
ACSBG2	1.87299405965233	0.533904522999728	1.23602050021553	2.83822699290277	0.00283584972894916
ACSL6	1.62649580070414	0.614818679253327	1.10848824181949	2.38657343389212	0.0125901146030588
ACTB	0.5589617924335	1.78903104565769	0.376937937035692	0.828885221417464	0.00344067899175489
ACTL8	0.574737125237299	1.73992588278879	0.387629731257002	0.852160545206033	0.0052226524898477
ACTL9	1.74317048419797	0.573667354435557	1.04433979056489	2.90963091173168	0.0215742708232448
ACTN1	0.628105764784682	1.59208855588645	0.424303234845107	0.929799302378099	0.0193232972832668
ACTRT2	2.1682653498414	0.461198164732535	1.02014740566907	4.60852480847062	0.0226053291595425
ADA	0.568216269683422	1.75989328949899	0.387212033121913	0.833831858296843	0.00355560181452648
ADAM10	0.635107044155535	1.57453772431329	0.431951926361127	0.933809836048183	0.0203251194161825
ADAMTS10	1.58705247934947	0.63009888646524	1.0821550691329	2.32751815710432	0.0175194686512059
ADAP1	0.600851583925018	1.66430450839053	0.404452477674405	0.892620631182872	0.0107961608456426
ADAP2	1.55270009525482	0.644039375701772	1.06118624289892	2.27187037330824	0.0225770728411763
ADCY1	0.610137284836007	1.63897539923131	0.414209159629764	0.898742815537447	0.0116948094263025
ADGRD2	1.60358863202247	0.623601327691368	1.09132675840502	2.35630298711814	0.0154849431392978
ADGRF3	1.54955957211987	0.645344663085107	1.06071872851506	2.26368668997649	0.0226108803106837
ADGRG1	0.640108149628881	1.56223600743058	0.43646011459977	0.938776372720875	0.0214952647275265
ADGRG5	1.55940786706561	0.641269049053686	1.06764176663542	2.27768617888523	0.0209159151706264
ADK	0.532572508186206	1.87767859705286	0.364133212055497	0.778927785451546	0.00104316412256146
