exp(coef)	exp(-coef)	lower95%	upper95%	p-value
A1BG	1.49145850500609	0.670484627392244	0.922772257275762	2.41061481271889	0.101190026203704
A1CF	1.19729231049186	0.835217925678644	0.737082703004284	1.94484129246294	0.466428821275899
A2M	1.05777461256709	0.945380980143892	0.630174431674399	1.77551972081528	0.831641942185912
A2ML1	0.838956837752928	1.19195643327541	0.536689235923583	1.31146393201113	0.443677641907604
A3GALT2	0.774444345848106	1.29124837099157	0.520170683735192	1.15301393094546	0.216094109532402
A4GALT	0.837854699474074	1.19352436720556	0.506836901911771	1.38506192975071	0.489402598326181
A4GNT	0.688653539995197	1.45210899519514	0.450518993763108	1.05266083053822	0.0894275919575404
AAAS	0.568061169748109	1.76037379996141	0.355616327251025	0.907420351225338	0.0175020270155864
AACS	0.36915152124283	2.70891474761713	0.221490922246315	0.615252509014114	9.42182014350784e-05
AADAC	1.36876153047003	0.730587452773169	0.826692588584564	2.26626941279636	0.220340430187541
AADACL2	1.39228249165228	0.718245044375485	0.88958206245478	2.17905758037922	0.134851701037337
AADACL3	0.613111370022925	1.63102504519303	0.386071723167226	0.973667661976282	0.0492944611674316
AADACL4	0.913455148739308	1.09474449991347	0.580185474260908	1.43816132215527	0.698599110788796
AADAT	0.929554000575044	1.07578473050665	0.559189609018098	1.54521941404155	0.778175223329563
AAGAB	0.658808951095452	1.51789073044199	0.403025632282995	1.07692712144602	0.0947134330562946
AAK1	0.693155885101181	1.44267692375436	0.424666875229791	1.13139288481217	0.141889983112981
AAMDC	1.10866140135947	0.901988649351163	0.675807541595057	1.81875760066739	0.682934341209854
AAMP	0.411895705047421	2.42779904656901	0.245715386221732	0.690465804544342	0.000615766406604875
AANAT	0.656956622184997	1.52217051511569	0.392161893627095	1.10054549013148	0.108866968766327
AAR2	0.514152853012806	1.94494690468069	0.31547557427137	0.837951264124851	0.00681297149973964
AARD	0.810677745165737	1.233535774188	0.526719977175436	1.24771877845087	0.343070002328965
AARS1	0.570077663431562	1.75414695952221	0.346362125275469	0.938291223629371	0.0258862217958462
AARS2	0.652292425341935	1.53305474837577	0.409439512389363	1.03918990542818	0.0720402284670233
AARSD1	0.632336337451809	1.58143687270892	0.386492481700556	1.0345589179449	0.0677377103308758
AASDH	0.620400287428117	1.61186256722337	0.39074108068727	0.9850423609514	0.0423814985836906
AASDHPPT	0.646734410046744	1.54622977294145	0.403311425643304	1.03707797633393	0.0698109795776118
AASS	1.71796730701596	0.582083253805893	1.02597105362812	2.87670071932211	0.0378859006992716
AATF	0.56211442328226	1.77899722650927	0.340323171237655	0.928448755671992	0.02384069042667
AATK	1.30855071306018	0.764204237573182	0.801237845683574	2.13707450025587	0.281006271800855
ABAT	2.01586258734844	0.496065558374864	1.21830430552655	3.33553936618061	0.00554386770226607
ABCA1	0.751533307112866	1.33061301546522	0.456032118792964	1.2385143248132	0.262474364976504
ABCA10	1.2915321275393	0.774274196264291	0.758661890224915	2.19868067443281	0.343779413117402
ABCA12	0.455830393927285	2.19379842441906	0.272075029331486	0.763691355794182	0.00239740968738731
ABCA13	0.724858352461237	1.37957988150999	0.447465167908815	1.17421347808661	0.189527458683369
ABCA2	0.646721674909701	1.54626022104428	0.401340524821562	1.0421298098017	0.0723458286965991
ABCA3	0.658146555083777	1.5194184217415	0.393790048638041	1.09996910654994	0.107403087166311
ABCA4	0.71683180971219	1.39502737804214	0.439190689267509	1.16998801653163	0.181953951202681
ABCA5	1.11831781138711	0.894200190516186	0.693990260094706	1.80209262172497	0.645701871367458
ABCA6	1.75760782942719	0.568955135074645	1.07188742351474	2.88200534337297	0.02391914811691
ABCA7	0.798123234975675	1.25293934091579	0.492951679289435	1.29221732062307	0.358744559015472
