exp(coef)	exp(-coef)	lower95%	upper95%	p-value
AACS	0.36915152124283	2.70891474761713	0.221490922246315	0.615252509014114	9.42182014350784e-05
AAMP	0.411895705047421	2.42779904656901	0.245715386221732	0.690465804544342	0.000615766406604875
ABCC5	0.391205817739385	2.55619920424134	0.238390420924708	0.641980458944184	0.000143510437687184
ABCF2	0.376535064315714	2.6557951563351	0.229164665050542	0.618675896774792	7.9067580241407e-05
ABHD12	0.390740229649722	2.55924505366762	0.233186594190168	0.654745730975452	0.000256898651859053
AC004593.2	0.435061181290751	2.29852729455929	0.281012703953357	0.673557560933333	0.000581888704254375
AC069544.2	0.412178517622626	2.42613323413318	0.249829803096053	0.680027475842291	0.000423623732935855
ACAD9	0.409576489828087	2.44154638958826	0.253312597376332	0.662236709730929	0.00022152708448565
ACD	0.44679832392017	2.23814626524578	0.275416987720191	0.724823635282386	0.000896138695097311
ACOT7	0.417446471171049	2.39551671665767	0.247266927238673	0.704750765657215	0.000786941606411815
ACP1	0.439359563096014	2.27604013658733	0.269373852505642	0.716613078397713	0.000874562065581779
ACRV1	0.419890451137549	2.3815735682744	0.254664880175681	0.692313721604912	0.000559050293619831
ACSM2A	2.36769846412639	0.422351078547905	1.42748412324697	3.92718624728029	0.000672749984648619
ACTR5	0.375028163890315	2.6664664051537	0.225015205001467	0.625051643554596	0.000124300427267875
ACTR6	0.386464067906742	2.58756268187217	0.240078066863999	0.622107957357198	7.10509481308492e-05
ACTR8	0.44007769548823	2.27232602390944	0.269451368640707	0.718750767692234	0.000916273806169877
ACYP1	0.33271322457775	3.00559138059243	0.192824964740073	0.574085881245433	4.19834046146909e-05
ADA	0.3111316247676	3.21407378869618	0.180507911723525	0.536280581866103	1.05257272048096e-05
ADAM12	0.423192365362594	2.36299158928161	0.255665501382143	0.700492546444502	0.000611441266779275
ADAMTS5	0.373531461160818	2.67715066595011	0.226805175911722	0.6151788728633	7.67827582580119e-05
ADH1A	2.56253432097352	0.390238675757558	1.51463569187817	4.33542018148574	0.000319196327258597
ADH1C	2.5107479354929	0.398287691832228	1.4379397348012	4.38394950985439	0.000892750910049717
ADH4	2.91573937988015	0.342966181031277	1.64964522598105	5.15355422941197	0.000129240310377046
ADPRS	0.322961447720636	3.09634480232144	0.194228965491154	0.537016178045596	7.40522288608168e-06
ADRA2B	2.38981541706633	0.418442358710519	1.42420127878825	4.01011978623359	0.000727674858400001
AGAP3	0.428160956461433	2.3355702683976	0.257860307957399	0.710934560228072	0.000835719274973786
AGFG1	0.388670006680218	2.5728766892547	0.22882604936384	0.660171228375332	0.000340390964300636
AGO1	0.444017303732072	2.25216448006589	0.273373668847283	0.721179061775826	0.000896519597058096
AGR2	0.364631957920186	2.74249137597229	0.216062409642663	0.615361390056695	9.78888559632793e-05
AGTRAP	0.311249178353892	3.21285988701629	0.182315325199008	0.531365374360204	7.79144382131511e-06
AHSA1	0.398856307477144	2.50716857488158	0.238594271239864	0.666765187561311	0.000371416479516564
AK2	0.411401618937952	2.43071479052887	0.245615464109545	0.689090537024498	0.000576322513708276
AK6	0.364518337667098	2.7433462096858	0.210906246839051	0.63001272123051	0.000212804804937544
AKIP1	0.334125910172079	2.99288372902594	0.201980051249297	0.552728465795502	1.10565604401403e-05
AKIRIN1	0.291637533995846	3.4289139202989	0.175654705619287	0.484202520708556	7.39991503672368e-07
AKNAD1	0.40603640945778	2.46283332407406	0.260663923948867	0.632483250109082	9.75511783932167e-05
AL391650.1	0.360560000399771	2.77346349814525	0.219830448695228	0.591380833091595	4.29355766247239e-05
ALAD	2.46600720241098	0.405513819676729	1.44671030069745	4.20346182605535	0.00063950774797816
ALDH2	2.43417388997024	0.410816993855861	1.47982268415003	4.00399493133606	0.000337577633615088
ALDH5A1	2.50253669524594	0.399594540171857	1.4706853512535	4.25834792310581	0.000479941836972348
ALG3	0.37173059433349	2.69012025171883	0.225081481095723	0.613927161358792	6.96083475035976e-05
AMD1	0.362639081594794	2.75756268630026	0.217359204599986	0.605022012948257	7.37837422817527e-05
ANAPC13	0.429645892023767	2.32749810614897	0.263980085146628	0.699278479398793	0.000587078097422583
ANAPC7	0.330302387061852	3.02752883167248	0.198364752379176	0.549995226421138	1.40515482423939e-05
ANGPT2	0.356131711861441	2.80794988677971	0.204730203015464	0.619497242347681	0.000150864205322449
ANGPTL5	0.421457726611946	2.37271720710614	0.288509404900925	0.615670104002007	2.55478399308968e-05
ANKLE2	0.417084592294864	2.39759516048734	0.251502482618766	0.691681272162491	0.000582090274081816
ANLN	0.410377965871926	2.43677800262816	0.248492658715082	0.677726560390165	0.000420274252646962
ANP32B	0.354425775945258	2.82146522027916	0.211836913506139	0.592992168245305	4.91311888427853e-05
ANP32E	0.346133539831233	2.88905836888149	0.210471999320593	0.569236895087438	1.92391571251059e-05
ANXA10	2.45290850654536	0.407679290659065	1.48653050489851	4.04751878394408	0.000341403825003965
ANXA2	0.412499804901755	2.42424357082586	0.245730179484867	0.692450920764761	0.00062494061885165
ANXA5	0.413756915932538	2.41687803029508	0.24692486968569	0.693307181653748	0.000649549077173574
AP1S3	0.321263807994939	3.11270667630184	0.19110785676063	0.540063794743324	9.94240404872028e-06
AP2B1	0.38037052476853	2.62901548590953	0.219796029318848	0.658254548824465	0.000372649607088399
AP4B1	0.451439536303112	2.21513606935961	0.284390660913751	0.716611629519634	0.00065718604261209
AP5Z1	0.386936843124539	2.5844010922427	0.236258088307117	0.633714264091394	0.000109286263648812
APEX1	0.435080728430737	2.29842402720716	0.265408457685849	0.713222336252299	0.000829481038462335
APLP2	0.41763624095161	2.39442821753553	0.253163903327743	0.688960896334375	0.000514890215488979
APOC4-APOC2	2.6986122543004	0.370560831185155	1.59946419523534	4.55309229225274	0.000111861038068402
ARCN1	0.449606673381857	2.22416627510928	0.277925096804637	0.727340434792021	0.000961153003114045
ARHGAP39	0.364446066176689	2.74389022905569	0.22021752162398	0.603135182760137	5.45358904458851e-05
ARL8B	0.351118842349538	2.8480385538652	0.212191978328568	0.581004251074847	3.24525607015438e-05
ARMC3	0.402909208495477	2.48194873414323	0.265688600506829	0.611000358994625	3.05268398783702e-05
ARMC7	0.441310239203403	2.26597960157252	0.270798150648186	0.719187803755666	0.00081012758628384
ARMC9	0.434719068437219	2.3003361770969	0.263805888803762	0.716362585080507	0.000900471580028529
ARPC2	0.381373741389167	2.62209977109977	0.228080084516302	0.637696758704839	0.000160662314282228
ARPC4	0.302019712301804	3.31104215807183	0.174649771468155	0.522278992134247	7.10550613638632e-06
ARPC5	0.427711327673931	2.33802552164893	0.25767715241837	0.709946450834632	0.000879545362613355
ARPC5L	0.398973983103651	2.50642909650629	0.230283401382197	0.691236269041398	0.000757350596867489
ASF1A	0.382072154789939	2.61730667221691	0.23419177235758	0.623331596991105	8.7394634545699e-05
ATAD3A	0.28153910242277	3.55190448287485	0.161043116775355	0.492192822519624	2.74819280689661e-06
ATF2	0.404732243756271	2.47076929359302	0.248008928368895	0.660493112942827	0.000246587040792816
ATF4	0.416863379940648	2.39886746622449	0.247283091125568	0.70273740410055	0.000873231154284618
ATG101	0.40044675822276	2.49721087626766	0.241064363975385	0.665206600953641	0.000298173102258259
ATG13	0.387641080430241	2.57970594574265	0.231963908584839	0.647797358450555	0.0002047454745507
ATG3	0.340819949668331	2.93410054479836	0.206598511054821	0.562241409673572	1.68999333884514e-05
ATIC	0.371386104926666	2.69261554682413	0.223386414988829	0.61743969049997	9.5085891827016e-05
ATP13A2	0.376414932880741	2.65664274354607	0.22799205495426	0.621461136985841	9.74770031664854e-05
ATP1B3	0.33483486087542	2.98654685293376	0.197044723072136	0.568979378434904	3.25943058306907e-05
ATP6V0A4	0.414086901201068	2.41495202359572	0.27294738485842	0.628208846313894	5.53365468432983e-05
ATP6V0B	0.323636603518215	3.08988535020179	0.186960332368802	0.5602292732888	2.63628485390422e-05
ATP6V1F	0.348961138374589	2.86564860676996	0.202623675809127	0.600985425861096	8.40644483313331e-05
ATXN10	0.42536867465339	2.35090184018568	0.258491219456965	0.699979325241667	0.000666565229275332
AUNIP	0.392693806626392	2.54651329643046	0.238563427618516	0.646404301372293	0.00018402423525698
AUP1	0.398780397205785	2.50764582965186	0.238737539199115	0.666111436555316	0.000312265504186377
