exp(coef)	exp(-coef)	lower95%	upper95%	p-value
A1BG	1.33299730849545	0.750189061618358	0.88687977679377	2.00352051196822	0.165378724845055
A1CF	0.68860460557197	1.45221218665736	0.450269267771022	1.05309497395248	0.0849358018753803
A2M	1.39905027260314	0.714770598013861	0.91323404668854	2.14330781070679	0.121286693971344
A2ML1	0.567970228089178	1.7606556656399	0.381998410076524	0.844480425798239	0.00502281610704989
A3GALT2	1.01743016005816	0.98286844567576	0.680623864998378	1.52090484014755	0.932847129099567
A4GALT	0.604465802341489	1.65435330853516	0.389076982760629	0.939091548433055	0.0241522711861783
A4GNT	0.939541981893935	1.06434839450622	0.605635362792888	1.45754226052857	0.780757510987948
AAAS	0.72257848510921	1.38393270849859	0.477264496222317	1.09398388372788	0.123404688939916
AACS	0.760576723080458	1.31479174901625	0.495428496110556	1.16762954943698	0.210724899129583
AADAC	0.85992530855579	1.16289169541883	0.563708362123973	1.31179806080674	0.483494178118373
AADACL2	1.16448432332745	0.858749216256132	0.810476597751048	1.67311893154985	0.40499849655326
AADACL3	1.11662355235592	0.895556965362358	0.620753203603363	2.00860527249511	0.70832183728435
AADACL4	1.23959545663662	0.806714799288868	0.865998745961154	1.77436388133415	0.231124553836125
AADAT	1.07302010229827	0.931948989453344	0.709532546554274	1.62271927556762	0.738373774029962
AAGAB	0.607870898415739	1.64508615662675	0.402079123946847	0.918990833231135	0.0178361213320168
AAK1	0.839305887030989	1.19146072421517	0.554973672094748	1.26931133389803	0.406596995053634
AAMDC	0.872458464009411	1.14618637018485	0.577425916284341	1.31823624460741	0.517077847114663
AAMP	0.633871046967758	1.57760794531268	0.410444224008253	0.978921082772802	0.0381481859657197
AANAT	0.887591881825545	1.12664392326715	0.583746829540585	1.34959079658323	0.576969211006748
AAR2	0.91499700855007	1.09289974792882	0.590997715740205	1.41662057797802	0.690172422622646
AARD	1.36795692449168	0.731017170274999	0.903505161176665	2.07116265371155	0.138626754063626
AARS1	0.841033233695453	1.18901365598367	0.55141157724507	1.28277484436251	0.421062470863868
AARS2	1.09673042607816	0.911801091883572	0.714954281296128	1.6823699905748	0.672095856201061
AARSD1	1.0919252854796	0.91581357561546	0.722856139140513	1.64943031470599	0.675942531146485
AASDH	0.726759761876963	1.37597050972849	0.479520340673236	1.1014751756764	0.131459134054271
AASDHPPT	0.710311920069947	1.40783220968828	0.46248935404104	1.09092894654757	0.116368766522389
AASS	1.11709283336972	0.89518074964593	0.740302650854939	1.68565707136784	0.597359537234512
AATF	0.759037299023555	1.31745831369081	0.498434637393036	1.15589402919979	0.197700997991983
AATK	1.01992063383956	0.980468447074582	0.67113663344728	1.54996471283133	0.926400050997947
ABAT	1.91979277303287	0.520889553313721	1.25135200590375	2.94529778511636	0.00246609093408353
ABCA1	0.966526986264347	1.03463225984515	0.63541314971224	1.47018426609569	0.873633475568976
ABCA10	1.17984378912175	0.847569830192839	0.773310573583679	1.80009353845793	0.442169475429445
ABCA12	0.587955733737466	1.70080831365193	0.386663713280841	0.894037720533861	0.0125237636794983
ABCA13	1.25963152424378	0.793882957637432	0.821518310020675	1.93138918209721	0.288196010709615
ABCA2	0.855274138390474	1.16921575798127	0.566632043632994	1.29095037956123	0.45658110064406
ABCA3	1.73990459856212	0.57474415598787	1.13609278654986	2.66463095966922	0.0103584582420836
ABCA4	1.12909522811671	0.885664889105909	0.758186230899712	1.68145500696195	0.549950697528823
ABCA5	1.05833441792641	0.944880921438134	0.701277055306921	1.59718863135687	0.787100834629295
ABCA6	1.45474780681216	0.687404370240182	0.941597120449459	2.24755485702273	0.0888810448437253
ABCA7	1.14292786672565	0.874945855388822	0.751504208059264	1.73822594009353	0.531888493793904
ABCA8	1.56770433729908	0.637875380075078	1.00623929218621	2.44245768205556	0.0457172038134276
ABCA9	1.20144837236995	0.832328731718555	0.781553065640043	1.84693561439527	0.401816231500607
ABCB1	1.73856826875976	0.575185926241117	1.12166770565679	2.69475497056273	0.0123383296671972
ABCB10	0.700418896439928	1.42771704915841	0.460582211507979	1.0651445458215	0.0943753735164371
ABCB11	0.884584873065518	1.13047377413827	0.575960333651573	1.35858383284031	0.575103808553629
ABCB4	1.12514832529851	0.888771709040842	0.750046764898953	1.68783976302144	0.568383788711129
ABCB5	0.977915726398508	1.02258300281439	0.649264195944332	1.47292762162341	0.914907534388701
ABCB6	0.809775461655197	1.23491022802294	0.527833887226917	1.24231564923566	0.334121549361379
ABCB7	0.995963812037819	1.0040525447947	0.662206739404703	1.49793690680439	0.98450495304059
ABCB8	0.772160354374745	1.29506778525265	0.503886481665829	1.18326574449271	0.232788530894946
ABCB9	1.01757774945162	0.98272589051687	0.670524496480702	1.54426047312774	0.934738351131066
ABCC1	0.605784157562515	1.65075297449786	0.396232988006902	0.926158236848605	0.0202288803150227
ABCC10	0.996258578472939	1.00375547233209	0.647285399979861	1.53337485321282	0.986407191879555
ABCC11	0.629824152253453	1.58774476402991	0.415008711836541	0.955831652319676	0.0294304028078259
ABCC12	2.03462451847155	0.491491177326035	1.33508698102922	3.10069455397903	0.000749387043546343
ABCC2	0.555724600795449	1.79945246002899	0.373679147853653	0.82645722594671	0.00362453350142355
ABCC3	0.779388183876432	1.28305768638461	0.507153289493287	1.19775609022101	0.253648622329866
ABCC4	1.18432941248947	0.844359676838554	0.767917383908008	1.82654565019676	0.443277139622103
ABCC5	0.78532055014651	1.27336537903336	0.524454449815483	1.17594267090192	0.24048434393594
ABCC6	1.40052712251872	0.71401687544729	0.918011874678047	2.13665669803941	0.117247592138817
ABCC8	1.7942364294509	0.557340149595578	1.1473049974034	2.80595340563724	0.00938610246189936
ABCC9	1.03310197094345	0.967958660544202	0.674757201339487	1.58175367413421	0.880869195746
ABCD1	0.652997411839801	1.53139963783705	0.427381992206061	0.997715457472735	0.0483263836073347
ABCD2	1.40416432716332	0.712167358659644	0.927966933546076	2.12472814105949	0.106588838466992
ABCD3	1.10617466163005	0.904016368017697	0.718980533481376	1.70188527373258	0.646196100060681
ABCD4	0.862212832960407	1.15980644427026	0.569163297203603	1.3061470635477	0.483416655698945
ABCE1	0.642130020216656	1.55731700514889	0.428128806776637	0.963100254729096	0.0317059701670762
ABCF1	0.799977965627701	1.25003442965501	0.526597626706123	1.21528224404053	0.295062551466883
ABCF2	0.673220205914766	1.48539807809424	0.433599263159684	1.04526341292469	0.0761503292329807
ABCF2-H2BE1	NA	NA	NA	NA	NA
ABCF3	0.682294688836678	1.4656423629869	0.44479846540333	1.0465999292345	0.0786496091566949
ABCG1	0.837893128917977	1.19346962695751	0.550747961266938	1.27474806057009	0.408408852118882
ABCG2	1.12027151858494	0.892640742364976	0.740234059517954	1.69542087291941	0.590920313127592
