exp(coef)	exp(-coef)	lower95%	upper95%	p-value
A2ML1	0.567970228089178	1.7606556656399	0.381998410076524	0.844480425798239	0.00502281610704989
A4GALT	0.604465802341489	1.65435330853516	0.389076982760629	0.939091548433055	0.0241522711861783
AAGAB	0.607870898415739	1.64508615662675	0.402079123946847	0.918990833231135	0.0178361213320168
ABAT	1.91979277303287	0.520889553313721	1.25135200590375	2.94529778511636	0.00246609093408353
ABCA12	0.587955733737466	1.70080831365193	0.386663713280841	0.894037720533861	0.0125237636794983
ABCA3	1.73990459856212	0.57474415598787	1.13609278654986	2.66463095966922	0.0103584582420836
ABCB1	1.73856826875976	0.575185926241117	1.12166770565679	2.69475497056273	0.0123383296671972
ABCC1	0.605784157562515	1.65075297449786	0.396232988006902	0.926158236848605	0.0202288803150227
ABCC12	2.03462451847155	0.491491177326035	1.33508698102922	3.10069455397903	0.000749387043546343
ABCC2	0.555724600795449	1.79945246002899	0.373679147853653	0.82645722594671	0.00362453350142355
ABCC8	1.7942364294509	0.557340149595578	1.1473049974034	2.80595340563724	0.00938610246189936
ABHD15	0.557305804898165	1.79434700161203	0.362644396882168	0.856458180089046	0.00695287090558156
ABTB2	0.544524368249646	1.83646510295667	0.359093002092449	0.825710292013265	0.00399934779716586
AC010980.1	0.524844902593673	1.90532478272764	0.33780278188407	0.815452644416343	0.0036679334913267
AC011498.4	1.64298712802501	0.608647495128017	1.06825361776369	2.52693429534728	0.022868839549674
AC068896.1	1.73525445383991	0.576284358635195	1.12716171172365	2.67140729520229	0.0116853533528487
AC091167.7	1.59384281303789	0.627414442515813	1.07842505518784	2.35559708155154	0.0140928760705054
AC132217.2	9212386.26007906	1.08549508430123e-07	0	Inf	0.00880020713950209
ACCSL	2.03780906517152	0.490723108995411	1.38162680547147	3.00563492952655	0.000114198990701492
ACOT7	0.615297740334821	1.62522943681841	0.410842143865373	0.921500666166312	0.0181086824454856
