exp(coef)	exp(-coef)	lower95%	upper95%	p-value
A1BG	1.04858021590963	0.953670482074199	0.706710138064649	1.55582948365245	0.813681040286591
A1CF	0.673063327089817	1.48574429738103	0.468454540291834	0.967039922360448	0.0340391692315654
A2M	0.573901429585579	1.74245950340656	0.382489757572041	0.861102406953567	0.0067474361306666
A2ML1	1.26298539199458	0.791774795131039	0.861598823137967	1.85136290528134	0.23058689929335
A3GALT2	0.99438999078856	1.00564165897023	0.683965155823623	1.44570442713526	0.976496655294082
A4GALT	1.27742506556761	0.782824783194356	0.874927160826028	1.86508645656834	0.203518778864379
A4GNT	0.878544617253002	1.13824611791119	0.594742342790344	1.29777315145074	0.515191968377013
AAAS	1.04201000555062	0.959683683144272	0.71660218525649	1.51518495757722	0.829386670821423
AACS	1.18834223751739	0.841508421083422	0.808259169820457	1.74715898834965	0.380256320305027
AADAC	0.936762962382963	1.06750591148072	0.624734507409566	1.40463642921074	0.751934683626871
AADACL2	1.31847304111676	0.758453126317236	0.902310393943361	1.92657778500643	0.152338508914975
AADACL3	0.855912009273794	1.16834439657934	0.596083706532787	1.22899747064099	0.407065372325609
AADACL4	1.01062458563715	0.989487109468592	0.69794404401942	1.46338673113722	0.955326084843376
AADAT	1.28846004583963	0.776120302083831	0.869439406925403	1.90942494267171	0.20646199388222
AAGAB	1.14957453652526	0.869887047970487	0.785116025737329	1.68321823998712	0.47354161521807
AAK1	0.958885281743187	1.04287761950217	0.648331737119161	1.41819524003144	0.83346311659502
AAMDC	1.04707617953315	0.955040349065969	0.700034770331884	1.56616295677135	0.822830378860058
AAMP	1.04068409895847	0.96090638936524	0.712861385533464	1.51926225182548	0.836337718947325
AANAT	1.02627133086775	0.974401184094721	0.702365525610702	1.49955088363041	0.893361083139708
AAR2	0.825949347382318	1.21072799823536	0.562391631873011	1.21302004827006	0.328527162196731
AARD	0.85639305889751	1.16768811891979	0.583266083391611	1.25741765587185	0.42854978323381
AARS1	0.942674827236177	1.06081118441647	0.643673613489834	1.38056898912913	0.761620235569247
AARS2	0.915889861491324	1.0918343373424	0.618285736680915	1.35674201848119	0.661509532293092
AARSD1	0.971612131688323	1.0292172847434	0.660763629867253	1.42869566630594	0.883624617175713
AASDH	0.841457858850892	1.18841364363227	0.556647567414565	1.27199213590492	0.412735335032645
AASDHPPT	1.00192900921174	0.998074704700627	0.677231972092444	1.48230116247818	0.992305603580657
AASS	1.28760697105264	0.776634502982291	0.866791080125383	1.9127235500203	0.210215088169077
AATF	1.17211239583376	0.853160501974443	0.793913857219795	1.73047422711355	0.424290120310179
AATK	0.886361428336107	1.12820793869293	0.602727678445618	1.30346856422475	0.539797286002229
ABAT	0.931479771870315	1.07356061848998	0.637207564332474	1.36165138954763	0.714054744150924
ABCA1	1.02689271689562	0.973811561370383	0.70268995179063	1.50067415839108	0.890966955337229
ABCA10	0.660963481214867	1.51294289082655	0.443232877153937	0.985650537263615	0.04126655703556
ABCA12	1.34426496825782	0.743900959716303	0.91896525309987	1.96639459303781	0.127198007197481
ABCA13	1.23527735439641	0.80953479511379	0.840442752919503	1.81560271295567	0.281598726529998
ABCA2	0.564500526606987	1.77147753255545	0.373389545331491	0.853427334867296	0.00638085035057668
ABCA3	0.717753452773557	1.39323607031883	0.485570622721916	1.0609579633968	0.0959140293688909
ABCA4	1.24768883484596	0.801481885604482	0.842864896571032	1.84694775512944	0.267756462548777
ABCA5	1.28653539817218	0.777281372452506	0.862742351220038	1.91850246879545	0.215749291234554
ABCA6	0.725902456423482	1.37759555867464	0.491058161115154	1.07305899375548	0.107198828466415
ABCA7	0.746474434180821	1.33963060784178	0.499038233513801	1.1165959709381	0.155463037134219
ABCA8	0.711749845049253	1.40498801222893	0.479429660576994	1.05664685267481	0.0906052524100572
ABCA9	0.932102103140965	1.07284384042288	0.631904095001855	1.37491486058064	0.722900752646858
ABCB1	1.12004762633033	0.892819177052632	0.753147887224425	1.66568439814847	0.575644809734044
ABCB10	1.15438530730895	0.866261891647909	0.774285334279939	1.72107797827535	0.480953572073002
ABCB11	0.823539627099541	1.21427065206557	0.546477772494564	1.24107063734234	0.352862113293703
ABCB4	0.925650258394875	1.0803216343655	0.619541830438557	1.38300330787991	0.705884716157891
ABCB5	1.16593102309794	0.857683670979909	0.790482618687115	1.71970277206091	0.43847231533641
ABCB6	1.02591826059476	0.974736524740544	0.696175233425399	1.51184389631775	0.897073370419693
ABCB7	1.26882874798045	0.788128422840093	0.86500828793719	1.8611687473433	0.222649214126798
ABCB8	0.978901745953228	1.02155298438683	0.649559875913251	1.4752275560171	0.918848270063679
ABCB9	0.883881476787811	1.13137340951435	0.599120370179966	1.30398915458996	0.533875525039051
ABCC1	1.35704451150409	0.73689550454881	0.925321110808016	1.99019538697789	0.117421894063701
ABCC10	1.01212423963969	0.988020996667358	0.678001181366721	1.51090514975392	0.952979394722766
ABCC11	1.11078527870769	0.900264001665041	0.752930400771198	1.63872242923109	0.595931805298829
ABCC12	0.997721244202207	1.00228396038576	0.707984449289583	1.40603043206849	0.989601893625104
ABCC2	0.923065945598401	1.08334621677731	0.616421919190149	1.38225250173272	0.697576450867723
ABCC3	0.705968401846187	1.41649399234426	0.471043937836987	1.05805710332215	0.0909004976589654
ABCC4	1.08399933224265	0.922509793369641	0.720979405821467	1.62980321326057	0.698191346943402
ABCC5	1.50053354636147	0.666429619267642	1.01558808734264	2.21704148740815	0.0405573270133067
ABCC6	0.785722662585555	1.27271370372509	0.533331444309215	1.15755429215346	0.221595725673919
ABCC8	1.04691552504652	0.955186904841787	0.694891629789938	1.57727056939045	0.826487720805717
ABCC9	0.573639168952721	1.74325613403575	0.381493912095785	0.862561329875555	0.00714311193682984
ABCD1	0.705751774214986	1.41692877940308	0.466362955494029	1.06802129315775	0.0982374507708091
ABCD2	0.964452484219459	1.03685771602249	0.649900259475936	1.4312482273313	0.857356239525775
ABCD3	1.06391393561453	0.939925652371864	0.712149931710013	1.58943055667623	0.762388842724539
ABCD4	0.792426329783044	1.26194696265808	0.53842975166087	1.1662421814479	0.237143359966823
ABCE1	1.12941035579289	0.885417771203244	0.766647157193894	1.66382636367046	0.538317863863272
ABCF1	0.968820864834469	1.03218255953938	0.653454851971427	1.43638671486925	0.874748268888439
ABCF2	1.51732333381272	0.659055309910252	1.01111905663514	2.27695253513882	0.0422834413758343
ABCF2-H2BE1	NA	NA	NA	NA	NA
ABCF3	1.05036482384313	0.952050161334558	0.72084274555369	1.53052280816058	0.798088502614013
ABCG1	1.02814572668135	0.972624769085803	0.701088768459874	1.50777431168278	0.887016650811713
ABCG2	1.04060387202116	0.960980471903977	0.696233286840948	1.55530687620341	0.846051567567364
ABCG4	1.03040261959868	0.970494427109934	0.688002989258555	1.5432048625545	0.884439385902536
ABCG5	1.1200189899416	0.892842004448642	0.749467260692959	1.6737789675695	0.580234548628535
ABCG8	1.14585509808279	0.872710695857765	0.783471198611127	1.67585471952239	0.482616600713217
ABHD1	1.30452933736289	0.766559993216787	0.881263727566628	1.93108684586341	0.183385230956551
ABHD10	1.21987605765835	0.81975541180764	0.81833328979639	1.81844929761849	0.328780801153754
ABHD11	1.27501923944026	0.784301890565199	0.860076900938576	1.89014965890698	0.225520120395368
ABHD12	0.737726434109607	1.35551602025342	0.490017039679462	1.11065584972328	0.143640259085272
ABHD12B	0.907077917474393	1.10244112521704	0.615327443740975	1.3371585433723	0.622135511933265
ABHD13	1.0426241518634	0.959118392004229	0.700510824487742	1.55181773649795	0.837037451237706
ABHD14A	1.17910568260087	0.848100399104344	0.802431873260405	1.73259594623616	0.400618566638842
ABHD14A-ACY1	1.00249421885329	0.997511986796154	0.696256065326357	1.44342679207137	0.98931287091141
ABHD14B	1.4236013889394	0.70244382154264	0.959769702337894	2.11159084273394	0.0779871072420341
ABHD15	1.30314763857926	0.767372759920158	0.87578047689479	1.93906328439279	0.191468150241136
ABHD16A	0.802866023547215	1.24553782408404	0.542022667501929	1.18923781312933	0.273365382073151
ABHD16B	NA	NA	NA	NA	NA
ABHD17A	1.153805078011	0.866697520281208	0.780376637203778	1.70592774639451	0.4725093218009
ABHD17B	1.45896670923168	0.685416599071421	0.984306467003707	2.16252146054253	0.0598471803865426
ABHD17C	1.39509457018697	0.716797284836382	0.936103230767779	2.07913913315826	0.100784662911416
ABHD18	0.717453269091396	1.3938190026877	0.479525281834039	1.07343494249398	0.105044868380529
ABHD2	0.921699724948585	1.08495204341716	0.624554047132146	1.36021916257081	0.681149880933427
ABHD3	1.23564223932332	0.809295739637091	0.828844016990448	1.84209780405226	0.299266568112278
ABHD4	1.06931805771941	0.935175453908211	0.712290540535749	1.60530154970861	0.746468611691479
ABHD5	1.13208224894232	0.883328045231942	0.765795151411852	1.6735679456934	0.534165343857493
ABHD6	0.914375276333135	1.09364286839671	0.617656447602707	1.35363623129712	0.654450677463162
ABHD8	1.22537481305325	0.816076835713893	0.825624910691746	1.8186750581535	0.312636906780388
ABI1	1.28572920815093	0.777768750729514	0.868838857177808	1.90265385006154	0.208451282446421
ABI2	0.81327758745708	1.2295924730039	0.549849614650555	1.20291151732526	0.299192536722303
ABI3	0.840503978847685	1.18976236301817	0.569216727312762	1.24108604782906	0.38171166377656
ABI3BP	0.714327881400055	1.39991735733462	0.478015709699161	1.06746349919467	0.0996837181148339
ABITRAM	1.16984203286819	0.854816267413665	0.78120514711341	1.75181946371188	0.446241587367682
ABL1	0.620255815853814	1.61223800638362	0.413046753094364	0.931413391385715	0.0207130531033754
