exp(coef)	exp(-coef)	lower95%	upper95%	p-value
A1CF	0.673063327089817	1.48574429738103	0.468454540291834	0.967039922360448	0.0340391692315654
A2M	0.573901429585579	1.74245950340656	0.382489757572041	0.861102406953567	0.0067474361306666
ABCA10	0.660963481214867	1.51294289082655	0.443232877153937	0.985650537263615	0.04126655703556
ABCA2	0.564500526606987	1.77147753255545	0.373389545331491	0.853427334867296	0.00638085035057668
ABCC5	1.50053354636147	0.666429619267642	1.01558808734264	2.21704148740815	0.0405573270133067
ABCC9	0.573639168952721	1.74325613403575	0.381493912095785	0.862561329875555	0.00714311193682984
ABCF2	1.51732333381272	0.659055309910252	1.01111905663514	2.27695253513882	0.0422834413758343
ABL1	0.620255815853814	1.61223800638362	0.413046753094364	0.931413391385715	0.0207130531033754
ABLIM3	0.526938183777749	1.89775581042686	0.354154629815873	0.7840186916866	0.00137646209319181
ABR	0.518257958338036	1.92954104015465	0.347166070026157	0.773668093084307	0.00113902970099279
ABTB1	0.617176222290118	1.62028277157108	0.413823263795167	0.920456926145265	0.0176958762359063
AC004233.4	0.551774719943225	1.81233384541955	0.376680502403743	0.808258828438367	0.00426072950162603
AC005551.1	1.47319616953622	0.678796225973635	1.02389430478644	2.11965917164551	0.0323904555058486
AC008397.2	0.658324079896651	1.51900869273533	0.455068254402129	0.952363936572906	0.0271633038679963
AC010980.1	1.57120408676169	0.636454556365774	1.05240971042178	2.34574259227164	0.0261298488246219
AC055839.2	0.644183878241048	1.55235179546951	0.433361683901254	0.957567049421548	0.0293157752085507
AC068580.4	0.529856805133929	1.88730236228114	0.351127971056917	0.799561006494769	0.00244714042594805
AC092718.3	0.569930173504342	1.75460090812753	0.377447481060694	0.86057112305502	0.00677323531668521
AC113348.2	1.58975966321684	0.629025898151501	1.07772202182526	2.34507204604667	0.013764636328393
AC138647.1	0.340440163887266	2.93737374750866	0.173627555332752	0.66751792343946	0.00694453305178032
AC236972.4	0.543893027437402	1.8385968371604	0.337315456951725	0.876982122219674	0.0208138781733134
ACBD4	0.613932350159722	1.62884395933825	0.404588704017814	0.93159528881964	0.0208600679578802
ACD	0.572136481620182	1.7478347074953	0.385551458394925	0.849018066131713	0.00523865267695748
ACE	0.630644199528292	1.58568016759367	0.419689376032564	0.947634438970932	0.0257354315544211
ACOT11	0.605576084736802	1.65132016472319	0.404520764119925	0.906560124800998	0.014434932954114
ACOT7	0.663489287091313	1.50718334034288	0.448125487108633	0.982354377844666	0.0395675197697085
ACSS3	0.592080509157063	1.68895949880817	0.393039419927033	0.891919007484713	0.0112692243883841
ACVRL1	0.59268071300262	1.68724910067316	0.393507052207227	0.892666155777837	0.0115947800458478
ADAM19	0.646539409754657	1.54669612542176	0.432148220663053	0.967291286597306	0.0328306750510796
ADAM8	0.49570743887653	2.01731892962187	0.332146117921096	0.739812545440929	0.000545666918548376
ADAMTS10	0.655188807542008	1.52627759889791	0.43272709053169	0.992016406924915	0.0454145020594977
ADAMTS16	0.587179420822196	1.70305696102182	0.39266814110693	0.878043406488637	0.00901726261483521
ADAMTS8	0.610280086782375	1.63859188863981	0.409541768642892	0.909410987693079	0.0144227640358268
ADAMTSL2	0.564795964787163	1.77055089332453	0.368942115882298	0.864619321318227	0.00805444956282326
ADAMTSL4	0.602412621044548	1.65999178149033	0.404612033429666	0.896910956695126	0.012354942200529
ADAT1	0.62487551762841	1.60031873835496	0.41497767326418	0.940940772692596	0.0232520614659157
ADCY7	0.654567971818506	1.52772522190755	0.438520568096929	0.977056176840231	0.0376715683591238
ADCYAP1R1	0.636681634244507	1.57064370356247	0.425391691998882	0.952918242195763	0.0275158963560387
ADGRB2	0.486071863658712	2.05730895936436	0.321072043524342	0.735865552314092	0.000567786025183279
ADGRD1	0.608372180865549	1.64373064951338	0.401425063464572	0.922006979974654	0.0182451769340253
ADGRF5	0.54610723195929	1.8311422033586	0.359683215323463	0.829154923256668	0.00405017468449853
ADH7	1.67840173758748	0.595804912259796	1.14649573404767	2.45708057088991	0.00750290980240903
ADI1	1.64290443407928	0.608678130788797	1.09834185140602	2.45746347192553	0.0154570463972261
ADORA1	0.668679402995318	1.49548497459402	0.45270504673102	0.987689771118994	0.0420940504461182
ADORA2A	0.61624720574382	1.62272541064585	0.413746852106282	0.917857420917644	0.0169637933547792
ADRA1A	0.662629306557057	1.50913940887384	0.448163240439098	0.979726934940248	0.0385132466043817
ADRA1D	0.608313605339198	1.64388892706484	0.400507298830438	0.923941819590755	0.0189298738721257
AFAP1	0.675310049505524	1.48080130116858	0.456379768596201	0.999263539586602	0.0485461237301775
AFF1	0.505377802396854	1.97871769447986	0.336305717444643	0.759448055466125	0.000860026089450171
AGAP5	0.663102838880473	1.50806170832916	0.444713847909546	0.988737762492112	0.0434770017739783
AGL	1.6803437047461	0.59511634267175	1.12452391420249	2.51088921313187	0.0106949432589632
AGPAT2	0.633527901454585	1.57846244451743	0.429192578746894	0.935145717321786	0.0210698021182033
AGRN	0.656796478623322	1.52254165871298	0.443061598817514	0.973638012148445	0.0358639701086005
AGRP	0.511615928692712	1.95459121563164	0.3442445083786	0.76036320731726	0.000813144822890725
AGT	0.652615254834237	1.53229639146881	0.430487759450283	0.98935837661499	0.0430465368057123
AK1	0.614392614912705	1.62762373070204	0.4100309209292	0.920609315033709	0.0175999765873563
AKAP12	0.612181398887237	1.6335027523177	0.406978857597704	0.920848978140257	0.0175700931736044
AKNA	0.639961638979024	1.56259366045029	0.427182189648527	0.958726532353058	0.0296733734291249
AL135905.2	0.58518379673165	1.70886481407238	0.39616554731	0.864386310931045	0.00662239063187566
AL136531.2	0.600541704692289	1.66516328872179	0.405996449757965	0.888309095534511	0.0105098318717243
AL353572.3	0.619355323820123	1.61458206870993	0.403725434963793	0.950153207906585	0.0387528663553778
AL603832.3	1.42647781929594	0.701027374189081	1.01097178026672	2.01275545832393	0.0370275193286586
AL662899.1	9088638.01952472	1.10027486830452e-07	0	Inf	0.0374272105467254
ALDH1A2	0.662466829714879	1.50950954092357	0.44179966146786	0.993351373367697	0.0449343315710321
ALDH3B1	0.640880574034691	1.56035311494068	0.430654429729879	0.953729677023543	0.0272837058098947
ALDH7A1	0.547882610892919	1.82520850291313	0.360861320416213	0.831830230440389	0.00437442222409167
ALDOA	0.642598387836968	1.55618193093523	0.432850622792592	0.953984276114892	0.027638372970183
ALDOC	1.67746558616902	0.59613741601924	1.12775387891205	2.49512845435384	0.010165520698703
ALOX5	0.649760691115908	1.53902815863266	0.435710461702185	0.968966763088637	0.0336872691379544
ALPL	0.578637057396907	1.72819902772675	0.390280730830328	0.857897451100428	0.00601106704904656
ALPP	0.60489853946783	1.65316980411255	0.409341539125422	0.893880068541498	0.0111641152735215
ALS2CL	0.671870174914941	1.48838278187687	0.45223919276392	0.998165438031551	0.0489286912120048
AMD1	1.61416572218905	0.61951507596373	1.0826300297327	2.40666793561362	0.0181694092887977
AMDHD2	0.623000441039231	1.60513530027666	0.424171066377952	0.915030704119829	0.0157446209140103
AMY1B	0.592198226752696	1.68862376620659	0.422509098563642	0.830038313876009	0.00277439432238154
AMY1C	0.377290008480074	2.65048100273987	0.184973493958101	0.76955755904756	0.0194803394686048
ANAPC2	0.660826740664478	1.51325595419228	0.442003982212849	0.987982006385967	0.0432831889020449
ANGPTL1	0.644172567150532	1.5523790533699	0.431576814226097	0.961493487580905	0.0303023758630082
ANKHD1-EIF4EBP3	0.659702541648584	1.51583469346809	0.444977504772966	0.978043696118189	0.0377673661498221
ANKRD1	0.557423916947302	1.79396679905024	0.372385679683807	0.834407551463061	0.00417388845888519
ANKRD33B	0.55973935746088	1.78654580327575	0.366293225419617	0.855347919503015	0.00665918200155382
ANO2	0.661347910679316	1.51206344475003	0.44665802547362	0.97923027017395	0.0382944569067136
ANO5	0.666627679384949	1.50008772651419	0.448055066611091	0.991825550112333	0.0434546341202168
ANP32E	1.55092906062347	0.644774816198237	1.05788890774165	2.273755716204	0.0242532865337942
ANTKMT	0.611762584237306	1.63462105360156	0.40659064884625	0.920467454268064	0.0177228364787605
ANTXRL	0.70482477119983	1.41879235926639	0.502297530316797	0.989011349077462	0.0462243825839427
ANXA11	0.655643094425243	1.52522006027781	0.442871546660828	0.970637807979841	0.0343661515471135
ANXA6	0.666171562484186	1.50111481233295	0.447204677368111	0.992352211686118	0.0445597528151883
AOAH	1.52685479150079	0.654941128368252	1.01480001373512	2.29728569449687	0.0415237508091341
AOC1	0.630377236744963	1.58635169817304	0.42661864292263	0.931453576158608	0.0199337791715867
AOC3	0.464830857498981	2.15132017134253	0.305268287833447	0.707796173709085	0.000300099996778287
AP001931.1	0.611720713115948	1.63473294030908	0.404802970345195	0.924405842516382	0.0193149543074538
AP1G1	0.672614016008106	1.48673678543735	0.453696016642001	0.997164616694301	0.0467917189856433
AP2A2	0.557472806454168	1.79380947092388	0.371819536516205	0.835824639145451	0.00439491783561832
AP5S1	0.679809047221418	1.47100131145253	0.4616241112555	1.00111828956938	0.0497826597914692
APBB1	0.66791981107187	1.49718571514627	0.447369635992456	0.997199716142124	0.0473315744921553
APBB2	0.620310387596657	1.61209616991007	0.4188563690298	0.918656144232914	0.0164744538243151
